date,open,high,low,close,volume
2009-03-05,24.0,24.0,23.0,23.05,10960
2009-03-06,22.55,23.0,22.5,22.9,117740
2009-03-09,22.9,23.0,21.1,21.75,254920
2009-03-12,21.25,21.6,20.5,21.1,752260
2009-03-13,21.25,21.5,20.9,21.0,43480
2009-03-16,20.5,21.55,20.5,20.85,9380
2009-03-17,21.75,21.95,21.05,21.35,13920
2009-03-18,21.85,22.95,21.05,22.55,23960
2009-03-19,25.7,25.7,22.25,22.95,13780
2009-03-20,22.35,22.8,21.6,21.65,16340
2009-03-23,22.0,22.8,22.0,22.55,4040
2009-03-24,22.5,22.8,22.0,22.55,1980
2009-03-25,22.75,22.75,21.5,22.0,4000
2009-03-26,23.0,23.0,21.6,21.95,22500
2009-03-27,21.75,22.25,21.25,21.5,26660
2009-03-30,22.45,22.45,21.25,21.7,18560
2009-03-31,21.65,22.2,21.65,22.05,38740
2009-04-01,21.55,22.5,21.5,22.05,1067440
2009-04-02,22.25,22.95,22.0,22.45,38540
2009-04-06,26.75,26.75,22.55,25.4,109640
2009-04-08,23.8,26.25,23.8,25.75,26320
2009-04-09,26.75,27.25,25.15,25.45,13040
2009-04-13,26.65,26.65,25.05,25.6,9840
2009-04-15,25.05,30.0,25.05,27.3,181820
2009-04-16,28.0,29.5,26.25,26.4,40020
2009-04-17,27.35,27.85,26.25,26.4,493060
2009-04-20,26.25,29.75,26.25,27.45,229740
2009-04-21,26.05,27.45,25.9,26.7,37840
2009-04-22,27.4,27.95,26.0,26.1,301580
2009-04-23,26.0,27.0,25.0,26.9,986240
2009-04-24,26.65,27.0,26.0,26.55,12460
2009-04-27,26.2,27.0,26.2,26.75,13740
2009-04-28,25.85,26.7,25.0,26.2,9024200
2009-04-29,26.8,26.8,25.95,26.25,24180
2009-05-04,26.6,27.0,25.75,26.15,1010140
2009-05-05,26.25,29.6,25.8,26.7,6189760
2009-05-06,27.1,30.95,27.1,29.35,579760
2009-05-07,29.5,31.1,28.5,29.15,165020
2009-05-08,29.05,29.25,27.75,28.4,50700
2009-05-11,30.5,30.5,27.0,27.05,31600
2009-05-12,26.7,27.9,26.5,26.95,283400
2009-05-13,27.35,27.5,26.6,26.8,52820
2009-05-14,26.5,27.55,26.5,27.0,287320
2009-05-15,27.35,27.6,26.95,27.25,100900
2009-05-19,28.25,29.7,28.25,29.2,129480
2009-05-20,29.95,31.2,28.85,30.0,209720
2009-05-21,30.25,36.0,29.5,33.75,566340
2009-05-22,34.9,36.25,32.45,35.15,234340
2009-05-25,35.0,36.25,33.0,35.0,45340
2009-05-26,35.25,36.0,32.5,33.15,70220
2009-05-27,35.4,35.4,33.55,34.2,23300
2009-05-28,33.9,34.9,33.3,33.9,16580
2009-05-29,33.9,38.4,33.4,33.9,118860
2009-06-01,34.35,35.5,34.25,34.55,43460
2009-06-02,35.0,35.05,33.9,34.05,23140
