date,open,high,low,close,volume
2009-03-05,30.0,30.2,28.9,29.55,383456
2009-03-06,28.75,32.7,28.25,31.3,499396
2009-03-09,32.1,32.1,29.0,30.85,537588
2009-03-12,33.1,33.1,30.0,30.8,421240
2009-03-13,31.25,31.5,30.4,30.95,516388
2009-03-16,30.8,31.5,30.1,30.9,475644
2009-03-17,30.65,31.45,30.4,31.2,494104
2009-03-18,31.25,31.5,30.9,31.15,1011528
2009-03-19,31.4,32.6,30.6,31.7,386868
2009-03-20,32.25,34.7,31.4,33.9,409432
2009-03-23,33.55,35.0,33.05,34.2,300200
2009-03-24,34.25,36.0,32.8,35.0,292024
2009-03-25,35.25,36.0,34.5,35.3,315508
2009-03-26,35.0,35.25,34.0,34.6,268880
2009-03-27,34.5,35.1,34.0,35.0,100836
2009-03-30,34.5,35.7,34.25,34.6,162700
2009-03-31,35.2,35.2,33.75,34.5,178880
2009-04-01,35.25,35.25,33.65,34.45,110904
2009-04-02,35.5,35.5,34.0,34.8,182920
2009-04-06,34.6,36.25,34.6,34.9,116632
2009-04-08,34.0,39.0,34.0,37.7,1199600
2009-04-09,38.0,41.5,37.8,40.8,1136920
2009-04-13,41.5,42.5,40.0,41.35,475896
2009-04-15,41.25,43.5,40.9,43.0,694208
2009-04-16,43.7,45.4,41.35,43.0,1375104
2009-04-17,43.0,46.9,43.0,45.95,1036852
2009-04-20,46.75,48.25,46.25,47.2,618884
2009-04-21,46.25,47.95,45.0,47.5,983612
2009-04-22,47.0,50.75,46.5,49.7,618616
2009-04-23,47.25,50.0,47.25,48.5,221120
2009-04-24,45.5,49.75,45.5,49.4,447000
2009-04-27,48.75,49.25,47.55,48.4,176552
2009-04-28,48.7,48.9,46.75,47.8,278904
2009-04-29,47.75,49.0,46.75,47.4,414040
2009-05-04,48.15,51.25,47.85,50.15,391296
2009-05-05,50.0,51.75,49.8,50.3,265320
2009-05-06,49.4,51.0,49.4,50.3,374160
2009-05-07,50.75,52.75,50.0,51.2,138584
2009-05-08,50.55,51.5,49.8,50.05,133616
2009-05-11,50.05,50.5,48.8,50.0,568272
2009-05-12,50.0,52.1,48.9,50.0,975096
2009-05-13,50.5,50.5,48.25,49.0,459308
2009-05-14,48.2,49.0,48.0,48.1,46768
2009-05-15,48.75,50.0,46.25,47.65,136580
2009-05-19,51.5,63.7,51.5,62.25,1274472
2009-05-20,60.0,69.6,59.0,68.8,1054820
2009-05-21,69.0,71.5,67.0,68.1,234124
2009-05-22,68.0,71.75,66.3,71.25,380228
2009-05-25,71.5,73.5,69.5,70.6,304348
2009-05-26,71.6,71.6,63.75,65.2,233820
2009-05-27,67.8,69.95,65.5,66.8,83908
2009-05-28,67.75,68.0,65.3,67.2,224152
2009-05-29,66.35,69.95,66.35,68.0,286516
2009-06-01,72.5,78.25,70.25,71.95,1104264
2009-06-02,73.1,74.9,70.0,73.6,1344920
2009-06-03,74.25,76.2,70.4,71.05,688776
2009-06-04,72.1,76.2,70.25,75.0,962340
2009-06-05,76.2,82.2,75.25,79.15,1402112
2009-06-08,79.5,81.1,75.75,77.15,542952
2009-06-09,75.0,77.0,71.0,76.2,269780
2009-06-10,77.25,78.7,72.9,75.3,383532
2009-06-11,75.5,75.75,71.15,73.45,191348
2009-06-12,74.7,74.75,70.3,70.95,113076
2009-06-15,68.8,73.4,64.05,71.35,154384
2009-06-16,68.6,72.25,68.6,71.65,156588
2009-06-17,72.25,73.75,70.0,70.6,1362212
2009-06-18,70.5,72.45,69.25,69.55,174160
2009-06-19,70.5,71.25,67.5,70.4,201116
2009-06-22,70.4,70.75,69.5,69.6,85876
2009-06-23,68.25,68.5,66.0,66.8,150072
2009-06-24,67.5,68.7,65.25,68.0,454096
2009-06-25,68.35,71.7,68.35,69.0,404416
2009-06-26,70.5,73.75,69.75,72.0,204740
2009-06-29,72.0,73.25,70.4,72.3,161200
2009-06-30,72.5,73.75,71.5,71.5,154088
2009-07-01,72.5,74.5,70.6,73.45,126308
2009-07-02,76.0,76.0,72.05,73.05,48780
2009-07-03,72.0,76.5,72.0,74.85,255156
2009-07-06,75.0,76.2,71.0,72.1,358484
2009-07-07,73.25,74.0,71.8,73.4,345992
2009-07-08,72.0,72.0,68.0,69.85,1849796
2009-07-09,71.25,71.25,68.5,68.8,99980
2009-07-10,70.0,70.0,65.4,66.7,180960
2009-07-13,67.25,68.25,64.25,67.3,100096
2009-07-14,68.5,71.2,68.3,69.7,84200
2009-07-15,70.25,73.1,69.25,72.3,106192
2009-07-16,73.5,74.2,72.05,72.4,221380
2009-07-17,71.5,77.0,71.5,75.65,377868
2009-07-20,77.5,79.7,76.25,78.9,310256
2009-07-21,77.5,78.0,76.0,77.25,194536
2009-07-22,78.25,79.5,76.0,76.4,189716
2009-07-23,78.25,80.5,77.5,79.15,252032
2009-07-24,80.25,84.1,80.25,82.7,373716
2009-07-27,83.75,85.0,79.25,81.1,214972
2009-07-28,80.0,81.5,79.8,80.55,62540
2009-07-29,80.75,82.5,79.75,81.5,149028
2009-07-30,82.7,92.5,81.25,87.5,1115104
2009-07-31,88.7,90.0,84.7,85.2,378720
2009-08-03,84.75,89.1,83.0,87.15,276812
2009-08-04,87.7,93.3,87.0,90.95,901020
2009-08-05,91.75,92.5,88.8,91.1,224484
2009-08-06,92.25,93.2,89.0,90.0,525732
2009-08-07,81.3,91.25,81.3,84.95,227816
2009-08-10,85.0,87.5,80.65,81.95,396356
2009-08-11,81.25,85.0,81.25,83.7,284988
2009-08-12,83.25,85.0,81.1,83.05,198860
2009-08-13,85.0,87.7,83.15,87.0,554348
2009-08-14,87.0,89.25,85.5,88.55,286112
2009-08-17,86.25,91.5,84.65,87.55,666344
2009-08-18,90.0,94.75,88.1,93.25,1275152
2009-08-19,93.25,96.5,92.25,92.9,451976
2009-08-20,94.75,96.0,92.5,92.6,235520
2009-08-21,91.0,99.4,91.0,95.45,595260
2009-08-24,97.2,106.0,94.75,104.65,1939800
2009-08-25,107.05,114.85,102.75,104.1,2314108
2009-08-26,103.75,108.75,102.75,103.4,1311052
2009-08-27,104.5,105.0,97.5,97.95,675976
2009-08-28,86.25,101.8,86.25,97.7,786548
2009-08-31,97.0,102.0,97.0,100.1,847268
2009-09-01,101.0,102.25,96.25,97.0,601304
2009-09-02,90.0,98.5,90.0,96.0,228156
2009-09-03,97.9,99.5,96.25,98.2,311340
2009-09-04,98.75,100.5,96.25,96.7,288356
2009-09-07,98.45,100.25,97.6,98.2,264236
2009-09-08,99.7,100.25,98.25,98.9,330844
2009-09-09,97.5,99.5,96.5,97.05,139504
2009-09-10,97.5,99.5,95.0,95.1,188732
2009-09-11,96.5,96.75,93.75,93.9,184928
2009-09-14,93.55,93.55,90.0,90.35,252308
