date,open,high,low,close,volume
2009-03-05,39.5,39.5,34.3,37.1,1419922
2009-03-06,37.5,38.4,35.5,37.9,1685655
2009-03-09,37.8,45.0,36.1,39.0,767074
2009-03-12,40.15,40.9,38.3,38.85,608171
2009-03-13,39.9,40.9,39.75,40.6,545382
2009-03-16,41.45,44.0,39.7,40.8,769585
2009-03-17,40.3,44.9,40.1,43.75,1730284
2009-03-18,44.8,49.65,44.0,47.5,2077375
2009-03-19,48.55,49.0,45.1,47.75,981082
2009-03-20,46.8,49.8,45.95,49.1,720376
2009-03-23,50.45,53.25,49.1,52.25,1191983
2009-03-24,52.25,55.45,52.25,52.95,1715103
2009-03-25,50.15,53.7,49.65,52.75,1192782
2009-03-26,52.7,56.35,52.3,55.45,1370422
2009-03-27,55.6,63.9,53.5,60.7,1646937
2009-03-30,58.15,61.15,55.1,59.65,1219198
2009-03-31,58.2,63.9,57.8,61.8,1211192
2009-04-01,62.35,64.3,58.5,62.8,845032
2009-04-02,64.3,75.5,64.0,70.7,2721496
2009-04-06,72.1,74.7,65.25,70.3,2122429
2009-04-08,67.1,74.0,66.15,72.9,1608979
2009-04-09,75.0,76.35,69.45,70.8,1359302
2009-04-13,73.9,73.9,68.5,70.85,2604503
2009-04-15,69.1,83.75,68.2,80.1,4090346
2009-04-16,82.0,83.7,69.35,72.4,3879341
2009-04-17,73.5,77.6,70.6,73.15,1816430
2009-04-20,72.55,77.7,72.2,74.7,1504146
2009-04-21,72.55,75.8,71.45,72.6,1173428
2009-04-22,74.35,74.6,68.6,69.9,1928416
2009-04-23,68.0,71.25,65.1,69.95,1934682
2009-04-24,70.5,73.95,68.55,72.45,3347274
2009-04-27,73.85,77.0,71.1,73.15,2826619
2009-04-28,73.9,75.35,64.05,65.6,1447083
2009-04-29,66.8,69.9,65.0,69.2,1379014
2009-05-04,70.55,75.2,70.55,74.65,1553762
2009-05-05,76.45,79.3,74.55,78.2,1637015
2009-05-06,79.35,83.4,75.05,77.2,2595729
2009-05-07,78.1,84.6,77.15,83.3,1860977
2009-05-08,83.6,85.0,78.05,82.35,1409566
2009-05-11,84.4,84.4,77.0,78.1,896002
2009-05-12,77.1,79.0,74.0,77.45,1717749
2009-05-13,79.25,83.2,77.3,79.75,2174408
2009-05-14,77.85,85.2,74.0,83.2,1368692
2009-05-15,84.0,86.95,80.65,82.9,1162668
2009-05-18,91.15,105.0,91.15,97.9,6158
2009-05-19,110.0,126.0,95.25,113.9,7803382
2009-05-20,114.8,124.7,112.0,120.55,6056434
2009-05-21,123.9,129.45,110.5,114.7,5772705
2009-05-22,115.9,126.4,112.0,124.1,3693390
2009-05-25,125.0,132.4,125.0,130.4,3923825
2009-05-26,131.5,135.0,118.15,122.3,3776218
2009-05-27,126.0,131.9,124.3,129.8,2456201
2009-05-28,132.85,132.9,124.15,126.2,3800584
2009-05-29,128.5,145.0,126.05,139.1,6133247
2009-06-01,140.0,143.0,131.1,133.2,5914746
2009-06-02,137.85,138.0,121.5,128.8,7022922
2009-06-03,130.5,133.95,125.5,130.9,3258655
2009-06-04,127.35,139.05,126.0,137.5,3889692
2009-06-05,138.0,142.65,134.2,137.55,5223895
2009-06-08,138.9,139.0,125.7,129.5,3947470
2009-06-09,129.0,135.0,122.55,132.4,3308415
2009-06-10,134.4,140.0,125.5,137.4,2852965
2009-06-11,138.1,139.35,132.6,136.05,1760022
2009-06-12,137.35,138.7,130.25,135.15,1548216
2009-06-15,134.0,139.9,127.4,129.65,2719407
2009-06-16,125.0,135.5,123.0,133.15,2040055
2009-06-17,132.0,136.85,124.35,126.65,2000402
2009-06-18,128.0,128.9,115.1,122.75,1394644
2009-06-19,124.25,127.4,116.2,120.95,2706187
2009-06-22,123.95,125.8,120.55,121.75,1272824
2009-06-23,118.7,122.5,116.1,120.75,1793074
2009-06-24,122.0,127.4,121.05,124.75,2044969
2009-06-25,125.8,132.9,125.6,128.8,2732641
2009-06-26,131.9,138.0,125.6,136.0,2643656
2009-06-29,137.1,147.0,137.1,143.0,5216362
2009-06-30,144.8,145.0,132.65,134.65,2780722
2009-07-01,135.0,140.25,131.4,137.5,2495389
2009-07-02,139.7,139.7,133.55,137.8,1496642
2009-07-03,136.9,142.0,134.0,140.7,2606322
2009-07-06,143.0,144.4,125.35,129.85,2453264
2009-07-07,127.65,135.4,127.0,132.5,1341919
2009-07-08,132.5,132.5,120.6,126.4,3118280
2009-07-09,125.45,134.8,125.05,130.35,1778863
2009-07-10,129.0,130.5,121.1,124.35,2438789
2009-07-13,120.0,124.0,113.3,120.05,1390516
2009-07-14,125.0,126.0,120.55,124.6,1434896
2009-07-15,126.0,129.1,123.8,128.35,1789698
2009-07-16,131.0,131.0,122.25,125.05,1298046
2009-07-17,129.0,136.85,127.9,134.55,1728575
2009-07-20,136.45,140.9,133.0,140.0,1982109
2009-07-21,142.0,142.4,133.0,134.6,1155985
2009-07-22,136.65,138.65,128.15,129.5,916075
2009-07-23,131.05,137.2,128.8,136.15,996509
2009-07-24,136.2,138.9,134.1,136.1,1242455
2009-07-27,138.0,143.7,133.5,140.6,1063484
2009-07-28,144.2,153.4,142.0,152.1,4440019
2009-07-29,152.5,159.25,139.05,144.9,6387320
2009-07-30,145.5,148.5,140.15,143.4,1683757
2009-07-31,146.0,148.45,141.0,142.45,1231142
2009-08-03,143.15,147.25,141.25,145.4,1727676
2009-08-04,146.3,151.9,141.4,149.85,3536324
2009-08-05,151.0,151.1,144.3,145.35,1704842
2009-08-06,146.0,148.4,139.35,140.7,1750557
2009-08-07,139.0,140.0,134.6,135.9,1051480
2009-08-10,138.9,139.75,125.7,126.85,1570752
2009-08-11,126.05,130.5,124.45,127.1,1254285
2009-08-12,125.0,132.9,124.5,130.8,1383945
2009-08-13,134.85,136.5,132.25,135.1,1331416
2009-08-14,135.9,136.4,129.6,130.55,1132820
2009-08-17,128.0,129.0,122.0,122.45,1621882
2009-08-18,121.0,128.9,119.15,128.25,1937798
2009-08-19,125.0,131.6,123.35,129.5,1821386
2009-08-20,131.4,133.5,128.5,132.2,854863
2009-08-21,132.5,134.9,129.6,134.45,695665
2009-08-24,136.5,144.0,136.0,141.9,1404342
2009-08-25,140.0,142.5,133.75,136.35,1700917
2009-08-26,138.0,139.35,134.85,136.0,1034938
2009-08-27,135.1,139.9,132.25,133.3,1972278
2009-08-28,137.0,137.0,133.5,134.75,1800135
2009-08-31,133.9,139.65,132.5,136.2,1880443
2009-09-01,138.65,139.85,133.9,134.75,2477054
2009-09-02,134.45,137.9,132.55,133.35,625699
2009-09-03,134.15,138.9,134.15,137.7,2631940
2009-09-04,139.0,140.0,134.2,139.5,1263366
2009-09-07,142.0,143.3,141.25,142.45,1331755
2009-09-08,143.45,144.9,140.2,143.4,2043647
2009-09-09,142.1,144.9,139.4,140.75,1403327
2009-09-10,143.4,146.5,140.6,142.05,2356583
2009-09-11,141.5,144.3,137.5,140.15,1007629
2009-09-14,140.5,141.0,134.75,137.35,1830065
2009-09-15,139.9,144.75,138.7,143.85,1786816
2009-09-16,145.5,146.0,143.0,144.55,845799
