date,open,high,low,close,volume
2017-11-13,375.0,375.0,358.7,363.55,5078766
2017-11-14,360.0,366.0,347.5,350.88,664182
2017-11-15,349.5,350.0,339.67,341.35,458956
2017-11-16,346.0,351.92,339.05,340.92,660364
2017-11-17,342.75,345.0,336.6,337.77,347482
2017-11-20,337.4,340.0,333.55,334.1,239420
2017-11-21,332.5,340.0,332.5,333.52,355378
2017-11-22,333.52,335.95,331.5,332.48,190580
2017-11-23,332.5,332.95,325.1,325.95,234080
2017-11-24,326.5,327.52,324.0,324.27,182944
2017-11-27,322.65,324.98,318.75,319.33,176280
2017-11-28,318.75,324.1,318.02,319.08,239474
2017-11-29,318.52,324.5,316.67,319.5,189044
2017-11-30,319.95,324.0,316.13,316.65,218034
2017-12-01,318.4,318.45,309.25,309.9,193758
2017-12-04,310.5,311.65,300.08,301.45,245962
2017-12-05,300.08,301.48,295.75,296.0,143258
2017-12-06,295.85,297.4,291.13,292.17,160868
2017-12-07,291.0,295.0,290.0,290.25,189026
2017-12-08,290.25,294.73,290.25,291.5,234000
2017-12-11,292.5,294.0,289.0,290.05,150710
2017-12-12,291.98,291.98,287.92,288.38,93082
2017-12-13,289.25,289.95,280.27,280.67,204046
2017-12-14,281.25,283.75,275.58,275.9,181022
2017-12-15,277.98,278.73,272.52,273.13,205092
2017-12-18,274.7,284.4,266.55,282.63,384480
2017-12-19,284.45,300.5,284.42,297.92,573956
2017-12-20,300.0,308.5,300.0,307.55,449248
2017-12-21,309.05,310.5,303.05,308.77,203496
2017-12-22,308.5,309.25,304.0,307.25,131650
2017-12-26,307.92,308.15,304.5,306.38,83562
2017-12-27,305.0,306.38,299.27,300.17,83016
2017-12-28,300.0,302.5,296.23,299.85,90312
2017-12-29,297.58,306.0,296.0,300.55,107424
2018-01-01,303.92,308.9,303.92,305.3,90820
2018-01-02,307.73,308.73,301.5,307.48,91190
2018-01-03,309.0,311.95,306.0,310.58,111044
2018-01-04,308.6,313.0,308.27,312.27,93164
2018-01-05,310.5,313.5,310.5,312.63,65372
2018-01-08,313.9,315.5,312.6,313.8,98018
2018-01-09,313.63,316.48,312.6,316.13,68970
2018-01-10,316.5,317.0,312.63,313.58,32116
2018-01-11,313.5,316.5,312.5,315.65,43566
2018-01-12,316.4,316.4,310.6,311.38,43218
2018-01-15,311.38,312.63,309.8,310.13,41132
2018-01-16,310.08,311.65,305.52,305.95,34700
2018-01-17,303.58,308.0,301.5,306.98,99108
2018-01-18,308.9,310.42,303.13,304.55,64870
2018-01-19,304.5,305.98,302.5,303.25,28224
2018-01-22,304.5,309.5,302.5,308.88,59960
2018-01-23,309.5,310.67,308.15,310.15,2212548
2018-01-24,311.2,313.0,310.0,312.27,97384
2018-01-25,307.77,320.98,307.77,317.35,171546
2018-01-29,316.63,322.5,315.25,320.02,935222
2018-01-30,320.0,321.5,312.27,319.88,96148
2018-01-31,317.5,319.5,315.58,318.58,48410
2018-02-01,318.58,338.67,318.02,334.58,539640
2018-02-02,334.0,334.0,322.5,326.52,116300
2018-02-05,325.0,347.23,323.33,343.23,414848
2018-02-06,325.0,342.0,320.08,336.05,279448
2018-02-07,339.92,343.0,334.52,337.4,121276
2018-02-08,340.0,346.95,338.6,345.75,126210
2018-02-09,342.0,349.5,340.77,348.3,212034
2018-02-12,343.65,375.77,343.65,368.75,505348
2018-02-14,368.0,375.0,361.0,364.05,201976
2018-02-15,364.45,371.2,364.33,368.25,199188
2018-02-16,362.58,367.98,353.1,354.3,105850
2018-02-19,350.55,357.5,349.5,350.45,99488
2018-02-20,352.0,353.3,349.08,352.6,31614
2018-02-21,354.48,354.5,350.5,352.5,69086
