date,open,high,low,close,volume
2009-03-05,70.2,70.45,68.25,68.65,510103
2009-03-06,68.65,69.5,67.3,68.45,437348
2009-03-09,67.6,69.9,67.0,67.65,509563
2009-03-12,68.2,69.35,67.5,67.85,264621
2009-03-13,68.95,71.6,68.75,70.75,509020
2009-03-16,71.0,72.5,69.55,71.55,535811
2009-03-17,71.0,75.8,71.0,74.1,1278733
2009-03-18,75.7,77.4,74.5,75.3,1080588
2009-03-19,76.0,76.5,73.3,73.7,812825
2009-03-20,73.0,75.9,71.5,73.8,944457
2009-03-23,74.8,76.5,74.5,75.9,590613
2009-03-24,76.9,80.3,76.1,76.75,1765042
2009-03-25,77.0,78.0,75.0,77.55,590226
2009-03-26,78.05,81.0,77.1,80.1,1631997
2009-03-27,80.0,87.95,79.75,86.4,2739409
2009-03-30,83.1,85.3,81.3,82.55,881013
2009-03-31,83.5,85.1,82.75,83.9,587602
2009-04-01,84.0,85.4,82.55,84.55,723072
2009-04-02,85.75,90.95,85.6,88.65,1726859
2009-04-06,90.4,93.6,87.3,88.6,1713654
2009-04-08,86.0,91.8,85.0,90.35,1485562
2009-04-09,92.25,95.3,90.6,91.8,2374360
2009-04-13,92.15,99.3,92.15,96.3,3470492
2009-04-15,94.95,100.8,93.1,98.35,2188372
2009-04-16,100.5,104.75,91.1,93.15,3044920
2009-04-17,90.4,101.45,90.4,93.8,1851503
2009-04-20,95.45,97.5,91.25,93.25,1126279
2009-04-21,90.65,96.45,90.3,93.2,1106870
2009-04-22,94.0,96.05,90.3,91.95,829317
2009-04-23,92.0,93.25,88.4,92.75,663304
2009-04-24,92.9,97.9,92.5,96.7,1482687
2009-04-27,97.0,99.4,93.5,95.15,1060471
2009-04-28,95.2,95.65,86.25,87.25,1026933
2009-04-29,88.0,89.6,85.1,88.55,1850890
2009-05-04,91.65,94.0,91.35,92.1,853244
2009-05-05,92.85,94.8,91.7,92.95,790954
2009-05-06,93.5,96.4,92.2,93.5,1836888
2009-05-07,94.45,95.75,93.05,94.2,538027
2009-05-08,95.1,104.8,93.65,102.85,4932333
2009-05-11,106.35,106.35,96.2,98.2,3070842
2009-05-12,98.0,100.5,94.6,99.5,1919811
2009-05-13,101.0,103.25,83.0,93.9,3844845
2009-05-14,89.25,96.15,89.25,92.85,2295251
2009-05-15,94.0,95.9,91.1,92.1,1743147
2009-05-18,105.0,108.0,101.3,105.4,37966
2009-05-19,112.0,114.95,86.0,109.95,5587910
2009-05-20,110.0,120.0,109.1,118.95,4572505
2009-05-21,120.0,130.5,118.9,123.25,6125340
2009-05-22,124.9,126.7,118.2,124.15,2355141
2009-05-25,124.9,135.45,124.1,134.6,5054539
2009-05-26,136.4,140.4,127.95,131.05,3819366
2009-05-27,135.0,139.9,132.55,139.0,3786048
2009-05-28,138.55,140.4,132.65,138.3,3222725
2009-05-29,139.0,142.9,137.75,139.55,2572705
2009-06-01,143.9,146.4,140.25,143.55,2771265
2009-06-02,144.95,145.9,135.1,138.55,2223446
2009-06-03,140.5,141.6,132.8,136.7,2442446
2009-06-04,135.85,145.0,134.05,144.5,4339939
2009-06-05,147.1,147.1,138.05,139.85,2293875
2009-06-08,137.5,141.0,126.0,128.75,1373073
2009-06-09,126.0,132.9,122.75,130.35,2603706
2009-06-10,131.95,138.0,131.3,134.95,2641591
2009-06-11,135.0,136.0,129.1,129.85,2179186
2009-06-12,131.9,133.85,123.8,124.85,1610018
2009-06-15,123.0,125.9,121.15,122.65,1191775
2009-06-16,121.0,132.9,119.1,131.55,1819259
2009-06-17,135.0,135.45,120.2,121.85,3272309
2009-06-18,123.0,126.75,115.6,119.9,2486267
2009-06-19,124.5,125.0,116.1,121.5,1425497
2009-06-22,125.6,125.6,116.0,117.95,1691736
2009-06-23,115.1,123.35,113.6,122.35,1581903
2009-06-24,123.95,129.4,120.15,128.45,2159475
2009-06-25,130.0,131.7,122.2,124.0,2552219
2009-06-26,128.0,129.0,123.0,126.1,1804051
2009-06-29,124.9,128.8,123.35,126.15,2173079
2009-06-30,127.45,128.5,120.3,121.25,1805445
2009-07-01,122.2,131.4,120.0,130.1,3242311
2009-07-02,131.0,133.5,127.5,131.15,3946681
2009-07-03,130.0,132.95,127.6,130.75,2003443
2009-07-06,132.0,132.9,120.2,123.25,3084316
2009-07-07,123.5,125.0,117.35,122.0,1316986
2009-07-08,120.1,120.1,114.0,116.7,1095455
2009-07-09,117.9,120.4,115.0,117.55,1001265
2009-07-10,119.0,121.9,114.25,117.2,1260464
2009-07-13,114.5,116.0,108.7,114.8,1168378
2009-07-14,117.5,120.35,116.0,118.95,851013
2009-07-15,121.0,128.5,120.15,127.45,1598249
2009-07-16,131.15,141.0,125.1,126.95,3379929
2009-07-17,128.5,131.75,128.05,130.45,1971763
2009-07-20,132.65,132.9,126.85,129.35,855910
2009-07-21,130.0,131.85,126.55,129.25,1041766
2009-07-22,130.6,132.8,125.5,126.85,1548871
2009-07-23,128.25,130.55,127.15,129.9,643530
2009-07-24,131.7,131.7,127.1,129.1,934464
2009-07-27,129.1,137.4,128.0,136.85,3241652
2009-07-28,138.5,138.6,132.8,133.75,2251239
2009-07-29,134.0,134.95,125.75,130.05,1393718
2009-07-30,130.05,133.5,128.0,130.35,1969869
2009-07-31,134.8,138.9,133.5,137.5,3320625
2009-08-03,138.5,141.5,136.8,139.5,3028293
2009-08-04,140.5,144.2,137.1,140.05,2914552
2009-08-05,141.0,142.1,138.4,140.05,1349937
2009-08-06,142.65,146.0,137.1,138.9,4234612
2009-08-07,138.9,140.95,133.25,134.3,1616680
2009-08-10,137.5,138.0,127.6,129.15,1258977
2009-08-11,129.8,133.0,127.3,130.15,1127281
2009-08-12,126.35,129.95,126.1,129.5,831575
2009-08-13,131.85,135.4,131.15,134.7,947641
2009-08-14,136.0,136.85,133.5,134.75,926550
2009-08-17,132.15,132.95,126.65,127.6,668732
2009-08-18,127.6,131.95,125.9,130.2,729419
2009-08-19,131.45,131.7,126.25,127.85,590665
2009-08-20,127.8,130.0,126.35,127.85,971719
2009-08-21,128.0,128.4,126.5,127.7,541629
