date,open,high,low,close,volume
2009-03-05,49.3,49.67,48.0,48.93,139962
2009-03-06,49.0,49.0,46.7,47.8,39672
2009-03-09,47.62,50.0,47.17,47.48,46311
2009-03-12,48.33,48.33,47.48,47.77,34974
2009-03-13,48.32,49.33,47.37,47.83,72048
2009-03-16,48.0,52.5,46.75,50.0,411288
2009-03-17,50.17,52.67,49.7,50.03,183147
2009-03-18,50.67,52.53,50.37,50.8,168735
2009-03-19,50.97,53.12,50.37,50.55,182574
2009-03-20,51.17,51.83,50.0,50.27,109509
2009-03-23,51.33,55.93,50.57,54.17,693144
2009-03-24,55.67,57.3,51.38,51.88,605943
2009-03-25,52.0,53.63,50.77,52.22,218814
2009-03-26,52.6,54.67,51.0,51.7,276099
2009-03-27,53.0,54.63,51.67,53.28,295191
2009-03-30,52.33,54.0,51.4,51.88,242772
2009-03-31,52.67,53.27,51.67,51.93,147303
2009-04-01,51.93,53.95,51.67,52.03,201564
2009-04-02,53.0,55.1,52.7,53.78,322569
2009-04-06,54.75,56.67,54.6,54.82,367032
2009-04-08,53.48,59.5,53.0,57.28,542208
2009-04-09,57.9,60.5,55.03,55.77,603072
2009-04-13,57.0,66.93,56.18,66.93,1929315
2009-04-15,67.33,80.33,64.67,75.78,4452252
2009-04-16,76.67,79.67,68.22,68.62,1354257
2009-04-17,70.33,73.3,68.05,68.72,685527
2009-04-20,68.67,69.9,66.0,68.7,589710
2009-04-21,66.33,73.7,65.5,69.33,970986
2009-04-22,70.93,71.98,66.9,67.8,418683
2009-04-23,68.6,71.33,68.0,69.45,457446
2009-04-24,69.83,71.8,69.37,70.22,419181
2009-04-27,69.87,71.67,68.33,68.87,246303
2009-04-28,69.93,70.17,63.67,64.58,181344
2009-04-29,65.67,67.67,63.42,65.98,259368
2009-05-04,67.98,69.6,66.67,66.95,284349
2009-05-05,67.97,73.63,67.0,72.03,908064
2009-05-06,73.5,78.77,72.17,73.55,2259789
2009-05-07,76.23,76.23,73.7,74.88,453744
2009-05-08,75.67,78.67,73.9,76.72,1070121
2009-05-11,78.0,78.0,73.35,74.55,451596
2009-05-12,73.3,75.0,72.03,74.12,346392
2009-05-13,74.23,76.27,71.67,72.68,328002
2009-05-14,71.67,78.0,69.33,75.38,1931478
2009-05-15,76.67,77.33,73.02,74.05,447867
2009-05-18,88.8,88.87,88.8,88.83,46734
2009-05-19,86.67,96.33,75.0,86.38,1509765
2009-05-20,85.0,94.13,85.0,92.13,1379817
2009-05-21,92.67,103.63,92.2,96.62,1494576
2009-05-22,96.67,102.27,96.67,99.28,756777
2009-05-25,101.57,114.0,100.03,111.98,1544406
2009-05-26,114.47,123.18,113.33,117.33,2111043
