date,open,high,low,close,volume
2009-03-05,150.0,151.0,142.5,144.0,9522031
2009-03-06,143.33,149.08,140.83,148.04,7082936
2009-03-09,145.83,148.25,145.08,147.21,3507086
2009-03-12,149.96,150.33,142.62,145.04,7178695
2009-03-13,146.63,147.42,140.88,141.88,15509977
2009-03-16,142.5,143.75,139.38,142.62,9385168
2009-03-17,143.67,146.25,142.5,144.88,8962263
2009-03-18,145.0,147.46,145.0,145.92,5949270
2009-03-19,146.04,149.58,145.0,148.83,4064943
2009-03-20,149.17,149.17,146.37,147.96,4128002
2009-03-23,148.46,153.75,148.46,153.08,4129233
2009-03-24,153.33,155.75,148.92,151.0,6809151
2009-03-25,150.92,150.92,146.17,147.5,9112290
2009-03-26,149.5,154.08,147.25,151.08,11525290
2009-03-27,151.54,153.25,148.87,151.75,5793436
2009-03-30,139.58,154.58,139.58,152.92,6263758
2009-03-31,152.92,155.0,147.96,149.88,7610965
2009-04-01,150.42,150.42,146.71,148.75,5980836
2009-04-02,150.08,154.79,150.08,153.13,9032008
2009-04-06,155.0,157.42,152.58,153.83,8621446
2009-04-08,152.62,166.96,150.42,164.08,18207908
2009-04-09,166.75,169.17,160.08,161.83,10944490
2009-04-13,164.17,164.17,157.5,160.17,7091571
2009-04-15,161.08,166.21,151.79,164.75,9423838
2009-04-16,167.58,169.08,160.88,163.08,11053453
2009-04-17,163.5,171.5,158.83,161.25,19394778
2009-04-20,161.75,162.5,154.33,155.58,11897360
2009-04-21,156.42,159.08,152.75,155.96,6283303
2009-04-22,155.08,157.5,153.38,156.08,7231062
2009-04-23,156.58,160.63,155.42,159.92,3670026
2009-04-24,159.21,161.0,156.92,159.25,3344032
2009-04-27,158.33,159.17,155.96,156.88,5826445
2009-04-28,156.88,157.83,152.5,154.5,7582641
2009-04-29,155.0,159.92,154.21,158.33,8131816
2009-05-04,160.0,165.0,160.0,161.25,5524665
2009-05-05,162.5,162.5,158.33,159.17,5191862
2009-05-06,159.96,163.67,157.62,161.79,7203136
2009-05-07,163.33,163.67,158.67,160.0,4674459
2009-05-08,160.08,162.17,157.58,158.25,5844128
2009-05-11,159.96,159.96,154.71,156.71,7533442
2009-05-12,157.5,159.96,155.96,159.38,4087863
2009-05-13,160.83,161.5,156.25,157.42,4723279
2009-05-14,156.58,159.5,155.83,157.38,3897104
2009-05-15,158.29,159.58,155.04,156.29,11464730
2009-05-18,163.33,187.5,163.33,172.17,145042
2009-05-19,175.83,177.33,167.5,171.58,20912840
2009-05-20,170.83,175.0,169.25,173.79,12590577
2009-05-21,173.83,185.83,171.83,176.79,14206224
2009-05-22,177.5,184.75,176.08,180.5,11134016
2009-05-25,180.0,182.42,175.83,177.0,5643518
2009-05-26,177.5,177.71,165.83,168.0,6970219
2009-05-27,170.67,172.42,164.42,168.38,11333730
2009-05-28,170.67,176.42,168.33,173.17,16407470
2009-05-29,175.08,180.71,172.71,179.5,16723726
2009-06-01,182.33,192.92,180.92,191.13,15697688
2009-06-02,191.75,194.17,183.5,186.46,6443054
2009-06-03,188.08,190.83,184.17,185.21,6158199
2009-06-04,184.5,190.75,183.75,185.38,9808494
2009-06-05,187.5,187.5,182.08,183.0,10339766
2009-06-08,183.75,185.75,176.75,178.63,6775702
2009-06-09,177.25,178.92,173.67,177.5,10903051
2009-06-10,179.17,186.21,178.38,182.79,31565504
2009-06-11,184.17,190.58,182.5,188.08,16145173
2009-06-12,188.0,192.54,181.92,184.58,9953972
2009-06-15,186.92,193.25,180.63,184.33,14565337
2009-06-16,184.04,188.75,181.96,187.62,6013501
2009-06-17,187.58,187.92,176.08,178.08,9787346
2009-06-18,179.17,179.92,167.5,168.21,21584282
2009-06-19,170.75,170.75,160.83,165.0,17799948
2009-06-22,166.08,170.79,158.5,159.21,15755310
2009-06-23,151.67,164.71,151.67,163.42,16396708
2009-06-24,164.33,167.88,160.0,165.38,11846624
2009-06-25,165.42,167.0,159.17,161.71,24594200
2009-06-26,163.75,165.75,160.58,162.46,9230606
2009-06-29,163.33,166.25,162.58,164.42,7417686
2009-06-30,165.83,167.75,161.42,162.54,8221161
2009-07-01,165.58,165.58,160.12,163.21,4835124
2009-07-02,164.17,168.29,163.21,166.79,8563190
2009-07-03,167.5,172.0,165.25,170.33,9101245
2009-07-06,172.5,175.42,159.17,161.0,14183012
2009-07-07,163.29,163.67,158.58,161.08,5430660
2009-07-08,160.83,164.42,157.08,162.25,7562797
2009-07-09,162.58,162.92,160.5,161.79,3314713
2009-07-10,165.0,187.5,159.38,160.92,4530081
2009-07-13,158.38,160.83,158.38,159.88,3612949
2009-07-14,160.0,164.29,159.83,162.88,4998325
2009-07-15,164.17,166.92,163.38,165.83,7620327
2009-07-16,167.92,174.0,166.5,171.13,9578538
2009-07-17,171.67,173.17,169.71,171.04,6833266
2009-07-20,172.75,173.63,170.25,173.21,6109843
2009-07-21,173.87,173.87,168.04,169.0,5202404
2009-07-22,169.17,171.46,167.08,169.58,6954334
2009-07-23,170.63,173.83,170.0,173.33,6327270
2009-07-24,174.92,177.0,171.88,175.54,5800706
2009-07-27,175.88,179.13,175.88,178.75,4954694
2009-07-28,179.17,183.63,178.38,181.63,7893879
2009-07-29,180.83,181.88,175.0,178.5,4309837
2009-07-30,178.75,181.67,176.33,180.96,6351548
2009-07-31,183.0,183.33,178.54,179.67,4783576
2009-08-03,179.25,181.63,178.33,180.25,2733158
2009-08-04,180.83,183.71,178.63,180.08,5258421
2009-08-05,180.08,180.83,178.38,179.46,3274065
2009-08-06,179.96,182.08,174.42,175.5,7561737
2009-08-07,175.0,178.17,171.67,177.0,4256136
2009-08-10,179.21,181.46,173.42,175.42,4092962
2009-08-11,174.92,175.38,171.29,173.87,5107196
2009-08-12,171.71,174.92,170.17,174.08,5474038
2009-08-13,176.71,177.5,174.67,175.96,5540046
2009-08-14,176.63,176.79,169.63,171.71,6014536
2009-08-17,170.92,173.71,167.54,169.63,7879941
2009-08-18,169.33,171.88,168.75,171.08,4243152
2009-08-19,171.92,172.25,167.58,168.04,3940116
2009-08-20,170.04,171.5,169.25,170.12,2888712
2009-08-21,170.12,171.17,168.33,170.71,4277163
2009-08-24,171.71,173.75,170.29,172.29,7975614
2009-08-25,171.25,177.0,169.58,175.58,4381483
2009-08-26,176.67,177.83,174.29,175.42,3435249
2009-08-27,175.33,177.5,174.17,176.25,4363964
2009-08-28,175.79,176.58,172.79,174.83,5054014
2009-08-31,174.0,177.71,173.33,176.96,3429871
2009-09-01,177.08,178.71,172.58,174.71,5442045
2009-09-02,174.17,175.71,172.46,172.54,6823825
2009-09-03,173.38,173.92,169.38,171.33,3568099
2009-09-04,171.54,172.96,170.0,171.92,2908429
2009-09-07,173.33,173.54,171.92,172.62,2591378
2009-09-08,172.5,175.17,170.83,171.83,6601705
2009-09-09,171.0,172.71,170.0,171.0,2207673
2009-09-10,171.83,172.92,170.67,171.0,2489107
2009-09-11,173.0,173.0,170.67,171.0,4825554
2009-09-14,171.0,171.54,169.67,170.92,3699786
2009-09-15,172.0,175.0,171.5,174.58,5700049
2009-09-16,175.0,176.25,173.46,174.92,4524241
2009-09-17,175.04,175.83,172.83,173.71,3091080
2009-09-18,174.08,174.38,171.37,173.04,3806792
2009-09-22,172.58,175.54,172.5,174.17,4045926
2009-09-23,175.83,175.83,172.58,174.0,2703781
2009-09-24,173.33,178.33,172.83,177.0,6409795
2009-09-25,177.0,179.04,175.92,177.62,3127351
2009-09-29,178.08,179.42,175.54,177.08,2643400
2009-09-30,177.08,178.75,175.21,178.13,3754072
2009-10-01,177.92,178.75,174.17,175.42,4915468
2009-10-05,172.83,174.92,172.5,174.21,2370517
2009-10-06,175.04,175.63,170.92,173.96,3628472
2009-10-07,174.58,175.58,173.67,174.17,2864238
2009-10-08,175.21,177.25,174.71,176.58,5891517
2009-10-09,177.83,178.29,174.42,174.96,1949370
2009-10-12,174.58,178.08,173.92,175.33,3844219
2009-10-14,175.92,179.83,175.17,178.67,4692027
2009-10-15,179.92,183.21,179.0,180.79,4411040
2009-10-16,183.25,185.0,177.88,179.13,3730332
2009-10-17,179.58,181.13,177.08,178.0,586184
2009-10-20,184.75,184.75,179.33,180.0,7874440
2009-10-21,180.58,181.67,178.87,180.17,4226131
2009-10-22,180.0,180.5,175.08,177.38,2064411
2009-10-23,179.0,180.71,177.58,179.04,4281591
2009-10-26,179.58,183.83,177.62,180.79,5597553
2009-10-27,179.29,182.83,179.04,181.25,4290314
2009-10-28,181.54,182.29,177.29,177.96,3431767
2009-10-29,177.5,177.5,171.54,173.46,8458646
2009-10-30,174.54,177.71,173.83,177.0,4257156
2009-11-03,176.54,177.67,169.63,171.21,4723476
2009-11-04,171.67,178.75,168.08,175.96,4394593
2009-11-05,175.92,176.63,172.33,175.25,3509853
2009-11-06,175.83,178.33,173.58,175.46,3094777
2009-11-09,175.0,176.83,174.75,175.92,1580766
2009-11-10,176.67,178.08,175.29,176.46,3753304
2009-11-11,175.67,179.92,175.25,179.29,2497629
2009-11-12,180.0,180.21,177.83,178.96,1927113
2009-11-13,179.13,181.42,178.0,179.13,4087335
2009-11-16,183.42,183.42,178.08,178.92,1830950
2009-11-17,179.88,179.88,177.67,179.29,1769948
2009-11-18,179.29,179.5,177.96,179.17,1262192
2009-11-19,179.83,180.88,176.83,177.96,2930652
2009-11-20,175.42,180.0,175.42,179.25,3410181
2009-11-23,180.25,182.04,178.58,179.88,2045061
2009-11-24,179.33,181.08,177.83,179.75,3790764
2009-11-25,180.42,181.08,178.96,179.33,1816354
2009-11-26,176.83,180.08,174.17,175.71,7724702
2009-11-27,175.0,176.67,171.79,173.42,6880566
2009-11-30,174.5,175.42,173.5,174.83,4317116
2009-12-01,175.83,176.46,174.25,175.38,2563747
2009-12-02,175.5,175.96,173.87,174.21,2313007
2009-12-03,174.25,175.0,173.58,174.33,2486355
2009-12-04,174.17,176.37,173.29,174.88,1889344
2009-12-07,173.58,175.0,171.04,172.42,3912454
2009-12-08,172.42,176.58,171.25,174.83,3285562
2009-12-09,173.46,174.92,172.54,172.79,2992323
2009-12-10,173.08,174.58,172.08,173.33,2437953
2009-12-11,174.17,174.67,173.13,174.25,2451176
2009-12-14,174.75,175.25,173.0,173.33,2452441
2009-12-15,175.0,175.0,172.75,173.63,2192774
2009-12-16,173.83,174.0,172.96,173.29,1921234
2009-12-17,173.0,174.17,172.5,173.08,2735572
2009-12-18,173.33,173.75,171.33,172.75,2019936
2009-12-21,173.33,174.5,171.79,173.75,3296214
2009-12-22,174.79,180.33,173.83,179.0,4743726
2009-12-23,180.75,192.33,180.25,191.5,18189046
2009-12-24,192.75,193.75,187.71,191.63,7210744
2009-12-29,195.42,197.42,192.5,194.04,5377854
2009-12-30,195.33,195.38,191.25,194.13,3223506
2009-12-31,196.04,201.13,194.0,196.37,16574406
2010-01-04,197.83,199.08,192.25,193.21,6309685
2010-01-05,195.17,195.71,190.12,191.08,8199537
2010-01-06,191.92,195.75,189.71,190.17,8325996
2010-01-07,191.5,191.5,187.71,190.21,6505911
2010-01-08,191.5,194.67,191.0,192.58,7441676
2010-01-11,194.25,196.13,193.33,194.13,3774640
2010-01-12,195.0,195.5,190.67,191.17,3794679
2010-01-13,190.08,192.88,189.25,191.17,5045623
2010-01-14,191.67,193.92,191.67,192.5,3604338
2010-01-15,195.42,195.42,192.5,193.54,3700988
2010-01-18,193.54,194.5,192.25,192.71,2488917
2010-01-19,193.54,194.0,189.25,189.75,3848296
2010-01-20,191.75,193.75,190.5,191.17,6302983
2010-01-21,191.67,192.46,185.54,186.25,5615904
2010-01-22,183.58,187.83,183.0,185.25,6955587
2010-01-25,185.83,187.08,183.83,186.5,2694200
2010-01-27,185.83,187.5,179.17,180.42,7334034
2010-01-28,182.0,184.58,176.71,178.38,10990456
2010-01-29,178.71,179.92,175.29,178.58,7045766
2010-02-01,180.83,180.83,175.5,176.08,5982205
2010-02-02,176.88,177.5,171.42,171.67,5804071
2010-02-03,173.33,176.58,171.67,174.88,6115466
2010-02-04,175.67,175.67,172.13,173.08,3554996
2010-02-05,171.67,175.58,169.63,170.25,3797498
2010-02-06,170.25,172.08,170.04,170.92,1059327
2010-02-08,173.33,173.33,167.71,168.67,2837287
2010-02-09,168.67,171.17,168.33,170.0,2134167
2010-02-10,171.13,171.67,166.75,167.08,2144283
2010-02-11,167.5,170.0,167.08,169.38,2019036
2010-02-15,170.0,170.38,167.58,167.96,1199950
2010-02-16,168.25,169.33,167.29,169.04,1219861
2010-02-17,170.42,170.58,167.62,168.17,2331838
2010-02-18,168.17,171.58,167.5,170.92,2694157
2010-02-19,168.33,170.71,165.71,168.17,5307267
2010-02-22,170.75,170.75,167.62,168.54,5054958
2010-02-23,168.33,168.83,167.71,168.04,4251614
2010-02-24,164.17,170.79,164.17,170.33,6411043
2010-02-25,170.75,170.75,166.17,166.75,8163273
2010-02-26,167.25,170.42,167.0,169.21,13010078
2010-03-02,169.5,170.83,168.54,168.96,2642516
2010-03-03,169.0,173.46,168.96,172.75,8025309
2010-03-04,173.33,173.63,171.83,172.38,5607044
2010-03-05,173.25,173.5,171.17,171.63,4150608
2010-03-08,170.88,173.25,169.75,170.96,3869247
2010-03-09,171.17,171.54,168.67,169.17,3819248
2010-03-10,169.83,170.12,166.29,167.0,7782768
2010-03-11,167.25,169.67,166.29,168.96,3207786
2010-03-12,169.58,169.75,166.58,166.75,3699648
2010-03-15,166.17,168.54,166.17,168.04,2860820
2010-03-16,168.21,169.88,168.04,169.21,2052349
2010-03-17,169.58,171.04,169.0,170.08,3515582
2010-03-18,169.58,169.58,167.58,167.88,2088818
2010-03-19,169.13,169.58,167.62,169.0,2356192
2010-03-22,169.17,169.17,167.17,168.17,2433463
2010-03-23,169.58,170.04,167.96,169.63,3197042
2010-03-25,169.63,169.63,165.04,167.21,9410468
2010-03-26,167.67,169.33,167.54,168.79,2260155
2010-03-29,168.79,169.92,167.88,169.33,2700465
2010-03-30,169.21,169.79,168.83,169.17,2511181
2010-03-31,169.17,173.5,168.92,172.71,6598852
2010-04-01,172.71,173.92,171.54,173.08,3647560
2010-04-05,173.33,174.46,172.08,174.17,3352753
2010-04-06,175.08,176.04,172.71,174.88,5329093
2010-04-07,175.0,176.63,174.25,176.21,4207862
2010-04-08,176.63,177.0,174.38,175.33,2665147
