date,open,high,low,close,volume
2009-09-30,146.15,154.25,145.35,152.15,148110084
2009-10-01,146.95,156.5,146.95,155.5,23056903
2009-10-05,153.6,155.45,151.55,152.05,6898737
2009-10-06,153.3,154.3,150.95,152.65,4709674
2009-10-07,153.85,154.75,152.0,152.2,5236617
2009-10-08,152.65,157.3,152.25,156.05,5911293
2009-10-09,156.8,161.35,155.35,159.4,7855624
2009-10-12,157.85,161.35,156.8,159.45,3485224
2009-10-14,159.75,163.7,158.0,158.75,4359153
2009-10-15,159.75,160.65,157.35,157.95,2263422
2009-10-16,158.5,160.4,157.6,158.8,2347579
2009-10-17,165.35,165.35,157.35,158.65,263568
2009-10-20,159.45,160.45,156.25,157.05,1177054
2009-10-21,157.85,159.2,154.25,155.5,2318232
2009-10-22,155.35,157.9,154.4,155.35,2538093
2009-10-23,156.65,157.25,154.85,155.3,1626964
2009-10-26,153.5,156.65,152.65,154.2,1571644
2009-10-27,153.35,153.35,148.55,152.05,3056952
2009-10-28,152.15,152.15,148.15,150.7,1823554
2009-10-29,150.05,151.7,148.7,150.95,489342
2009-10-30,152.65,152.65,148.0,149.4,878248
2009-11-03,146.95,150.35,146.95,149.35,1349764
2009-11-04,150.0,154.55,149.35,153.45,2134092
2009-11-05,150.25,153.85,150.25,153.2,373593
2009-11-06,154.0,155.8,152.85,154.2,2213164
2009-11-09,153.35,155.6,153.35,155.35,704773
2009-11-10,154.25,156.0,152.25,153.05,2145979
2009-11-11,152.95,158.8,152.7,157.5,2439943
2009-11-12,158.65,159.05,156.0,157.7,1076749
2009-11-13,156.65,163.15,155.75,159.25,3300348
2009-11-16,160.0,160.65,157.75,160.05,855844
2009-11-17,160.0,161.2,159.35,160.6,782674
2009-11-18,160.25,162.8,159.85,161.45,1147503
2009-11-19,161.35,162.7,160.15,162.25,623104
2009-11-20,161.9,162.25,160.25,161.75,1641148
2009-11-23,161.35,162.3,160.8,161.3,319377
2009-11-24,164.0,164.0,158.65,160.1,273873
2009-11-25,159.75,168.45,158.65,166.2,5439904
2009-11-26,165.6,166.15,164.8,165.65,1011738
2009-11-27,165.3,167.2,161.6,165.75,1289248
2009-11-30,166.05,171.85,166.0,169.6,1317243
2009-12-01,170.65,179.15,170.0,176.4,2583768
2009-12-02,177.8,183.2,166.7,179.75,2136754
2009-12-03,180.25,181.2,170.8,172.3,2326699
2009-12-04,173.35,174.65,166.9,167.4,1300093
2009-12-07,168.15,170.75,166.8,170.15,575877
2009-12-08,170.0,171.35,168.25,169.1,331993
2009-12-09,168.55,171.35,166.15,166.55,480103
2009-12-10,166.0,167.35,162.95,165.0,965233
2009-12-11,166.4,167.2,164.15,165.55,275268
2009-12-14,166.65,167.45,161.45,165.35,253173
2009-12-15,166.0,166.65,160.0,165.35,1771858
2009-12-16,165.35,167.35,164.05,164.75,145947
2009-12-17,165.85,165.85,164.65,165.15,496249
2009-12-18,164.8,169.2,164.05,166.9,342259
2009-12-21,166.95,167.85,162.95,164.4,249118
2009-12-22,165.35,165.35,162.65,164.05,237409
2009-12-23,164.05,167.35,164.0,165.6,245307
2009-12-24,166.55,167.7,166.0,166.95,156103
2009-12-29,167.2,169.6,166.05,168.5,1184758
2009-12-30,168.55,169.3,164.0,165.5,180363
2009-12-31,168.4,168.65,165.2,165.6,184789
2010-01-04,168.0,168.0,164.65,165.35,313264
2010-01-05,167.95,168.65,164.95,166.75,973488
2010-01-06,167.35,169.05,165.65,166.5,473464
2010-01-07,166.15,167.35,164.15,165.5,271564
2010-01-08,166.5,169.05,164.0,168.4,482524
2010-01-11,168.95,169.95,166.65,167.95,408378
2010-01-12,168.0,168.65,164.65,165.35,270073
2010-01-13,163.5,167.85,163.5,166.1,238602
2010-01-14,166.7,169.35,166.4,167.85,726753
2010-01-15,167.35,169.05,165.35,165.4,274294
2010-01-18,166.65,166.65,163.6,164.5,284173
2010-01-19,165.3,165.65,163.45,163.8,147598
2010-01-20,164.65,166.3,162.25,162.7,223693
