date,open,high,low,close,volume
2009-03-05,110.83,112.33,106.25,108.34,25542292
2009-03-06,107.0,112.8,106.67,112.23,9458021
2009-03-09,111.27,112.5,109.51,111.07,5310701
2009-03-12,113.33,114.89,112.0,113.75,9545213
2009-03-13,113.65,118.32,113.59,117.73,6449753
2009-03-16,117.17,119.67,115.85,119.27,6957695
2009-03-17,119.17,121.13,117.75,119.32,9021821
2009-03-18,119.57,123.01,119.5,120.64,9400037
2009-03-19,121.63,122.63,120.38,121.87,7769393
2009-03-20,121.53,126.75,120.94,125.83,11170505
2009-03-23,125.83,133.33,125.83,132.37,10342697
2009-03-24,124.57,134.95,124.57,129.87,14446271
2009-03-25,129.67,130.79,124.35,127.29,17949300
2009-03-26,127.59,135.83,126.77,134.6,26586256
2009-03-27,140.57,140.57,132.09,134.71,10201463
2009-03-30,134.97,134.97,128.2,130.41,8487359
2009-03-31,124.27,133.0,124.27,130.03,11644223
2009-04-01,130.0,134.99,125.2,134.05,12291941
2009-04-02,135.09,146.97,135.09,145.23,13250561
2009-04-06,145.92,152.4,145.85,147.8,12621155
2009-04-08,145.5,153.75,139.0,150.88,21660316
2009-04-09,153.0,153.0,145.89,147.42,14791415
2009-04-13,148.67,151.62,144.33,149.29,8012225
2009-04-15,147.5,150.5,146.01,149.21,14845859
2009-04-16,149.3,150.82,140.88,141.89,16400765
2009-04-17,142.92,147.7,141.29,144.05,15919715
2009-04-20,145.0,145.77,141.77,144.03,10592759
2009-04-21,143.33,147.92,140.21,143.86,8834213
2009-04-22,144.33,146.49,138.35,139.88,8139599
2009-04-23,144.38,144.59,139.53,142.49,7314485
2009-04-24,142.79,144.5,140.18,142.77,6997613
2009-04-27,135.49,144.12,135.49,141.33,12482465
2009-04-28,141.83,141.83,137.5,138.77,9555341
2009-04-29,140.0,145.0,138.92,144.13,16376063
2009-05-04,149.79,153.53,146.5,148.5,11329625
2009-05-05,150.0,150.0,144.45,147.83,10426709
2009-05-06,148.17,153.33,145.47,147.79,14874185
2009-05-07,149.83,150.82,146.73,148.55,9877073
2009-05-08,148.63,151.81,146.33,147.19,9109565
2009-05-11,145.85,150.63,145.42,146.62,8601431
2009-05-12,146.67,148.79,146.03,147.08,14524661
2009-05-13,147.51,148.33,139.43,142.45,15287447
2009-05-14,140.0,142.33,137.55,138.44,10778087
2009-05-15,139.17,142.16,133.73,135.53,25716532
2009-05-18,148.4,162.63,143.7,157.87,736403
2009-05-19,161.71,176.67,147.5,165.95,33132612
2009-05-20,160.0,174.82,159.17,165.75,18802504
2009-05-21,162.75,183.93,162.75,179.22,25747252
2009-05-22,187.83,187.83,170.23,174.35,23501568
2009-05-25,170.25,176.33,166.87,173.45,10069457
2009-05-26,173.33,176.45,167.27,169.15,12492875
2009-05-27,173.32,186.33,170.83,184.26,19488216
2009-05-28,176.29,191.27,176.29,188.22,25214224
2009-05-29,190.0,203.33,186.05,194.88,31131492
2009-06-01,195.18,200.67,194.17,196.11,10082465
2009-06-02,201.67,203.33,191.51,193.97,11878895
2009-06-03,195.82,195.83,192.09,194.71,7672757
2009-06-04,192.55,196.23,187.5,194.89,9766199
2009-06-05,197.4,198.97,193.33,196.97,8391569
2009-06-08,195.0,198.95,183.33,185.59,9192575
2009-06-09,183.51,189.95,178.33,188.69,10586555
2009-06-10,189.17,197.99,187.76,194.35,11427737
2009-06-11,193.83,196.47,185.33,186.76,7709849
2009-06-12,186.83,189.0,180.1,187.85,10271351
2009-06-15,180.55,194.78,180.55,187.57,12043679
2009-06-16,190.67,190.67,179.25,187.79,6246995
2009-06-17,187.67,188.28,174.55,176.87,10568021
2009-06-18,176.67,179.15,165.93,167.94,16708061
2009-06-19,169.01,170.83,161.77,168.23,20451424
2009-06-22,163.73,169.67,161.85,165.64,20050536
2009-06-23,160.67,173.63,160.67,171.11,24861972
2009-06-24,171.17,176.11,170.25,175.15,15287879
2009-06-25,167.94,176.6,167.18,169.95,33041220
2009-06-26,171.71,175.67,167.92,174.1,11765213
2009-06-29,175.0,181.82,173.17,177.65,8052113
2009-06-30,178.13,181.42,176.78,177.89,8311259
2009-07-01,177.53,181.2,174.1,175.27,7426169
2009-07-02,180.18,193.0,179.57,187.77,50191872
2009-07-03,184.21,190.15,181.81,189.36,20142144
2009-07-06,188.0,189.83,175.83,178.29,16139699
2009-07-07,173.78,179.6,171.67,174.91,12134363
2009-07-08,174.91,174.91,166.17,168.46,8704325
2009-07-09,169.33,169.33,165.03,166.39,7067639
2009-07-10,166.67,167.49,162.79,164.43,7623497
2009-07-13,160.5,167.62,160.5,165.21,6988043
2009-07-14,169.67,169.67,164.27,166.62,6858803
2009-07-15,165.92,173.46,165.92,173.23,8782361
2009-07-16,173.33,175.67,169.17,170.5,12752315
2009-07-17,171.33,174.9,168.9,173.85,12291623
2009-07-20,175.73,177.93,171.05,176.78,9854549
2009-07-21,175.85,177.49,172.5,174.17,10447379
2009-07-22,183.24,185.4,174.5,182.07,17090904
2009-07-23,182.5,186.27,180.83,182.17,11049587
2009-07-24,180.0,191.25,178.83,187.47,15149681
2009-07-27,190.0,193.0,178.68,182.69,11062019
2009-07-28,182.78,186.13,180.33,183.65,10534673
2009-07-29,182.51,189.67,180.79,183.07,16583759
2009-07-30,183.17,187.65,180.33,183.51,19148004
2009-07-31,186.68,196.28,185.33,194.01,16783560
2009-08-03,194.17,197.5,192.05,196.55,9008183
2009-08-04,196.5,198.23,187.09,190.3,8507141
2009-08-05,191.65,199.83,188.86,199.05,13761161
2009-08-06,199.21,201.5,190.69,192.15,10998029
2009-08-07,190.21,196.17,187.67,189.85,10500017
2009-08-10,190.85,195.0,190.09,193.47,10481231
2009-08-11,193.75,195.17,187.99,192.09,11959577
2009-08-12,192.53,192.53,184.68,187.87,10881713
2009-08-13,190.0,195.0,190.0,194.2,9547193
2009-08-14,192.11,205.0,192.11,203.42,27101112
2009-08-17,196.28,202.61,193.13,194.15,9426413
2009-08-18,194.17,199.82,193.74,197.03,8452757
2009-08-19,193.61,199.47,192.0,193.32,7585397
2009-08-20,196.67,199.95,195.0,196.59,6349103
2009-08-21,196.5,199.57,193.5,198.59,5877383
2009-08-24,202.07,202.93,194.77,199.31,8223509
2009-08-25,195.92,198.67,195.09,197.28,6305909
2009-08-26,197.83,197.83,194.83,195.68,8744789
2009-08-27,194.17,198.33,193.67,195.55,10470611
2009-08-28,196.49,197.91,194.65,196.45,7760501
2009-08-31,196.33,200.33,193.67,197.59,7391255
2009-09-01,195.93,199.42,192.67,193.82,7305647
2009-09-02,193.33,196.24,191.85,192.59,6059003
2009-09-03,193.33,194.47,189.17,190.05,5493185
2009-09-04,191.67,197.67,189.75,196.37,8013065
2009-09-07,192.14,199.5,192.14,198.07,5627417
2009-09-08,199.17,199.67,196.83,197.63,9733523
2009-09-09,198.0,199.47,193.45,196.68,7642289
2009-09-10,199.0,199.0,195.01,196.78,10591661
2009-09-11,195.83,197.97,194.68,196.13,4227419
2009-09-14,195.67,195.83,192.35,193.57,4436537
2009-09-15,194.33,195.5,189.37,190.91,9374087
2009-09-16,199.5,199.5,189.17,191.51,8892977
2009-09-17,191.67,195.32,191.67,193.18,7274057
2009-09-18,191.68,195.39,191.68,193.95,10963313
2009-09-22,192.17,195.83,190.93,192.53,9022325
2009-09-23,192.53,195.78,192.53,193.64,6396857
2009-09-24,194.33,194.96,189.18,191.67,21345172
2009-09-25,183.81,193.83,155.71,192.89,5919257
2009-09-29,193.63,199.33,192.57,198.28,7798565
2009-09-30,198.67,202.38,193.88,195.33,15531353
2009-10-01,195.91,198.11,194.7,197.03,9375197
2009-10-05,195.01,196.3,193.01,194.96,4344227
2009-10-06,193.45,198.32,193.45,197.47,6601079
2009-10-07,198.33,200.78,196.33,197.18,4545617
2009-10-08,197.5,204.07,196.73,200.38,10103621
2009-10-09,200.0,204.81,200.0,203.39,8953091
2009-10-12,203.83,209.0,202.93,207.75,9024365
2009-10-14,210.42,212.3,208.4,210.35,5584817
2009-10-15,212.64,212.95,207.77,209.61,2741255
2009-10-16,208.35,211.3,206.03,207.65,2960627
2009-10-17,208.33,209.17,205.0,206.79,701327
2009-10-20,207.0,208.61,201.38,201.79,6951953
2009-10-21,201.83,202.5,195.82,196.47,6259007
2009-10-22,196.67,198.23,194.26,195.31,6566627
2009-10-23,197.0,197.59,194.67,195.97,5984651
2009-10-26,197.49,197.49,193.5,194.45,6497303
2009-10-27,193.33,197.43,192.75,194.09,5820713
2009-10-28,193.92,195.35,188.0,188.97,5293139
2009-10-29,188.33,195.99,188.0,193.92,7411919
2009-10-30,194.13,195.77,187.72,188.63,7565567
2009-11-03,190.82,192.0,184.97,186.43,5010791
2009-11-04,189.5,190.43,184.2,188.9,3638801
2009-11-05,187.01,194.0,184.88,192.14,5323799
2009-11-06,192.14,194.67,190.33,193.05,4812215
2009-11-09,190.67,195.17,190.67,194.47,3180113
2009-11-10,195.33,197.33,187.61,188.95,11239841
2009-11-11,188.95,193.0,187.93,191.74,4596245
2009-11-12,192.83,193.65,190.43,191.33,6229979
2009-11-13,191.83,200.67,189.67,197.35,13084295
2009-11-16,199.64,201.97,196.38,199.93,7458641
2009-11-17,199.99,200.81,193.43,195.51,5213441
2009-11-18,196.67,198.11,194.33,196.64,5616095
2009-11-19,197.4,197.4,193.0,193.95,3944459
2009-11-20,192.17,195.83,192.17,194.79,4840307
2009-11-23,196.83,199.0,194.83,197.74,3197375
2009-11-24,198.33,199.05,194.0,195.55,3696251
2009-11-25,195.5,197.83,195.0,196.67,3796409
2009-11-26,197.0,197.49,194.39,195.69,8156645
2009-11-27,189.35,200.67,186.68,194.19,6146477
2009-11-30,195.39,201.1,195.39,199.96,6747053
2009-12-01,200.67,202.43,198.71,199.63,4433297
2009-12-02,201.17,201.49,196.33,197.49,6027365
2009-12-03,197.83,202.49,197.37,199.99,5418473
2009-12-04,198.33,199.5,195.01,196.51,4503707
2009-12-07,197.17,197.43,194.8,196.51,3642725
2009-12-08,196.17,197.57,195.03,196.63,4071797
2009-12-09,196.67,198.17,195.5,196.65,3079829
2009-12-10,196.33,199.67,195.33,199.24,3300215
2009-12-11,199.2,200.89,196.76,198.27,5447909
2009-12-14,198.67,202.83,198.33,200.51,3939695
2009-12-15,201.47,201.47,198.0,198.97,2588831
2009-12-16,198.97,199.51,196.85,198.17,2450213
2009-12-17,198.33,202.32,196.67,200.11,3492113
2009-12-18,201.0,201.0,196.68,197.55,1731023
2009-12-21,199.28,199.28,195.5,196.32,2443919
2009-12-22,195.91,195.91,192.13,193.51,3786335
2009-12-23,194.28,198.28,193.01,196.49,3519269
2009-12-24,197.17,200.24,196.49,199.57,4212101
2009-12-29,199.67,200.82,195.83,196.93,6547937
2009-12-30,198.14,198.14,195.33,195.73,2315993
