date,open,high,low,close,volume
2009-03-05,2.81,2.95,2.81,2.89,31510
2009-03-06,2.42,2.98,2.42,2.93,73710
2009-03-09,3.27,3.27,2.8,2.82,115960
2009-03-12,2.7,3.29,2.7,2.8,72950
2009-03-13,2.95,2.95,2.77,2.82,90220
2009-03-16,2.74,2.95,2.74,2.88,99650
2009-03-17,2.99,3.0,2.89,2.94,69200
2009-03-18,2.96,3.09,2.92,3.01,109070
2009-03-19,2.96,3.1,2.95,2.95,73480
2009-03-20,2.9,3.44,2.85,3.36,2014470
2009-03-23,3.39,3.6,3.31,3.36,345980
2009-03-24,3.36,3.45,3.25,3.29,204560
2009-03-25,3.04,3.25,3.04,3.23,141180
2009-03-26,3.24,3.32,3.15,3.25,326130
2009-03-27,3.11,3.43,3.1,3.38,5493980
2009-03-30,3.35,3.49,3.17,3.22,158800
2009-03-31,3.2,3.38,3.2,3.32,52560
2009-04-01,3.38,3.75,3.22,3.61,267210
2009-04-02,3.7,4.09,3.7,4.01,626720
2009-04-06,4.2,4.39,4.1,4.3,1050670
2009-04-08,4.22,4.44,4.11,4.39,686480
2009-04-09,4.56,4.6,4.2,4.34,443540
2009-04-13,4.41,4.7,4.12,4.52,886980
2009-04-15,4.58,4.67,4.41,4.55,1616460
2009-04-16,4.7,4.8,4.36,4.41,1082630
2009-04-17,4.6,4.89,4.45,4.51,425590
2009-04-20,4.65,4.78,4.47,4.64,359780
2009-04-21,4.3,4.76,4.23,4.72,483420
2009-04-22,4.72,5.14,4.6,4.65,998800
2009-04-23,4.65,4.88,4.49,4.68,398840
2009-04-24,4.67,4.75,4.55,4.63,166630
2009-04-27,4.6,4.78,4.4,4.42,256890
2009-04-28,4.54,4.7,4.15,4.28,350790
2009-04-29,4.13,4.69,3.95,4.61,1480770
2009-05-04,5.0,5.38,4.85,4.99,1734380
2009-05-05,5.0,5.0,4.72,4.86,382340
2009-05-06,4.87,5.3,4.72,4.78,926970
2009-05-07,4.97,4.97,4.75,4.89,837210
2009-05-08,4.85,5.85,4.8,5.47,3411250
2009-05-11,5.44,6.05,5.44,5.64,1803570
2009-05-12,5.9,5.99,5.7,5.86,1648770
2009-05-13,5.85,6.09,5.62,5.95,912740
2009-05-14,5.53,6.34,5.41,6.1,1237940
2009-05-15,6.03,6.35,5.91,6.01,463970
2009-05-19,6.6,7.22,6.1,7.22,1295130
2009-05-20,7.38,8.66,7.22,8.66,2075520
2009-05-21,8.9,9.53,8.06,8.7,1946120
2009-05-22,8.4,8.6,7.91,8.48,838330
2009-05-25,8.7,9.12,8.48,8.59,2017420
2009-05-26,8.58,8.94,7.8,7.86,659180
2009-05-27,8.24,8.45,8.05,8.16,457620
2009-05-28,8.25,8.4,8.0,8.08,909290
2009-05-29,7.82,8.15,7.68,7.82,1011740
2009-06-01,7.95,8.21,7.92,8.21,84110
2009-06-02,8.24,8.49,7.8,8.07,180890
2009-06-03,7.7,8.25,7.7,8.0,383690
2009-06-04,7.72,8.2,7.72,8.08,1334150
2009-06-05,8.12,8.14,7.7,8.1,2456380
2009-06-08,8.13,8.5,7.76,7.84,1718720
2009-06-09,7.85,8.0,7.5,7.89,1023600
2009-06-10,7.99,8.18,7.62,7.93,400480
2009-06-11,7.9,8.0,7.55,7.72,215100
2009-06-12,7.8,8.05,7.4,7.48,220280
2009-06-15,7.6,7.6,7.13,7.19,119980
2009-06-16,7.25,7.29,6.95,7.22,260080
2009-06-17,7.27,7.49,7.1,7.1,69600
2009-06-18,7.1,7.17,6.74,6.8,84700
2009-06-19,6.91,7.09,6.51,6.87,107310
2009-06-22,6.8,7.1,6.6,6.66,23080
2009-06-23,6.4,6.59,6.36,6.42,35030
2009-06-24,6.45,6.65,6.33,6.62,145890
2009-06-25,6.89,6.89,6.29,6.49,357150
2009-06-26,6.77,6.8,6.22,6.3,111610
2009-06-29,6.2,6.45,6.05,6.1,190940
2009-06-30,6.25,6.29,5.9,6.01,514130
2009-07-01,6.01,6.18,5.95,6.15,57080
2009-07-02,6.02,6.36,5.95,6.25,50290
2009-07-03,6.0,6.34,6.0,6.29,43150
2009-07-06,6.41,6.59,6.0,6.05,115100
2009-07-07,6.25,6.25,5.74,6.0,26680
2009-07-08,5.81,6.05,5.7,5.93,90930
2009-07-09,5.7,6.0,5.65,5.91,59700
2009-07-10,5.85,6.2,5.84,6.2,150620
2009-07-13,6.11,6.12,5.89,5.9,122950
2009-07-14,5.89,6.2,5.86,6.2,47850
2009-07-15,6.4,6.51,6.26,6.51,46130
2009-07-16,6.79,6.83,6.79,6.83,33650
2009-07-17,6.9,7.18,6.8,7.16,155780
2009-07-20,7.22,7.51,7.05,7.43,213180
2009-07-21,7.5,7.65,7.22,7.38,43500
2009-07-22,7.22,7.6,7.22,7.56,79160
2009-07-23,7.51,7.94,7.51,7.94,231660
2009-07-24,8.25,8.34,8.0,8.34,207750
2009-07-27,8.5,8.76,8.5,8.76,183900
2009-07-28,9.2,9.2,9.2,9.2,152240
2009-07-29,9.66,9.66,8.99,9.39,655370
2009-07-30,9.39,9.85,9.1,9.85,1536830
2009-07-31,10.34,10.35,10.32,10.35,133770
2009-08-03,10.8,10.87,10.4,10.87,293960
2009-08-04,11.25,11.25,10.4,10.64,500330
2009-08-05,10.9,10.99,10.23,10.57,255390
2009-08-06,10.8,11.1,10.35,10.9,220650
2009-08-07,10.41,11.44,10.41,11.44,249540
2009-08-10,11.44,12.0,11.4,11.58,273910
2009-08-11,11.01,11.8,11.01,11.44,288580
2009-08-12,10.87,11.85,10.87,11.82,319030
2009-08-13,12.19,12.41,12.02,12.41,196320
2009-08-14,12.0,13.04,12.0,13.04,74090
2009-08-17,13.05,13.69,13.05,13.32,428270
2009-08-18,13.4,13.9,12.66,13.01,297780
2009-08-19,12.43,13.65,12.43,13.26,471040
2009-08-20,13.34,13.91,13.1,13.43,289300
2009-08-21,14.1,14.1,13.9,14.1,374480
2009-08-24,14.0,14.81,14.0,14.81,429180
2009-08-25,14.81,15.55,14.7,14.96,552780
2009-08-26,14.4,15.4,14.22,14.98,870830
2009-08-27,14.9,15.35,14.5,14.68,1211280
2009-08-28,14.7,15.3,14.3,14.46,324940
2009-08-31,14.2,15.0,14.0,14.12,651930
2009-09-01,14.8,14.8,13.9,14.15,803380
2009-09-02,13.76,14.2,13.45,14.1,741000
2009-09-03,13.68,14.45,13.68,14.22,590210
2009-09-04,14.0,14.49,14.0,14.35,550550
2009-09-07,14.2,14.6,14.1,14.2,628500
2009-09-08,13.5,14.4,13.5,14.13,693860
2009-09-09,14.0,14.4,14.0,14.27,656050
2009-09-10,14.2,14.79,14.13,14.56,701480
2009-09-11,14.31,14.77,14.31,14.7,580750
2009-09-14,14.6,15.3,14.35,15.13,315270
2009-09-15,14.5,15.89,14.5,15.89,438140
2009-09-16,15.87,16.68,15.5,16.68,814730
2009-09-17,16.68,16.98,16.05,16.54,217130
2009-09-18,16.02,17.05,16.02,16.96,169820
2009-09-22,16.21,17.81,16.21,17.81,488300
2009-09-23,17.5,18.7,17.5,17.96,238070
2009-09-24,17.61,18.15,17.07,18.0,479830
2009-09-25,17.22,18.1,17.22,17.79,125040
2009-09-29,17.5,18.5,17.5,18.0,224770
2009-09-30,17.6,18.0,17.52,17.98,170930
2009-10-01,17.8,18.88,17.77,18.04,345960
2009-10-05,18.15,18.15,17.3,17.38,326750
2009-10-06,17.2,18.05,16.51,17.72,232640
2009-10-07,16.91,18.55,16.91,18.19,319430
2009-10-08,18.0,18.0,17.28,17.3,215620
2009-10-09,17.2,17.89,16.9,17.2,137190
2009-10-12,16.6,18.0,16.6,17.57,340040
2009-10-14,17.0,17.43,16.71,17.15,66180
2009-10-15,16.5,18.0,16.5,17.22,101070
2009-10-16,16.52,17.43,16.52,17.32,78370
2009-10-17,16.6,17.69,16.6,17.54,34200
2009-10-20,16.7,17.6,16.7,17.43,269500
2009-10-21,16.6,17.5,16.6,17.28,33710
2009-10-22,16.7,17.5,16.7,17.17,83990
2009-10-23,17.1,17.7,17.1,17.36,52160
2009-10-26,16.85,17.86,16.85,17.67,89720
2009-10-27,17.0,17.8,16.8,16.82,67620
2009-10-28,15.98,17.66,15.98,17.36,243280
2009-10-29,16.77,17.44,16.7,16.83,1703840
2009-10-30,16.0,17.4,15.99,16.05,1211480
2009-11-03,15.3,15.7,15.25,15.25,70830
2009-11-04,14.5,15.6,14.49,14.49,82430
2009-11-05,14.4,15.22,13.8,15.22,209380
2009-11-06,15.19,15.98,14.52,15.98,42750
2009-11-09,15.42,16.2,15.42,15.6,24940
2009-11-10,14.9,16.2,14.9,15.92,40950
2009-11-11,15.5,16.48,15.5,15.95,44320
2009-11-12,15.7,16.3,15.7,16.1,53800
2009-11-13,15.7,16.44,15.7,16.1,29920
2009-11-16,16.2,16.49,16.08,16.2,75440
2009-11-17,15.7,16.23,15.52,16.03,15340
2009-11-18,16.03,16.03,15.64,15.82,17910
2009-11-19,15.8,15.81,15.6,15.74,19470
2009-11-20,15.7,15.7,15.1,15.59,54950
2009-11-23,15.61,16.36,15.4,16.36,141750
2009-11-24,17.18,17.18,16.5,17.18,416260
2009-11-25,17.99,17.99,16.53,16.71,210370
2009-11-26,16.54,17.0,16.3,16.54,43900
2009-11-27,16.3,16.7,15.72,16.53,281700
2009-11-30,15.73,16.38,15.73,16.11,71330
2009-12-01,15.51,16.1,15.51,16.07,67330
2009-12-02,16.07,16.07,15.9,15.9,64390
2009-12-03,15.4,16.7,15.4,16.58,207010
2009-12-04,16.55,16.55,15.97,16.2,65710
2009-12-07,15.6,16.03,15.58,15.63,56000
2009-12-08,15.48,15.67,15.48,15.64,72880
2009-12-09,15.65,16.3,15.6,15.83,166390
2009-12-10,15.52,16.0,15.52,15.74,338110
2009-12-11,15.2,16.07,15.2,15.72,44100
2009-12-14,15.0,16.06,15.0,15.39,42890
2009-12-15,15.01,16.0,14.62,14.66,186950
2009-12-16,14.68,15.07,13.95,13.99,661050
2009-12-17,14.01,14.69,13.4,14.56,609730
2009-12-18,14.6,15.07,14.0,14.51,410640
2009-12-21,14.8,14.98,14.5,14.71,33740
2009-12-22,14.4,15.27,14.4,15.2,125550
2009-12-23,14.59,15.7,14.59,15.1,80470
2009-12-24,15.2,15.35,15.05,15.27,37890
2009-12-29,14.59,15.95,14.59,15.7,237460
2009-12-30,15.15,16.3,15.15,16.02,152610
2009-12-31,16.1,16.38,15.81,15.97,229040
2010-01-04,16.0,16.5,16.0,16.13,41710
2010-01-05,15.53,16.94,15.53,16.85,757020
2010-01-06,16.9,17.55,16.18,17.12,1545090
2010-01-07,16.5,17.39,16.5,16.77,517200
2010-01-08,16.61,16.92,16.27,16.38,134260
2010-01-11,16.58,16.59,16.0,16.12,668570
2010-01-12,15.8,16.4,15.8,15.98,459880
2010-01-13,15.21,16.44,15.21,16.2,320480
2010-01-14,16.0,16.5,16.0,16.23,395370
2010-01-15,16.2,17.85,16.2,17.82,3576550
2010-01-18,18.08,19.37,17.3,18.3,5378490
2010-01-19,17.32,18.99,17.32,18.27,621350
2010-01-20,17.72,18.99,17.72,18.01,313420
2010-01-21,17.32,18.75,17.32,17.87,1410020
2010-01-22,17.12,18.98,16.25,18.55,1618100
2010-01-25,18.6,19.3,18.6,18.82,1595210
2010-01-27,17.94,18.83,17.51,17.64,396840
2010-01-28,16.8,18.48,16.8,17.43,220140
2010-01-29,16.36,18.55,16.36,18.42,364640
2010-02-01,18.06,19.94,18.06,19.33,1395380
2010-02-02,19.52,20.0,18.62,18.84,1290340
2010-02-03,18.02,19.3,18.02,18.82,588850
2010-02-04,18.12,19.67,18.12,18.66,1400180
2010-02-05,18.02,18.41,17.6,17.82,569960
2010-02-06,17.21,18.0,17.21,17.91,27850
2010-02-08,17.81,18.6,17.81,18.03,220440
2010-02-09,17.81,18.5,17.81,17.99,190100
2010-02-10,17.51,18.44,17.51,18.09,184710
2010-02-11,17.56,18.84,16.5,18.65,587560
2010-02-15,18.31,19.08,17.92,18.86,343540
2010-02-16,18.51,19.5,18.51,19.03,349330
2010-02-17,18.43,19.33,18.43,19.0,527100
2010-02-18,18.63,19.48,18.63,18.75,81070
2010-02-19,18.23,19.68,18.23,18.8,1537520
2010-02-22,18.23,19.46,18.23,18.79,443310
2010-02-23,18.36,18.97,18.3,18.37,188280
2010-02-24,18.2,18.45,17.7,17.96,97650
2010-02-25,17.5,18.23,17.5,17.91,45680
2010-02-26,17.61,19.1,17.1,18.45,379430
2010-03-02,18.2,19.58,18.2,19.25,691560
2010-03-03,18.56,19.67,18.56,18.95,200540
2010-03-04,18.61,20.69,18.61,20.25,1348630
2010-03-05,20.35,20.7,19.2,19.71,871490
2010-03-08,19.8,20.5,19.64,20.32,743450
2010-03-09,19.82,20.84,19.81,20.04,1072170
2010-03-10,19.7,20.3,19.55,19.73,232770
2010-03-11,19.56,20.1,19.5,19.58,186650
2010-03-12,21.2,21.57,19.3,19.53,5574280
2010-03-15,19.05,19.83,19.05,19.35,710940
2010-03-16,19.02,19.75,19.02,19.41,419680
2010-03-17,19.22,19.67,19.02,19.11,216130
2010-03-18,19.3,19.5,18.91,19.31,292080
2010-03-19,19.03,20.24,19.03,19.49,941520
2010-03-22,19.0,19.8,18.8,19.31,254140
2010-03-23,19.35,19.65,19.1,19.14,235740
2010-03-25,18.8,19.59,18.62,18.87,258990
2010-03-26,18.5,19.44,18.5,18.98,406980
2010-03-29,18.0,19.3,18.0,18.8,255050
2010-03-30,18.2,19.2,18.2,18.59,284760
2010-03-31,18.41,19.82,18.41,19.7,1315600
