date,open,high,low,close,volume
2010-04-06,90.4,111.8,90.4,101.6,59781284
2010-04-07,102.0,102.6,98.2,100.6,15312200
2010-04-08,100.0,108.0,99.6,103.6,33472916
2010-04-09,103.8,105.0,102.1,102.6,6320432
2010-04-12,103.0,103.8,98.9,100.3,3093856
2010-04-13,100.0,102.5,99.2,100.0,3346344
2010-04-15,101.0,102.2,98.9,99.5,2513216
2010-04-16,99.5,101.0,98.8,100.0,1583616
2010-04-19,99.2,100.0,96.2,97.7,1368576
2010-04-20,98.0,99.2,96.2,98.2,728232
2010-04-21,98.5,103.2,98.4,100.7,3643940
2010-04-22,100.0,102.4,99.5,100.3,1500992
2010-04-23,100.4,102.0,98.3,99.1,977504
2010-04-26,100.5,102.8,99.8,100.5,1729736
2010-04-27,100.8,101.0,98.2,98.6,731536
2010-04-28,101.4,102.5,95.6,96.2,485056
2010-04-29,96.8,100.4,96.8,99.2,894640
2010-04-30,99.5,101.5,99.0,99.7,951820
2010-05-03,98.7,100.6,98.7,99.9,883408
2010-05-04,99.8,101.1,98.0,98.3,695748
2010-05-05,97.2,99.6,90.0,99.1,548156
2010-05-06,99.5,99.8,96.1,96.6,400652
2010-05-07,95.8,96.2,93.8,94.0,381824
2010-05-10,96.2,97.2,95.0,96.8,271708
2010-05-11,97.2,97.2,95.2,95.6,218284
2010-05-12,95.5,96.2,94.3,95.0,337728
2010-05-13,95.1,96.8,94.5,95.4,255068
2010-05-14,94.8,96.5,93.8,95.0,241580
2010-05-17,94.2,95.2,93.8,94.6,194264
2010-05-18,93.8,99.4,93.8,96.6,544424
2010-05-19,96.2,97.6,94.2,94.5,417184
2010-05-20,95.0,96.9,94.2,94.5,206124
2010-05-21,93.8,95.9,91.3,95.0,256044
2010-05-24,95.7,96.8,94.5,94.6,155084
2010-05-25,93.3,96.2,91.2,91.7,586148
2010-05-26,92.1,93.7,91.2,92.4,168992
2010-05-27,92.8,93.4,91.9,92.7,205180
2010-05-28,93.2,95.0,93.0,94.8,194448
2010-05-31,94.6,97.2,94.0,96.7,151008
2010-06-01,95.8,98.2,95.0,96.7,230840
2010-06-02,97.0,97.6,94.7,97.1,181156
2010-06-03,97.7,98.4,96.2,97.1,79132
2010-06-04,97.3,98.6,95.9,98.2,178884
2010-06-07,94.5,96.2,94.5,95.4,65216
2010-06-08,95.2,96.8,92.5,95.4,141144
2010-06-09,95.8,96.8,94.5,95.1,77308
2010-06-10,95.6,96.0,94.8,95.1,45220
2010-06-11,95.2,96.0,94.5,95.5,79144
2010-06-14,95.9,96.0,94.6,95.2,68500
2010-06-15,93.2,102.0,93.2,99.9,629700
2010-06-16,100.4,103.0,98.0,102.0,792728
2010-06-17,102.0,104.5,101.8,102.4,848276
2010-06-18,102.2,103.1,98.8,98.9,278660
2010-06-21,99.5,101.0,99.1,99.5,168732
2010-06-22,99.5,100.2,98.0,99.3,106884
2010-06-23,98.0,102.2,97.2,101.2,391600
2010-06-24,101.6,104.4,101.2,103.0,524480
2010-06-25,102.5,103.6,100.0,100.8,134788
2010-06-28,100.9,104.2,100.8,102.3,390188
2010-06-29,102.4,105.9,102.4,103.5,1036756
2010-06-30,103.8,104.3,101.8,103.0,198452
2010-07-01,103.6,108.5,102.5,107.5,2603964
2010-07-02,108.7,122.2,108.0,118.6,14152348
2010-07-05,118.8,121.8,114.7,118.7,7916544
2010-07-06,119.4,120.7,116.5,117.8,2262000
2010-07-07,118.5,120.2,113.8,115.4,1831752
2010-07-08,116.3,118.7,115.9,116.9,842304
2010-07-09,117.5,126.8,116.4,123.1,8089480
2010-07-12,115.2,125.5,115.2,121.0,2682164
2010-07-13,120.9,126.2,120.3,124.4,3475616
2010-07-14,125.2,126.0,118.9,119.9,892040
2010-07-15,120.8,122.1,118.2,120.7,1183124
2010-07-16,121.0,123.4,120.5,121.0,861028
2010-07-19,121.0,122.2,119.5,120.1,316116
2010-07-20,120.8,123.0,120.6,121.1,653776
2010-07-21,122.0,122.4,119.4,120.6,346352
2010-07-22,121.2,125.8,119.5,119.9,2114012
2010-07-23,121.3,121.8,115.8,116.8,487740
2010-07-26,117.5,117.8,110.3,111.3,994524
2010-07-27,111.5,114.2,110.0,112.6,1064616
2010-07-28,113.0,117.7,113.0,115.8,856184
2010-07-29,115.5,116.7,114.0,114.8,304144
2010-07-30,115.0,116.2,112.9,113.6,228908
2010-08-02,114.2,119.4,113.1,116.8,945124
2010-08-03,117.4,118.2,115.2,116.5,402872
2010-08-04,117.0,121.0,116.2,119.0,772128
2010-08-05,120.0,122.9,117.8,120.8,1348176
2010-08-06,120.2,124.5,119.1,119.9,999116
2010-08-09,120.7,122.5,119.3,121.3,367136
2010-08-10,121.0,122.1,117.2,118.2,393476
