date,open,high,low,close,volume
2009-03-05,54.56,54.56,52.62,53.0,578850
2009-03-06,52.0,53.08,50.92,52.48,1101695
2009-03-09,51.3,52.64,51.3,51.66,209415
2009-03-12,52.78,53.64,51.6,53.04,857517
2009-03-13,53.96,55.8,53.2,54.9,2415987
2009-03-16,55.76,57.98,55.6,57.14,1684595
2009-03-17,56.2,57.92,55.2,55.6,865317
2009-03-18,56.0,56.24,54.4,54.98,1654167
2009-03-19,55.52,55.8,52.24,52.56,1435302
2009-03-20,52.8,52.8,49.86,51.38,2193975
2009-03-23,51.96,53.6,51.82,53.04,1314767
2009-03-24,53.6,55.56,51.96,52.52,1301365
2009-03-25,53.2,53.2,51.34,52.66,877622
2009-03-26,53.44,53.96,52.6,52.82,561065
2009-03-27,53.2,55.76,52.86,54.96,3239440
2009-03-30,54.8,57.66,53.24,55.38,1952607
2009-03-31,55.42,58.48,55.42,57.84,1753107
2009-04-01,58.34,58.34,56.48,56.92,868350
2009-04-02,58.0,58.98,56.92,57.78,729630
2009-04-06,58.3,59.48,55.28,56.12,980532
2009-04-08,54.64,57.16,53.84,56.3,2872367
2009-04-09,56.8,57.92,54.94,55.32,1693805
2009-04-13,56.04,56.04,53.42,53.8,2967792
2009-04-15,53.6,56.18,53.0,55.82,5555860
2009-04-16,56.4,63.6,55.6,57.82,19099752
2009-04-17,59.76,64.8,58.68,61.7,20268456
2009-04-20,63.52,66.0,63.2,64.68,9425290
2009-04-21,63.2,63.96,60.24,62.58,5143672
2009-04-22,63.16,64.84,56.5,61.06,3155000
2009-04-23,61.56,63.36,58.2,62.78,3721900
2009-04-24,63.04,64.34,62.26,63.16,1918190
2009-04-27,61.4,63.2,60.22,60.6,1277135
2009-04-28,60.8,62.5,59.6,60.02,4252825
2009-04-29,60.8,62.6,58.52,61.54,4808597
2009-05-04,63.6,67.9,62.22,66.82,3343205
2009-05-05,67.96,68.96,65.6,67.8,2043417
2009-05-06,67.64,68.8,64.6,65.68,1595887
2009-05-07,64.24,67.2,64.24,66.02,547500
2009-05-08,65.0,68.0,64.0,65.14,639412
2009-05-11,65.52,66.8,62.0,62.56,1218792
2009-05-12,62.0,65.56,60.76,64.44,2481492
2009-05-13,64.0,67.44,63.32,66.18,1763975
2009-05-14,64.8,70.0,63.44,69.48,3404450
2009-05-15,70.0,71.62,68.84,69.7,2924987
2009-05-18,75.6,79.98,75.6,78.84,7762
2009-05-19,82.0,90.76,72.82,79.88,10141227
2009-05-20,79.46,86.92,78.02,85.9,6584772
2009-05-21,86.0,86.96,80.8,81.24,4376782
2009-05-22,81.2,83.16,77.6,80.08,1386027
2009-05-25,80.98,82.8,79.6,81.96,1276530
2009-05-26,82.0,83.16,73.44,75.2,2776022
2009-05-27,79.6,80.3,76.04,77.04,2036240
2009-05-28,77.6,80.4,76.0,78.9,2541402
2009-05-29,79.8,80.2,76.42,77.46,2788130
2009-06-01,79.4,82.36,78.2,81.22,5373630
2009-06-02,82.26,83.16,77.74,79.12,3434985
2009-06-03,80.68,82.04,78.04,80.8,5367380
2009-06-04,80.24,84.2,79.92,83.28,6184830
2009-06-05,84.8,85.6,81.42,82.08,6363975
2009-06-08,81.6,82.96,74.52,76.1,2126775
2009-06-09,74.48,79.8,72.82,78.9,2109695
2009-06-10,79.28,81.6,78.04,79.16,2156815
2009-06-11,79.6,81.56,78.4,80.5,2028110
2009-06-12,80.8,82.1,78.7,79.3,1386655
2009-06-15,79.2,79.28,75.4,77.78,2306707
2009-06-16,76.24,83.08,75.66,82.48,4433432
2009-06-17,84.0,84.4,77.24,78.36,3449462
2009-06-18,79.24,80.76,75.0,75.78,2009530
2009-06-19,76.8,77.88,72.02,74.92,2842737
2009-06-22,76.38,77.98,73.2,74.0,904535
2009-06-23,73.1,76.4,71.7,75.38,2612240
2009-06-24,76.0,77.56,74.86,76.58,2109462
2009-06-25,77.2,80.36,76.68,77.52,5376635
2009-06-26,78.76,81.52,78.2,80.52,3588822
2009-06-29,81.0,82.68,80.04,81.44,2013620
2009-06-30,82.2,82.78,77.2,77.62,3416542
2009-07-01,78.04,78.56,76.16,78.0,1043390
2009-07-02,78.72,84.36,77.46,83.12,5381195
2009-07-03,80.02,85.56,80.02,83.48,3328072
2009-07-06,84.24,86.0,76.54,77.88,2724577
2009-07-07,79.2,79.5,76.1,78.22,711680
2009-07-08,76.24,77.2,74.5,75.48,673275
2009-07-09,75.84,77.88,74.0,76.98,1087642
2009-07-10,77.2,79.88,76.02,78.72,2673695
2009-07-13,76.5,80.0,75.7,77.96,1033907
2009-07-14,79.92,86.54,78.8,85.62,3866230
2009-07-15,86.8,90.9,84.1,90.1,9212145
2009-07-16,91.96,92.0,85.82,86.36,4224267
2009-07-17,87.6,89.8,86.5,87.46,2794165
2009-07-20,88.0,89.6,86.8,88.08,1140210
2009-07-21,88.4,91.56,86.6,90.26,3375995
2009-07-22,90.48,91.6,86.0,86.74,2201790
