date,open,high,low,close,volume
2009-03-05,718.1,725.0,685.0,691.5,67039
2009-03-06,705.0,705.0,685.15,687.15,337
2009-03-09,686.0,690.0,665.0,681.3,2599
2009-03-12,690.1,700.0,686.0,698.6,602
2009-03-13,700.0,730.0,695.0,722.55,6295
2009-03-16,710.0,728.5,701.1,728.5,891
2009-03-17,708.1,736.95,708.1,730.0,794
2009-03-18,734.0,750.0,734.0,740.15,2324
2009-03-19,741.0,748.9,730.0,740.85,1184
2009-03-20,740.0,740.0,740.0,740.0,154
2009-03-23,748.4,762.0,731.55,757.0,667
2009-03-24,740.0,763.95,740.0,740.85,390
2009-03-25,740.0,745.0,740.0,740.05,1431
2009-03-26,742.0,755.0,740.0,750.3,973
2009-03-27,742.0,770.0,733.0,740.45,684
2009-03-30,751.0,774.0,740.0,764.25,3374
2009-03-31,751.35,760.0,750.0,750.85,712
2009-04-01,759.35,760.0,742.05,744.95,664
2009-04-02,759.35,780.0,743.0,774.95,3084
2009-04-06,775.0,794.0,752.0,787.6,2593
2009-04-08,750.0,799.45,750.0,791.95,3287
2009-04-09,795.0,804.0,795.0,799.65,1581
2009-04-13,800.0,800.0,781.5,785.65,3231
2009-04-15,780.0,810.0,780.0,807.95,2502
2009-04-16,809.75,819.0,800.0,805.5,2107
2009-04-17,812.5,815.0,800.1,804.2,337
2009-04-20,804.35,819.95,795.0,810.65,2298
2009-04-21,811.0,812.0,801.0,801.9,524
2009-04-22,800.0,815.6,780.0,780.45,389
2009-04-23,800.0,813.0,773.1,775.4,12871
2009-04-24,801.0,824.95,776.35,798.0,707
2009-04-27,802.0,816.6,798.0,799.35,11899
2009-04-28,811.0,811.0,786.1,795.8,1652
2009-04-29,802.0,816.0,800.0,801.3,1847
2009-05-04,815.0,815.0,799.0,802.65,1638
2009-05-05,796.15,812.95,795.0,795.25,301
2009-05-06,795.05,807.0,785.0,805.7,1891
2009-05-07,809.35,818.0,809.35,816.55,1972
2009-05-08,810.0,821.8,807.5,821.0,862
2009-05-11,814.95,824.0,805.0,816.25,357
2009-05-12,821.0,822.35,815.05,817.85,900
2009-05-13,801.35,830.0,791.25,827.65,1706
2009-05-14,818.0,823.0,804.1,823.0,1122
2009-05-15,815.0,825.0,815.0,821.1,168
2009-05-19,850.0,856.0,822.0,840.0,3704
2009-05-20,830.0,835.0,815.0,821.4,705
2009-05-21,825.0,849.9,819.0,838.9,2266
2009-05-22,829.0,846.0,817.0,821.5,573
2009-05-25,822.0,838.0,820.1,838.0,253
2009-05-26,838.0,849.0,835.0,835.25,4123
2009-05-27,834.0,849.0,834.0,848.2,814
2009-05-28,850.0,860.0,838.25,855.55,1637
2009-05-29,850.0,864.0,850.0,857.5,585
2009-06-01,836.0,868.95,836.0,864.7,1213
2009-06-02,850.0,870.0,850.0,859.6,1934
2009-06-03,865.0,875.05,865.0,871.9,1227
2009-06-04,870.0,894.95,870.0,875.0,3383
2009-06-05,870.0,893.0,870.0,890.9,914
2009-06-08,893.0,895.0,855.05,872.55,29462
2009-06-09,874.0,885.0,874.0,883.45,750
2009-06-10,886.5,890.0,870.0,881.75,981
2009-06-11,889.0,910.0,889.0,905.05,4120
2009-06-12,909.0,917.0,905.0,911.4,932
2009-06-15,913.0,917.9,902.0,903.35,1114
2009-06-16,900.0,915.7,900.0,906.65,514
2009-06-17,910.0,910.0,890.0,897.5,1979
2009-06-18,900.0,905.0,877.0,896.5,789
2009-06-19,881.0,895.0,880.0,886.6,805
2009-06-22,890.0,894.0,880.0,884.85,1188
2009-06-23,880.0,890.0,880.0,890.0,463
2009-06-24,880.1,924.0,880.0,915.85,1583
2009-06-25,900.0,925.0,883.35,890.35,357
2009-06-26,893.35,924.5,890.1,923.8,1679
2009-06-29,920.0,924.85,910.05,920.0,369
2009-06-30,915.0,915.0,890.0,896.15,405
2009-07-01,904.35,930.0,890.05,914.1,783
2009-07-02,920.0,920.1,905.0,908.55,1687
2009-07-03,905.0,917.0,901.0,910.5,132
2009-07-06,910.0,920.0,905.0,905.0,913
2009-07-07,915.0,950.0,915.0,937.9,2451
2009-07-08,930.0,948.0,910.05,930.0,479
2009-07-09,935.0,945.0,925.05,932.0,361
2009-07-10,944.35,950.0,930.0,931.6,382
2009-07-13,930.0,950.0,900.0,903.45,1145
2009-07-14,900.0,932.0,900.0,927.55,454
2009-07-15,930.0,948.0,925.0,945.05,1051
2009-07-16,949.0,960.0,940.0,958.7,1778
2009-07-17,965.0,970.0,962.5,966.5,467
2009-07-20,935.0,995.0,935.0,986.05,4311
2009-07-21,977.0,987.35,962.55,971.9,1409
2009-07-22,982.0,997.0,970.05,989.8,2213
2009-07-23,1000.0,1000.0,960.0,969.05,224
2009-07-24,970.05,994.6,970.0,972.35,302
2009-07-27,971.0,990.0,970.3,989.0,589
2009-07-28,989.0,1019.0,980.0,988.75,2680
2009-07-29,1010.0,1010.0,972.35,1004.25,2652
2009-07-30,1010.0,1010.0,981.0,991.35,432
2009-07-31,990.0,1029.0,990.0,1023.9,5355
