date,open,high,low,close,volume
2009-03-05,24.0,25.1,24.0,24.5,15508
2009-03-06,23.8,26.8,22.1,26.0,73398
2009-03-09,25.2,27.1,24.6,25.9,73526
2009-03-12,25.3,26.6,24.0,25.5,3854
2009-03-13,26.0,26.2,24.2,25.5,8596
2009-03-16,25.5,27.5,24.5,26.8,35344
2009-03-17,25.5,28.5,25.5,27.6,103714
2009-03-18,27.8,29.0,26.6,27.9,97952
2009-03-19,28.0,28.7,23.8,28.2,51880
2009-03-20,28.2,28.8,27.0,28.2,80946
2009-03-23,27.0,28.7,27.0,28.3,107954
2009-03-24,27.2,29.0,27.2,28.6,150942
2009-03-25,27.6,29.4,27.6,29.0,128120
2009-03-26,29.1,34.5,28.8,31.5,3219162
2009-03-27,33.0,36.8,29.8,33.1,201504
2009-03-30,31.4,35.1,30.8,34.5,145912
2009-03-31,37.0,38.6,31.5,33.9,172996
2009-04-01,36.0,37.2,34.0,36.6,35132
2009-04-02,37.0,40.0,35.7,39.6,77518
2009-04-06,41.0,43.0,36.5,42.2,80214
2009-04-08,41.9,45.2,40.0,43.0,96596
2009-04-09,44.2,47.2,43.0,45.1,213520
2009-04-13,44.4,48.9,44.4,48.5,120064
2009-04-15,47.8,49.0,46.4,47.6,50032
2009-04-16,47.5,49.3,42.8,48.0,313532
2009-04-17,48.5,52.5,46.0,49.7,238988
2009-04-20,50.5,54.4,47.6,49.2,150228
2009-04-21,47.8,51.7,47.0,50.6,142612
2009-04-22,50.0,52.0,48.0,51.2,41566
2009-04-23,50.0,52.0,47.6,51.5,67408
2009-04-24,51.8,52.8,49.0,50.6,226862
2009-04-27,49.5,53.5,49.2,51.5,81394
2009-04-28,51.0,52.4,50.1,51.0,126276
2009-04-29,50.5,56.0,50.3,54.7,114898
2009-05-04,53.1,55.0,52.1,54.9,36022
2009-05-05,55.5,59.0,53.0,56.2,76772
2009-05-06,56.0,59.6,53.6,55.2,92580
2009-05-07,55.2,60.4,55.2,59.7,247258
2009-05-08,57.5,62.2,56.5,58.5,11348
2009-05-11,58.4,60.0,57.0,58.0,34258
2009-05-12,59.0,60.5,56.8,58.4,81958
2009-05-13,58.0,60.8,57.0,58.7,129582
2009-05-14,57.5,58.5,56.1,57.2,59628
2009-05-15,57.4,58.5,55.0,56.1,97692
2009-05-18,61.8,61.8,61.8,61.8,450
2009-05-19,63.0,67.6,56.2,62.5,1012800
2009-05-20,63.0,64.0,61.0,62.4,79400
2009-05-21,62.5,68.5,60.0,60.6,101420
2009-05-22,62.4,64.0,58.5,60.6,166344
2009-05-25,60.5,64.5,60.5,62.6,29258
2009-05-26,62.6,68.5,60.0,60.8,30754
2009-05-27,64.0,64.0,57.8,60.2,56144
2009-05-28,59.3,64.0,59.2,63.0,71880
2009-05-29,63.0,69.3,62.1,68.6,933154
2009-06-01,71.0,75.0,66.6,73.5,246106
2009-06-02,74.4,76.5,70.0,71.2,77442
2009-06-03,70.0,76.0,69.1,73.5,143490
2009-06-04,73.5,75.8,72.0,73.3,115446
2009-06-05,74.0,75.4,66.5,67.1,128392
2009-06-08,67.5,68.9,61.5,62.2,114100
2009-06-09,60.8,62.9,58.5,61.3,125410
