date,open,high,low,close,volume
2009-03-05,20.5,20.9,20.4,20.5,10868
2009-03-06,20.5,20.8,20.0,20.6,23272
2009-03-09,20.7,21.0,20.5,20.5,16612
2009-03-12,20.6,21.0,20.3,20.7,3600
2009-03-13,20.8,21.3,20.7,21.2,22092
2009-03-16,21.2,21.6,20.8,21.2,11780
2009-03-17,21.0,21.7,21.0,21.1,609460
2009-03-18,20.8,21.7,20.8,21.0,26184
2009-03-19,21.0,21.5,20.8,20.9,21216
2009-03-20,21.3,21.3,21.0,21.1,12628
2009-03-23,20.5,21.7,20.5,21.5,33912
2009-03-24,21.5,22.5,21.2,21.3,42676
2009-03-25,22.2,22.2,20.8,20.8,27616
2009-03-26,21.7,21.7,20.4,20.6,67852
2009-03-27,20.8,21.2,20.6,21.0,51980
2009-03-30,21.2,21.5,20.8,21.0,30952
2009-03-31,21.2,21.5,21.0,21.2,13064
2009-04-01,21.0,22.0,20.9,21.6,41100
2009-04-02,22.2,24.0,21.8,22.4,5259224
2009-04-06,23.0,23.4,22.6,22.8,98284
2009-04-08,22.6,23.4,22.1,23.0,43744
2009-04-09,23.7,23.7,22.5,22.6,92468
2009-04-13,22.9,24.2,22.6,23.8,86764
2009-04-15,24.0,24.5,23.5,24.1,105392
2009-04-16,24.7,25.2,23.3,23.5,115588
2009-04-17,23.5,24.2,23.3,23.4,56388
2009-04-20,23.8,24.0,22.4,22.5,66424
2009-04-21,22.0,23.0,21.8,22.6,32176
2009-04-22,23.4,23.4,22.3,22.6,52984
2009-04-23,23.7,23.7,21.6,22.7,23004
2009-04-24,22.7,23.1,22.6,22.8,51636
2009-04-27,22.9,23.2,22.5,22.6,15348
2009-04-28,22.6,24.2,22.2,22.6,211604
2009-04-29,23.4,23.4,22.2,22.4,76908
2009-05-04,22.8,23.1,22.4,22.6,65404
2009-05-05,22.8,23.4,22.6,23.1,65228
2009-05-06,23.2,23.6,22.8,23.0,59884
2009-05-07,23.0,23.9,23.0,23.4,73836
2009-05-08,23.7,24.0,22.8,22.9,74500
2009-05-11,23.0,23.2,22.5,22.8,23328
2009-05-12,22.8,23.2,22.5,23.0,42052
2009-05-13,23.0,23.1,22.8,23.0,23524
2009-05-14,23.5,23.5,22.4,23.3,48520
2009-05-15,23.4,23.7,23.4,23.5,53024
2009-05-19,26.2,26.2,24.0,24.6,144804
2009-05-20,25.0,27.0,25.0,25.6,243612
2009-05-21,26.2,30.1,26.2,28.2,771228
2009-05-22,28.5,31.1,28.5,30.6,765232
2009-05-25,31.2,32.2,29.3,29.8,214232
2009-05-26,30.4,31.9,28.8,30.2,319312
2009-05-27,31.8,33.2,31.2,32.0,1047692
2009-05-28,32.0,32.1,30.5,30.8,223116
2009-05-29,31.5,31.5,30.7,31.0,147160
2009-06-01,31.4,33.2,31.3,33.0,5483980
2009-06-02,34.7,35.0,32.8,32.9,432024
2009-06-03,33.5,34.0,32.0,32.6,187912
2009-06-04,32.5,35.2,31.6,33.5,623092
2009-06-05,33.3,34.5,32.0,32.4,253512
2009-06-08,32.8,33.2,30.2,30.8,148700
2009-06-09,29.5,30.5,28.8,29.5,513640
2009-06-10,30.1,31.2,29.5,29.7,157228
2009-06-11,29.8,30.8,29.5,30.0,177428
2009-06-12,30.0,30.7,29.0,29.3,95604
2009-06-15,29.1,29.5,28.3,28.6,65172
2009-06-16,28.3,29.0,27.8,28.8,62296
2009-06-17,28.5,29.8,28.5,29.0,116276
2009-06-18,29.1,29.5,27.5,28.4,139552
2009-06-19,28.8,29.7,27.8,28.0,81540
2009-06-22,28.8,28.9,27.5,28.2,95372
2009-06-23,28.2,29.0,27.3,28.6,85688
2009-06-24,29.0,29.6,28.6,29.4,73144
2009-06-25,29.3,30.5,28.8,29.1,77320
2009-06-26,30.0,30.0,28.8,29.0,309368
2009-06-29,29.8,29.8,29.1,29.4,37500
2009-06-30,30.0,30.0,28.8,28.8,59468
2009-07-01,28.8,29.2,27.5,28.5,33616
2009-07-02,28.5,29.2,28.0,28.5,35176
2009-07-03,28.2,29.0,28.1,28.5,25416
2009-07-06,28.7,28.9,27.5,27.8,59736
2009-07-07,28.2,28.5,27.4,27.7,42368
2009-07-08,27.2,27.8,25.3,27.4,1076540
2009-07-09,27.0,28.8,26.9,28.4,204952
2009-07-10,28.8,28.8,26.8,27.2,27424
2009-07-13,26.2,27.2,25.6,26.3,45480
2009-07-14,27.2,28.7,26.5,27.8,54332
2009-07-15,28.1,28.4,27.3,28.0,34596
2009-07-16,28.8,28.8,27.4,27.6,61224
2009-07-17,28.6,28.6,27.7,27.9,53360
2009-07-20,28.1,29.2,28.1,28.8,216116
2009-07-21,29.1,29.1,28.3,28.4,38640
2009-07-22,28.5,28.9,28.0,28.2,82748
2009-07-23,28.5,29.0,28.3,28.7,72340
2009-07-24,29.0,30.0,28.8,29.8,128856
2009-07-27,30.0,31.9,30.0,31.6,418436
2009-07-28,32.5,35.0,32.5,34.6,661292
2009-07-29,34.5,34.9,33.1,34.2,208556
2009-07-30,34.8,39.7,34.1,34.3,295336
2009-07-31,34.9,36.6,34.9,35.7,477036
2009-08-03,35.9,37.0,35.8,36.1,175956
2009-08-04,36.5,37.2,35.6,35.7,213432
2009-08-05,35.0,36.7,34.8,34.9,125328
2009-08-06,34.8,35.5,33.9,34.2,126680
2009-08-07,33.5,34.4,32.8,32.9,172484
2009-08-10,34.5,36.7,34.1,34.5,643052
2009-08-11,34.8,35.8,34.0,34.4,222504
2009-08-12,34.2,34.5,33.8,34.0,89596
2009-08-13,34.9,35.4,34.0,35.0,171396
2009-08-14,35.4,35.4,34.1,34.4,126992
2009-08-17,33.8,34.7,33.6,34.0,60308
2009-08-18,34.2,34.4,33.0,33.8,80284
2009-08-19,33.8,34.2,33.2,33.4,62632
2009-08-20,33.6,34.2,33.3,33.5,47540
2009-08-21,33.7,35.8,33.2,35.0,165828
2009-08-24,35.7,35.9,34.8,35.0,137452
2009-08-25,35.0,35.4,34.6,35.0,88684
2009-08-26,35.2,38.0,34.0,36.0,459440
2009-08-27,35.5,38.0,35.5,36.9,510592
2009-08-28,36.8,37.5,35.5,36.2,78268
2009-08-31,36.2,39.4,35.6,38.2,1226816
2009-09-01,38.3,39.4,36.0,36.3,409932
2009-09-02,35.8,38.0,35.8,36.6,316436
2009-09-03,36.6,37.5,36.2,36.4,112816
2009-09-04,36.8,36.9,35.9,36.1,94320
2009-09-07,36.8,37.7,36.3,36.7,149876
2009-09-08,37.0,37.4,35.9,36.2,121452
2009-09-09,36.2,38.7,35.6,37.1,656348
2009-09-10,38.0,38.8,37.5,37.7,573560
2009-09-11,37.7,38.4,37.0,37.5,116500
2009-09-14,38.0,38.0,36.8,37.0,62592
2009-09-15,37.1,37.8,36.8,37.0,75308
2009-09-16,37.5,37.8,36.5,37.2,192308
2009-09-17,36.8,38.8,36.8,37.8,505692
2009-09-18,37.5,38.2,37.0,37.6,107836
2009-09-22,37.9,38.1,37.2,37.4,70820
2009-09-23,38.0,38.0,36.6,36.9,113664
2009-09-24,36.3,37.2,36.1,36.9,61348
2009-09-25,36.8,37.5,36.8,36.9,51632
2009-09-29,37.7,37.7,36.4,36.6,71160
2009-09-30,36.5,37.0,36.4,36.5,77144
2009-10-01,36.5,40.0,36.0,38.6,2007488
2009-10-05,38.2,39.6,37.5,38.0,594740
2009-10-06,38.0,38.6,37.0,37.4,141168
2009-10-07,37.8,38.2,36.8,37.0,122016
2009-10-08,37.5,38.9,37.4,37.6,252132
2009-10-09,38.3,38.3,37.2,37.5,149892
2009-10-12,37.8,38.0,37.4,37.8,84836
2009-10-14,37.8,38.4,37.6,38.0,183244
2009-10-15,38.0,39.4,38.0,38.8,318140
2009-10-16,38.8,39.2,38.6,38.9,156560
2009-10-17,38.1,39.8,38.1,39.1,80560
2009-10-20,39.4,39.5,38.8,39.1,142816
2009-10-21,39.2,40.9,39.2,39.6,657568
2009-10-22,40.5,41.8,40.0,40.5,1193232
2009-10-23,41.6,42.4,41.2,41.6,724128
