date,open,high,low,close,volume
2011-06-16,72.8,74.48,72.5,74.36,10540
2011-06-17,74.4,75.05,73.25,73.6,33280
2011-06-20,70.29,72.0,70.2,71.25,5360
2011-06-21,68.0,73.0,68.0,71.0,310
2011-06-22,74.49,74.49,70.3,70.3,200
2011-06-23,70.0,72.0,68.0,69.63,50
2011-06-24,72.05,72.05,72.05,72.05,50
2011-06-27,73.39,73.39,70.6,72.39,7120
2011-06-28,72.0,72.0,72.0,72.0,200
2011-06-29,70.26,72.0,70.26,70.71,130
2011-06-30,70.25,70.25,70.0,70.2,250
2011-07-04,71.5,71.5,71.5,71.5,3110
2011-07-05,72.78,77.5,72.78,74.88,35640
2011-07-06,77.0,81.0,75.52,79.08,198960
2011-07-07,79.4,80.29,75.81,79.93,113590
2011-07-08,79.0,80.0,77.0,77.82,22350
2011-07-11,79.97,79.97,76.5,76.5,620
2011-07-12,77.5,80.0,77.0,77.33,21690
2011-07-13,76.9,79.96,76.9,79.7,500950
2011-07-14,79.0,79.89,78.11,78.79,1220
2011-07-15,78.1,78.1,78.1,78.1,200
2011-07-18,79.5,80.5,79.4,79.4,29570
2011-07-19,79.4,82.9,79.3,80.74,13210
2011-07-20,85.39,90.5,81.7,88.24,334130
2011-07-21,88.0,91.4,88.0,90.04,80930
2011-07-22,92.29,96.3,89.7,91.53,144790
2011-07-25,93.0,95.9,89.6,93.14,116830
2011-07-26,93.0,94.0,91.5,93.06,12400
2011-07-27,100.0,111.67,100.0,111.67,333230
2011-07-28,117.4,129.0,106.67,110.8,404670
2011-07-29,117.0,117.0,102.55,108.63,102160
2011-08-01,106.7,108.9,100.3,104.38,52220
2011-08-02,103.0,107.8,100.0,100.69,17550
2011-08-03,99.0,102.0,92.66,100.82,16670
2011-08-04,97.5,107.4,97.5,100.64,36580
2011-08-05,99.6,99.6,90.13,96.4,79240
2011-08-08,94.93,97.5,93.5,95.18,25800
2011-08-09,93.5,96.7,92.5,93.8,99550
2011-08-10,95.5,101.89,94.51,99.82,69020
2011-08-11,98.0,104.99,98.0,102.43,1031270
2011-08-12,104.0,109.99,103.6,108.17,1834690
2011-08-16,111.02,111.6,105.0,106.21,53570
2011-08-17,120.0,120.0,104.0,108.51,821030
2011-08-18,108.0,110.96,107.99,108.46,41405
2011-08-19,107.0,109.4,100.58,108.55,83225
2011-08-22,111.0,116.4,109.68,113.12,114745
2011-08-23,113.95,115.97,113.0,114.41,34760
2011-08-24,114.6,122.0,114.6,119.01,363755
2011-08-25,121.2,124.7,120.24,123.93,140755
2011-08-26,124.2,125.79,112.2,115.68,96590
2011-08-29,116.2,117.2,113.4,116.03,28715
2011-08-30,116.2,118.42,114.02,114.66,13165
2011-09-02,117.64,118.4,115.02,116.56,13230
2011-09-05,119.4,121.0,107.33,119.69,27510
2011-09-06,120.19,122.0,118.01,120.35,11055
2011-09-07,120.2,125.7,120.0,123.26,64475
2011-09-08,123.0,124.53,120.99,122.69,16010
2011-09-09,123.6,123.6,119.4,119.99,24000
2011-09-12,118.81,122.4,118.44,120.04,53645
2011-09-13,123.99,123.99,118.0,118.06,4930
2011-09-14,120.99,120.99,115.6,118.06,9020
2011-09-15,119.98,119.98,117.01,117.83,4070
2011-09-16,119.4,121.4,119.1,120.79,12875
2011-09-19,118.23,120.59,118.23,119.44,8575
2011-09-20,121.0,121.0,118.21,120.06,4440
2011-09-21,118.46,121.2,118.42,120.02,2835
2011-09-22,122.4,122.4,111.27,113.86,36905
2011-09-23,110.04,119.58,110.04,116.29,20970
2011-09-26,120.0,120.0,108.99,113.72,37460
2011-09-27,113.2,117.2,112.42,115.94,13205
2011-09-28,115.06,116.37,114.0,114.22,3510
2011-09-29,117.99,117.99,114.3,115.46,1900
2011-09-30,113.2,117.0,113.2,115.95,6265
2011-10-03,115.2,115.6,113.6,114.56,3435
2011-10-04,113.2,114.6,113.0,113.01,4390
2011-10-05,115.93,115.93,113.0,113.52,3645
2011-10-07,117.72,117.8,113.0,113.19,20715
2011-10-10,114.41,115.99,114.4,115.2,3200
2011-10-11,116.0,117.0,115.01,115.16,4745
2011-10-12,115.21,121.6,115.21,120.5,11425
2011-10-13,116.8,125.0,116.8,123.17,62165
2011-10-14,124.0,124.68,122.0,123.98,30475
2011-10-17,125.0,125.6,121.0,121.93,28790
2011-10-18,124.0,124.0,121.0,122.26,3345
2011-10-19,122.4,123.49,121.28,122.8,9865
2011-10-20,122.8,122.8,120.99,121.16,153560
2011-10-21,123.49,123.49,115.08,116.64,25825
2011-10-24,119.99,120.0,118.05,118.28,1600
2011-10-25,123.59,123.59,118.0,119.6,1385
2011-10-26,121.0,122.4,120.0,120.23,3555
2011-10-28,121.01,123.59,115.2,116.06,12275
2011-10-31,119.8,119.8,115.0,115.95,5575
2011-11-01,116.0,118.39,111.46,113.78,17925
2011-11-02,119.69,119.69,110.26,112.2,42255
2011-11-03,117.94,117.94,113.0,115.71,68740
2011-11-04,117.4,119.56,114.62,116.25,87165
2011-11-08,115.6,115.6,106.6,108.56,217810
2011-11-09,108.61,108.65,103.99,104.4,39680
2011-11-11,105.0,106.98,101.98,105.0,41515
2011-11-14,105.8,105.99,104.42,104.99,7995
2011-11-15,105.0,108.8,104.4,105.38,16915
2011-11-16,104.05,105.9,104.0,105.13,21910
2011-11-17,107.19,107.58,98.8,101.72,28400
2011-11-18,101.0,103.33,92.1,96.63,28385
2011-11-21,98.0,100.43,97.2,98.89,198870
2011-11-22,99.0,99.0,96.0,96.43,2730
2011-11-23,98.4,98.4,90.63,91.13,11845
2011-11-24,95.39,95.39,91.02,91.23,4415
2011-11-25,93.99,97.74,91.3,96.3,3185
2011-11-28,96.2,99.02,96.2,99.0,780
2011-11-29,96.09,103.01,96.09,102.82,24040
2011-11-30,100.7,103.4,100.2,103.11,26290
2011-12-01,100.2,108.0,100.2,105.47,85975
2011-12-02,106.0,107.0,105.8,106.02,11075
2011-12-05,106.0,106.2,106.0,106.02,4455
2011-12-07,108.91,109.0,106.4,108.78,58995
2011-12-08,110.72,112.0,106.0,109.68,54615
2011-12-09,110.2,111.0,106.43,110.04,20565
2011-12-12,112.6,112.6,103.98,106.6,24755
2011-12-13,105.0,108.19,103.8,104.6,18925
2011-12-14,104.0,105.4,101.4,102.09,1640
2011-12-15,100.02,100.02,95.6,97.17,36805
2011-12-16,99.0,102.96,90.0,92.33,22935
2011-12-19,91.0,92.96,87.3,92.52,7860
2011-12-20,93.0,101.98,93.0,99.27,339800
2011-12-21,99.27,103.0,99.23,101.92,15915
2011-12-22,103.2,104.8,97.22,97.98,3155
2011-12-23,102.18,102.18,97.3,100.01,242615
2011-12-26,97.0,102.0,94.25,100.04,76405
2011-12-27,100.0,101.74,99.03,100.51,62665
2011-12-28,102.0,103.98,99.56,101.32,39760
2011-12-29,100.0,101.2,97.0,98.32,2155
2011-12-30,100.42,102.01,96.98,101.8,28565
2012-01-02,99.2,99.99,98.54,99.02,85
2012-01-03,101.58,101.6,100.0,101.31,110
2012-01-04,99.0,99.99,98.0,98.13,2465
2012-01-05,99.6,101.0,96.05,100.0,19750
2012-01-06,100.8,101.01,98.05,100.01,2530
2012-01-09,99.0,99.0,96.2,97.42,4115
2012-01-10,99.0,99.0,96.41,97.06,2490
2012-01-11,105.8,105.8,93.6,93.93,11110
2012-01-12,94.0,95.6,94.0,95.0,185
2012-01-13,96.0,96.0,93.6,94.79,5235
2012-01-16,93.4,94.4,91.22,91.99,3430
2012-01-17,90.47,95.6,90.47,95.4,8975
2012-01-18,95.4,97.28,93.0,93.89,3850
2012-01-19,97.78,97.78,94.01,94.46,2490
2012-01-20,96.3,97.79,86.4,88.91,39065
2012-01-23,93.36,94.0,89.61,93.99,8070
2012-01-24,94.0,94.0,89.99,92.0,48540
2012-01-25,91.13,93.0,84.0,86.99,53735
2012-01-27,91.2,91.2,88.0,89.87,6685
2012-01-30,92.0,92.0,88.4,90.76,16375
2012-01-31,92.0,93.75,90.01,91.72,13665
2012-02-01,91.72,91.72,89.2,89.75,1265
2012-02-02,90.2,95.0,89.75,93.58,18745
2012-02-03,92.47,93.98,92.0,92.13,2180
2012-02-06,95.96,108.0,93.0,101.34,69480
