date,open,high,low,close,volume
2019-04-16,633.0,667.8,630.0,654.8,22985292
2019-04-18,656.9,664.9,614.0,643.55,5415019
2019-04-22,643.0,645.8,625.25,628.1,1059760
2019-04-23,628.0,648.0,628.0,634.1,1208860
2019-04-24,636.5,640.0,628.25,637.5,1016453
2019-04-25,639.2,652.0,633.0,639.6,1261972
2019-04-26,642.0,647.4,640.0,644.65,594976
2019-04-30,646.95,646.95,630.15,639.25,519904
2019-05-02,638.9,651.0,631.0,641.25,514478
2019-05-03,642.7,646.0,637.65,641.85,271431
2019-05-06,638.0,649.9,633.0,642.7,425268
2019-05-07,644.95,653.5,643.0,648.6,580548
2019-05-08,646.0,648.0,640.15,646.0,264484
2019-05-09,646.25,647.4,639.35,645.7,301291
2019-05-10,646.05,677.7,645.3,655.15,771913
2019-05-13,660.6,662.0,651.05,654.9,301861
2019-05-14,656.0,659.75,626.3,633.75,1069899
2019-05-15,620.0,625.7,602.0,620.65,1442391
2019-05-16,625.0,625.0,583.3,599.35,918393
2019-05-17,596.15,601.5,587.0,595.7,328115
2019-05-20,610.0,612.65,595.0,604.85,728223
2019-05-21,605.0,609.0,599.0,605.05,252936
2019-05-22,605.05,623.6,601.1,609.75,282577
2019-05-23,614.5,619.65,600.0,601.9,200009
2019-05-24,605.0,609.75,602.35,605.15,150951
2019-05-27,608.75,633.0,606.25,620.2,262413
2019-05-28,625.1,630.0,621.4,625.75,113154
2019-05-29,622.1,629.65,618.0,619.95,69546
2019-05-30,616.15,623.7,612.65,618.9,81235
2019-05-31,620.15,622.75,608.3,610.85,175173
2019-06-03,614.0,614.8,602.45,607.9,150151
2019-06-04,609.9,620.0,606.1,610.6,67372
2019-06-06,610.8,613.95,602.5,604.4,46935
2019-06-07,609.05,609.1,601.05,602.05,30262
2019-06-10,605.0,609.0,597.6,602.5,46966
2019-06-11,602.0,606.9,600.0,600.75,47063
2019-06-12,600.05,602.8,595.15,595.95,46869
2019-06-13,600.05,604.4,590.0,594.45,73943
2019-06-14,592.1,599.9,590.1,596.0,44727
2019-06-17,596.0,596.0,587.0,588.75,41259
2019-06-18,588.6,593.5,586.25,589.15,43498
2019-06-19,590.15,591.45,578.0,585.65,103810
2019-06-20,591.0,594.0,581.1,589.9,39822
2019-06-21,590.0,594.8,588.0,592.35,28836
2019-06-24,590.25,599.0,590.0,596.3,41015
2019-06-25,595.0,604.5,593.05,601.4,50422
2019-06-26,600.05,614.75,600.0,611.85,104768
2019-06-27,611.85,614.4,606.0,613.45,31569
2019-06-28,613.0,624.9,613.0,622.05,68813
2019-07-01,626.4,646.0,626.4,643.35,347594
2019-07-02,640.0,640.0,628.5,635.8,46607
2019-07-03,632.2,654.8,631.6,644.4,90021
2019-07-04,648.1,652.0,642.55,647.2,95235
2019-07-05,650.0,650.0,615.75,620.15,650669
2019-07-08,619.9,619.9,598.2,600.9,162195
2019-07-09,604.0,612.0,602.0,611.4,36209
2019-07-10,610.0,619.3,610.0,613.95,25922
2019-07-11,614.1,625.0,613.95,618.15,25738
2019-07-12,618.0,623.0,616.0,617.1,22282
2019-07-15,615.5,620.75,612.2,615.5,26241
2019-07-16,615.1,624.8,614.0,622.2,43109
2019-07-17,621.5,629.0,620.0,626.8,30986
2019-07-18,626.0,628.75,622.15,624.4,54494
2019-07-19,623.95,626.95,605.0,614.25,91360
2019-07-22,614.25,614.3,596.75,598.1,49550
2019-07-23,602.85,608.6,598.0,603.9,50221
2019-07-24,603.9,607.7,586.1,587.9,33048
2019-07-25,587.9,592.75,580.1,587.9,46613
2019-07-26,589.9,592.5,583.1,588.3,24998
2019-07-29,615.0,646.9,601.7,608.0,239878
2019-07-30,603.0,607.95,565.8,571.2,202328
2019-07-31,569.95,570.05,548.6,560.4,104939
2019-08-01,563.0,575.0,557.0,564.45,58006
2019-08-02,564.0,564.9,554.3,557.05,69809
2019-08-05,557.0,562.0,549.0,551.35,70675
2019-08-06,549.95,572.9,547.1,570.8,42540
2019-08-07,565.0,574.9,561.35,567.2,23408
2019-08-08,569.4,570.5,555.1,564.7,23131
2019-08-09,566.0,585.0,560.1,574.2,48520
2019-08-13,584.85,584.85,562.55,564.8,27197
2019-08-14,563.0,574.0,560.0,570.35,36849
2019-08-16,571.0,574.8,563.2,567.55,14370
2019-08-19,570.0,570.3,560.65,562.4,19742
2019-08-20,560.1,564.1,555.0,556.7,47905
2019-08-21,560.0,560.0,545.0,546.25,31020
2019-08-22,547.0,547.0,525.15,535.75,63750
2019-08-23,532.55,545.45,526.0,540.25,37119
2019-08-26,555.0,569.0,541.0,565.5,72232
2019-08-27,565.5,587.5,565.0,584.75,64615
2019-08-28,580.0,586.0,570.0,571.1,26203
2019-08-29,577.35,595.65,577.35,593.65,116881
2019-08-30,593.7,620.0,586.35,614.75,126311
2019-09-03,610.0,613.0,585.0,592.05,56450
2019-09-04,592.0,606.2,583.0,603.5,70006
2019-09-05,603.5,612.75,595.0,604.35,70012
2019-09-06,603.1,611.85,603.05,607.8,40266
2019-09-09,608.3,624.4,608.3,620.35,83021
2019-09-11,621.0,626.5,610.45,621.4,59967
2019-09-12,621.4,633.75,620.4,623.05,52409
2019-09-13,625.0,637.4,622.5,632.5,108871
2019-09-16,630.1,640.5,625.0,635.7,58835
2019-09-17,637.7,637.7,617.1,631.5,258484
2019-09-18,629.7,645.0,629.7,633.15,72584
2019-09-19,633.0,633.0,616.0,621.0,52021
