date,open,high,low,close,volume
2011-12-09,35.91,35.91,31.27,32.6,4184
2011-12-12,32.75,32.75,29.38,31.57,3400
2011-12-13,29.99,29.99,28.76,29.49,488
2011-12-14,29.62,29.62,28.13,29.62,1824
2011-12-15,28.14,28.14,27.5,28.07,7400
2011-12-16,29.88,29.88,26.67,27.17,1240
2011-12-19,29.62,29.62,24.5,25.47,2640
2011-12-20,25.5,26.25,24.5,25.7,2032
2011-12-21,25.0,26.25,22.64,25.0,1320
2011-12-22,26.24,27.29,23.75,26.0,6104
2011-12-23,27.08,28.63,26.13,26.44,1264
2011-12-26,27.88,28.0,26.38,27.86,608
2011-12-27,27.13,27.5,26.9,27.0,1776
2011-12-28,24.38,24.83,24.38,24.83,184
2011-12-29,24.96,26.88,24.88,25.32,544
2011-12-30,26.46,28.63,25.75,27.22,2464
2012-01-02,27.75,27.75,26.38,26.38,40
2012-01-03,26.58,28.63,26.38,28.63,1600
2012-01-04,27.5,27.5,26.0,27.25,3976
2012-01-05,27.25,27.25,26.38,27.25,2416
2012-01-06,26.25,27.25,26.0,26.37,280
2012-01-07,26.87,27.5,26.86,27.0,1760
2012-01-09,27.46,27.74,26.83,27.11,1336
2012-01-10,27.46,31.67,27.46,28.59,3936
2012-01-11,29.88,30.0,29.38,30.0,1208
2012-01-12,31.24,31.24,29.63,29.63,616
2012-01-13,29.38,30.64,28.88,29.43,920
2012-01-16,30.0,31.25,30.0,30.26,1304
2012-01-17,30.19,30.5,29.5,29.83,1600
2012-01-18,30.0,30.0,30.0,30.0,240
2012-01-19,29.38,29.88,28.14,28.14,1424
2012-01-20,29.88,30.63,29.88,30.0,136
2012-01-23,30.63,33.13,30.0,31.38,1104
2012-01-24,30.38,31.17,30.26,31.12,448
2012-01-25,30.77,32.99,30.77,32.31,4336
2012-01-27,33.75,35.25,32.5,33.75,6096
2012-01-30,33.88,34.94,31.88,32.03,5224
2012-01-31,31.89,32.03,29.19,30.57,4440
2012-02-01,31.66,32.86,30.5,32.46,3432
2012-02-02,32.5,33.76,31.88,33.75,2040
2012-02-03,32.63,33.74,31.88,32.1,2208
