date,open,high,low,close,volume
2009-03-05,27.6,36.8,27.6,34.58,7350
2009-03-06,33.0,36.0,32.4,35.46,7505
2009-03-09,32.63,32.94,29.57,29.58,6060
2009-03-12,30.8,32.0,30.2,31.08,6170
2009-03-13,30.9,32.0,30.51,31.68,4000
2009-03-16,28.52,33.27,28.52,30.01,1565
2009-03-17,27.76,31.77,27.76,30.8,2810
2009-03-18,28.04,32.04,28.04,29.18,6535
2009-03-19,29.7,31.8,29.0,31.61,4015
2009-03-20,28.6,30.84,28.6,29.64,5615
2009-03-23,27.93,31.96,27.93,30.25,11945
2009-03-24,30.2,30.2,29.0,29.28,295
2009-03-25,30.0,30.0,29.4,29.4,70
2009-03-26,27.64,29.8,27.64,28.2,9015
2009-03-27,27.6,29.58,27.47,28.69,95990
2009-03-30,28.04,28.4,28.0,28.24,645
2009-03-31,30.19,33.6,30.19,32.88,1585
2009-04-01,31.2,31.21,31.04,31.18,420
2009-04-02,30.6,30.6,30.25,30.47,780
2009-04-09,31.3,36.0,31.3,34.9,2285
2009-04-13,33.0,37.0,33.0,35.08,2040
2009-04-15,34.0,36.5,33.6,36.4,2800
2009-04-16,35.0,35.0,29.12,30.08,8540
2009-04-17,30.8,31.99,28.82,29.22,1605
2009-04-20,30.0,30.0,29.01,30.0,5380
2009-04-21,29.97,30.0,29.97,30.0,1675
2009-04-22,29.2,29.92,28.81,29.92,1075
2009-04-23,29.0,29.9,27.88,28.2,1480
2009-04-24,29.0,29.8,28.71,28.71,275
2009-04-27,28.51,28.51,28.5,28.5,265
2009-04-28,28.51,29.0,28.0,28.31,260
2009-04-29,27.01,29.0,26.8,27.9,2600
2009-05-04,27.6,29.3,27.6,28.0,3140
2009-05-05,28.2,30.4,28.0,28.31,17165
2009-05-06,28.05,28.05,28.05,28.05,290
2009-05-07,28.95,28.95,27.4,27.85,950
2009-05-08,28.42,29.6,28.42,29.56,1550
2009-05-11,32.36,32.36,28.42,28.66,1090
2009-05-12,27.27,30.7,27.27,29.05,1000
2009-05-13,28.0,28.96,27.66,28.18,1665
2009-05-14,27.48,29.89,27.48,27.97,65
2009-05-15,27.43,27.43,27.21,27.25,915
2009-05-19,26.26,28.98,26.26,28.0,5160
2009-05-20,29.94,31.2,29.01,30.28,3875
2009-05-21,34.38,34.4,30.08,33.0,1365
2009-05-22,31.6,34.0,31.6,31.82,110
2009-05-25,31.8,32.79,31.2,32.79,3185
2009-05-26,36.0,36.0,33.4,34.0,28275
2009-05-27,34.19,34.99,34.19,34.88,665
2009-05-28,37.58,37.58,33.61,35.0,4755
2009-05-29,33.6,34.0,32.81,33.74,2870
2009-06-01,37.4,38.4,32.63,33.05,4965
2009-06-02,34.4,35.0,33.58,33.58,3220
2009-06-03,33.4,36.78,31.0,32.79,23920
2009-06-04,34.0,37.8,32.48,33.68,11965
2009-06-05,34.4,34.4,33.02,33.02,1480
2009-06-08,34.01,37.8,31.26,32.34,57240
