date,open,high,low,close,volume
2009-03-05,52.23,52.23,50.8,51.58,6109770
2009-03-06,50.8,52.26,50.63,52.06,3962742
2009-03-09,52.31,52.31,50.68,51.16,2964226
2009-03-12,52.85,53.13,51.24,52.65,6091613
2009-03-13,53.44,53.72,52.09,53.39,6329766
2009-03-16,53.72,54.34,52.17,53.95,8232476
2009-03-17,54.31,55.01,53.49,54.17,4981206
2009-03-18,48.38,55.32,48.38,53.77,4007850
2009-03-19,51.75,54.42,51.75,54.11,3286397
2009-03-20,53.97,54.76,53.47,54.34,3154546
2009-03-23,53.97,55.69,53.89,55.24,7034397
2009-03-24,55.97,56.33,54.56,55.35,7551878
2009-03-25,54.87,55.69,53.81,54.59,5666797
2009-03-26,56.22,56.22,53.05,54.14,9588413
2009-03-27,54.85,54.85,52.7,53.18,6291706
2009-03-30,54.39,54.39,49.22,53.18,4842258
2009-03-31,55.01,55.01,50.65,53.77,7683952
2009-04-01,56.2,56.2,51.47,51.72,7321542
2009-04-02,52.82,53.44,52.12,52.65,9185218
2009-04-06,52.88,53.63,51.67,52.03,6958028
2009-04-08,51.47,55.51,50.35,54.79,16888848
2009-04-09,55.97,56.76,53.58,53.97,7959990
2009-04-13,54.28,54.85,52.46,53.24,6786406
2009-04-15,52.88,54.98,52.88,54.61,9517192
2009-04-16,55.35,55.57,52.73,53.21,16019181
2009-04-17,54.45,57.15,52.93,54.85,24728268
2009-04-20,56.76,58.45,53.75,57.32,20235836
2009-04-21,57.04,57.52,55.74,56.25,8757533
2009-04-22,57.6,57.6,53.58,54.37,10270550
2009-04-23,54.82,56.73,53.47,56.28,7645125
2009-04-24,57.04,57.15,55.18,56.28,4953362
2009-04-27,56.25,56.25,54.03,54.42,6298944
2009-04-28,55.04,55.64,51.47,51.75,8020829
2009-04-29,52.82,53.16,51.3,52.09,10317409
2009-05-04,53.35,53.95,52.62,52.9,6346689
2009-05-05,53.44,54.56,52.6,53.97,10754069
2009-05-06,54.53,55.46,53.58,54.19,8162874
2009-05-07,54.56,55.07,53.72,54.61,6552317
2009-05-08,54.56,56.81,53.77,54.76,16052282
2009-05-11,54.61,56.22,54.39,54.76,8177990
2009-05-12,55.3,57.18,54.08,56.93,9045016
2009-05-13,57.38,57.63,55.27,55.8,8210664
2009-05-14,56.2,57.1,54.42,55.88,7465674
2009-05-15,55.97,57.32,55.86,56.78,5990390
2009-05-18,64.13,67.5,60.8,65.84,170650
2009-05-19,64.13,69.7,60.19,66.4,19037420
2009-05-20,69.19,73.13,63.0,66.82,10704621
2009-05-21,67.45,69.75,65.56,66.07,11495297
2009-05-22,66.89,69.07,65.53,66.76,8524109
2009-05-25,67.47,67.5,64.8,65.59,5914984
2009-05-26,66.1,66.18,59.29,60.61,11328950
2009-05-27,61.88,64.13,60.61,61.7,9833645
2009-05-28,63.0,64.07,60.27,63.0,18047014
2009-05-29,64.13,65.25,63.31,64.66,12795884
2009-06-01,66.32,67.95,64.3,67.55,13519277
2009-06-02,68.06,69.58,65.36,66.97,10664557
2009-06-03,68.06,71.16,66.38,70.65,19445394
2009-06-04,71.16,71.39,68.45,70.6,11373784
2009-06-05,71.39,72.28,69.1,70.34,13240786
2009-06-08,70.31,71.58,66.74,68.03,8283948
2009-06-09,67.89,68.88,65.44,68.09,6301720
2009-06-10,70.7,70.7,67.84,68.8,5514229
2009-06-11,70.28,70.6,68.18,68.96,8425196
2009-06-12,69.19,69.86,66.43,68.21,8819992
2009-06-15,69.58,69.58,66.66,68.6,6088492
2009-06-16,69.07,69.61,66.52,69.1,5235174
2009-06-17,70.76,70.76,65.86,66.97,8548534
2009-06-18,66.94,67.22,60.58,61.57,15756314
2009-06-19,63.53,63.53,58.61,60.78,11260658
2009-06-22,60.75,61.54,59.06,59.82,11032512
2009-06-23,58.5,61.26,58.08,60.38,9061730
2009-06-24,62.32,62.32,59.77,60.5,12156273
2009-06-25,61.31,62.13,59.37,60.22,22858402
2009-06-26,61.82,62.72,59.65,62.35,16833110
2009-06-29,64.15,64.15,62.16,62.69,16727205
2009-06-30,63.0,63.82,60.64,61.54,10678358
2009-07-01,61.62,62.05,59.06,60.19,9694488
2009-07-02,62.35,62.35,60.04,61.93,11593298
2009-07-03,61.57,63.98,60.33,63.53,14320726
2009-07-06,64.57,66.1,57.66,58.31,16536930
2009-07-07,61.26,61.26,57.94,58.81,6256400
2009-07-08,58.45,58.45,55.51,57.32,9995094
2009-07-09,57.66,58.61,56.36,57.89,5766024
2009-07-10,58.22,59.85,56.86,57.74,4813800
2009-07-13,58.22,59.24,55.83,57.99,6649725
2009-07-14,58.92,61.26,58.31,60.75,6681313
2009-07-15,61.6,62.83,60.86,62.47,5318108
2009-07-16,64.35,64.35,60.75,62.35,6733725
2009-07-17,63.45,63.45,61.93,62.83,4715000
2009-07-20,63.03,64.13,62.32,62.97,3204853
2009-07-21,63.39,63.39,61.03,61.99,3387312
2009-07-22,62.16,63.39,60.52,61.23,4155805
2009-07-23,63.23,64.51,61.36,63.9,7225702
2009-07-24,65.5,65.5,63.08,63.59,3938896
2009-07-27,65.2,65.2,63.28,64.49,5271010
2009-07-28,65.64,65.81,64.18,65.42,5714378
2009-07-29,66.32,66.38,63.45,66.04,8829712
2009-07-30,66.43,67.87,66.2,66.97,17110336
2009-07-31,67.45,68.21,65.7,66.04,5752957
2009-08-03,66.71,67.08,65.7,65.99,3665244
2009-08-04,67.42,67.42,64.97,65.2,3621564
2009-08-05,65.53,65.53,63.56,64.6,4774621
2009-08-06,64.35,65.14,62.83,63.31,7103530
2009-08-07,63.0,64.41,62.52,63.45,3574790
2009-08-10,64.07,64.57,61.73,62.24,2330557
2009-08-11,63.34,63.34,61.46,62.63,2647345
2009-08-12,59.06,62.63,59.06,61.82,3169221
2009-08-13,63.51,63.51,62.21,62.86,3372053
2009-08-14,62.44,64.13,62.44,62.95,5692114
2009-08-17,61.88,62.66,59.57,59.88,7525850
2009-08-18,60.01,61.31,59.06,61.17,3831269
2009-08-19,61.73,61.85,59.48,59.68,2016070
2009-08-20,60.41,60.72,59.91,60.27,1291386
2009-08-21,60.19,60.8,59.09,60.58,2476248
2009-08-24,61.26,61.51,60.58,61.12,3720906
2009-08-25,61.82,62.39,61.17,61.85,5644026
2009-08-26,61.88,62.66,61.03,61.57,4450636
2009-08-27,61.57,62.13,60.41,60.78,7528978
2009-08-28,61.2,61.51,59.85,60.52,4498784
2009-08-31,60.14,60.86,59.74,60.52,5347898
2009-09-01,60.7,61.03,59.45,59.93,4467549
2009-09-02,59.63,60.86,59.35,60.7,3513954
2009-09-03,61.31,61.31,59.35,59.82,5440842
2009-09-04,59.96,60.41,58.92,60.27,3523285
2009-09-07,61.26,61.4,59.96,60.19,4931173
2009-09-08,60.56,61.49,60.5,60.78,4162309
2009-09-09,60.75,60.75,59.06,59.32,8053308
2009-09-10,60.07,61.12,59.71,60.41,7355613
2009-09-11,60.86,61.2,59.99,60.86,4466197
2009-09-14,60.47,60.98,60.19,60.75,2292940
2009-09-15,61.09,61.17,60.07,60.36,6351633
2009-09-16,60.8,61.23,60.01,60.64,7262512
2009-09-17,61.0,61.12,60.22,60.78,4533816
2009-09-18,60.24,60.89,60.24,60.67,3807984
2009-09-22,60.75,61.2,60.58,60.75,3732520
2009-09-23,61.09,62.89,60.92,61.93,10885469
2009-09-24,62.44,63.76,61.82,62.66,10152397
2009-09-25,62.44,63.39,62.16,62.61,5754134
2009-09-29,63.56,63.74,62.16,62.41,3351144
2009-09-30,62.55,63.23,61.65,61.85,5591600
2009-10-01,61.93,62.44,61.51,61.7,4613925
2009-10-05,61.26,61.62,60.83,61.26,3847232
2009-10-06,61.68,61.82,60.33,61.6,2883224
2009-10-07,61.88,62.1,60.89,61.2,3492298
2009-10-08,61.31,61.54,60.52,60.7,6173266
2009-10-09,61.03,61.2,60.22,60.67,4193024
2009-10-12,60.75,61.17,60.56,60.92,1800380
2009-10-14,61.49,63.0,60.94,62.52,6809861
2009-10-15,62.52,64.13,62.52,63.25,7572108
2009-10-16,63.56,63.85,62.75,63.0,3312168
2009-10-17,63.05,63.85,62.72,62.89,850714
2009-10-20,62.72,63.95,62.49,62.92,3209020
