date,open,high,low,close,volume
2010-10-27,190.0,208.8,188.35,193.15,24480608
2010-10-28,195.0,205.5,191.0,199.85,4969930
2010-10-29,200.0,205.7,195.1,199.35,2677924
2010-11-01,199.85,232.4,198.0,216.0,4316610
2010-11-02,216.0,217.95,202.5,203.75,1404204
2010-11-03,205.9,208.4,204.5,205.2,809774
2010-11-04,206.5,215.0,202.1,205.95,667512
2010-11-05,207.7,207.9,205.0,205.85,43468
2010-11-08,207.0,210.0,198.55,202.5,309049
2010-11-09,202.05,205.0,200.05,200.7,120982
2010-11-10,202.0,204.5,200.1,201.05,426148
2010-11-11,201.9,201.9,192.0,194.7,126820
2010-11-12,195.75,200.9,185.0,194.85,174781
2010-11-15,198.8,198.8,191.1,197.1,114163
2010-11-16,197.5,198.0,186.0,187.85,143369
2010-11-18,190.8,190.8,172.55,184.15,141192
2010-11-19,191.9,191.9,175.2,180.05,461578
2010-11-22,180.05,180.9,173.0,174.45,748700
2010-11-23,175.0,182.8,160.55,165.75,113730
2010-11-24,175.0,175.0,158.4,160.45,94414
2010-11-25,158.0,168.9,154.5,162.95,554521
2010-11-26,156.4,164.5,148.05,160.15,248685
2010-11-29,156.8,166.8,156.8,162.4,386322
2010-11-30,166.0,175.35,160.2,170.85,402378
2010-12-01,174.7,177.0,169.0,174.1,281463
2010-12-02,176.0,190.35,175.0,186.75,332472
2010-12-03,188.85,196.0,185.5,191.1,607218
2010-12-06,201.25,201.25,185.05,186.45,299973
2010-12-07,182.0,186.65,175.0,179.5,58659
2010-12-08,183.0,183.0,175.25,176.95,19852
2010-12-09,180.9,182.0,161.0,167.8,22738
2010-12-10,167.0,180.0,151.25,171.0,43403
2010-12-13,174.0,176.0,170.0,171.6,323147
2010-12-14,170.0,180.0,138.1,171.55,378689
2010-12-15,171.0,171.5,142.85,165.25,353421
2010-12-16,164.95,167.0,162.0,163.2,33840
2010-12-20,157.2,172.95,157.2,170.65,71988
2010-12-21,172.0,173.0,165.5,169.2,47512
2010-12-22,170.0,170.0,165.5,166.5,51913
2010-12-23,169.9,171.05,164.5,169.25,34774
2010-12-24,169.25,169.35,165.2,168.2,18859
2010-12-27,170.85,171.0,162.0,163.55,169853
2010-12-28,165.95,165.95,162.75,165.0,121832
2010-12-29,165.0,168.9,164.05,167.5,22198
2010-12-30,168.5,170.8,165.25,169.45,108850
2011-01-03,173.0,173.0,165.0,166.55,36757
2011-01-04,166.05,170.0,160.0,160.95,59174
2011-01-05,161.4,161.4,156.25,158.7,51395
2011-01-06,158.7,161.25,157.2,158.75,115820
2011-01-07,157.15,159.6,150.0,153.3,23046
2011-01-10,153.9,153.9,131.4,147.7,47234
2011-01-11,147.8,149.8,140.2,143.15,29488
2011-01-12,143.15,148.9,141.0,144.0,47631
2011-01-13,143.0,145.0,140.2,141.4,370654
2011-01-14,148.8,148.8,140.2,141.25,33263
2011-01-17,140.2,144.0,135.0,135.35,20990
2011-01-18,136.0,138.95,136.0,136.35,5050
2011-01-19,138.4,140.4,136.6,139.3,1625481
2011-01-20,140.0,146.45,136.55,143.95,81687
2011-01-21,140.5,147.35,140.5,145.35,38260
2011-01-24,142.6,164.0,142.6,157.95,158302
2011-01-25,157.95,157.95,151.1,155.0,108939
2011-01-27,155.0,161.65,150.2,153.6,115111
2011-01-28,159.0,159.0,148.0,155.25,86371
2011-01-31,150.3,155.0,142.5,150.35,72014
2011-02-01,148.3,152.4,142.1,145.95,37871
2011-02-02,145.6,147.35,138.2,139.8,13608
2011-02-03,138.2,140.0,134.0,136.3,30604
2011-02-04,135.15,140.0,128.0,130.5,29643
2011-02-07,127.3,130.5,125.05,126.8,158796
2011-02-08,129.7,133.75,125.3,128.0,143847
2011-02-09,130.0,131.05,115.2,119.7,96134
2011-02-10,128.0,129.5,117.2,125.5,90792
2011-02-11,125.55,130.0,120.5,126.8,43219
2011-02-14,130.65,130.65,125.0,128.65,100755
2011-02-15,131.65,131.65,125.95,129.05,74060
2011-02-16,130.0,130.0,125.2,125.45,6356
2011-02-17,125.2,129.0,120.0,120.7,43052
2011-02-18,122.3,129.7,121.9,127.05,113404
2011-02-21,126.0,131.0,124.15,130.0,43213
2011-02-22,129.0,130.0,125.3,125.7,6462
2011-02-23,124.5,129.8,124.5,126.1,212013
2011-02-24,126.05,127.45,121.0,122.05,6405
2011-02-25,117.45,123.9,115.05,120.15,58591
2011-02-28,119.95,121.0,116.2,117.3,11983
2011-03-01,112.1,122.0,112.1,120.65,35796
2011-03-03,120.0,120.05,113.5,115.6,42321
2011-03-04,118.45,119.7,114.0,115.95,58507
2011-03-07,117.95,119.0,115.35,116.15,11770
2011-03-08,118.85,118.85,112.4,114.2,34179
2011-03-09,116.0,116.0,112.6,113.85,36277
2011-03-10,115.3,117.0,113.15,114.05,265938
2011-03-11,114.3,115.0,111.5,112.65,125332
2011-03-14,112.05,113.85,110.25,111.2,420576
2011-03-15,111.05,111.05,107.2,108.0,190314
2011-03-16,108.05,112.95,107.55,108.5,535735
2011-03-17,105.6,115.9,105.6,111.65,1083652
2011-03-18,114.0,115.0,104.2,105.65,673035
2011-03-21,107.2,109.65,106.15,108.4,110117
2011-03-22,108.0,109.95,106.5,109.0,411808
2011-03-23,110.5,126.75,108.7,120.55,146036
2011-03-24,121.2,144.7,118.8,142.35,443322
2011-03-25,144.0,144.9,132.8,134.75,252921
2011-03-28,138.6,138.6,129.15,130.4,45791
2011-03-29,130.5,130.5,121.55,125.8,193933
2011-03-30,128.15,128.15,124.4,126.25,45164
2011-03-31,127.95,129.0,125.0,125.5,27220
2011-04-01,129.65,134.0,125.25,128.0,170829
2011-04-04,131.0,131.05,126.0,127.6,20751
2011-04-05,131.0,131.0,121.1,123.65,237987
2011-04-06,124.45,125.75,123.9,124.9,429942
2011-04-07,126.0,139.7,125.1,136.65,389573
2011-04-08,137.8,148.0,137.05,143.15,638963
2011-04-11,144.5,154.4,137.0,137.15,273073
2011-04-13,138.0,141.0,135.6,139.55,39723
2011-04-15,138.4,138.95,135.4,136.95,153821
2011-04-18,138.2,140.0,132.1,135.6,51745
2011-04-19,132.0,139.95,132.0,137.75,253954
2011-04-20,138.05,138.05,133.2,136.7,147508
2011-04-21,139.5,141.55,138.0,140.35,289508
2011-04-25,143.4,164.5,141.0,151.25,2225422
2011-04-26,152.05,158.0,151.25,154.6,692064
2011-04-27,154.0,159.0,151.5,157.75,208788
2011-04-28,159.2,159.2,148.1,150.35,186097
2011-04-29,155.05,155.4,145.05,146.55,135873
2011-05-02,148.5,149.9,140.1,144.65,57869
2011-05-03,148.75,148.75,137.15,142.55,96387
2011-05-04,142.05,146.95,140.0,142.45,39718
2011-05-05,145.0,148.5,138.45,140.1,94634
2011-05-06,141.05,143.45,138.0,140.35,50787
2011-05-09,142.95,144.7,140.15,143.4,96434
2011-05-10,142.0,144.95,140.2,142.55,27960
2011-05-11,144.7,147.5,142.1,143.3,34949
2011-05-12,144.9,149.7,144.25,147.45,91543
2011-05-13,149.5,158.5,145.0,152.95,353469
2011-05-16,155.0,155.2,145.8,147.45,39011
2011-05-17,144.1,151.75,142.15,143.45,525482
2011-05-18,148.05,148.05,140.65,142.05,104895
2011-05-19,141.15,144.0,138.15,140.35,24741
2011-05-20,141.15,144.7,140.25,141.05,36103
2011-05-23,140.15,140.15,132.55,134.3,28487
2011-05-24,135.0,141.6,133.5,137.95,56077
2011-05-25,138.0,139.5,134.2,135.65,15197
2011-05-26,136.0,138.9,135.15,136.5,8530
2011-05-27,135.7,144.9,135.65,142.85,22400
2011-05-30,141.65,144.6,138.65,139.85,10519
2011-05-31,144.9,151.7,140.1,149.55,314837
2011-06-01,150.0,154.7,146.2,147.65,383327
2011-06-02,144.05,149.5,144.05,146.35,28287
2011-06-03,149.95,149.95,143.25,144.25,82537
2011-06-06,142.1,144.8,137.8,139.6,24167
2011-06-07,140.0,142.9,139.5,141.05,32882
2011-06-08,140.6,141.0,138.15,138.95,13461
2011-06-09,140.0,144.7,135.25,137.6,27634
2011-06-10,139.2,140.0,137.5,138.45,12407
2011-06-13,136.15,138.5,134.25,135.1,25669
2011-06-14,137.0,139.0,135.0,135.6,37146
2011-06-15,136.05,136.05,132.15,132.9,15098
2011-06-16,135.0,135.0,130.6,133.45,24214
2011-06-17,133.6,134.0,130.55,131.7,18862
2011-06-20,130.7,132.0,118.2,123.15,51228
2011-06-21,124.0,127.0,122.65,123.3,41754
2011-06-22,123.3,128.5,122.2,124.65,18058
2011-06-23,125.15,126.45,121.7,123.3,51584
2011-06-24,123.5,128.45,123.05,123.85,89328
2011-06-27,124.0,128.5,123.2,125.4,180999
2011-06-28,125.1,125.85,123.1,123.55,66516
2011-06-29,125.1,125.75,122.5,123.95,50016
2011-06-30,124.95,126.1,119.95,120.25,472301
