date,open,high,low,close,volume
2009-03-05,10.19,10.7,10.19,10.45,577540
2009-03-06,10.1,10.7,9.8,10.02,244470
2009-03-09,9.56,10.3,9.56,9.8,78680
2009-03-12,10.09,10.35,9.93,10.01,129680
2009-03-13,9.8,10.24,9.8,9.98,43950
2009-03-16,9.98,10.41,9.75,9.85,366070
2009-03-17,9.85,10.06,9.5,9.61,48810
2009-03-18,9.57,9.96,9.5,9.73,186680
2009-03-19,9.95,10.22,9.85,10.13,325130
2009-03-20,10.14,10.3,9.9,10.02,130870
2009-03-23,10.15,10.6,10.03,10.2,289700
2009-03-24,10.46,10.74,10.3,10.5,126920
2009-03-25,10.4,10.69,10.3,10.47,67420
2009-03-26,10.4,11.05,10.23,10.66,280740
2009-03-27,10.66,11.18,10.42,11.04,122400
2009-03-30,10.82,11.26,10.3,10.48,38620
2009-03-31,10.18,11.09,10.18,10.95,58930
2009-04-01,11.0,11.18,10.8,10.85,41990
2009-04-02,11.1,11.68,11.0,11.52,112450
2009-04-06,11.8,12.51,11.73,12.02,236680
2009-04-08,11.74,12.0,11.2,11.98,49890
2009-04-09,12.28,13.99,12.1,12.65,217720
2009-04-13,13.1,14.85,12.78,13.38,628360
2009-04-15,13.95,13.95,12.8,13.24,174700
2009-04-16,14.0,14.4,13.5,14.01,510780
2009-04-17,14.7,15.0,14.2,14.34,377580
2009-04-20,14.31,15.0,14.2,14.44,110500
2009-04-21,13.6,14.5,13.6,14.17,50080
2009-04-22,14.4,14.4,13.32,13.68,82860
2009-04-23,13.5,14.0,12.9,13.1,79630
2009-04-24,13.65,13.65,13.02,13.18,27170
2009-04-27,13.0,14.86,13.0,14.1,572530
2009-04-28,14.2,14.4,12.7,13.59,144830
2009-04-29,13.6,14.48,13.11,13.44,635030
2009-05-04,13.51,14.1,13.51,13.99,188010
2009-05-05,14.19,14.19,14.0,14.02,78360
2009-05-06,14.0,14.4,13.63,13.82,142410
2009-05-07,14.0,14.3,13.7,14.0,40540
2009-05-08,13.9,14.25,13.41,13.81,80540
2009-05-11,16.5,16.5,13.54,14.01,80270
2009-05-12,13.9,14.4,13.72,13.78,28010
2009-05-13,13.8,14.1,13.51,13.6,54670
2009-05-14,13.0,13.69,13.0,13.38,24100
2009-05-15,13.78,14.1,13.52,14.0,154870
2009-05-19,15.0,15.4,13.81,15.01,492260
2009-05-20,14.8,16.8,14.8,16.52,1174020
2009-05-21,16.5,17.2,15.81,16.45,3288790
2009-05-22,17.0,19.75,16.9,19.75,2066990
2009-05-25,20.75,21.73,20.2,21.73,1039960
2009-05-26,22.9,23.9,20.26,22.11,2159500
2009-05-27,23.1,24.2,22.4,23.69,923820
2009-05-28,23.96,24.2,22.31,23.1,334970
2009-05-29,23.35,23.5,22.5,23.08,437060
2009-06-01,24.0,25.4,23.99,25.4,733290
2009-06-02,26.4,27.69,25.6,26.9,383700
2009-06-03,27.8,27.8,24.5,25.63,395100
2009-06-04,25.6,25.6,24.3,24.44,257340
2009-06-05,24.01,25.5,24.01,24.92,209710
2009-06-08,24.99,25.0,23.6,23.94,107590
2009-06-09,24.06,25.0,23.1,24.16,646360
2009-06-10,24.59,25.76,24.42,25.28,766960
2009-06-11,25.95,26.9,25.59,26.56,674080
2009-06-12,26.66,27.27,25.7,27.08,398620
2009-06-15,27.34,27.39,25.2,27.18,287040
2009-06-16,26.6,27.7,26.2,27.36,361950
2009-06-17,27.2,27.2,24.72,25.45,60310
2009-06-18,25.0,25.9,22.91,22.91,61690
2009-06-19,23.48,23.87,22.7,23.25,93160
2009-06-22,23.4,23.7,21.06,23.42,88920
2009-06-23,23.3,23.3,21.62,22.11,117160
2009-06-24,22.01,22.9,21.5,22.56,97080
2009-06-25,23.0,23.98,22.52,23.77,82610
2009-06-26,22.5,24.0,22.06,23.76,89250
2009-06-29,24.0,24.49,23.55,23.85,15860
2009-06-30,24.5,24.5,23.81,24.17,167020
2009-07-01,24.0,24.27,23.7,23.88,139630
2009-07-02,23.8,23.95,22.71,22.91,39540
2009-07-03,23.35,23.38,22.52,22.84,15800
2009-07-06,24.6,24.69,22.0,22.23,33250
2009-07-07,22.1,22.5,21.0,21.88,115830
2009-07-08,21.5,22.15,21.06,21.2,15190
2009-07-09,21.06,23.1,18.88,21.12,313040
2009-07-10,21.5,21.9,20.61,20.85,73230
2009-07-13,20.9,21.1,20.13,20.82,154480
2009-07-14,21.0,21.1,20.31,20.61,51160
2009-07-15,21.5,21.5,20.6,20.78,146240
2009-07-16,20.88,22.5,20.6,21.5,220330
2009-07-17,23.0,23.19,21.51,21.81,126440
2009-07-20,19.5,22.8,19.5,22.13,728110
2009-07-21,21.82,23.82,21.82,22.47,577490
2009-07-22,22.9,23.3,21.01,21.57,192680
2009-07-23,22.29,22.6,21.75,22.01,184120
2009-07-24,22.44,23.09,21.5,21.93,2576880
2009-07-27,22.21,22.21,21.01,21.47,305580
2009-07-28,21.79,22.0,21.1,21.47,151590
2009-07-29,21.3,21.48,20.5,21.0,98860
2009-07-30,21.03,21.31,20.71,21.04,73490
2009-07-31,21.59,21.8,21.01,21.09,107900
2009-08-03,21.1,21.5,21.1,21.28,129050
2009-08-04,21.25,21.49,20.85,20.96,123920
2009-08-05,20.9,21.3,20.9,21.05,56490
2009-08-06,20.82,21.7,20.82,21.31,182190
2009-08-07,21.05,21.78,20.5,21.27,301220
2009-08-10,21.8,21.8,21.26,21.35,137480
2009-08-11,21.5,22.0,21.4,21.7,198360
2009-08-12,21.5,22.9,21.08,22.31,8706520
2009-08-13,22.6,24.1,22.6,23.72,1810760
2009-08-14,23.84,23.88,22.86,23.03,361270
2009-08-17,23.08,24.43,22.34,22.67,1713800
2009-08-18,23.3,23.95,22.7,23.12,801880
2009-08-19,23.49,23.68,22.23,22.7,241760
2009-08-20,23.23,23.23,22.0,22.52,4150520
2009-08-21,22.75,22.98,22.03,22.74,101090
2009-08-24,23.02,23.38,23.0,23.0,158870
2009-08-25,22.98,23.4,22.75,23.09,150570
2009-08-26,23.23,24.2,23.05,23.33,290110
2009-08-27,23.33,23.75,23.07,23.3,116590
2009-08-28,23.22,23.5,22.0,22.65,128540
2009-08-31,22.8,23.33,22.28,22.92,406410
2009-09-01,23.0,23.85,22.91,23.27,304940
2009-09-02,23.0,27.4,23.0,25.74,35603128
2009-09-03,26.34,26.78,25.52,25.68,10525530
2009-09-04,25.89,26.1,24.53,24.9,1539980
2009-09-07,25.2,26.15,25.0,25.4,1151040
2009-09-08,25.68,26.19,23.07,25.5,1419870
2009-09-09,25.5,26.0,24.5,25.4,474480
2009-09-10,25.6,26.2,24.31,24.67,343430
2009-09-11,25.1,25.8,24.63,24.94,654270
2009-09-14,24.9,25.4,23.95,24.19,551370
2009-09-15,24.9,24.99,24.3,24.51,136840
2009-09-16,24.2,24.79,24.16,24.33,120770
2009-09-17,24.35,26.25,24.1,25.06,1249380
2009-09-18,24.48,25.6,24.48,25.05,318880
2009-09-22,25.4,25.54,25.0,25.17,523780
2009-09-23,25.3,25.8,24.24,25.52,501550
2009-09-24,25.1,26.57,25.02,25.77,776920
2009-09-25,25.7,28.24,25.42,27.11,1490210
2009-09-29,27.2,27.5,26.0,26.31,691460
2009-09-30,26.5,27.0,26.0,26.35,161190
2009-10-01,23.5,26.59,23.5,25.45,270010
2009-10-05,25.49,26.7,24.6,24.91,211720
2009-10-06,25.3,25.3,24.05,24.51,212200
2009-10-07,24.63,25.3,24.63,24.95,911460
2009-10-08,23.77,25.5,21.84,24.94,142340
2009-10-09,24.9,25.35,24.2,24.53,82230
2009-10-12,24.99,25.8,24.41,25.3,594830
2009-10-14,25.41,25.41,24.8,24.96,222040
2009-10-15,25.39,25.39,24.52,24.78,191110
2009-10-16,24.74,25.6,24.74,25.0,637540
2009-10-17,26.0,26.2,25.11,25.84,227330
2009-10-20,25.9,27.34,25.9,26.5,1392530
2009-10-21,26.97,27.8,26.74,26.97,2459590
2009-10-22,27.13,27.5,26.5,26.75,770910
2009-10-23,27.01,29.43,27.0,28.17,5207830
2009-10-26,28.3,28.3,26.5,26.75,978210
2009-10-27,26.16,26.89,25.5,26.38,536670
2009-10-28,26.0,27.85,25.7,27.13,748130
2009-10-29,26.8,29.67,26.25,27.56,1477280
2009-10-30,28.2,29.0,27.0,27.91,760930
2009-11-03,27.9,27.9,25.6,25.65,414690
2009-11-04,26.3,26.51,25.55,26.24,253740
2009-11-05,25.75,27.83,25.75,27.56,501340
2009-11-06,27.9,28.2,27.0,27.06,241750
2009-11-09,26.8,27.4,26.3,27.24,136630
2009-11-10,27.8,28.75,27.21,27.88,964220
2009-11-11,27.8,28.4,27.8,27.98,168810
2009-11-12,28.0,28.8,27.56,27.96,407850
2009-11-13,28.0,29.35,28.0,28.4,981180
2009-11-16,29.0,30.2,28.61,29.08,1137040
2009-11-17,29.4,31.07,29.31,30.52,2807540
2009-11-18,30.52,32.47,30.52,31.59,3301600
2009-11-19,31.89,32.25,29.77,30.26,1753000
2009-11-20,24.88,32.35,24.88,31.54,2350350
2009-11-23,31.8,31.8,30.51,30.68,519590
2009-11-24,30.9,31.45,30.5,30.92,584500
2009-11-25,30.92,32.0,30.92,31.67,1014500
2009-11-26,31.9,32.0,30.2,30.57,2796550
2009-11-27,30.24,30.24,28.7,29.21,743920
2009-11-30,29.5,30.7,29.5,29.69,339750
2009-12-01,29.92,31.2,29.52,30.61,2478690
2009-12-02,30.9,31.33,29.51,29.68,456600
2009-12-03,30.1,30.44,29.06,29.41,188260
2009-12-04,29.26,30.4,29.26,29.55,240430
2009-12-07,29.84,30.64,28.62,29.0,319390
2009-12-08,29.28,29.69,29.24,29.56,128100
2009-12-09,29.4,32.94,29.2,31.43,5333460
2009-12-10,31.46,33.38,30.26,31.6,7542560
2009-12-11,32.19,32.6,30.7,30.89,1316570
2009-12-14,30.9,31.4,30.0,30.3,536640
2009-12-15,30.8,31.29,29.3,29.69,1881180
2009-12-16,29.5,30.69,29.48,29.88,694750
2009-12-17,29.9,31.15,29.65,30.06,2239440
2009-12-18,29.9,30.89,29.4,29.65,627430
2009-12-21,29.7,30.6,29.5,29.72,378330
2009-12-22,30.0,30.28,29.65,29.72,260550
2009-12-23,30.1,30.2,29.65,29.81,224140
2009-12-24,30.15,30.79,29.7,29.95,466150
2009-12-29,30.11,30.29,29.65,29.72,180260
2009-12-30,29.81,31.65,29.52,30.82,2422000
2009-12-31,30.82,31.5,30.31,31.26,863610
2010-01-04,31.3,31.85,30.8,31.2,759030
2010-01-05,31.5,31.65,31.0,31.34,312710
2010-01-06,31.66,31.75,30.6,30.68,342690
2010-01-07,30.6,31.18,30.41,30.72,289910
2010-01-08,30.88,31.45,30.5,30.67,312650
2010-01-11,31.28,31.4,30.65,30.73,258390
2010-01-12,31.09,32.3,30.66,31.02,1340720
2010-01-13,31.15,31.45,30.71,30.85,301520
2010-01-14,31.0,31.45,30.82,30.93,288170
2010-01-15,31.0,31.17,30.7,30.87,186970
2010-01-18,30.71,31.85,30.71,30.94,1441710
2010-01-19,31.01,31.19,30.14,30.25,260090
2010-01-20,30.37,36.31,30.35,33.81,32363550
2010-01-21,32.8,34.62,31.81,32.69,13811460
2010-01-22,32.1,32.4,30.52,31.88,3665020
2010-01-25,31.69,32.17,30.17,30.6,1097950
2010-01-27,30.3,31.0,29.0,29.77,1194070
2010-01-28,30.44,31.16,29.14,29.66,1038740
2010-01-29,29.11,30.6,27.16,30.17,691790
2010-02-01,29.9,31.3,29.8,30.25,515190
2010-02-02,30.62,32.2,30.06,30.32,1297900
2010-02-03,30.99,31.48,30.31,30.52,233660
2010-02-04,30.4,31.2,29.7,29.83,330330
2010-02-05,29.0,29.44,27.26,29.02,487370
2010-02-06,29.45,30.4,29.02,29.96,140720
2010-02-08,30.03,30.8,29.4,29.6,290530
2010-02-09,30.0,31.28,29.1,30.86,1118290
2010-02-10,31.5,31.5,30.11,30.19,361590
2010-02-11,30.4,30.88,29.9,30.0,309500
2010-02-15,30.5,30.97,29.83,30.06,321590
2010-02-16,30.3,30.69,29.51,29.85,177850
2010-02-17,30.4,30.89,30.17,30.38,431730
2010-02-18,30.7,30.7,29.52,29.68,175320
2010-02-19,29.8,30.2,29.23,29.59,250390
2010-02-22,30.11,30.19,29.28,29.57,156040
2010-02-23,29.41,30.72,29.05,29.88,750810
2010-02-24,29.6,30.3,29.42,29.67,121430
2010-02-25,29.8,29.9,29.5,29.68,93240
2010-02-26,29.8,29.95,28.25,29.63,190820
2010-03-02,30.18,30.49,29.6,30.05,129860
2010-03-03,30.11,30.85,30.1,30.51,279090
2010-03-04,30.3,30.69,30.1,30.37,67740
2010-03-05,30.52,31.8,30.52,31.56,734770
2010-03-08,31.6,32.52,31.56,32.25,671150
2010-03-09,31.73,33.26,31.57,32.59,464290
2010-03-10,33.2,33.5,32.5,33.04,338760
2010-03-11,33.1,33.49,32.92,33.2,211820
2010-03-12,33.28,33.28,32.21,32.33,126770
2010-03-15,32.5,32.8,32.23,32.53,113850
2010-03-16,33.17,33.39,32.5,32.53,81390
2010-03-17,32.65,32.94,32.5,32.52,80230
2010-03-18,32.6,34.0,32.6,33.85,554500
2010-03-19,33.8,34.5,33.8,34.35,226790
2010-03-22,33.21,36.0,33.21,34.37,2041190
2010-03-23,34.31,35.9,32.9,35.26,543150
2010-03-25,34.75,35.5,34.75,35.15,171450
2010-03-26,35.2,37.68,35.1,36.42,1286620
2010-03-29,36.94,37.4,35.56,35.81,271930
2010-03-30,36.28,37.7,36.0,36.46,1074550
2010-03-31,36.5,37.8,36.35,37.18,877330
2010-04-01,37.5,38.6,36.93,38.39,554330
2010-04-05,38.49,38.69,37.03,38.06,294490
2010-04-06,38.49,38.49,37.03,37.4,120510
2010-04-07,37.2,39.08,37.2,38.33,753290
2010-04-08,38.39,39.24,37.13,37.85,450100
2010-04-09,38.34,38.4,37.24,37.42,85550
2010-04-12,37.7,37.92,37.3,37.7,99730
2010-04-13,37.3,37.87,37.1,37.35,44050
2010-04-15,35.48,37.6,35.48,36.88,192020
2010-04-16,36.99,37.4,36.41,36.6,76100
2010-04-19,36.3,41.39,36.0,36.42,372820
2010-04-20,38.0,38.78,37.19,37.31,725700
2010-04-21,37.9,38.0,37.03,37.25,97350
2010-04-22,37.25,37.49,36.6,36.73,158710
2010-04-23,37.11,37.8,36.51,37.09,181940
2010-04-26,37.5,37.6,36.9,37.18,74460
2010-04-27,37.3,37.94,36.91,37.6,130520
2010-04-28,36.6,38.0,36.6,37.66,91050
2010-04-29,37.6,38.3,37.6,38.16,51610
2010-04-30,38.0,38.79,38.0,38.17,110610
2010-05-03,38.01,38.47,38.01,38.13,84880
2010-05-04,38.11,38.19,37.31,37.93,129250
2010-05-05,36.7,37.5,36.6,37.31,112210
2010-05-06,37.21,37.5,36.7,37.24,41190
2010-05-07,37.0,38.1,36.63,37.56,166300
2010-05-10,37.6,38.0,37.6,37.9,58070
2010-05-11,38.0,38.54,37.68,38.04,153160
2010-05-12,37.74,38.5,37.53,38.27,72130
2010-05-13,38.5,39.0,38.3,38.67,95630
2010-05-14,38.7,39.0,38.31,38.73,24950
2010-05-17,38.69,39.1,38.15,38.99,91380
2010-05-18,38.8,39.42,38.5,38.54,41400
2010-05-19,38.01,38.99,37.6,38.58,114920
2010-05-20,38.99,39.0,38.19,38.29,93370
2010-05-21,38.0,38.7,37.15,38.17,152180
2010-05-24,38.7,39.5,37.63,37.99,165190
2010-05-25,37.5,39.9,37.31,39.11,334020
2010-05-26,39.26,40.32,38.2,38.99,2055390
2010-05-27,39.7,39.7,38.5,38.65,33240
2010-05-28,39.28,39.28,37.6,37.78,41840
2010-05-31,38.2,38.5,37.72,38.08,26020
2010-06-01,38.01,39.0,37.33,37.95,104210
2010-06-02,37.73,39.49,37.73,39.37,805930
2010-06-03,39.55,44.78,39.55,41.94,4583490
2010-06-04,41.98,42.77,40.1,40.49,773630
2010-06-07,39.79,39.8,38.85,39.11,250770
2010-06-08,39.26,39.3,38.22,38.43,194170
2010-06-09,38.85,41.5,38.17,38.31,767720
2010-06-10,38.44,38.69,37.63,38.0,227540
2010-06-11,38.5,38.9,38.1,38.25,112510
2010-06-14,38.75,41.5,38.31,38.69,116630
2010-06-15,38.67,39.6,38.59,39.4,1075740
2010-06-16,39.6,40.22,39.02,39.22,74740
2010-06-17,39.59,39.72,38.3,38.94,1126410
2010-06-18,39.53,39.53,38.1,38.48,195640
2010-06-21,38.71,39.4,38.24,39.03,87040
2010-06-22,38.72,39.1,38.2,38.61,941700
2010-06-23,38.41,38.98,38.2,38.58,44240
2010-06-24,38.34,38.89,38.22,38.34,38580
2010-06-25,38.17,38.76,38.0,38.53,57210
2010-06-28,38.33,38.89,38.26,38.51,86880
2010-06-29,38.71,38.89,37.81,38.18,165630
2010-06-30,37.8,38.8,37.51,37.67,618730
2010-07-01,38.26,38.26,35.53,36.06,14602760
2010-07-02,36.27,37.28,36.27,36.65,2060130
2010-07-05,36.7,36.96,36.02,36.26,212200
2010-07-06,36.4,37.69,36.24,36.81,762530
2010-07-07,37.22,37.69,36.72,37.1,1294930
2010-07-08,37.44,37.68,36.6,36.92,307810
2010-07-09,37.67,37.67,36.6,37.03,294770
2010-07-12,36.9,37.15,36.75,36.9,219460
2010-07-13,37.53,38.57,37.1,37.94,1709990
2010-07-14,38.33,38.4,37.4,37.94,687590
2010-07-15,38.08,38.08,37.1,37.25,104240
2010-07-16,37.3,37.99,36.8,37.51,291600
2010-07-19,37.85,38.0,37.5,37.51,1004620
2010-07-20,37.8,37.9,37.03,37.38,206270
2010-07-21,36.83,38.0,36.83,37.53,1244140
2010-07-22,37.2,38.6,37.01,38.08,1974010
2010-07-23,38.47,39.5,37.9,38.09,1465240
2010-07-26,38.59,38.59,37.1,37.51,358380
2010-07-27,37.42,37.83,37.3,37.43,128950
2010-07-28,38.0,38.9,37.6,38.17,395720
2010-07-29,37.83,38.8,37.83,38.44,431160
2010-07-30,38.1,39.85,38.1,39.13,5596000
2010-08-02,39.4,40.49,39.06,39.94,1010840
2010-08-03,40.1,40.4,39.6,39.85,834860
2010-08-04,39.71,41.4,39.49,41.25,1083290
2010-08-05,41.5,41.59,40.45,40.61,248500
2010-08-06,40.9,41.89,40.21,40.78,358770
2010-08-09,41.34,42.4,40.85,42.12,666780
2010-08-10,42.0,43.2,42.0,42.28,1117010
2010-08-11,42.5,43.6,42.0,42.96,6259570
2010-08-12,43.56,43.83,41.31,41.59,2217590
2010-08-13,41.97,42.84,41.64,42.24,567000
2010-08-16,42.7,43.6,42.25,42.75,1785880
2010-08-17,43.5,43.9,41.9,42.28,4360270
2010-08-18,42.47,42.69,42.0,42.36,292490
2010-08-19,42.7,42.7,41.84,42.15,732510
2010-08-20,42.88,43.13,40.78,41.15,663136
2010-08-23,41.15,42.95,40.55,41.83,322966
2010-08-24,42.38,43.2,41.75,42.97,541660
2010-08-25,43.45,43.5,41.1,41.97,306784
2010-08-26,42.75,42.75,41.75,42.0,1866570
2010-08-27,42.4,42.65,41.5,41.67,408760
2010-08-30,42.47,42.5,41.5,41.9,137960
2010-08-31,42.5,42.83,41.4,42.0,884482
2010-09-01,42.0,42.65,41.25,41.5,202848
2010-09-02,41.25,41.92,41.13,41.3,263674
2010-09-03,41.38,42.47,40.25,41.03,394348
2010-09-06,41.3,42.25,41.05,41.38,735656
2010-09-07,41.6,42.2,41.0,42.0,638814
2010-09-08,41.78,43.72,41.78,43.47,908240
2010-09-09,44.0,45.25,42.63,44.13,849866
2010-09-13,44.3,45.75,43.25,44.95,445522
2010-09-14,45.42,45.5,44.25,45.08,237238
2010-09-15,45.0,45.7,44.58,45.35,348446
2010-09-16,45.7,49.2,44.83,46.97,2186768
2010-09-17,47.4,47.8,46.15,46.97,1504126
2010-09-20,47.0,47.0,45.0,45.13,941484
2010-09-21,45.5,45.5,42.1,42.67,880098
2010-09-22,42.97,44.05,41.5,42.17,2063324
2010-09-23,43.25,44.0,41.3,41.7,1447968
2010-09-24,42.03,42.25,41.15,42.0,1047928
2010-09-27,42.13,42.7,40.78,41.03,310092
2010-09-28,41.0,42.5,41.0,41.47,435580
2010-09-29,41.58,43.0,41.15,42.6,522912
2010-09-30,43.47,47.4,42.78,45.28,3113510
2010-10-01,46.0,46.2,43.5,44.22,1325888
2010-10-04,44.0,46.75,42.67,44.85,538970
2010-10-05,44.5,45.05,43.75,44.08,386130
2010-10-06,45.0,45.0,43.33,43.5,250674
2010-10-07,43.75,44.25,42.65,43.17,2543370
2010-10-08,43.03,43.58,42.55,42.58,194140
2010-10-11,42.8,44.45,42.05,42.5,969572
2010-10-12,42.28,43.75,42.28,43.05,156370
2010-10-13,43.0,43.95,40.17,42.53,222532
2010-10-14,40.6,44.7,40.6,42.22,2015170
2010-10-15,42.2,43.45,41.65,42.08,889522
2010-10-18,42.08,42.95,41.53,41.65,323696
2010-10-19,42.45,42.5,41.75,42.0,2832986
2010-10-20,41.75,42.7,41.75,41.9,94966
2010-10-21,42.38,43.8,42.05,42.2,645342
2010-10-22,42.5,42.5,39.1,40.85,345124
2010-10-25,42.5,42.95,41.0,41.28,403266
2010-10-26,41.7,41.7,40.78,41.05,114912
2010-10-27,41.0,41.4,39.55,39.88,428606
2010-10-28,40.65,40.65,39.53,39.7,500194
2010-10-29,39.95,40.5,39.63,40.0,400862
2010-11-01,40.0,42.0,39.97,41.35,1551692
2010-11-02,40.95,42.65,40.95,41.53,491784
2010-11-03,41.05,42.4,41.05,42.0,175970
2010-11-04,42.95,43.13,42.28,42.5,923560
2010-11-05,43.0,43.9,42.4,42.95,85238
2010-11-08,43.0,43.35,41.03,42.72,778170
2010-11-09,42.97,43.22,42.08,42.78,136396
2010-11-10,43.0,43.25,41.88,42.05,375982
