date,open,high,low,close,volume
2009-03-05,137.1,138.4,129.6,130.5,62718520
2009-03-06,128.2,133.6,126.6,132.8,40208072
2009-03-09,131.8,132.5,129.2,130.9,29492066
2009-03-12,134.0,137.8,131.4,136.4,42869364
2009-03-13,139.6,146.8,139.1,145.7,36248432
2009-03-16,145.7,151.4,144.2,150.7,39890612
2009-03-17,150.9,152.4,146.8,147.6,41905048
2009-03-18,149.2,154.6,149.2,151.1,38497304
2009-03-19,151.8,153.6,149.8,152.7,38254112
2009-03-20,152.0,154.3,150.0,152.0,44993224
2009-03-23,153.7,164.6,153.7,163.2,43809324
2009-03-24,164.6,167.4,163.4,164.8,60773652
2009-03-25,164.6,175.8,164.6,173.9,84309840
2009-03-26,175.9,179.2,172.8,177.7,72394480
2009-03-27,176.4,179.7,174.2,175.8,59433328
2009-03-30,172.6,174.2,169.7,172.1,60547600
2009-03-31,174.2,176.1,171.9,173.0,50355668
2009-04-01,172.8,180.9,169.9,179.4,42102160
2009-04-02,182.7,190.6,181.8,188.5,48370016
2009-04-06,192.9,197.7,186.7,189.7,46342228
2009-04-08,186.1,197.3,182.1,195.8,81025472
2009-04-09,198.6,200.6,193.5,197.0,45767152
2009-04-13,199.7,203.0,195.5,201.3,33528102
2009-04-15,198.6,208.8,196.7,207.7,53287648
2009-04-16,205.5,208.8,195.0,196.9,58332896
2009-04-17,198.6,202.1,193.2,194.8,56574808
2009-04-20,195.2,199.1,191.6,194.7,43445048
2009-04-21,192.4,196.7,191.2,193.6,44082848
2009-04-22,195.2,196.7,191.9,195.0,38980136
2009-04-23,194.8,201.4,192.5,200.1,37353912
2009-04-24,198.6,204.5,196.0,203.0,48246628
2009-04-27,203.2,205.1,199.8,202.6,36989632
2009-04-28,202.1,203.4,196.4,197.1,35461256
2009-04-29,198.7,206.5,198.1,205.0,37639392
2009-05-04,210.1,215.0,208.8,214.2,37763656
2009-05-05,213.9,215.0,208.4,213.8,42988932
2009-05-06,214.4,219.9,211.1,213.5,43019096
2009-05-07,209.9,218.4,209.9,217.4,32376144
2009-05-08,217.9,219.2,212.8,215.7,35118392
2009-05-11,217.8,218.8,210.0,211.3,33111738
2009-05-12,209.9,224.2,209.2,222.4,40407908
2009-05-13,223.8,224.1,216.3,219.4,46056624
2009-05-14,215.9,218.7,213.4,216.6,35662496
2009-05-15,217.3,222.4,216.9,221.4,27788684
2009-05-18,243.6,287.7,238.5,268.7,465446
2009-05-19,278.0,283.7,249.7,253.2,92294672
2009-05-20,249.7,255.6,242.4,244.3,59453308
2009-05-21,243.4,247.0,238.6,240.1,35048352
2009-05-22,238.3,250.5,237.3,248.0,39181144
2009-05-25,249.7,251.4,244.4,249.1,27352756
2009-05-26,247.4,250.7,241.8,243.2,21889558
2009-05-27,246.5,250.2,244.3,248.1,46043192
2009-05-28,247.4,254.9,247.4,252.0,39636652
2009-05-29,254.7,261.9,251.1,257.8,56367280
2009-06-01,264.4,264.4,256.0,259.0,26236514
2009-06-02,261.0,262.0,252.4,258.6,29071560
2009-06-03,256.6,261.9,252.6,254.9,30296526
2009-06-04,252.5,257.5,245.1,256.7,34016168
2009-06-05,258.2,258.9,248.5,251.1,41219344
2009-06-08,250.5,256.7,246.9,249.0,33291606
2009-06-09,248.3,260.0,246.8,257.8,36604200
2009-06-10,260.0,265.5,259.4,263.3,34941384
2009-06-11,263.3,263.8,259.0,261.4,22394668
2009-06-12,262.1,270.0,261.6,268.1,43325920
2009-06-15,267.8,267.8,245.7,247.3,62925712
2009-06-16,244.0,247.9,241.3,243.2,45189976
2009-06-17,241.2,247.2,231.1,232.8,43353656
2009-06-18,233.5,235.2,225.8,229.8,54699264
2009-06-19,232.1,234.0,224.4,231.7,42751840
2009-06-22,232.4,232.6,219.3,221.6,40721320
2009-06-23,215.6,230.8,215.6,228.7,52400144
2009-06-24,229.8,231.0,223.8,227.2,41506376
2009-06-25,227.1,229.7,220.4,222.2,47019080
2009-06-26,223.1,231.2,222.8,230.3,35063272
2009-06-29,229.9,239.8,227.5,236.8,32836462
2009-06-30,238.3,239.4,228.2,229.6,26270924
2009-07-01,230.4,236.6,225.6,233.6,32763480
