date,open,high,low,close,volume
2009-03-09,5.39,5.4,5.39,5.39,1325
2009-03-12,5.93,5.93,4.89,4.89,4595
2009-03-13,4.51,5.1,4.51,4.7,191405
2009-03-16,4.4,5.05,4.23,4.99,212395
2009-03-17,5.25,5.26,5.0,5.0,12295
2009-03-18,5.33,5.5,4.5,4.5,323425
2009-03-19,4.6,4.94,4.1,4.45,552170
2009-03-20,4.86,4.9,4.8,4.9,51715
2009-03-23,5.29,5.39,5.02,5.39,62185
2009-03-24,5.39,5.92,5.28,5.28,45045
2009-03-25,4.8,5.38,4.8,4.97,63970
2009-03-26,4.7,5.4,4.7,5.29,8725
2009-03-27,5.0,5.4,4.81,5.33,10065
2009-03-30,5.03,5.4,5.03,5.34,7130
2009-03-31,5.74,5.74,5.0,5.4,4985
2009-04-01,5.7,5.7,5.41,5.46,11545
2009-04-02,5.5,6.0,5.5,5.72,23110
2009-04-06,6.26,6.26,5.8,5.8,700
2009-04-08,6.0,6.38,5.8,6.38,10440
2009-04-09,6.06,7.0,6.06,6.95,32355
2009-04-13,6.9,7.3,6.86,7.13,16930
2009-04-15,7.2,7.49,7.2,7.49,6500
2009-04-16,7.41,7.86,7.12,7.12,25055
2009-04-17,7.48,7.48,7.0,7.48,14590
2009-04-20,7.69,7.69,7.2,7.22,4685
2009-04-21,7.4,7.48,7.4,7.48,1250
2009-04-22,7.82,7.82,7.12,7.2,1915
2009-04-23,7.2,7.39,7.0,7.37,7000
2009-04-24,7.02,7.4,7.02,7.21,13050
2009-04-27,7.05,7.57,7.05,7.24,900
2009-04-28,7.18,7.4,6.88,6.89,11760
2009-04-29,7.0,7.24,6.89,7.24,723105
2009-05-04,7.6,7.6,7.42,7.6,3955
2009-05-05,7.62,7.86,7.62,7.86,1685
2009-05-06,7.47,7.8,7.47,7.61,8445
2009-05-07,7.4,7.99,7.4,7.99,14015
2009-05-08,8.3,8.39,8.21,8.39,7750
2009-05-11,8.2,8.2,8.0,8.0,1050
2009-05-12,7.6,7.95,7.6,7.95,6705
2009-05-13,8.21,8.22,7.82,8.16,2000
2009-05-14,8.0,8.0,7.84,7.9,4620
2009-05-15,8.3,8.3,7.92,8.06,11290
2009-05-19,8.4,8.47,8.4,8.46,26130
2009-05-20,8.42,8.89,8.42,8.89,7910
2009-05-21,9.34,9.34,9.34,9.34,1875
2009-05-22,9.81,9.81,9.81,9.81,220
2009-05-25,10.3,10.3,10.3,10.3,500
2009-05-26,10.82,10.82,10.82,10.82,10985
2009-05-27,11.37,11.37,11.37,11.37,1855
2009-05-28,11.94,11.94,11.79,11.94,56920
2009-05-29,12.54,12.54,12.38,12.54,76405
2009-06-01,13.17,13.17,13.17,13.17,52580
2009-06-02,13.83,13.83,13.83,13.83,2935
2009-06-03,14.53,14.53,14.53,14.53,50760
2009-06-04,15.26,15.26,15.26,15.26,3800
2009-06-05,16.03,16.03,15.9,16.03,170835
2009-06-08,16.84,16.84,15.23,15.42,180160
2009-06-09,15.42,16.2,15.38,15.92,65215
2009-06-10,16.4,16.72,16.3,16.54,61450
2009-06-11,16.54,17.37,15.96,16.24,60520
2009-06-12,17.04,17.04,15.43,15.43,18630
2009-06-15,14.66,15.2,14.66,15.0,51120
2009-06-16,14.27,15.75,14.27,15.75,50155
2009-06-17,16.5,16.54,14.97,14.99,20405
2009-06-18,14.41,15.2,14.24,14.24,7760
2009-06-19,14.24,14.38,13.8,14.26,7075
2009-06-22,14.96,14.98,14.27,14.98,6415
2009-06-23,15.0,15.2,15.0,15.0,29025
2009-06-24,15.22,15.75,15.2,15.75,3345
2009-06-25,16.44,16.54,16.02,16.54,51925
2009-06-26,16.2,17.0,16.2,16.2,1515
2009-06-29,16.0,16.8,16.0,16.43,18410
2009-06-30,15.61,16.38,15.61,16.21,26630
2009-07-01,15.6,16.4,15.6,16.2,102375
2009-07-02,16.0,16.19,15.8,16.19,1805
2009-07-03,16.0,16.0,15.57,15.62,4390
2009-07-06,15.01,15.02,15.0,15.0,15
2009-07-07,15.0,15.8,15.0,15.6,79500
2009-07-08,15.4,15.99,14.05,14.34,3855
2009-07-09,14.4,14.97,12.93,14.8,2900
2009-07-10,14.8,14.8,14.2,14.31,3960
2009-07-13,14.6,15.36,13.01,14.6,2785
2009-07-14,14.6,14.77,13.21,13.5,1310
2009-07-15,13.74,13.74,12.15,12.2,83370
2009-07-16,13.2,13.39,12.0,12.29,42415
2009-07-17,12.32,12.99,12.22,12.75,7425
2009-07-20,12.8,12.8,11.8,11.89,21000
2009-07-21,12.3,13.08,11.8,13.08,139570
2009-07-22,14.0,14.39,14.0,14.39,27590
2009-07-23,15.83,15.83,14.4,14.84,20510
2009-07-24,15.0,16.33,15.0,16.33,17340
2009-07-27,17.14,17.15,15.61,17.15,287800
2009-07-28,17.99,17.99,16.36,16.72,11340
2009-07-29,16.1,16.69,16.1,16.42,6635
2009-07-30,15.65,16.02,15.6,15.67,17865
2009-07-31,15.6,16.39,15.45,15.8,5405
2009-08-03,16.0,16.0,15.47,15.84,9830
2009-08-04,16.0,16.64,16.0,16.61,14435
2009-08-05,16.51,16.51,16.22,16.22,1320
2009-08-06,16.0,16.0,15.6,15.6,2400
2009-08-07,15.5,15.97,15.3,15.5,3270
2009-08-10,15.0,15.6,14.73,14.73,10875
2009-08-11,14.03,15.09,14.02,14.58,880
2009-08-12,14.3,14.3,14.29,14.29,500
2009-08-13,14.8,15.01,14.62,15.01,8175
2009-08-14,15.7,15.7,14.6,14.79,7815
2009-08-17,15.0,15.4,14.68,15.39,13010
2009-08-18,15.04,15.6,15.02,15.02,1125
2009-08-19,15.0,15.78,14.82,14.97,9340
2009-08-20,15.58,15.58,14.84,14.95,3000
2009-08-21,14.68,15.56,14.22,14.93,900
2009-08-24,14.85,15.59,14.85,15.32,4000
2009-08-25,14.94,15.38,14.71,14.84,7875
2009-08-26,15.57,15.59,15.21,15.59,10000
2009-08-27,15.8,16.37,15.2,16.24,17710
2009-08-28,16.04,16.52,15.71,16.35,17400
2009-08-31,16.24,16.8,15.9,16.4,8270
2009-09-01,16.8,16.94,16.11,16.21,7055
