date,open,high,low,close,volume
2009-12-03,17.7,18.15,15.2,17.39,106560
2009-12-04,17.2,17.7,17.15,17.38,26780
2009-12-07,17.51,17.8,17.4,17.64,42460
2009-12-08,17.21,19.0,17.21,18.04,235200
2009-12-09,18.4,18.89,18.0,18.27,332910
2009-12-10,18.1,18.6,17.82,18.07,42080
2009-12-11,18.45,18.49,17.81,17.95,48930
2009-12-14,17.8,18.15,17.71,17.72,52220
2009-12-15,17.7,18.35,17.61,17.62,47870
2009-12-16,17.6,17.9,17.01,17.5,38550
2009-12-17,17.11,17.59,17.11,17.54,11910
2009-12-18,17.74,18.0,17.15,17.39,53410
2009-12-21,17.63,17.7,17.21,17.5,43660
2009-12-22,17.43,18.79,17.43,18.39,193250
2009-12-23,18.43,19.4,18.31,18.91,275480
2009-12-24,18.99,20.2,18.99,19.54,546670
2009-12-29,19.9,22.55,19.7,21.69,2130710
2009-12-30,21.7,22.2,21.1,21.23,307820
2009-12-31,21.5,21.64,20.58,20.7,195890
2010-01-04,20.96,24.68,20.7,24.32,3415140
2010-01-05,24.49,24.87,23.12,23.26,836670
2010-01-06,23.5,24.5,23.27,23.74,388380
2010-01-07,24.0,24.2,23.1,23.34,171730
2010-01-08,22.92,23.85,22.92,23.29,112530
2010-01-11,23.6,23.8,22.8,22.95,209580
2010-01-12,22.73,23.4,21.4,22.1,673940
2010-01-13,22.2,22.9,22.15,22.49,149640
2010-01-14,22.88,23.8,22.45,23.48,242120
2010-01-15,23.89,24.3,23.11,23.83,295170
2010-01-18,23.99,23.99,23.01,23.09,91440
2010-01-19,23.1,23.3,22.5,22.6,45160
2010-01-20,23.27,23.27,21.7,22.01,109930
2010-01-21,22.2,23.45,21.0,21.57,167880
2010-01-22,21.49,22.58,20.41,22.37,157640
2010-01-25,22.0,22.66,21.51,22.04,86000
2010-01-27,21.9,23.09,20.6,20.84,343710
2010-01-28,22.0,22.0,19.05,19.44,215410
2010-01-29,19.1,20.5,18.6,20.27,217330
2010-02-01,20.2,21.5,19.8,20.55,113360
2010-02-02,20.55,21.9,20.55,20.91,176230
2010-02-03,21.33,22.4,21.33,21.64,263220
2010-02-04,21.89,22.2,20.9,21.43,246780
2010-02-05,20.04,20.4,19.6,19.89,256250
2010-02-06,20.7,20.7,20.11,20.26,7710
2010-02-08,20.58,20.69,19.63,20.46,53060
2010-02-09,20.3,20.66,19.7,20.26,26760
2010-02-10,20.6,20.6,20.15,20.19,38130
2010-02-11,20.77,20.77,18.34,20.11,78100
2010-02-15,20.2,20.4,19.65,19.69,16580
2010-02-16,20.0,20.01,19.3,19.74,56300
2010-02-17,20.3,20.5,19.91,20.04,41750
2010-02-18,20.59,21.19,17.7,20.23,161280
2010-02-19,19.3,20.19,19.3,19.9,22870
2010-02-22,20.0,20.35,19.45,19.9,60660
2010-02-23,19.61,19.8,19.5,19.55,21820
2010-02-24,19.01,19.61,19.01,19.56,15730
2010-02-25,19.98,20.4,19.61,19.69,68250
2010-02-26,19.61,20.5,19.0,19.78,37000
2010-03-02,19.7,20.2,19.7,19.96,34760
2010-03-03,20.35,20.75,20.35,20.54,92630
2010-03-04,21.16,21.49,20.6,20.86,204210
2010-03-05,20.9,21.88,20.9,21.08,222200
2010-03-08,21.66,22.37,21.4,21.96,264570
2010-03-09,21.61,22.2,21.6,21.88,136000
2010-03-10,21.9,22.0,21.0,21.12,91940
2010-03-11,21.0,21.45,20.75,21.17,74300
2010-03-12,21.4,21.4,20.75,21.01,23130
2010-03-15,24.7,24.7,20.4,20.51,81010
