date,open,high,low,close,volume
2009-03-05,4.26,4.27,4.0,4.07,36400
2009-03-06,4.0,4.2,3.9,4.05,36510
2009-03-09,3.98,4.79,3.98,4.62,68740
2009-03-12,4.8,4.9,4.42,4.86,59590
2009-03-13,5.0,5.4,4.88,5.11,31980
2009-03-16,5.2,5.5,5.11,5.41,30280
2009-03-17,5.6,5.6,5.2,5.41,46990
2009-03-18,5.6,5.74,5.17,5.34,67620
2009-03-19,5.28,5.5,5.25,5.25,21450
2009-03-20,5.47,5.59,5.0,5.07,44260
2009-03-23,5.32,5.32,4.95,4.97,102360
2009-03-24,5.3,5.3,4.7,4.76,37800
2009-03-25,5.1,5.1,4.5,4.84,107570
2009-03-26,5.0,5.08,4.72,4.85,5959510
2009-03-27,4.8,5.09,4.8,4.97,52320
2009-03-30,4.85,4.92,4.8,4.82,7200
2009-03-31,4.99,5.14,4.8,5.05,40520
2009-04-01,5.0,5.32,5.0,5.11,51370
2009-04-02,5.16,5.6,5.16,5.47,126700
2009-04-06,5.59,6.2,5.45,5.87,130940
2009-04-08,5.31,6.9,5.3,6.47,136380
2009-04-09,6.22,6.87,6.22,6.28,38190
2009-04-13,6.42,6.42,6.26,6.34,21850
2009-04-15,6.11,7.35,6.11,7.02,248320
2009-04-16,7.16,7.16,5.95,6.13,139380
2009-04-17,6.0,6.47,5.93,6.02,43610
2009-04-20,6.0,6.33,5.98,6.2,9070
2009-04-21,6.0,6.27,5.72,5.89,32010
2009-04-22,6.3,6.4,5.9,5.98,13850
2009-04-23,5.91,6.41,5.7,6.25,116080
2009-04-24,6.5,6.5,5.95,6.03,59570
2009-04-27,6.0,6.2,5.9,5.92,57260
2009-04-28,5.99,5.99,5.7,5.72,21530
2009-04-29,5.73,5.96,5.7,5.8,26620
2009-05-04,5.63,6.63,5.63,6.34,205350
2009-05-05,6.22,7.25,6.15,7.08,391650
2009-05-06,6.8,7.63,6.8,7.03,295690
2009-05-07,7.2,7.2,6.91,6.94,26160
2009-05-08,7.05,7.42,6.74,6.86,38130
2009-05-11,6.79,6.84,6.52,6.69,36310
2009-05-12,6.58,6.87,6.47,6.55,18230
2009-05-13,6.78,6.78,6.52,6.53,15510
2009-05-14,6.4,6.52,6.36,6.38,15270
2009-05-15,6.64,6.66,6.51,6.53,18490
2009-05-18,6.9,6.9,6.9,6.9,10000
2009-05-19,6.7,7.18,6.51,6.92,66470
2009-05-20,7.08,8.31,7.08,8.29,200130
2009-05-21,7.95,8.7,7.9,7.99,272800
2009-05-22,7.7,8.57,7.7,8.22,58260
2009-05-25,8.31,9.2,8.31,8.91,106030
2009-05-26,8.28,9.2,8.27,9.06,213950
2009-05-27,9.0,9.85,8.8,9.07,287650
2009-05-28,9.25,9.25,8.5,8.91,83460
2009-05-29,9.4,10.49,9.0,10.16,534890
2009-06-01,10.22,10.66,9.9,10.44,253250
2009-06-02,10.5,10.78,10.0,10.41,91180
2009-06-03,10.21,11.2,10.07,10.57,135250
2009-06-04,10.98,11.63,10.21,11.63,432110
2009-06-05,12.14,12.5,10.53,11.07,595210
2009-06-08,11.07,11.4,9.97,10.01,172430
2009-06-09,10.01,10.7,9.24,10.18,156560
2009-06-10,10.3,10.7,9.61,9.91,148160
2009-06-11,9.75,9.8,9.2,9.46,77220
2009-06-12,9.7,9.7,9.0,9.11,90670
2009-06-15,9.21,9.5,8.78,8.97,19800
2009-06-16,8.71,9.26,8.71,9.07,86260
2009-06-17,8.81,9.39,8.65,8.69,22800
2009-06-18,8.6,8.84,8.27,8.28,21740
2009-06-19,8.56,8.56,8.02,8.05,33490
2009-06-22,7.9,8.19,7.8,7.86,19560
2009-06-23,7.81,8.15,7.81,8.05,13190
2009-06-24,7.83,8.4,7.83,8.39,12600
2009-06-25,8.3,8.69,8.2,8.31,2680
2009-06-26,8.41,8.49,8.05,8.25,6450
2009-06-29,8.48,8.48,8.1,8.12,19370
2009-06-30,8.1,8.27,8.05,8.06,13020
2009-07-01,7.9,8.24,7.9,8.02,72900
2009-07-02,8.0,8.38,8.0,8.03,21410
2009-07-03,8.03,8.24,8.0,8.01,31680
2009-07-06,7.8,8.24,7.8,8.0,29990
2009-07-07,7.9,8.05,7.9,7.9,19780
2009-07-08,7.8,8.28,7.8,7.88,51520
2009-07-09,7.6,8.19,7.6,7.98,2210
2009-07-10,7.78,7.89,7.6,7.61,4330
2009-07-13,7.61,7.7,7.5,7.53,34020
2009-07-14,7.36,7.91,7.31,7.68,80040
2009-07-15,7.46,8.07,7.46,8.07,15330
2009-07-16,8.47,8.47,8.13,8.15,34490
2009-07-17,8.19,8.39,8.03,8.3,29250
2009-07-20,8.35,8.35,8.0,8.16,156780
2009-07-21,8.06,8.1,8.0,8.1,14160
2009-07-22,8.1,8.36,7.8,7.8,38690
2009-07-23,8.19,8.19,7.81,8.19,31360
2009-07-24,7.96,8.2,7.96,8.03,13450
2009-07-27,8.1,8.3,7.92,7.96,10840
2009-07-28,7.8,8.1,7.8,7.94,10830
2009-07-29,7.95,8.14,7.82,8.13,4380
2009-07-30,7.83,8.44,7.83,8.05,5520
2009-07-31,8.29,8.46,8.03,8.12,56190
2009-08-03,7.99,8.4,7.99,8.3,24790
2009-08-04,8.5,8.7,8.1,8.21,65370
2009-08-05,8.16,8.62,8.01,8.62,89400
2009-08-06,8.5,8.7,8.35,8.6,14190
2009-08-07,8.21,8.5,8.21,8.25,13180
2009-08-10,8.35,8.5,8.15,8.15,34120
2009-08-11,8.1,8.2,8.1,8.1,17270
2009-08-12,8.3,8.3,7.81,7.84,21820
2009-08-13,8.0,8.23,8.0,8.12,6850
2009-08-14,8.1,8.3,8.03,8.23,1920
2009-08-17,8.06,8.25,8.06,8.15,6570
2009-08-18,8.1,8.3,8.1,8.13,2790
2009-08-19,8.0,8.06,7.91,7.97,18030
2009-08-20,7.83,8.0,7.83,7.92,8030
2009-08-21,7.73,8.3,7.73,8.1,65430
2009-08-24,7.86,8.3,7.86,8.02,50580
2009-08-25,7.94,8.3,7.93,8.16,65330
2009-08-26,8.15,8.3,8.1,8.21,157250
2009-08-27,8.2,8.3,8.11,8.18,95230
2009-08-28,8.19,8.3,8.0,8.21,158320
2009-08-31,8.21,8.3,8.1,8.26,256850
2009-09-01,8.26,8.49,7.95,8.03,428010
2009-09-02,7.92,8.24,7.9,7.94,239380
2009-09-03,8.01,8.17,7.99,8.07,51740
2009-09-04,8.16,8.2,7.9,8.15,322960
2009-09-07,8.45,8.66,8.35,8.48,241800
2009-09-08,8.6,8.65,8.2,8.44,229550
2009-09-09,8.3,8.5,7.91,7.99,574970
2009-09-10,8.29,8.29,7.65,7.76,221400
2009-09-11,7.91,8.12,7.4,7.42,2025220
2009-09-14,7.49,7.59,7.16,7.2,588510
2009-09-15,7.5,7.5,7.15,7.24,338770
2009-09-16,7.3,7.34,6.97,7.03,1177060
2009-09-17,7.1,7.39,7.08,7.28,516820
2009-09-18,7.2,7.6,7.2,7.47,729840
2009-09-22,7.8,8.23,7.59,8.23,1362770
2009-09-23,8.5,8.63,7.77,7.93,741320
2009-09-24,7.93,7.93,7.65,7.82,593930
2009-09-25,7.99,8.3,7.92,8.0,167200
2009-09-29,8.68,8.68,7.9,8.06,135360
2009-09-30,8.16,8.43,7.92,8.14,227350
2009-10-01,8.19,8.24,7.94,8.1,90560
2009-10-05,8.03,8.14,7.75,7.83,122350
2009-10-06,7.8,8.06,7.35,7.56,119590
2009-10-07,7.65,7.98,7.65,7.76,86590
2009-10-08,7.74,7.82,7.7,7.75,48130
2009-10-09,7.71,7.79,7.5,7.53,60360
2009-10-12,7.2,7.57,7.12,7.39,100000
2009-10-14,7.4,7.6,7.4,7.52,30570
2009-10-15,7.47,7.63,7.43,7.48,74050
2009-10-16,7.6,7.6,7.43,7.49,37370
2009-10-17,7.5,7.8,7.5,7.63,65220
2009-10-20,7.57,7.8,7.57,7.73,48000
2009-10-21,7.74,7.8,7.66,7.71,101330
2009-10-22,7.61,7.74,7.51,7.59,65570
2009-10-23,7.56,7.7,7.4,7.43,69920
2009-10-26,7.55,7.58,7.31,7.36,34870
2009-10-27,7.54,7.54,7.03,7.09,62150
2009-10-28,6.72,7.0,6.72,6.89,32990
2009-10-29,7.14,7.14,6.6,6.72,95930
2009-10-30,7.0,7.05,6.53,6.55,22890
2009-11-03,6.56,6.63,6.2,6.35,37370
2009-11-04,6.4,6.49,6.26,6.38,108670
2009-11-05,6.28,6.6,6.28,6.47,14870
2009-11-06,6.7,6.7,6.52,6.57,18230
2009-11-09,6.59,6.89,6.58,6.71,45490
2009-11-10,6.72,7.61,6.6,6.96,328500
2009-11-11,7.09,7.28,6.8,6.94,127420
2009-11-12,7.05,7.05,6.88,6.9,126680
2009-11-13,6.9,7.08,6.8,6.88,57920
2009-11-16,6.86,7.21,6.85,7.02,51210
2009-11-17,7.0,7.08,6.82,6.92,48620
2009-11-18,7.0,7.17,6.85,7.03,36060
2009-11-19,7.0,8.43,7.0,7.77,2169720
2009-11-20,7.8,8.59,7.11,8.44,2326620
2009-11-23,8.59,8.8,8.31,8.43,3834540
2009-11-24,8.2,8.4,7.82,7.95,537300
2009-11-25,7.75,8.07,7.57,7.73,258060
2009-11-26,7.66,8.25,7.6,7.72,504660
2009-11-27,7.57,7.57,7.34,7.34,84900
2009-11-30,7.39,7.6,7.0,7.07,109470
2009-12-01,7.29,7.29,7.02,7.24,112680
2009-12-02,7.11,7.28,7.02,7.08,31330
2009-12-03,7.0,7.43,7.0,7.36,114890
2009-12-04,7.25,7.48,7.25,7.35,35760
2009-12-07,7.35,7.57,7.11,7.25,219230
2009-12-08,7.1,7.3,7.1,7.14,37530
2009-12-09,7.29,7.29,7.1,7.28,33940
2009-12-10,7.08,7.34,7.08,7.34,5790
2009-12-11,7.01,7.38,7.01,7.21,42220
2009-12-14,7.14,7.29,7.0,7.14,66670
2009-12-15,7.2,7.25,6.85,7.03,38390
2009-12-16,6.9,7.1,6.9,7.01,35620
2009-12-17,6.91,7.12,6.91,6.95,27010
2009-12-18,6.8,7.1,6.8,6.92,17830
2009-12-21,6.81,7.12,6.81,6.99,19360
2009-12-22,6.91,7.05,6.87,7.0,24510
2009-12-23,6.92,7.14,6.92,7.09,32430
2009-12-24,7.29,7.29,7.03,7.1,31450
2009-12-29,7.3,7.3,7.04,7.24,20110
2009-12-30,7.35,7.41,7.21,7.3,65610
2009-12-31,7.26,7.39,7.17,7.19,38710
2010-01-04,7.15,7.39,7.1,7.23,82350
2010-01-05,7.33,7.59,7.11,7.59,167010
2010-01-06,7.6,7.94,7.41,7.81,129790
2010-01-07,7.56,7.93,7.56,7.74,67180
2010-01-08,7.36,7.9,7.36,7.61,75960
2010-01-11,7.42,7.67,7.38,7.42,84340
2010-01-12,7.4,7.63,7.35,7.49,48230
2010-01-13,7.5,7.75,7.44,7.59,74830
2010-01-14,7.55,7.7,7.41,7.52,37710
2010-01-15,7.63,7.89,7.51,7.69,64080
2010-01-18,7.65,8.08,7.61,7.79,239910
2010-01-19,8.0,8.0,7.59,7.67,57950
2010-01-20,7.6,7.87,7.6,7.71,41860
2010-01-21,7.66,7.78,7.33,7.33,119600
2010-01-22,7.35,7.48,7.04,7.12,102930
2010-01-25,7.1,7.47,7.07,7.07,29570
2010-01-27,7.02,7.17,6.85,6.88,34680
2010-01-28,6.8,6.94,6.7,6.73,44820
2010-01-29,6.6,6.89,6.53,6.84,33540
2010-02-01,6.94,7.18,6.81,7.16,16700
2010-02-02,7.15,7.16,6.86,6.88,24900
2010-02-03,6.92,7.23,6.85,7.18,43260
2010-02-04,7.35,7.53,6.96,7.02,85450
2010-02-05,6.96,6.96,6.76,6.79,32910
2010-02-06,6.98,6.99,6.74,6.93,511370
2010-02-08,6.95,7.28,6.84,6.87,788640
2010-02-09,6.81,6.98,6.81,6.97,3850
2010-02-10,6.9,7.09,6.8,6.92,19300
2010-02-11,6.9,7.04,6.9,6.95,3000
2010-02-15,6.9,7.05,6.9,6.9,29160
2010-02-16,6.93,7.0,6.93,6.97,40710
2010-02-17,6.91,7.1,6.9,7.01,6110
2010-02-18,7.16,7.17,6.95,6.98,11120
2010-02-19,6.8,7.05,6.8,6.96,23250
2010-02-22,6.96,7.0,6.72,6.78,38290
2010-02-23,6.71,6.8,6.7,6.76,34840
2010-02-24,6.7,6.8,6.58,6.67,32050
2010-02-25,6.56,6.69,6.5,6.61,67690
2010-02-26,6.65,6.85,6.6,6.76,45690
2010-03-02,6.8,6.95,6.79,6.92,61120
2010-03-03,6.85,7.04,6.82,6.92,62420
2010-03-04,6.85,7.14,6.82,6.96,88670
2010-03-05,7.04,7.1,6.91,6.96,78580
2010-03-08,7.03,7.57,7.01,7.31,277690
2010-03-09,7.3,7.5,7.12,7.22,147120
2010-03-10,7.2,7.2,7.04,7.11,106310
2010-03-11,7.05,7.15,6.96,6.97,22200
2010-03-12,7.01,7.13,6.91,6.93,20820
2010-03-15,7.0,7.5,6.78,7.33,623140
2010-03-16,7.54,7.7,7.38,7.42,615470
2010-03-17,7.42,7.47,6.96,7.02,322260
2010-03-18,7.03,7.1,6.82,6.93,172890
2010-03-19,7.24,7.24,6.83,6.92,93710
2010-03-22,6.81,7.38,6.75,7.09,107890
2010-03-23,7.15,7.19,6.98,7.04,35620
2010-03-25,7.01,7.12,6.83,6.93,67440
2010-03-26,6.93,7.05,6.83,6.89,79140
2010-03-29,6.84,6.9,6.51,6.64,86660
2010-03-30,6.61,6.79,6.61,6.7,67950
2010-03-31,6.61,6.85,6.61,6.82,60850
2010-04-01,6.72,6.98,6.72,6.88,29330
2010-04-05,7.12,7.58,7.12,7.58,340960
2010-04-06,7.5,7.75,7.45,7.48,168890
2010-04-07,7.36,8.18,7.2,7.83,1220680
2010-04-08,7.72,8.4,7.72,7.83,355060
2010-04-09,7.7,7.97,7.7,7.84,159850
2010-04-12,7.99,7.99,7.65,7.84,90730
2010-04-13,7.78,8.13,7.78,7.91,129370
2010-04-15,7.97,8.07,7.81,7.84,183140
2010-04-16,7.71,7.88,7.71,7.76,34120
2010-04-19,7.57,7.69,7.57,7.62,16910
2010-04-20,7.66,7.85,7.34,7.61,61520
2010-04-21,7.65,7.8,7.61,7.63,44930
2010-04-22,7.61,7.72,7.53,7.55,81020
2010-04-23,7.53,7.6,7.46,7.49,29190
2010-04-26,7.6,7.99,7.6,7.72,147250
2010-04-27,7.7,7.77,7.61,7.61,10870
2010-04-28,7.6,7.6,7.4,7.5,22040
