date,open,high,low,close,volume
2009-03-05,46.12,49.0,46.12,47.78,660
2009-03-06,46.02,48.95,45.43,46.4,1000
2009-03-09,46.4,47.74,45.42,45.42,3225
2009-03-12,46.12,46.12,45.0,45.13,2765
2009-03-13,47.6,47.8,45.4,46.01,1280
2009-03-16,50.4,50.4,46.62,48.86,710
2009-03-17,45.0,49.7,45.0,48.0,269435
2009-03-18,48.0,48.8,47.84,48.8,1645
2009-03-19,50.0,50.0,46.2,48.6,38250
2009-03-20,54.8,54.8,46.2,49.14,32835
2009-03-23,49.38,56.79,47.64,54.12,12210
2009-03-24,50.37,58.78,50.0,56.53,19600
2009-03-25,57.9,58.94,52.84,54.99,43665
2009-03-26,58.6,58.6,52.2,54.52,13545
2009-03-27,55.77,58.2,54.56,55.98,14480
2009-03-30,57.4,57.4,54.6,55.6,975
2009-03-31,54.0,59.0,53.05,58.27,255730
2009-04-01,60.0,60.0,55.61,57.71,2555
2009-04-02,58.2,58.41,56.0,57.6,4150
2009-04-06,59.4,63.7,56.65,58.52,5605
2009-04-08,58.43,66.6,57.4,61.15,1508995
2009-04-09,69.8,69.99,60.03,61.4,9100
2009-04-13,65.39,67.94,55.55,63.43,367185
2009-04-15,61.8,67.2,60.66,61.59,322555
2009-04-16,62.41,63.3,58.03,58.78,24115
2009-04-17,54.4,61.8,54.4,60.29,15735
2009-04-20,61.2,64.2,60.51,61.21,14605
2009-04-21,59.6,62.0,58.61,59.7,7095
2009-04-22,59.8,60.6,54.57,58.39,15995
2009-04-23,57.01,61.4,57.01,59.96,7970
2009-04-24,60.2,60.4,57.01,57.66,31580
2009-04-27,57.4,57.9,56.02,56.61,19520
2009-04-28,56.02,59.0,55.6,57.94,14870
2009-04-29,58.0,64.0,57.01,61.0,26280
2009-05-04,59.8,63.0,58.52,59.69,39985
2009-05-05,61.48,62.0,59.2,59.67,30540
2009-05-06,60.5,60.5,58.81,58.9,5075
2009-05-07,58.2,60.5,58.2,59.66,15035
2009-05-08,59.3,60.0,58.2,58.52,15775
2009-05-11,58.0,59.8,58.0,58.04,4610
2009-05-12,59.0,59.0,58.1,58.51,2020
2009-05-13,58.4,59.06,58.03,58.2,13555
2009-05-14,58.2,60.58,56.0,60.2,900135
2009-05-15,61.0,61.2,60.21,60.9,14510
2009-05-19,71.0,73.08,58.0,60.09,169165
2009-05-20,60.0,64.98,60.0,64.0,17590
2009-05-21,66.18,72.4,66.0,70.43,56000
2009-05-22,71.09,74.59,69.6,70.47,25600
2009-05-25,70.4,78.4,70.4,71.74,87915
2009-05-26,74.76,74.8,71.22,72.0,23780
2009-05-27,72.43,73.8,72.0,72.03,17305
2009-05-28,72.0,74.4,70.5,72.43,44675
2009-05-29,70.72,74.71,70.72,74.27,14285
