date,open,high,low,close,volume
2009-03-05,73.0,74.0,71.15,71.8,38800
2009-03-06,70.0,76.0,70.0,71.55,118995
2009-03-09,70.0,72.0,68.6,71.5,62475
2009-03-12,71.75,72.45,71.4,72.1,48448
2009-03-13,72.65,73.1,72.25,72.9,53355
2009-03-16,73.0,76.7,72.6,75.4,222928
2009-03-17,76.0,77.0,72.7,73.6,402267
2009-03-18,74.5,75.5,73.3,73.7,222620
2009-03-19,74.6,75.9,73.35,75.1,402044
2009-03-20,74.75,76.9,74.0,74.95,418124
2009-03-23,76.0,76.5,75.1,75.95,241431
2009-03-24,77.9,77.9,73.6,74.15,399240
2009-03-25,74.8,75.85,73.85,75.05,505758
2009-03-26,75.9,75.9,74.3,75.0,638972
2009-03-27,75.9,79.45,75.6,78.0,397818
2009-03-30,76.15,80.2,76.15,76.75,369426
2009-03-31,77.4,79.2,75.15,76.9,431344
2009-04-01,77.7,80.0,76.55,78.55,430920
2009-04-02,80.0,82.8,79.65,80.55,1287930
2009-04-06,82.0,83.9,80.15,82.45,1699409
2009-04-08,81.3,87.65,81.1,85.25,3767813
2009-04-09,87.0,92.0,85.5,88.65,2909789
2009-04-13,89.7,93.95,87.35,91.15,1959769
2009-04-15,90.5,98.5,89.3,97.35,2000830
2009-04-16,98.5,99.4,87.2,89.45,1066765
2009-04-17,90.5,92.8,88.0,89.3,622668
2009-04-20,89.9,91.4,84.8,86.0,779114
2009-04-21,85.0,88.8,83.7,85.15,961785
2009-04-22,85.2,87.9,84.35,85.45,364526
2009-04-23,87.0,87.0,84.0,85.35,765838
2009-04-24,85.85,89.45,83.95,87.85,683713
2009-04-27,90.75,91.45,85.6,86.4,420951
2009-04-28,87.7,87.7,80.35,81.05,775315
2009-04-29,81.5,83.7,81.05,82.05,1145873
2009-05-04,84.5,86.9,83.25,85.9,626696
2009-05-05,87.6,92.0,86.1,90.4,1592510
2009-05-06,91.3,94.8,87.65,89.15,1168988
2009-05-07,92.05,93.25,90.1,91.7,820734
2009-05-08,94.75,97.9,91.5,94.35,2307242
2009-05-11,96.0,97.0,88.55,91.05,924559
2009-05-12,91.0,94.0,91.0,92.95,753147
2009-05-13,92.05,96.7,91.0,92.15,1547927
2009-05-14,91.0,96.3,89.0,95.1,2920574
2009-05-15,97.0,100.45,93.55,95.0,3140858
2009-05-18,105.0,113.35,105.0,110.5,20177
2009-05-19,101.0,120.9,95.1,110.55,4691325
2009-05-20,111.0,123.8,110.0,122.0,2855801
2009-05-21,121.0,126.85,113.1,115.5,2553330
2009-05-22,117.0,132.3,115.5,129.7,4346034
2009-05-25,133.8,133.8,126.25,130.75,2001637
2009-05-26,132.75,133.35,123.1,124.2,1342650
2009-05-27,126.8,132.4,126.0,130.3,1616479
2009-05-28,131.2,136.6,130.9,132.75,2404314
2009-05-29,134.0,141.9,133.9,136.8,2213434
2009-06-01,140.3,148.5,138.2,147.2,2370336
2009-06-02,150.0,150.0,140.2,145.75,1536115
2009-06-03,147.75,153.75,143.75,151.0,3480804
2009-06-04,147.1,150.9,133.7,149.5,1932836
2009-06-05,152.0,152.0,143.5,144.65,974450
2009-06-08,142.0,145.4,127.8,130.25,1214533
2009-06-09,125.25,133.7,123.1,131.5,1628293
2009-06-10,134.7,137.6,128.35,129.65,1151004
2009-06-11,131.2,135.3,127.15,131.15,1168832
2009-06-12,132.5,134.0,126.35,127.9,758500
2009-06-15,127.2,134.4,125.7,127.25,1309348
2009-06-16,126.8,132.25,124.0,130.95,885387
2009-06-17,131.8,133.6,122.8,124.35,804131
2009-06-18,123.4,125.0,116.25,118.65,845100
2009-06-19,121.45,122.8,117.95,119.55,870750
2009-06-22,121.85,122.8,117.65,118.35,583195
2009-06-23,117.0,120.8,114.7,119.15,534991
2009-06-24,120.0,124.55,118.8,123.25,678747
2009-06-25,124.3,126.45,118.2,120.25,1439874
2009-06-26,122.75,123.0,117.8,120.95,1291070
2009-06-29,123.0,127.95,121.45,126.2,1422722
2009-06-30,130.0,130.0,122.0,124.35,1247644
2009-07-01,126.15,135.4,124.5,133.8,3350120
2009-07-02,134.6,135.9,130.05,131.95,1475965
2009-07-03,130.6,133.4,129.6,131.95,757784
2009-07-06,133.1,134.4,121.95,122.9,1506294
2009-07-07,123.0,124.9,117.55,121.1,612358
2009-07-08,119.0,122.85,114.55,118.35,1041292
2009-07-09,118.5,120.7,115.5,118.25,599261
2009-07-10,118.25,122.3,113.5,115.85,689648
2009-07-13,115.85,115.85,111.7,114.9,563359
2009-07-14,115.8,119.4,115.25,117.4,353453
2009-07-15,119.25,125.2,119.0,124.5,760406
2009-07-16,129.4,129.4,122.9,124.1,915563
2009-07-17,127.0,128.9,125.2,126.55,555365
2009-07-20,128.9,129.55,125.25,127.55,497233
2009-07-21,127.5,127.5,124.0,125.95,341419
2009-07-22,124.15,128.95,123.55,124.4,492564
2009-07-23,125.8,127.3,124.35,126.35,315087
2009-07-24,127.5,132.3,126.3,130.4,1105647
2009-07-27,132.0,132.45,128.0,128.75,396257
2009-07-28,129.45,132.7,129.0,130.4,857128
2009-07-29,130.5,136.3,127.3,130.35,2289614
2009-07-30,128.1,132.35,127.65,130.6,806981
2009-07-31,132.0,135.75,131.15,134.35,1011937
2009-08-03,136.0,139.8,136.0,137.7,1427863
2009-08-04,138.9,140.5,133.2,136.0,1063463
2009-08-05,137.0,138.7,134.05,136.95,505522
2009-08-06,135.55,140.0,132.15,133.25,996731
2009-08-07,133.6,133.6,125.75,127.35,494242
2009-08-10,127.6,130.35,124.25,125.6,555755
2009-08-11,126.0,126.4,123.35,124.9,590517
2009-08-12,123.0,125.25,121.3,124.65,391443
2009-08-13,126.5,129.25,126.1,128.15,1058420
2009-08-14,129.1,130.5,127.4,129.05,643111
2009-08-17,127.9,128.8,126.3,127.5,587009
2009-08-18,127.0,130.15,126.05,128.65,603115
2009-08-19,129.0,131.6,126.25,127.5,485670
2009-08-20,129.8,131.5,129.0,129.15,693363
2009-08-21,129.0,130.9,127.85,130.0,657082
2009-08-24,131.6,131.95,130.6,131.25,349327
2009-08-25,131.15,133.7,130.55,132.7,426661
2009-08-26,134.7,136.5,133.45,135.7,1134488
2009-08-27,137.1,141.7,135.7,140.45,1918696
2009-08-28,141.25,143.0,138.2,139.75,923151
2009-08-31,139.0,142.4,139.0,140.15,696879
2009-09-01,140.5,141.35,137.0,137.9,538691
2009-09-02,137.0,141.0,135.75,138.25,603005
2009-09-03,139.8,140.0,138.0,138.4,458817
2009-09-04,139.45,142.3,139.0,140.75,614867
2009-09-07,141.65,142.55,141.0,141.75,394111
2009-09-08,142.5,143.6,141.0,142.0,635646
2009-09-09,143.5,144.9,141.55,142.35,635993
2009-09-10,142.8,144.5,142.2,143.05,442225
2009-09-11,143.9,144.25,142.0,142.85,385467
2009-09-14,141.5,146.75,141.5,145.35,474015
2009-09-15,147.9,148.7,145.0,147.5,813647
2009-09-16,148.5,150.4,147.75,149.15,695975
2009-09-17,150.7,151.3,148.5,150.05,918528
