date,open,high,low,close,volume
2009-03-05,37.0,37.2,36.4,36.9,176400
2009-03-06,36.8,37.15,36.3,36.9,192505
2009-03-09,36.8,37.0,36.45,36.6,422505
2009-03-12,36.95,37.0,36.45,36.6,197520
2009-03-13,37.0,37.2,36.5,36.8,351005
2009-03-16,37.0,37.05,36.55,36.95,150650
2009-03-17,36.9,37.2,36.65,36.95,95750
2009-03-18,36.9,37.05,36.5,36.85,144585
2009-03-19,36.9,37.0,36.4,36.9,149320
2009-03-20,36.95,37.0,36.3,36.75,157530
2009-03-23,36.9,37.0,36.75,37.0,42860
2009-03-24,37.0,37.0,36.75,36.95,41985
2009-03-25,37.2,37.2,36.5,36.75,145205
2009-03-26,37.0,37.0,36.75,36.95,151605
2009-03-27,37.0,37.15,36.8,37.0,30515
2009-03-30,37.8,37.8,36.75,36.9,133610
2009-03-31,36.95,37.0,36.75,36.85,154480
2009-04-01,36.9,37.0,36.7,36.85,33840
2009-04-02,36.8,37.0,36.75,36.95,113510
2009-04-06,36.9,37.0,36.2,36.55,511360
2009-04-08,36.9,37.15,36.0,36.65,174255
2009-04-09,36.95,36.95,36.5,36.8,149120
2009-04-13,37.0,38.0,36.3,37.05,75330
2009-04-15,37.05,43.6,37.0,37.35,884925
2009-04-16,38.0,44.8,37.8,42.55,9208570
2009-04-17,44.0,46.5,41.05,43.15,671465
2009-04-20,44.0,45.8,43.25,45.1,384775
2009-04-21,43.95,44.4,42.6,43.95,249555
2009-04-22,44.2,44.6,42.8,43.0,66035
2009-04-23,42.4,43.6,40.0,41.85,40684250
2009-04-24,43.25,44.6,42.45,43.35,945355
2009-04-27,43.6,43.65,41.45,42.05,273325
2009-04-28,41.8,43.0,41.4,42.0,242845
2009-04-29,41.65,45.4,41.65,44.3,249115
2009-05-04,46.0,47.5,44.2,46.35,356435
2009-05-05,47.5,49.6,45.9,46.0,66325
2009-05-06,46.8,46.8,45.4,46.0,879790
2009-05-07,46.0,46.75,45.9,46.3,59240
2009-05-08,46.6,50.4,46.0,48.6,399075
2009-05-11,49.0,49.6,47.8,49.1,164505
2009-05-12,49.0,49.6,48.4,49.05,78110
2009-05-13,50.0,51.9,48.75,51.05,424910
2009-05-14,58.75,58.75,49.0,50.1,1120570
2009-05-15,51.5,53.0,49.2,50.6,228820
2009-05-18,54.25,54.25,54.25,54.25,50
2009-05-19,57.9,61.6,54.2,57.85,54828390
2009-05-20,60.0,61.55,58.0,60.5,182915
2009-05-21,61.0,62.0,57.2,60.0,187635
2009-05-22,59.2,59.2,57.6,58.05,67225
2009-05-25,58.0,58.4,55.8,57.25,850125
2009-05-26,60.0,64.0,57.3,57.7,144835
2009-05-27,59.8,60.2,58.8,59.8,162035
2009-05-28,59.8,60.0,58.2,58.5,108705
2009-05-29,58.0,60.0,57.4,57.65,107720
2009-06-01,60.0,68.4,58.3,59.85,384275
2009-06-02,60.0,60.0,58.4,58.7,344380
2009-06-03,59.0,59.6,57.2,58.5,268195
2009-06-04,57.25,59.4,57.2,58.45,275350
2009-06-05,58.0,59.6,56.4,58.05,12647235
2009-06-08,60.0,64.0,59.0,59.4,689450
2009-06-09,59.6,60.4,58.9,59.9,322915
2009-06-10,60.8,62.0,58.25,59.8,5020855
2009-06-11,59.6,59.8,57.4,58.05,209250
2009-06-12,59.0,61.0,57.25,59.9,462930
2009-06-15,59.6,60.0,58.6,59.25,85305
2009-06-16,58.4,59.6,58.2,58.95,260980
2009-06-17,59.0,59.4,57.8,58.05,1381760
2009-06-18,58.6,59.0,57.2,57.95,196845
2009-06-19,57.8,58.6,57.2,57.45,320445
2009-06-22,57.8,58.4,57.2,57.75,133710
2009-06-23,57.8,58.0,56.5,57.55,232165
2009-06-24,57.6,58.2,57.0,57.5,83835
2009-06-25,58.0,60.0,57.2,58.5,211575
2009-06-26,60.4,60.8,59.0,59.9,248325
2009-06-29,60.0,61.0,58.4,58.75,103945
2009-06-30,58.75,61.6,57.8,60.35,779755
2009-07-01,60.85,62.4,59.0,59.05,251665
2009-07-02,59.0,59.8,57.0,58.2,227285
2009-07-03,58.0,65.0,57.85,61.35,2450575
2009-07-06,63.0,63.0,58.4,59.5,316130
2009-07-07,58.75,60.6,57.25,59.8,354325
2009-07-08,58.75,62.0,58.25,60.2,559875
2009-07-09,59.6,60.6,59.5,60.1,246445
2009-07-10,61.8,62.0,60.0,61.15,242370
2009-07-13,60.6,60.7,59.1,59.35,279600
2009-07-14,59.7,61.4,59.7,61.0,385300
2009-07-15,61.2,61.2,60.6,60.85,440575
2009-07-16,61.0,61.9,58.6,61.05,322365
2009-07-17,61.4,62.5,60.4,62.0,124260
2009-07-20,62.4,63.5,60.8,62.05,887965
2009-07-21,61.6,62.35,60.3,60.7,737790
2009-07-22,61.7,62.35,60.8,61.7,1103940
2009-07-23,62.0,62.4,60.25,61.25,83180
2009-07-24,62.4,62.5,58.4,59.35,995295
2009-07-27,59.4,61.15,59.0,60.6,530310
2009-07-28,60.25,60.7,59.25,60.0,267895
