date,open,high,low,close,volume
2009-03-05,208.6,209.1,195.7,197.25,830022
2009-03-06,195.0,201.45,192.2,199.9,422969
2009-03-09,197.0,198.9,191.2,193.1,388234
2009-03-12,193.55,199.95,193.55,198.05,414625
2009-03-13,200.0,212.2,200.0,210.95,480701
2009-03-16,215.7,219.3,210.0,217.5,500223
2009-03-17,219.8,221.95,213.1,217.35,542297
2009-03-18,218.8,229.9,218.8,223.0,766685
2009-03-19,226.0,230.95,219.0,224.8,552727
2009-03-20,225.0,225.0,217.1,219.55,434830
2009-03-23,223.9,226.0,220.0,224.0,490013
2009-03-24,227.9,242.45,226.0,237.85,1381145
2009-03-25,239.4,248.8,236.2,239.55,1579604
2009-03-26,242.5,266.0,233.1,251.8,1552479
2009-03-27,252.0,260.0,246.6,251.0,901999
2009-03-30,248.25,250.0,239.2,245.5,605348
2009-03-31,247.0,274.8,245.35,268.1,1620622
2009-04-01,272.0,272.45,255.0,257.75,962116
2009-04-02,264.0,277.7,260.3,272.0,999110
2009-04-06,277.9,278.95,264.2,269.7,567451
2009-04-08,262.4,284.9,258.0,282.2,901338
2009-04-09,285.0,296.9,282.5,286.65,705643
2009-04-13,286.0,293.8,279.1,282.8,683633
2009-04-15,280.0,308.35,270.05,303.9,1824760
2009-04-16,311.5,322.7,290.05,301.4,2368917
2009-04-17,301.0,314.5,295.15,299.6,694623
2009-04-20,298.0,330.5,295.1,320.85,2176182
2009-04-21,315.0,319.5,301.15,304.8,1225312
2009-04-22,311.0,313.75,290.0,295.85,791532
2009-04-23,298.0,309.3,290.15,305.8,734828
2009-04-24,308.1,313.9,298.0,308.15,537839
2009-04-27,308.0,311.8,296.2,305.85,778632
2009-04-28,314.8,314.8,290.1,294.1,528106
2009-04-29,290.4,312.8,290.35,308.1,684030
2009-05-04,315.0,341.0,315.0,336.65,1186424
2009-05-05,348.0,348.0,324.3,326.2,836478
2009-05-06,330.0,350.8,326.1,332.65,1383906
2009-05-07,336.15,343.4,335.1,338.7,641949
2009-05-08,340.45,344.4,327.5,335.35,612635
2009-05-11,340.0,341.8,318.6,324.75,524847
2009-05-12,324.0,329.45,314.1,324.5,1052410
2009-05-13,321.0,339.95,316.3,329.45,703682
2009-05-14,317.1,348.4,315.1,343.7,1187119
2009-05-15,358.0,373.45,346.0,367.4,1403879
2009-05-18,440.0,440.0,404.15,426.2,5431
2009-05-19,465.0,485.85,400.0,458.25,1697038
2009-05-20,450.0,498.0,437.5,482.8,1016646
2009-05-21,483.7,493.0,457.5,461.8,721442
2009-05-22,455.0,462.9,441.0,455.55,658420
2009-05-25,460.0,463.9,434.4,446.35,789209
2009-05-26,450.05,458.0,428.0,432.15,606057
2009-05-27,444.4,478.7,436.1,463.65,529283
2009-05-28,456.0,490.85,456.0,479.1,1363153
2009-05-29,478.1,502.8,462.6,489.8,720675
2009-06-01,500.0,510.0,483.1,492.8,602857
2009-06-02,495.0,505.0,472.0,477.45,596231
2009-06-03,479.0,489.0,472.0,482.8,502212
2009-06-04,475.0,502.5,474.2,496.45,612312
2009-06-05,519.2,519.2,477.25,499.75,733299
2009-06-08,465.15,502.0,465.15,476.6,277274
2009-06-09,456.6,491.65,456.6,486.0,412104
2009-06-10,471.15,518.0,471.15,511.9,1039803
2009-06-11,538.2,538.2,500.15,508.6,886849
2009-06-12,519.9,519.9,478.5,501.75,754766
2009-06-15,507.8,508.8,480.0,483.55,638796
2009-06-16,456.15,495.0,456.15,493.6,467421
2009-06-17,480.15,494.0,462.0,465.5,412251
2009-06-18,450.1,473.95,447.5,453.8,529429
2009-06-19,455.0,475.0,450.1,469.35,271091
2009-06-22,468.3,478.0,455.0,461.25,331758
2009-06-23,450.1,477.2,447.5,466.8,448149
2009-06-24,470.35,489.25,459.0,484.45,629807
2009-06-25,485.0,489.9,475.0,478.0,991676
2009-06-26,480.0,501.9,473.0,498.35,554367
2009-06-29,499.9,509.5,490.5,497.6,665668
2009-06-30,501.0,505.4,468.0,471.8,529058
2009-07-01,472.0,493.9,472.0,487.45,526644
2009-07-02,488.0,492.0,473.2,485.3,321329
2009-07-03,557.4,557.4,480.5,489.8,452128
2009-07-06,492.0,501.7,448.25,458.3,646788
2009-07-07,462.0,468.8,443.3,459.0,475689
2009-07-08,445.05,454.0,426.2,431.45,399269
2009-07-09,432.0,435.0,422.1,426.6,423466
2009-07-10,428.0,440.75,401.1,410.7,666671
2009-07-13,402.0,405.0,376.0,385.25,943547
2009-07-14,398.4,410.0,390.4,399.25,657367
2009-07-15,410.0,431.65,402.15,426.35,898748
2009-07-16,435.0,447.0,420.05,423.55,430770
2009-07-17,430.0,456.0,425.25,452.9,1026997
2009-07-20,458.0,471.7,451.75,467.05,507486
2009-07-21,468.0,472.75,458.05,464.55,306316
2009-07-22,465.7,475.0,445.15,462.55,552271
