date,open,high,low,close,volume
2009-03-05,131.0,137.7,131.0,136.55,5883
2009-03-06,134.55,137.0,133.75,136.6,4646
2009-03-09,136.5,136.7,134.05,135.95,2621
2009-03-12,135.0,137.0,134.7,136.55,2862
2009-03-13,135.55,137.85,135.0,136.65,3868
2009-03-16,135.65,140.0,135.65,139.9,2527
2009-03-17,137.0,139.0,136.6,137.25,2825
2009-03-18,138.0,140.0,137.0,138.8,817
2009-03-19,139.7,139.7,135.5,137.65,6279
2009-03-20,135.5,140.0,135.5,138.4,1019
2009-03-23,140.8,142.5,138.0,141.7,20760
2009-03-24,143.0,145.25,141.45,144.05,24876
2009-03-25,141.05,143.9,137.0,137.95,5407
2009-03-26,143.0,143.0,137.3,140.3,20342
2009-03-27,142.95,146.0,137.5,144.3,10292
2009-03-30,143.0,148.3,140.25,145.75,4519
2009-03-31,145.0,152.0,145.0,149.65,9047
2009-04-01,150.0,153.65,148.05,151.7,12993
2009-04-02,151.45,159.75,148.35,156.65,15059
2009-04-06,156.0,161.0,155.0,156.35,9578
2009-04-08,162.25,162.25,155.0,158.25,11093
2009-04-09,160.0,165.9,158.2,160.45,16788
2009-04-13,162.8,167.2,160.0,165.65,7885
2009-04-15,168.0,192.0,163.5,182.3,37029
2009-04-16,182.0,194.0,170.0,172.95,20370
2009-04-17,174.1,193.9,173.0,181.85,45046
2009-04-20,187.95,187.95,177.05,178.35,7261
2009-04-21,178.0,179.5,170.5,174.5,3951
2009-04-22,177.0,184.5,175.75,177.25,3110
2009-04-23,176.5,177.9,166.5,168.1,48116
2009-04-24,167.0,171.85,163.0,169.45,9300
2009-04-27,172.45,185.8,169.2,170.4,30389
2009-04-28,174.95,174.95,160.0,161.45,6063
2009-04-29,165.0,183.0,162.15,179.5,634258
2009-05-04,183.8,186.85,174.0,176.4,29113
2009-05-05,178.0,184.0,175.4,178.15,12147
2009-05-06,182.65,182.65,172.0,172.1,7878
2009-05-07,177.45,186.9,170.0,174.3,89213
2009-05-08,176.0,177.9,169.0,170.9,34022
2009-05-11,174.95,174.95,166.1,168.45,11108
2009-05-12,168.0,169.45,164.1,168.1,5941
2009-05-13,169.0,171.85,164.0,167.75,7062
2009-05-14,165.5,176.45,164.0,173.65,280949
2009-05-15,176.0,177.6,168.0,170.35,8165
2009-05-19,199.0,204.45,173.0,186.6,45313
2009-05-20,192.0,203.0,182.0,199.5,26557
2009-05-21,200.0,215.0,199.0,201.55,21660
2009-05-22,202.0,241.9,202.0,217.7,111378
2009-05-25,226.95,234.5,211.05,224.65,23553
2009-05-26,225.0,229.5,211.05,213.9,8376
2009-05-27,213.9,221.95,213.9,217.75,7788
2009-05-28,226.0,229.0,218.0,219.2,25853
2009-05-29,223.0,228.7,222.1,226.35,20750
2009-06-01,230.0,240.0,226.0,238.2,78721
2009-06-02,239.0,251.6,239.0,249.45,40768
2009-06-03,250.0,259.7,245.0,252.75,21332
2009-06-04,250.0,257.9,248.0,253.55,13514
2009-06-05,255.0,256.9,242.15,245.4,15062
2009-06-08,245.0,252.45,232.0,234.6,14373
2009-06-09,234.6,241.15,231.0,234.4,15747
2009-06-10,236.0,247.0,234.35,242.2,13520
2009-06-11,242.0,247.15,236.1,238.15,8092
2009-06-12,242.0,245.0,234.0,234.65,6376
2009-06-15,225.05,234.0,225.05,228.7,8759
2009-06-16,226.0,233.55,221.1,224.65,10456
2009-06-17,225.0,227.0,220.1,220.95,5305
2009-06-18,214.0,220.0,210.0,211.65,5296
2009-06-19,213.0,231.9,213.0,226.45,31798
2009-06-22,227.0,233.5,224.0,228.05,8761
2009-06-23,220.0,227.95,218.0,225.05,7210
2009-06-24,226.0,235.0,226.0,230.45,5318
2009-06-25,235.0,241.2,230.2,235.0,6420
2009-06-26,236.0,239.0,225.4,229.75,3299
2009-06-29,239.8,239.8,230.0,235.0,11404
2009-06-30,234.0,236.0,232.5,233.0,2658
2009-07-01,232.0,240.9,232.0,238.8,5935
2009-07-02,233.0,283.0,233.0,265.0,149883
2009-07-03,261.0,264.9,250.0,255.75,24941
2009-07-06,260.0,262.0,240.0,241.8,15100
2009-07-07,243.0,250.0,238.1,241.2,7279
2009-07-08,239.0,244.9,234.0,234.25,10263
2009-07-09,234.0,263.0,232.6,247.25,128645
2009-07-10,247.0,255.1,240.1,245.05,17878
2009-07-13,237.95,247.9,229.55,231.45,8404
2009-07-14,238.0,249.8,232.2,246.8,8643
2009-07-15,244.0,258.0,244.0,253.55,46621
2009-07-16,246.0,261.95,246.0,251.1,12526
2009-07-17,253.0,258.8,248.0,253.0,15085
2009-07-20,254.0,257.0,242.0,247.95,21421
2009-07-21,248.0,249.0,241.05,247.45,4052
2009-07-22,247.9,257.9,244.15,246.75,25166
2009-07-23,253.0,253.0,238.15,242.15,10350
2009-07-24,245.0,247.75,243.0,244.8,6130
2009-07-27,245.25,245.25,241.25,242.35,6809
2009-07-28,243.0,251.0,243.0,249.9,10017
2009-07-29,250.0,274.75,246.0,254.55,28528
2009-07-30,255.0,255.0,246.1,250.7,4868
2009-07-31,254.0,273.9,248.0,266.0,27631
2009-08-03,267.0,276.25,267.0,270.45,21846
2009-08-04,274.0,284.4,256.1,264.3,8769
2009-08-05,260.0,272.0,260.0,264.65,2476
2009-08-06,260.0,273.75,250.65,255.15,9253
2009-08-07,250.05,259.7,242.0,246.9,10964
2009-08-10,254.9,255.0,240.0,240.7,12591
2009-08-11,241.0,247.85,235.1,242.65,7886
2009-08-12,241.25,247.9,240.0,242.4,7899
2009-08-13,245.05,255.0,240.0,250.5,17902
2009-08-14,249.0,257.9,246.4,251.05,16838
2009-08-17,251.95,270.8,247.5,258.2,91203
2009-08-18,260.0,265.45,259.0,262.7,11137
2009-08-19,264.85,264.85,253.0,254.3,5802
2009-08-20,256.0,263.05,253.1,260.7,7692
2009-08-21,259.0,262.0,254.05,255.7,3504
2009-08-24,286.4,286.4,250.05,255.65,8236
2009-08-25,255.5,262.0,255.5,259.05,6637
2009-08-26,260.0,268.0,260.0,260.25,16344
2009-08-27,258.0,278.0,258.0,275.0,132728
2009-08-28,275.0,282.0,270.0,273.35,40326
2009-08-31,279.7,279.7,263.2,267.45,19939
2009-09-01,274.15,277.0,259.0,263.2,18958
2009-09-02,258.55,267.0,258.5,264.6,9912
2009-09-03,270.0,270.0,256.2,260.6,10780
2009-09-04,269.0,269.95,258.0,262.2,8309
2009-09-07,260.0,271.95,260.0,264.9,15749
2009-09-08,270.5,271.0,264.0,266.9,13154
2009-09-09,265.1,270.0,265.1,267.3,10551
2009-09-10,270.0,272.0,263.05,264.75,9261
2009-09-11,268.85,268.85,261.75,264.3,8446
2009-09-14,262.0,269.0,262.0,263.25,4370
2009-09-15,266.3,274.0,265.0,270.05,15294
2009-09-16,272.0,274.0,270.0,271.35,8665
2009-09-17,272.0,283.5,270.25,273.65,34695
2009-09-18,270.0,285.0,270.0,281.2,29936
2009-09-22,283.8,291.0,277.5,283.4,37478
2009-09-23,285.0,286.45,275.15,276.6,14059
2009-09-24,279.0,281.0,274.95,276.1,10347
2009-09-25,278.9,293.0,277.0,280.05,53062
2009-09-29,284.0,306.0,284.0,296.9,313337
