date,open,high,low,close,volume
2009-03-05,81.0,83.4,77.0,79.3,51758
2009-03-06,79.0,81.85,76.15,79.45,40185
2009-03-09,79.6,79.95,78.0,78.65,23701
2009-03-12,78.0,80.0,77.4,78.65,45670
2009-03-13,79.0,81.8,77.05,78.65,135068
2009-03-16,78.7,80.5,77.1,78.6,132753
2009-03-17,79.85,80.4,77.0,78.5,110654
2009-03-18,79.2,82.0,75.1,77.5,328818
2009-03-19,78.95,79.95,76.7,77.55,71127
2009-03-20,78.35,78.35,75.5,76.1,45440
2009-03-23,77.5,77.8,75.0,77.15,100672
2009-03-24,78.85,80.0,75.1,76.0,128110
2009-03-25,75.2,78.9,75.05,77.85,83129
2009-03-26,83.75,92.3,80.1,81.35,265231
2009-03-27,81.0,83.5,80.1,82.1,98009
2009-03-30,81.0,81.7,77.1,78.05,73898
2009-03-31,79.0,80.9,78.15,79.15,75499
2009-04-01,80.8,82.45,78.55,81.7,66780
2009-04-02,83.0,88.0,83.0,84.4,249351
2009-04-06,87.3,89.8,85.3,88.1,194726
2009-04-08,85.3,95.9,84.3,93.35,459894
2009-04-09,97.2,102.0,95.05,96.6,418435
2009-04-13,99.0,104.8,97.5,101.35,428035
2009-04-15,101.5,111.0,101.5,107.4,558970
2009-04-16,109.05,115.0,96.05,98.15,471822
2009-04-17,102.4,109.85,98.15,99.6,600825
2009-04-20,103.9,105.55,102.0,103.5,308923
2009-04-21,100.25,105.0,98.55,103.9,314780
2009-04-22,109.85,109.85,99.65,102.05,177334
2009-04-23,102.5,103.8,98.2,101.3,223883
2009-04-24,102.05,103.9,100.65,102.95,191058
2009-04-27,105.0,107.3,100.15,101.15,151818
2009-04-28,101.2,102.8,97.5,98.35,89160
2009-04-29,99.9,100.95,96.5,99.25,111431
2009-05-04,102.55,104.5,101.75,102.75,138500
2009-05-05,106.1,114.35,104.5,111.8,734067
2009-05-06,113.8,119.8,109.1,110.95,571844
2009-05-07,112.0,114.0,110.2,111.6,169744
2009-05-08,110.0,115.8,110.0,113.8,415703
2009-05-11,118.0,118.8,108.2,110.85,362986
2009-05-12,111.45,111.45,106.65,110.4,142882
2009-05-13,115.0,118.95,110.5,112.75,508181
2009-05-14,107.55,114.35,107.05,112.4,149967
2009-05-15,114.95,115.0,109.75,111.2,162645
2009-05-18,120.1,133.45,120.1,131.1,5200
2009-05-19,140.0,156.9,115.5,149.3,975506
2009-05-20,146.0,173.75,146.0,169.65,506575
2009-05-21,181.0,186.65,177.5,185.5,312391
2009-05-22,194.8,203.0,190.55,194.8,908738
2009-05-25,199.0,199.0,193.0,194.1,297369
2009-05-26,196.1,198.75,176.55,180.8,364558
2009-05-27,194.0,198.9,190.0,192.65,325355
2009-05-28,196.0,200.5,188.0,190.6,206059
2009-05-29,194.45,197.0,190.0,192.1,330697
2009-06-01,198.0,203.15,195.15,200.65,436842
2009-06-02,204.65,207.0,194.2,202.75,304217
2009-06-03,207.0,223.05,207.0,223.05,247629
2009-06-04,245.4,245.4,230.0,245.4,573839
2009-06-05,253.3,257.7,235.05,243.35,901630
2009-06-08,244.0,255.55,231.2,231.2,113090
2009-06-09,219.7,242.8,219.65,239.9,508569
2009-06-10,246.65,246.9,227.9,227.9,332591
2009-06-11,230.0,231.9,215.65,221.1,227250
2009-06-12,223.0,227.0,219.1,221.8,248314
2009-06-15,218.65,220.0,210.75,210.75,151376
2009-06-16,203.3,221.3,201.0,221.3,255389
2009-06-17,225.0,232.4,216.0,223.15,484806
2009-06-18,225.0,232.95,218.0,224.4,587291
2009-06-19,232.0,234.95,213.2,213.35,275914
2009-06-22,215.0,220.8,202.9,205.1,158176
2009-06-23,195.1,199.4,194.85,197.2,79339
2009-06-24,199.9,204.0,191.0,199.15,148257
2009-06-25,191.05,204.8,191.05,201.2,65126
2009-06-26,204.4,208.4,202.25,205.1,92551
2009-06-29,210.5,215.4,210.5,215.4,31258
2009-06-30,220.0,226.2,204.65,208.65,323708
2009-07-01,210.4,215.5,200.2,212.85,100848
2009-07-02,215.0,223.5,213.2,223.5,193557
2009-07-03,221.0,232.7,218.1,226.55,396146
2009-07-06,229.75,233.95,215.25,223.7,312947
2009-07-07,227.7,227.7,204.0,220.95,70028
2009-07-08,212.0,246.0,204.1,211.75,344418
2009-07-09,210.9,214.0,185.15,200.3,736924
2009-07-10,206.0,208.8,190.0,195.25,148769
2009-07-13,190.0,190.0,176.0,177.95,216776
2009-07-14,185.0,188.0,181.05,185.05,189118
2009-07-15,187.9,192.2,187.0,189.7,199943
2009-07-16,195.0,199.0,183.4,185.85,183716
2009-07-17,192.5,192.5,188.1,190.85,230956
2009-07-20,192.0,205.45,192.0,203.0,364564
2009-07-21,203.0,203.0,194.0,195.05,219710
2009-07-22,197.4,204.9,194.55,197.05,239208
2009-07-23,199.7,203.0,198.4,200.95,392503
2009-07-24,204.0,210.0,200.5,202.55,237324
2009-07-27,205.0,218.4,203.25,209.7,684778
2009-07-28,204.0,224.25,204.0,221.65,1025429
2009-07-29,222.0,227.0,208.1,218.95,676175
2009-07-30,216.0,220.0,208.0,214.85,243627
2009-07-31,217.05,218.75,213.0,216.2,223066
2009-08-03,220.0,221.0,213.2,217.35,97362
2009-08-04,219.85,226.0,218.0,222.4,274477
2009-08-05,222.5,227.0,217.1,218.15,116259
2009-08-06,219.0,221.0,209.0,210.5,154931
2009-08-07,209.0,210.95,207.25,208.2,129752
2009-08-10,212.0,213.0,196.0,199.4,62927
2009-08-11,206.5,206.5,197.0,200.3,57435
2009-08-12,198.1,210.0,195.0,208.0,111833
2009-08-13,213.0,217.0,210.05,216.5,183541
2009-08-14,216.9,222.0,212.1,217.3,297530
2009-08-17,214.0,217.0,202.0,202.9,83691
2009-08-18,201.0,211.5,201.0,206.5,73417
2009-08-19,208.5,214.0,202.15,204.55,149466
2009-08-20,210.0,214.0,207.0,209.1,201611
2009-08-21,209.9,221.95,207.0,218.35,922773
2009-08-24,222.0,249.9,222.0,242.95,1608824
2009-08-25,239.0,246.0,231.35,239.2,1094677
2009-08-26,245.0,251.4,239.5,241.9,601249
2009-08-27,255.0,265.7,240.0,251.05,1911346
2009-08-28,252.0,258.25,245.15,250.1,574756
2009-08-31,245.0,254.0,243.5,247.05,420555
2009-09-01,251.7,255.0,225.0,234.95,546278
2009-09-02,235.0,241.4,230.0,236.65,253960
2009-09-03,240.0,242.8,238.0,239.4,136598
2009-09-04,241.85,242.8,233.05,236.45,108820
2009-09-07,240.0,257.25,238.25,252.5,493645
2009-09-08,254.5,257.7,244.0,245.7,260078
2009-09-09,241.15,248.3,240.25,242.1,151587
2009-09-10,248.35,284.0,243.05,244.8,557479
2009-09-11,246.25,254.0,234.5,236.8,211527
2009-09-14,235.0,237.85,230.2,232.95,170429
2009-09-15,234.0,250.0,233.0,247.7,374829
2009-09-16,251.5,256.9,240.0,245.5,449175
2009-09-17,253.35,259.9,248.0,256.3,581920
2009-09-18,258.0,281.2,248.1,269.9,1213040
2009-09-22,269.9,281.2,263.15,272.55,582531
2009-09-23,273.0,274.8,256.0,257.95,251542
