date,open,high,low,close,volume
2009-03-05,5.63,5.82,5.63,5.7,69580
2009-03-06,5.78,5.82,5.63,5.66,73880
2009-03-09,5.82,5.82,5.4,5.45,73490
2009-03-12,5.72,5.82,5.34,5.4,142948
2009-03-13,5.51,5.63,5.36,5.47,133608
2009-03-16,5.63,5.66,5.44,5.59,69884
2009-03-17,5.44,5.82,5.44,5.74,97036
2009-03-18,5.82,6.2,5.76,5.87,373522
2009-03-19,6.02,6.47,6.02,6.15,340170
2009-03-20,6.19,6.19,5.96,6.05,38724
2009-03-23,6.19,6.36,6.02,6.19,117256
2009-03-24,6.19,6.36,6.05,6.09,110144
2009-03-25,6.05,6.17,5.96,6.04,90048
2009-03-26,6.09,6.09,5.96,6.02,84280
2009-03-27,6.0,6.24,6.0,6.19,147042
2009-03-30,6.04,6.17,5.96,6.0,36146
2009-03-31,6.02,6.04,5.91,5.95,80372
2009-04-01,6.09,6.19,6.0,6.15,90826
2009-04-02,6.36,6.41,6.19,6.2,245736
2009-04-06,6.38,6.55,6.22,6.43,206748
2009-04-08,6.38,6.8,6.28,6.71,329592
2009-04-09,6.9,7.09,6.53,6.66,373740
2009-04-13,6.77,7.13,6.66,6.94,457762
2009-04-15,7.13,7.32,6.82,7.2,628388
2009-04-16,7.22,7.69,6.86,7.03,748864
2009-04-17,7.13,7.78,7.13,7.37,1162194
2009-04-20,7.84,8.15,7.2,7.41,567236
2009-04-21,7.32,8.42,7.22,8.05,2060746
2009-04-22,8.25,8.25,7.5,7.55,477460
2009-04-23,7.5,8.4,7.39,7.97,1141810
2009-04-24,7.88,8.06,7.67,7.76,368712
2009-04-27,8.25,8.36,7.41,7.61,233724
2009-04-28,7.24,7.65,7.24,7.3,135536
2009-04-29,7.32,7.54,7.16,7.3,168588
2009-05-04,7.43,7.97,7.39,7.69,319412
2009-05-05,7.88,8.06,7.55,7.72,451600
2009-05-06,7.57,8.25,7.24,7.88,728290
2009-05-07,8.02,8.35,7.84,8.21,748252
2009-05-08,7.88,8.72,7.88,8.29,805882
2009-05-11,8.29,9.47,7.67,9.2,1869044
2009-05-12,9.38,9.56,8.83,9.04,2709280
2009-05-13,9.27,9.27,8.44,8.63,506416
2009-05-14,8.18,8.77,7.69,8.29,481604
2009-05-15,8.6,8.66,8.36,8.4,297112
2009-05-19,9.02,9.56,8.63,8.77,617868
2009-05-20,8.63,9.48,8.36,9.35,603234
2009-05-21,9.52,10.5,9.38,9.85,900450
2009-05-22,10.1,10.65,9.82,10.33,746576
2009-05-25,10.5,10.97,10.5,10.74,588730
2009-05-26,10.88,11.53,10.05,10.26,699252
2009-05-27,10.77,10.82,10.33,10.65,318756
2009-05-28,10.88,10.98,10.33,10.48,240012
2009-05-29,10.85,12.58,10.52,12.35,3265228
2009-06-01,13.05,13.05,12.03,12.23,3619536
2009-06-02,12.34,12.69,11.77,12.13,1741714
2009-06-03,12.13,12.95,12.13,12.48,1876008
