date,open,high,low,close,volume
2009-03-05,39.75,40.24,37.8,38.13,5476
2009-03-06,37.5,38.5,36.81,37.06,4144
2009-03-09,38.5,38.5,36.8,37.44,1448
2009-03-12,37.01,38.47,37.0,37.38,6224
2009-03-13,38.63,38.63,37.03,37.89,14712
2009-03-16,38.0,39.5,36.88,39.3,11040
2009-03-17,39.65,40.47,38.51,40.47,4856
2009-03-18,39.97,40.13,39.03,39.41,4412
2009-03-19,39.67,40.25,39.08,39.5,1848
2009-03-20,39.5,41.09,39.5,40.36,9356
2009-03-23,40.05,41.0,39.53,40.51,5888
2009-03-24,40.5,41.24,40.11,41.0,9732
2009-03-25,40.75,40.75,40.38,40.38,6164
2009-03-26,40.34,41.22,39.15,40.89,74352
2009-03-27,40.26,41.22,40.03,41.08,69396
2009-03-30,39.53,41.16,39.53,40.94,4028
2009-03-31,41.63,41.63,40.26,41.25,5504
2009-04-01,40.53,42.0,40.53,41.3,4308
2009-04-02,41.25,42.25,41.06,42.24,5020
2009-04-06,42.38,44.25,42.38,43.3,4660
2009-04-08,42.5,43.2,41.84,42.72,4116
2009-04-09,43.7,44.99,42.0,44.25,12436
2009-04-13,46.0,46.0,45.15,45.8,6052
2009-04-15,47.24,47.24,42.75,45.64,41192
2009-04-16,47.0,48.0,46.25,46.65,11796
2009-04-17,46.5,49.25,46.5,47.49,25708
2009-04-20,48.75,49.19,47.53,47.95,4948
2009-04-21,46.55,48.74,46.55,47.5,87276
2009-04-22,47.76,48.5,47.5,47.6,7336
2009-04-23,47.5,49.0,47.5,48.36,6844
2009-04-24,48.74,49.59,47.85,48.05,5068
2009-04-27,48.74,49.44,48.01,48.7,6436
2009-04-28,50.42,50.42,48.25,48.53,5124
2009-04-29,48.75,49.0,48.25,48.88,8240
2009-05-04,48.97,49.5,48.75,48.75,6052
2009-05-05,48.89,54.97,48.81,51.11,67156
2009-05-06,52.0,53.6,48.75,48.95,6012
2009-05-07,50.25,51.0,50.0,50.55,9384
2009-05-08,50.0,50.5,49.0,49.0,9236
2009-05-11,49.25,50.7,48.75,49.83,6604
2009-05-12,48.92,55.63,48.45,50.61,66404
2009-05-13,50.0,51.95,50.0,50.08,14824
2009-05-14,50.0,51.47,50.0,50.78,3336
2009-05-15,51.61,51.75,50.42,51.01,14832
2009-05-19,52.5,57.5,52.5,53.64,25536
2009-05-20,60.65,61.25,55.01,60.16,44248
2009-05-21,65.5,65.5,62.5,63.47,32204
2009-05-22,63.75,70.5,60.5,68.21,159504
2009-05-25,71.25,72.5,64.75,68.4,14064
2009-05-26,69.0,69.0,63.75,64.04,21100
2009-05-27,65.13,68.75,55.49,68.15,21456
2009-05-28,68.63,69.75,66.5,69.03,13216
2009-05-29,70.5,77.35,68.25,76.09,266200
2009-06-01,77.5,83.25,76.28,80.59,110028
2009-06-02,80.0,81.25,74.5,75.32,49368
2009-06-03,77.5,78.72,75.0,76.34,33548
2009-06-04,74.03,79.97,74.0,78.5,33532
2009-06-05,79.25,79.75,70.75,74.93,45036
2009-06-08,75.0,76.0,72.53,73.14,35672
2009-06-09,72.53,74.4,67.79,71.11,29276
2009-06-10,72.78,74.15,68.88,70.01,21400
2009-06-11,68.82,70.99,67.47,70.0,16344
2009-06-12,69.0,71.75,69.0,70.57,8928
2009-06-15,70.25,77.2,68.07,70.1,58792
2009-06-16,70.57,71.24,68.72,69.18,13688
2009-06-17,69.0,69.99,66.32,66.91,9988
2009-06-18,67.03,68.15,64.75,64.99,14112
2009-06-19,66.72,66.74,63.0,64.0,7108
2009-06-22,66.25,67.19,63.13,63.42,17440
2009-06-23,62.75,65.72,62.75,65.24,10676
2009-06-24,64.78,68.6,64.78,68.24,14812
2009-06-25,68.4,68.74,66.38,67.8,6128
2009-06-26,68.38,68.74,67.26,68.01,4112
2009-06-29,68.0,72.0,66.01,70.4,35096
2009-06-30,71.22,71.86,69.75,70.74,24880
2009-07-01,72.2,72.2,70.5,71.5,18672
2009-07-02,70.0,73.5,70.0,71.41,21252
2009-07-03,70.91,73.69,70.5,72.57,40960
2009-07-06,71.25,73.99,71.25,71.25,21140
2009-07-07,71.24,71.25,66.55,68.22,19652
2009-07-08,68.5,68.75,64.25,65.39,428280
2009-07-09,65.99,67.5,65.75,66.39,13564
2009-07-10,66.25,69.75,66.25,67.24,13472
2009-07-13,66.75,68.47,63.84,65.97,18388
2009-07-14,65.5,67.22,65.01,65.85,6560
2009-07-15,66.25,68.59,65.78,67.26,22428
2009-07-16,67.75,68.49,67.0,67.35,11452
2009-07-17,68.63,71.25,67.85,68.75,4096300
2009-07-20,70.0,71.19,69.07,70.65,23284
2009-07-21,69.57,71.34,69.57,70.82,14024
2009-07-22,71.25,73.2,71.25,72.71,24912
2009-07-23,73.47,73.47,71.04,73.0,414388
2009-07-24,73.25,73.25,70.75,71.65,23624
