date,open,high,low,close,volume
2009-03-05,13.75,13.85,13.5,13.55,12666
2009-03-06,13.7,14.15,13.25,13.9,33037
2009-03-09,13.9,14.45,13.55,13.95,17902
2009-03-12,14.6,14.6,13.5,13.9,42827
2009-03-13,14.25,14.25,13.95,14.05,22596
2009-03-16,14.0,15.0,13.65,14.25,16592
2009-03-17,14.5,14.65,14.05,14.1,11937
2009-03-18,14.5,15.9,14.25,14.95,42298
2009-03-19,15.25,15.65,15.0,15.35,18200
2009-03-20,16.0,16.0,14.75,15.1,8584
2009-03-23,15.4,15.4,14.5,14.65,20733
2009-03-24,14.8,15.8,14.7,15.0,34254
2009-03-25,14.75,15.05,14.65,14.85,31403
2009-03-26,15.0,15.25,14.55,14.95,12100
2009-03-27,14.5,15.6,14.5,15.1,22087
2009-03-30,15.0,15.5,14.75,15.0,19181
2009-03-31,14.85,15.25,14.65,14.85,16779
2009-04-01,15.25,16.5,14.8,16.15,40693
2009-04-02,16.9,19.4,16.5,19.4,132927
2009-04-06,21.0,21.4,19.05,19.6,167898
2009-04-08,18.65,20.85,18.45,19.95,73012
2009-04-09,20.1,20.7,19.4,19.6,52058
2009-04-13,20.1,20.5,19.75,20.05,46150
2009-04-15,19.9,21.25,19.4,20.95,100566
2009-04-16,21.9,21.9,18.2,18.85,147010
2009-04-17,18.3,22.65,18.3,21.7,297904
2009-04-20,24.0,25.3,22.75,23.05,310022
2009-04-21,22.75,22.95,21.9,22.15,58788
2009-04-22,21.95,22.45,20.25,21.0,53179
2009-04-23,20.55,22.05,20.35,21.3,45766
2009-04-24,20.9,21.9,20.8,21.05,52010
2009-04-27,21.5,21.5,20.3,20.65,27039
2009-04-28,20.55,20.8,19.85,20.1,39824
2009-04-29,20.25,21.2,20.0,20.25,60197
2009-05-04,20.95,22.3,20.3,22.0,93729
2009-05-05,24.0,24.1,21.1,21.6,88053
2009-05-06,21.4,22.3,21.05,21.25,50802
2009-05-07,21.3,22.1,21.05,21.8,63806
2009-05-08,21.55,21.85,20.5,20.9,26817
2009-05-11,20.95,21.0,20.05,20.25,25214
2009-05-12,20.8,21.8,20.0,21.55,49478
2009-05-13,21.75,21.9,20.6,20.8,31964
2009-05-14,20.95,20.95,20.15,20.55,9370
2009-05-15,21.45,21.5,20.7,20.8,18837
2009-05-18,22.35,23.0,22.35,22.95,312
2009-05-19,23.5,27.55,23.0,26.3,263895
2009-05-20,26.0,28.4,25.5,27.5,142737
2009-05-21,27.9,30.35,27.55,28.45,165828
2009-05-22,30.0,30.2,28.0,29.55,81055
2009-05-25,31.0,31.05,29.4,30.15,71245
2009-05-26,30.5,31.5,28.0,28.0,83902
2009-05-27,28.4,30.4,28.0,29.4,71477
2009-05-28,29.45,29.45,28.0,28.2,51398
2009-05-29,28.2,31.05,28.2,31.0,319482
2009-06-01,32.0,34.1,31.55,34.1,429796
2009-06-02,36.85,36.85,30.95,33.55,470057
2009-06-03,34.75,35.35,33.15,33.85,199318
2009-06-04,33.5,34.7,31.65,32.25,231199
2009-06-05,31.25,34.5,31.25,32.15,216326
2009-06-08,32.5,32.5,29.6,30.1,93695
2009-06-09,29.65,29.9,28.5,29.8,59805
2009-06-10,29.7,30.3,28.45,28.85,63248
2009-06-11,29.0,29.75,28.2,28.4,33115
2009-06-12,29.0,29.0,27.55,27.85,39644
2009-06-15,28.0,28.0,27.5,27.6,38885
2009-06-16,27.7,28.45,26.5,27.65,44232
2009-06-17,27.8,28.35,26.45,26.85,22570
2009-06-18,26.5,27.0,25.75,26.0,30853
2009-06-19,26.25,26.8,25.6,26.2,18188
2009-06-22,26.3,26.95,26.0,26.1,15101
2009-06-23,25.75,26.2,25.2,25.75,20032
2009-06-24,26.05,26.45,25.65,26.1,19780
2009-06-25,27.5,27.5,25.6,26.0,11224
2009-06-26,27.4,27.9,26.35,26.8,40295
2009-06-29,27.0,27.4,26.3,26.65,32707
2009-06-30,26.5,26.9,26.1,26.35,21976
2009-07-01,25.8,27.0,25.8,26.65,13533
2009-07-02,26.75,27.0,26.25,26.85,9499
2009-07-03,26.35,27.0,25.75,26.25,29868
2009-07-06,27.0,27.0,25.25,25.7,54783
2009-07-07,25.3,25.75,24.75,25.2,31903
2009-07-08,24.6,26.5,24.3,25.55,22809
2009-07-09,25.25,25.95,25.05,25.2,10706
2009-07-10,25.65,25.65,25.0,25.0,13411
2009-07-13,25.25,25.4,23.8,24.6,41523
2009-07-14,24.65,25.4,24.05,24.95,20725
2009-07-15,25.85,29.75,25.4,27.75,73204
2009-07-16,29.5,29.5,26.8,27.0,50789
2009-07-17,26.6,27.9,25.9,26.45,78586
2009-07-20,27.5,27.6,26.7,27.3,54740
2009-07-21,27.0,27.5,26.5,27.3,31533
