date,open,high,low,close,volume
2009-03-05,97.8,102.05,96.5,99.6,3753610
2009-03-06,97.9,102.86,97.9,102.09,2584530
2009-03-09,102.0,102.17,97.4,97.82,2246570
2009-03-12,99.2,103.5,98.5,102.76,2742390
2009-03-13,103.95,105.49,100.3,101.78,3041330
2009-03-16,103.4,103.85,98.71,99.93,5839620
2009-03-17,100.38,101.49,98.72,99.2,3346140
2009-03-18,102.8,102.8,99.33,99.75,1505400
2009-03-19,100.4,102.5,99.71,102.16,1782890
2009-03-20,101.47,104.1,101.3,103.64,1314590
2009-03-23,104.4,109.38,103.1,108.44,1541370
2009-03-24,109.0,110.5,104.5,106.71,2320770
2009-03-25,105.7,107.5,103.65,106.26,3872260
2009-03-26,106.5,109.0,105.21,107.39,3303700
2009-03-27,107.51,110.8,106.6,108.05,2182930
2009-03-30,109.0,111.02,107.01,108.5,2420960
2009-03-31,109.0,112.4,107.4,111.14,2945240
2009-04-01,110.11,112.0,105.5,106.54,3827150
2009-04-02,106.9,109.9,105.65,106.68,5588770
2009-04-06,107.7,108.4,106.24,106.99,3217060
2009-04-08,106.0,112.45,105.17,111.68,4840400
2009-04-09,112.5,113.2,110.04,112.75,2010890
2009-04-13,113.3,116.6,113.0,114.86,3779060
2009-04-15,116.0,124.4,112.51,121.81,5182880
2009-04-16,121.5,125.0,119.61,123.89,3358640
2009-04-17,122.61,125.0,119.2,120.64,2987370
2009-04-20,121.2,122.5,117.13,118.26,2616250
2009-04-21,115.5,123.5,114.8,122.29,3677910
2009-04-22,122.4,122.5,116.96,118.24,2030580
2009-04-23,117.1,119.5,115.0,117.25,2456620
2009-04-24,117.29,120.3,117.0,119.63,1674970
2009-04-27,119.0,124.3,117.0,123.13,4618740
2009-04-28,123.5,124.8,121.1,122.99,5665580
2009-04-29,123.2,128.9,120.31,127.84,5141370
2009-05-04,129.0,132.6,128.05,129.22,5650290
2009-05-05,128.0,131.0,125.86,129.76,2873340
2009-05-06,127.11,132.0,127.11,130.13,2615540
2009-05-07,128.3,132.4,127.03,129.52,1974050
2009-05-08,131.0,131.99,126.6,129.13,4017240
2009-05-11,131.86,131.86,127.0,129.32,1869750
2009-05-12,127.4,131.0,127.4,130.18,3602880
2009-05-13,129.2,130.9,128.53,129.4,1916110
2009-05-14,128.99,130.99,125.25,126.44,1440570
2009-05-15,139.8,139.8,125.71,130.24,1274720
2009-05-18,147.0,159.9,132.5,159.01,48070
2009-05-19,141.1,159.8,135.0,137.4,6153680
2009-05-20,138.2,140.5,127.96,130.54,5340170
2009-05-21,131.6,131.6,126.11,126.81,3858320
2009-05-22,127.79,130.5,123.5,129.06,3098180
2009-05-25,129.0,132.79,127.21,131.65,2521450
2009-05-26,132.1,135.45,130.0,130.84,2494370
2009-05-27,132.0,134.6,129.0,132.23,3446630
2009-05-28,132.79,137.38,129.26,132.03,5727890
2009-05-29,132.5,134.0,119.0,121.38,17614820
2009-06-01,123.0,126.39,120.7,121.69,6380500
2009-06-02,123.0,124.0,120.72,122.96,6488880
2009-06-03,124.0,126.4,123.0,125.47,3106470
2009-06-04,125.5,132.09,125.0,130.48,6775120
2009-06-05,130.2,135.5,129.25,134.61,6811110
2009-06-08,134.6,139.3,130.4,133.87,3038830
2009-06-09,129.01,135.5,129.01,133.65,1992700
2009-06-10,132.0,137.4,130.6,132.72,1560460
2009-06-11,133.78,135.0,132.1,134.28,2016010
2009-06-12,134.8,134.85,129.32,132.16,2580750
2009-06-15,131.8,131.8,126.36,127.88,2284060
2009-06-16,125.22,133.56,125.22,132.63,1668900
2009-06-17,133.0,133.0,129.0,129.65,1038560
2009-06-18,129.05,132.9,127.5,131.62,1945070
2009-06-19,132.5,135.0,129.34,131.24,2939180
2009-06-22,132.2,134.0,126.8,128.55,2853640
2009-06-23,128.0,131.37,127.0,128.04,2179470
2009-06-24,129.5,135.0,127.51,134.54,4255490
2009-06-25,135.01,136.99,127.51,129.15,5390790
2009-06-26,128.05,128.05,105.0,114.11,28874690
2009-06-29,113.3,115.0,108.21,110.02,12379630
2009-06-30,110.5,114.29,108.22,109.06,5870970
2009-07-01,109.99,112.5,108.53,111.88,6046320
2009-07-02,112.33,117.0,112.01,114.63,6637630
2009-07-03,115.0,117.45,113.01,115.17,2719450
2009-07-06,115.9,117.0,110.81,112.72,2332870
2009-07-07,114.0,115.99,112.5,114.75,2095790
2009-07-08,115.5,116.9,111.81,114.61,2807950
