date,open,high,low,close,volume
2009-03-05,21.56,22.4,21.56,21.88,12325
2009-03-06,21.02,21.8,21.02,21.34,10220
2009-03-09,21.2,22.18,19.45,19.67,34710
2009-03-12,21.37,21.37,18.44,18.58,9275
2009-03-13,19.18,19.8,18.87,19.13,8395
2009-03-16,18.86,19.4,18.86,19.34,13485
2009-03-17,19.12,19.58,19.12,19.12,9950
2009-03-18,19.02,20.0,19.02,19.69,8325
2009-03-19,20.4,20.4,19.62,20.26,236735
2009-03-20,20.0,20.2,20.0,20.01,10385
2009-03-23,20.01,21.2,20.01,20.91,25985
2009-03-24,20.34,21.2,20.34,20.62,2020
2009-03-25,20.4,21.78,20.0,21.53,64080
2009-03-26,22.0,22.47,20.85,21.97,11175
2009-03-27,21.0,21.99,20.83,21.28,17065
2009-03-30,21.0,21.2,20.26,21.13,13060
2009-03-31,21.0,21.76,21.0,21.15,16850
2009-04-01,21.12,22.4,21.12,22.21,18785
2009-04-02,22.43,23.32,22.2,22.84,32175
2009-04-06,23.32,25.48,23.21,24.16,30835
2009-04-08,22.16,25.54,22.16,25.3,15860
2009-04-09,25.6,28.8,25.12,27.96,84080
2009-04-13,28.8,30.8,28.6,30.08,60655
2009-04-15,28.4,32.34,28.4,31.84,73025
2009-04-16,33.0,35.03,33.0,33.68,312720
2009-04-17,34.8,34.8,32.05,32.38,99825
2009-04-20,33.38,35.52,32.82,33.13,72765
2009-04-21,33.0,33.39,32.21,32.38,25745
2009-04-22,32.99,34.0,31.8,32.34,67860
2009-04-23,32.8,33.6,31.55,32.26,45535
2009-04-24,32.98,33.0,32.2,32.68,11910
2009-04-27,32.6,33.4,32.0,32.89,49030
2009-04-28,32.02,33.38,32.0,32.46,15395
2009-04-29,32.43,32.79,31.5,31.85,21455
2009-05-04,34.8,35.04,33.6,34.38,70265
2009-05-05,35.68,35.73,34.0,34.34,259055
2009-05-06,34.22,34.76,33.45,33.72,13850
2009-05-07,33.9,34.3,33.23,33.69,10860
2009-05-08,33.02,36.98,33.02,34.28,51640
2009-05-11,34.59,34.59,32.42,32.83,17010
2009-05-12,32.42,33.66,31.8,33.07,26730
2009-05-13,33.89,33.89,32.47,33.15,4005
2009-05-14,32.2,33.78,32.2,33.47,5295
2009-05-15,33.9,34.6,33.1,33.66,22015
2009-05-18,36.6,36.6,36.6,36.6,30
2009-05-19,37.0,38.0,34.0,37.17,87225
2009-05-20,37.8,40.88,37.8,40.84,93420
2009-05-21,42.0,42.8,36.78,39.27,82105
2009-05-22,38.8,42.4,38.4,41.95,30985
2009-05-25,42.0,45.78,40.21,45.41,61235
2009-05-26,46.0,46.7,43.14,43.24,27250
2009-05-27,44.79,45.0,42.7,43.57,27185
2009-05-28,43.43,44.6,43.43,43.96,10810
2009-05-29,43.8,45.0,43.8,44.13,24540
2009-06-01,44.6,46.34,44.6,46.34,59210
2009-06-02,47.68,47.68,44.55,45.17,45765
2009-06-03,47.0,47.43,46.6,47.43,307205
2009-06-04,47.6,49.78,47.6,48.98,37010
2009-06-05,51.12,51.12,47.2,47.9,46720
2009-06-08,48.0,49.18,45.51,45.51,73435
2009-06-09,47.54,47.79,44.5,47.79,120980
2009-06-10,49.48,50.07,46.82,47.22,38365
2009-06-11,48.78,48.99,47.0,47.04,45640
2009-06-12,47.06,49.4,47.01,48.77,83720
2009-06-15,48.4,50.0,48.4,49.69,175940
2009-06-16,49.99,50.18,48.25,49.6,31225
2009-06-17,50.0,51.6,49.0,49.35,46235
2009-06-18,48.8,49.4,47.1,47.27,29295
2009-06-19,47.1,49.6,46.4,47.45,32060
2009-06-22,49.4,49.4,45.8,46.72,15380
2009-06-23,47.6,47.6,44.8,46.7,20385
2009-06-24,47.0,48.2,47.0,47.55,24255
2009-06-25,47.2,48.0,45.6,45.99,27280
2009-06-26,46.0,47.8,45.6,45.95,10010
2009-06-29,47.02,48.25,47.02,48.25,16840
