date,open,high,low,close,volume
2009-03-05,38.6,39.4,35.25,36.25,20515144
2009-03-06,35.75,36.2,34.6,35.0,20818056
2009-03-09,34.5,36.1,34.25,34.8,12342100
2009-03-12,35.5,36.25,33.05,33.3,20824838
2009-03-13,34.4,35.3,33.9,34.6,18617022
2009-03-16,35.0,35.8,34.0,35.2,23595472
2009-03-17,35.8,37.15,35.05,36.15,30310172
2009-03-18,36.9,39.25,36.7,38.15,43254376
2009-03-19,38.5,39.65,36.65,37.9,28805374
2009-03-20,37.7,38.6,37.1,38.15,15425886
2009-03-23,39.2,41.4,38.55,40.55,27542100
2009-03-24,41.9,44.2,41.65,42.8,52820732
2009-03-25,42.85,45.2,42.85,44.9,29252768
2009-03-26,45.8,46.35,43.9,44.65,23857404
2009-03-27,45.4,46.5,44.9,45.5,20265456
2009-03-30,44.0,44.8,41.0,41.35,24814194
2009-03-31,42.0,43.25,40.2,42.35,27476346
2009-04-01,43.45,47.0,42.45,46.55,42682812
2009-04-02,47.0,52.15,47.0,50.9,53582424
2009-04-06,52.05,57.9,52.05,56.15,60222632
2009-04-08,54.0,58.75,52.1,58.1,45768596
2009-04-09,59.2,60.3,55.4,57.5,47633336
2009-04-13,58.7,65.65,57.9,64.2,52235928
2009-04-15,62.4,69.7,61.05,68.8,48591648
2009-04-16,69.5,73.15,53.25,55.95,87077728
2009-04-17,50.0,61.8,50.0,57.9,59798796
2009-04-20,59.85,61.25,57.05,58.6,32686716
2009-04-21,55.15,58.9,52.6,57.4,56880020
2009-04-22,58.8,62.9,58.55,61.45,66762644
2009-04-23,62.0,63.25,60.5,62.75,44587880
2009-04-24,63.3,66.4,61.0,65.9,42178200
2009-04-27,65.0,67.2,63.1,64.45,30523498
2009-04-28,64.9,65.5,58.35,60.1,32086014
2009-04-29,61.85,65.0,60.9,63.6,38933772
2009-05-04,66.0,67.75,64.9,65.9,34313028
2009-05-05,67.1,73.1,65.45,72.35,70788496
2009-05-06,73.05,78.15,71.3,73.75,76359192
2009-05-07,76.3,78.4,74.8,77.4,43799484
2009-05-08,77.75,79.2,73.25,76.2,39407724
2009-05-11,77.5,79.45,72.75,75.1,32712560
2009-05-12,74.1,82.2,71.4,80.85,54244784
2009-05-13,82.0,82.75,75.2,76.9,85998224
2009-05-14,75.5,77.8,72.25,75.6,35266476
2009-05-15,76.5,79.4,75.7,76.65,32303136
2009-05-18,86.3,99.0,86.3,93.35,275415
2009-05-19,95.05,99.9,82.0,89.9,66090396
2009-05-20,87.8,94.8,85.4,92.7,59918604
2009-05-21,91.7,96.65,89.3,90.45,43560220
2009-05-22,90.0,94.9,89.0,94.0,32360482
2009-05-25,92.4,95.1,88.4,89.45,52573328
2009-05-26,89.0,92.5,84.8,86.75,43185624
2009-05-27,88.0,91.2,87.8,89.75,31167714
2009-05-28,91.3,92.9,89.5,90.75,55760488
2009-05-29,93.5,99.3,92.0,97.9,67799712
2009-06-01,101.0,115.45,99.9,113.75,95946320
2009-06-02,115.35,116.7,107.15,110.85,50922972
2009-06-03,115.5,127.8,111.1,126.35,89377328
2009-06-04,128.0,139.8,120.1,136.9,103440328
2009-06-05,136.85,145.7,128.3,131.0,81375440
2009-06-08,133.35,138.75,119.0,121.8,80237184
2009-06-09,120.0,128.0,110.45,125.45,79853864
2009-06-10,128.0,131.9,120.55,123.6,55548760
2009-06-11,122.75,124.6,116.6,121.15,61687940
2009-06-12,129.9,129.9,116.8,118.85,58382256
2009-06-15,124.0,124.5,115.0,116.55,41494020
2009-06-16,113.9,121.8,113.0,119.95,53854472
2009-06-17,121.0,122.75,110.15,112.2,55453936
2009-06-18,113.05,114.45,97.6,100.05,63850056
2009-06-19,102.4,113.0,102.4,111.05,76549640
2009-06-22,114.5,115.5,107.65,108.85,47436492
2009-06-23,103.0,108.6,102.5,106.95,67785400
2009-06-24,107.6,117.4,107.05,116.65,68606728
2009-06-25,119.95,122.45,115.5,117.6,66885124
2009-06-26,119.4,124.5,118.0,123.5,52397592
2009-06-29,123.0,124.0,112.85,117.1,71436200
2009-06-30,119.0,119.75,102.6,103.75,76950024
2009-07-01,104.75,108.0,101.2,106.75,65376640
2009-07-02,108.75,108.75,102.0,104.25,41203780
2009-07-03,104.5,108.0,102.0,106.85,45787280
2009-07-06,108.0,110.55,97.0,98.8,59467328
2009-07-07,98.0,101.7,94.7,97.55,46628096
2009-07-08,96.0,96.0,86.7,87.25,60493388
2009-07-09,88.0,89.1,83.3,86.35,65514792
2009-07-10,87.3,89.75,81.7,83.25,62917544
2009-07-13,81.1,82.45,77.5,80.35,46890032
2009-07-14,82.85,91.7,82.5,89.7,54489112
2009-07-15,92.1,94.9,90.8,93.9,58400112
2009-07-16,95.5,98.45,92.05,92.8,55406272
2009-07-17,93.0,97.5,93.0,95.7,42693816
2009-07-20,96.0,97.3,93.25,94.2,54236316
2009-07-21,93.0,93.65,90.05,91.0,49793652
2009-07-22,92.0,96.7,90.45,91.25,69402816
2009-07-23,91.75,97.85,91.75,96.4,47158984
2009-07-24,99.5,104.5,98.0,103.35,94518336
2009-07-27,104.0,107.3,104.0,106.4,59877792
2009-07-28,108.0,109.0,105.6,107.0,43935788
2009-07-29,105.15,107.75,96.45,101.3,71202576
2009-07-30,100.1,101.5,98.0,99.25,47803704
2009-07-31,100.0,103.8,98.15,99.8,48848404
2009-08-03,87.3,97.0,87.3,95.65,62182428
2009-08-04,95.95,98.7,94.1,97.35,57129608
2009-08-05,98.0,98.65,95.1,96.75,32578580
2009-08-06,94.55,97.0,91.55,92.45,35323988
2009-08-07,91.5,92.5,86.25,86.95,46799628
2009-08-10,89.8,89.85,80.7,81.2,63215844
2009-08-11,82.5,85.3,80.4,83.7,43490784
2009-08-12,82.5,86.95,81.1,86.25,43263196
2009-08-13,88.25,90.9,87.7,90.45,46635076
2009-08-14,89.0,91.65,87.8,88.35,38914776
2009-08-17,85.0,89.3,84.5,85.35,60045516
2009-08-18,85.0,89.15,84.4,88.3,41278112
2009-08-19,88.5,89.9,84.25,84.9,48482860
2009-08-20,85.5,88.3,85.1,85.45,29444298
2009-08-21,85.5,87.3,84.25,86.9,22223220
2009-08-24,88.0,89.9,87.5,88.15,37630220
2009-08-25,87.35,92.8,87.1,92.1,59841048
2009-08-26,92.4,95.0,92.35,93.6,45169488
2009-08-27,92.5,93.5,90.9,91.3,29441538
2009-08-28,92.0,94.25,90.2,93.65,38138096
2009-08-31,91.85,94.9,90.6,93.7,37167556
2009-09-01,94.0,99.9,94.0,95.25,91618504
2009-09-02,94.4,98.1,93.55,97.15,55055588
2009-09-03,98.75,102.45,98.3,100.15,81374608
2009-09-04,101.0,101.8,97.6,100.15,52066632
2009-09-07,101.0,103.4,100.35,102.8,39036320
2009-09-08,103.25,105.0,100.8,101.3,47023988
2009-09-09,100.35,102.4,99.5,99.95,31369528
2009-09-10,101.0,102.2,96.3,97.0,35072132
2009-09-11,97.5,98.4,94.2,95.8,39425904
2009-09-14,94.9,96.7,93.7,94.8,27587272
2009-09-15,97.1,98.4,95.2,97.8,32780108
2009-09-16,99.0,100.5,98.2,98.65,32622436
2009-09-17,99.35,100.0,95.65,97.95,34674688
2009-09-18,97.85,99.8,97.0,99.25,28041016
2009-09-22,99.6,101.95,99.0,100.85,35016612
2009-09-23,99.7,99.7,93.9,94.6,64445984
2009-09-24,93.8,93.8,91.5,92.05,41739348
2009-09-25,85.75,93.4,85.75,92.1,26854352
2009-09-29,93.0,93.7,91.8,92.55,21922052
2009-09-30,92.5,93.25,91.3,91.6,15739155
2009-10-01,91.95,92.95,91.1,92.25,17103048
