date,open,high,low,close,volume
2009-03-05,40.0,40.97,38.13,38.55,10020
2009-03-06,39.0,39.0,37.6,38.33,12640
2009-03-09,37.6,38.78,37.58,38.28,4802
2009-03-12,39.5,39.5,37.55,38.85,6592
2009-03-13,38.5,40.22,38.5,39.58,22902
2009-03-16,40.72,40.72,39.53,39.88,25862
2009-03-17,39.25,40.25,39.25,39.3,9692
2009-03-18,39.7,40.0,38.75,38.97,74028
2009-03-19,40.0,41.0,38.8,39.17,88780
2009-03-20,39.63,39.63,38.75,38.88,25516
2009-03-23,39.1,39.72,38.63,38.88,58068
2009-03-24,39.88,39.88,38.28,38.65,78264
2009-03-25,38.75,39.0,38.15,38.85,66676
2009-03-26,38.92,38.92,38.25,38.5,116806
2009-03-27,39.0,39.67,38.65,38.92,205642
2009-03-30,39.0,41.45,38.75,40.25,330776
2009-03-31,40.95,42.5,40.5,41.1,445576
2009-04-01,41.95,41.95,40.8,41.35,115246
2009-04-02,42.0,44.2,41.3,42.47,549658
2009-04-06,43.2,43.7,41.63,42.0,265348
2009-04-08,40.7,45.47,40.7,44.1,1007604
2009-04-09,45.45,46.5,43.88,45.97,676334
2009-04-13,47.67,49.0,47.28,47.7,814132
2009-04-15,47.47,50.9,46.5,48.15,2257104
2009-04-16,49.72,50.75,44.0,44.42,1031098
2009-04-17,47.22,47.22,44.0,44.53,415062
2009-04-20,45.97,47.0,44.78,45.38,443340
2009-04-21,44.03,48.35,44.03,46.15,891302
2009-04-22,46.75,55.4,46.75,54.17,6303196
2009-04-23,58.35,58.35,52.03,53.05,6855770
2009-04-24,54.45,55.78,52.25,53.53,1471386
2009-04-27,53.85,54.63,51.53,52.0,559144
2009-04-28,52.97,56.95,52.0,53.17,3653018
2009-04-29,55.15,55.9,54.05,54.85,1274752
2009-05-04,57.17,61.2,55.25,58.75,2244256
2009-05-05,59.5,60.33,57.3,58.53,749438
2009-05-06,58.95,63.0,58.08,58.83,1197224
2009-05-07,59.45,60.8,59.25,60.25,511386
2009-05-08,60.85,62.25,58.63,59.3,460750
2009-05-11,59.95,61.47,58.08,58.85,355096
2009-05-12,58.5,61.22,58.08,60.7,469458
2009-05-13,62.25,67.45,62.15,62.92,1456804
