date,open,high,low,close,volume
2009-03-05,67.05,68.1,62.9,64.03,7813120
2009-03-06,62.31,64.58,61.75,63.87,6776660
2009-03-09,63.5,63.58,61.5,62.19,4056350
2009-03-12,63.1,63.46,60.2,60.7,12662350
2009-03-13,60.5,66.8,60.5,66.47,9621560
2009-03-16,66.0,67.98,64.83,67.55,7053310
2009-03-17,68.0,69.49,66.24,67.77,8805290
2009-03-18,68.5,69.75,65.1,65.8,8800800
2009-03-19,67.87,67.87,65.21,66.25,4531800
2009-03-20,66.3,68.19,65.56,66.78,4884640
2009-03-23,67.95,70.7,67.1,69.8,6434610
2009-03-24,70.5,71.99,67.83,69.3,8621340
2009-03-25,69.66,74.97,68.96,73.96,6506490
2009-03-26,74.6,79.6,73.93,78.13,13353500
2009-03-27,79.1,79.18,76.56,78.36,6484650
2009-03-30,77.5,77.7,74.81,76.42,4138850
2009-03-31,77.0,81.86,75.51,76.86,6961710
2009-04-01,76.88,80.0,76.14,79.37,6361950
2009-04-02,81.4,86.0,81.4,84.71,7181920
2009-04-06,85.7,89.5,83.75,85.86,5606880
2009-04-08,83.15,89.97,82.64,87.84,9891990
2009-04-09,90.0,90.5,86.79,88.52,3631800
2009-04-13,89.0,91.5,88.2,90.47,3346570
2009-04-15,89.77,91.35,87.22,89.93,6835550
2009-04-16,90.5,93.42,86.19,87.28,4977310
2009-04-17,87.7,90.34,85.64,87.89,16475230
2009-04-20,88.19,89.1,85.22,85.94,6082810
2009-04-21,84.5,89.9,83.78,88.21,4409200
2009-04-22,89.0,89.25,84.5,85.13,3316760
2009-04-23,85.13,86.17,83.83,85.54,4461990
2009-04-24,86.0,89.59,85.5,88.77,8183540
2009-04-27,88.3,88.3,85.27,86.35,6854460
2009-04-28,85.8,86.9,83.0,83.93,3684150
2009-04-29,84.6,90.5,84.05,89.68,7768810
2009-05-04,91.0,94.0,89.5,90.53,7386390
2009-05-05,91.0,93.36,89.1,90.31,7633190
2009-05-06,90.0,92.3,90.0,91.22,5809410
2009-05-07,91.8,92.36,90.0,91.11,4945820
2009-05-08,90.7,92.5,88.66,90.06,4610490
2009-05-11,90.31,91.67,89.33,90.46,4649890
2009-05-12,90.4,91.4,89.22,90.6,4859990
2009-05-13,91.5,91.84,88.0,89.29,5209380
2009-05-14,83.14,90.05,83.14,88.47,5989470
2009-05-15,89.0,91.5,88.75,90.86,3852240
2009-05-18,95.0,108.8,95.0,104.47,54480
2009-05-19,109.69,111.1,100.14,105.56,9215530
2009-05-20,105.0,107.0,104.1,106.11,6162110
2009-05-21,104.5,108.75,103.03,103.75,3772970
2009-05-22,103.5,105.38,100.64,104.41,2475240
2009-05-25,105.01,109.77,104.12,107.57,2813390
2009-05-26,108.0,108.8,101.14,106.64,3736070
2009-05-27,107.13,110.5,107.13,109.14,5765900
2009-05-28,110.59,111.27,109.45,110.22,7316820
2009-05-29,111.1,112.77,106.26,107.04,5775260
2009-06-01,110.5,111.1,106.8,108.52,3966550
2009-06-02,109.99,112.1,103.14,104.97,9898510
2009-06-03,106.55,108.95,104.5,105.09,5903560
2009-06-04,103.03,105.77,100.65,104.57,11843700
2009-06-05,106.99,109.0,105.35,108.07,10604160
2009-06-08,110.18,111.0,107.06,108.28,4918870
2009-06-09,107.2,115.49,102.68,114.31,5628100
2009-06-10,117.5,123.0,114.53,121.53,9955870
2009-06-11,119.31,122.2,116.64,119.76,4135860
2009-06-12,120.29,122.8,115.1,117.78,5899060
2009-06-15,117.0,117.5,110.36,114.05,5802170
2009-06-16,111.81,118.88,111.81,118.27,4959040
2009-06-17,118.1,121.09,116.3,118.14,8186820
2009-06-18,118.4,120.77,114.0,117.81,6123590
2009-06-19,118.9,118.9,114.2,116.39,3787230
2009-06-22,116.5,118.6,109.53,110.97,4293650
2009-06-23,109.0,114.3,106.3,113.21,4419740
2009-06-24,113.5,116.29,111.6,113.2,6792970
2009-06-25,114.28,117.2,112.31,115.5,5226860
2009-06-26,116.0,118.0,115.0,116.33,4635770
2009-06-29,116.33,116.49,113.56,115.1,3195150
2009-06-30,116.1,118.6,114.0,115.03,3685640
2009-07-01,114.8,117.78,111.53,114.78,3655360
2009-07-02,114.11,117.69,113.31,117.09,2524720
2009-07-03,116.4,120.1,115.63,118.71,4688080
2009-07-06,119.41,121.0,108.0,110.39,6041950
2009-07-07,112.0,114.4,106.32,108.99,5723780
2009-07-08,107.0,111.0,105.5,108.27,3116430
2009-07-09,107.01,111.47,106.26,109.91,6282180
2009-07-10,108.06,110.4,104.5,106.36,4051260
2009-07-13,106.0,106.0,99.96,104.49,3514860
2009-07-14,105.25,107.65,104.64,105.99,4176600
2009-07-15,106.1,112.38,105.8,110.41,4910850
2009-07-16,114.28,114.28,108.01,109.22,5672150
2009-07-17,109.9,118.2,108.72,114.47,7455860
2009-07-20,116.0,118.1,113.9,115.52,3416590
2009-07-21,115.5,115.5,111.72,112.62,4989930
2009-07-22,112.9,116.0,111.5,112.13,7146000
2009-07-23,113.3,115.37,111.1,114.43,4441220
2009-07-24,115.5,118.44,114.21,117.22,5713950
2009-07-27,118.5,126.77,117.8,124.14,8522530
2009-07-28,124.97,127.6,124.33,126.98,5936060
2009-07-29,122.77,132.8,118.26,130.65,13694820
2009-07-30,131.0,131.49,126.64,129.76,11172500
2009-07-31,131.3,132.73,127.21,130.13,7880390
2009-08-03,132.0,136.4,130.1,135.41,6390450
2009-08-04,135.0,135.0,128.2,129.87,8349000
2009-08-05,130.5,132.5,128.5,131.92,4803350
2009-08-06,130.9,130.9,128.0,129.37,5943580
2009-08-07,126.6,129.2,121.56,123.29,10391350
2009-08-10,125.8,127.54,122.4,125.78,7220760
2009-08-11,124.94,128.5,122.82,127.5,7748160
2009-08-12,125.89,127.49,120.78,125.63,3968430
2009-08-13,127.25,129.5,126.53,128.94,3967800
2009-08-14,130.1,131.39,126.53,128.19,3189230
2009-08-17,126.9,130.0,121.38,125.43,3699800
2009-08-18,124.0,127.5,123.2,126.15,3449810
2009-08-19,124.83,129.0,124.01,125.67,5418940
2009-08-20,127.3,129.4,125.6,128.19,4914230
2009-08-21,128.5,131.0,126.7,130.66,2743910
2009-08-24,131.53,133.76,131.03,132.11,4929490
2009-08-25,132.11,133.27,128.09,131.43,11803540
2009-08-26,132.0,135.58,131.07,133.63,4214270
2009-08-27,130.26,137.0,130.26,136.07,6258480
2009-08-28,135.0,135.88,131.51,134.29,6734490
2009-08-31,131.98,134.0,130.0,130.88,4896800
2009-09-01,130.8,132.56,128.51,130.19,7605070
2009-09-02,129.4,131.0,127.11,128.28,9131860
2009-09-03,128.5,129.5,125.2,126.52,3713350
2009-09-04,127.2,129.8,125.5,129.35,3179970
2009-09-07,130.5,132.5,129.5,132.24,1725640
2009-09-08,132.71,133.48,127.53,128.06,4043720
2009-09-09,128.8,130.0,126.3,129.57,4052050
2009-09-10,130.33,130.9,127.79,128.51,2798620
2009-09-11,128.0,129.18,126.57,127.13,2154670
2009-09-14,126.6,128.3,126.03,127.39,1528300
2009-09-15,127.97,129.5,127.97,128.43,1784020
2009-09-16,129.5,131.6,128.4,130.77,2890810
2009-09-17,132.5,134.7,129.8,131.34,5677110
2009-09-18,131.5,133.0,130.1,131.57,2408600
2009-09-22,132.5,134.54,130.26,131.78,4747000
2009-09-23,130.5,132.99,128.72,130.6,4430480
2009-09-24,129.77,133.0,126.0,131.17,8269800
2009-09-25,132.85,132.85,127.45,128.2,3247670
2009-09-29,128.0,131.6,127.8,131.23,5117070
2009-09-30,131.0,133.5,130.61,131.81,3636120
2009-10-01,130.5,131.81,128.5,128.97,5774160
2009-10-05,128.47,129.44,126.53,127.83,4411870
2009-10-06,128.6,129.47,126.46,128.79,4417630
2009-10-07,129.4,130.44,128.2,129.3,5449200
2009-10-08,128.01,132.5,128.01,131.11,3602440
2009-10-09,130.5,131.67,129.3,130.24,2562000
2009-10-12,130.35,132.47,129.1,131.88,3782990
2009-10-14,131.5,136.09,131.5,134.34,4984590
2009-10-15,135.41,138.35,133.34,136.97,10540560
2009-10-16,138.72,143.0,134.8,141.82,7761460
2009-10-17,141.5,143.5,140.55,142.49,754620
2009-10-20,142.7,142.7,140.54,142.01,6378950
2009-10-21,141.5,146.97,139.71,144.38,8687870
2009-10-22,143.9,145.99,140.9,142.84,8657520
2009-10-23,143.51,147.49,142.8,146.18,6499220
2009-10-26,146.3,149.0,143.82,144.9,3322410
2009-10-27,141.81,145.0,138.71,140.09,6504200
2009-10-28,140.37,141.6,138.3,139.93,4412230
2009-10-29,138.0,142.87,137.34,140.29,7841740
2009-10-30,141.4,141.4,132.3,133.88,4932370
2009-11-03,133.8,137.27,127.63,130.97,5406420
2009-11-04,132.2,132.93,125.22,130.72,5894440
2009-11-05,130.4,133.0,127.0,132.38,3910920
2009-11-06,131.5,134.94,126.42,127.11,12639260
2009-11-09,128.0,132.5,127.1,131.95,7108900
2009-11-10,130.71,134.19,130.22,132.48,7521560
2009-11-11,132.0,133.8,131.5,132.85,3816890
2009-11-12,133.0,134.99,132.21,132.65,4233880
