date,open,high,low,close,volume
2009-03-05,16.29,16.29,15.06,15.18,100731136
2009-03-06,15.0,15.99,14.87,15.68,69144576
2009-03-09,15.51,15.91,15.11,15.24,58286020
2009-03-12,15.89,15.89,15.4,15.59,54528232
2009-03-13,15.97,16.77,15.8,16.7,90298016
2009-03-16,16.89,17.15,16.24,16.87,66561888
2009-03-17,17.49,17.55,16.7,16.86,83108224
2009-03-18,17.43,18.04,17.07,17.65,86438896
2009-03-19,17.78,18.15,16.97,17.3,88424840
2009-03-20,17.0,17.89,16.9,17.63,85451248
2009-03-23,18.18,19.59,17.84,19.44,129283312
2009-03-24,19.8,20.34,18.61,18.74,145272624
2009-03-25,18.78,19.69,18.18,19.48,149818256
2009-03-26,19.8,20.69,19.7,20.55,139293088
2009-03-27,20.64,22.73,20.6,22.32,188562448
2009-03-30,21.5,22.1,19.24,19.64,159682624
2009-03-31,19.9,21.2,19.57,20.59,164488512
2009-04-01,20.7,21.34,20.3,20.98,119163032
2009-04-02,21.5,23.04,21.45,22.51,136575408
2009-04-06,23.0,23.97,22.8,23.57,135308672
2009-04-08,22.51,24.55,22.11,24.31,121094968
2009-04-09,24.8,26.58,24.0,26.11,185609776
2009-04-13,26.81,28.95,26.6,28.32,176723472
2009-04-15,29.0,29.77,26.51,29.3,181339808
2009-04-16,29.9,29.9,26.5,26.91,190435808
2009-04-17,27.99,28.75,25.36,25.82,191263872
2009-04-20,26.4,26.86,25.61,26.26,118285888
2009-04-21,25.2,25.9,24.22,24.42,160887328
2009-04-22,23.81,25.77,23.73,24.09,114291744
2009-04-23,24.4,26.64,23.86,26.29,166240832
2009-04-24,26.42,27.2,25.66,26.11,152932192
2009-04-27,25.9,26.85,25.11,25.38,135827264
2009-04-28,25.52,25.74,23.2,23.44,119268304
2009-04-29,23.7,24.36,22.95,23.81,168595392
2009-05-04,24.5,26.44,24.4,26.32,125998072
2009-05-05,26.69,28.89,26.45,28.61,167639936
2009-05-06,28.7,28.95,26.82,27.07,138963008
2009-05-07,27.5,29.8,27.2,29.44,207811632
2009-05-08,29.97,30.29,28.01,28.24,182267856
2009-05-11,28.52,28.88,26.72,27.07,169873680
2009-05-12,26.71,27.75,25.81,27.55,149305888
2009-05-13,27.75,27.78,26.23,26.44,152414448
2009-05-14,25.8,26.88,25.14,26.45,143458384
2009-05-15,26.7,27.54,26.62,27.2,101000096
2009-05-18,32.0,32.5,30.1,31.83,660510
2009-05-19,33.0,35.1,30.0,32.95,227229056
2009-05-20,32.5,37.9,32.5,37.15,248932144
2009-05-21,36.6,38.76,35.72,36.56,180978944
2009-05-22,36.1,37.4,35.22,36.37,122791984
2009-05-25,36.35,37.67,36.15,36.88,80142568
2009-05-26,37.68,37.77,35.72,36.19,84282176
2009-05-27,37.3,37.88,36.62,37.35,86572488
2009-05-28,37.88,38.99,36.85,38.48,142159424
2009-05-29,38.99,41.27,38.5,40.53,121370520
2009-06-01,42.0,44.68,41.02,43.93,123925456
2009-06-02,44.49,48.38,43.6,47.45,176126336
2009-06-03,49.88,49.88,47.84,48.81,152992448
2009-06-04,48.7,48.7,46.27,47.06,112475920
2009-06-05,47.5,48.15,46.03,46.39,102707712
2009-06-08,46.8,47.0,40.92,41.65,139292544
2009-06-09,39.8,44.86,39.8,43.82,125642632
2009-06-10,44.98,46.38,43.39,43.93,113222256
2009-06-11,44.5,45.88,43.75,45.25,95385128
2009-06-12,45.92,47.2,45.23,45.78,141901248
2009-06-15,45.1,45.5,43.01,43.38,80631320
2009-06-16,42.4,45.58,41.01,45.07,133307128
2009-06-17,44.76,45.19,41.12,41.7,124380944
2009-06-18,41.5,42.04,37.93,38.83,160898384
2009-06-19,39.3,41.5,39.22,41.26,143415680
2009-06-22,42.0,42.19,40.03,40.28,106993712
