date,open,high,low,close,volume
2009-03-05,63.0,64.46,60.78,61.89,338876
2009-03-06,61.0,64.25,61.0,63.56,294100
2009-03-09,63.22,66.49,62.08,65.74,385276
2009-03-12,67.0,71.6,64.5,65.97,980008
2009-03-13,67.0,67.74,63.51,63.94,729936
2009-03-16,64.5,64.7,63.03,63.81,400588
2009-03-17,64.25,67.75,64.03,66.24,789276
2009-03-18,67.5,69.47,66.03,66.53,732776
2009-03-19,67.38,73.07,67.05,68.34,2044944
2009-03-20,67.99,71.35,67.99,68.96,1328580
2009-03-23,70.0,71.1,68.78,69.36,548648
2009-03-24,70.0,73.65,67.25,68.55,2903828
2009-03-25,67.5,70.5,66.75,67.85,796580
2009-03-26,67.51,69.46,66.54,67.13,733868
2009-03-27,68.24,69.75,67.16,68.88,796948
2009-03-30,62.5,69.03,62.5,65.38,557972
2009-03-31,65.85,67.49,64.26,66.28,385688
2009-04-01,66.5,70.07,66.5,68.1,857512
2009-04-02,68.5,71.82,68.5,70.22,1024052
2009-04-06,70.82,78.63,70.82,77.3,2758068
2009-04-08,76.05,80.24,75.0,79.07,3017376
2009-04-09,81.2,85.47,78.53,80.09,2267484
2009-04-13,81.21,102.5,74.5,89.59,38695704
2009-04-15,89.5,96.25,81.57,92.1,16544088
2009-04-16,93.03,94.21,86.47,87.7,5825420
2009-04-17,89.66,89.75,82.07,83.7,4829872
2009-04-20,82.97,86.25,81.0,83.41,3615312
2009-04-21,76.43,83.5,76.43,79.53,3708444
2009-04-22,79.53,81.25,75.53,76.55,3029980
2009-04-23,77.25,84.0,74.28,83.16,6606596
2009-04-24,83.65,86.38,81.79,84.94,3768876
2009-04-27,83.85,86.0,80.75,82.14,1802316
2009-04-28,82.53,86.63,78.75,79.41,3535444
2009-04-29,79.75,82.97,78.75,81.97,2843664
2009-05-04,80.32,87.75,80.32,83.82,6397892
2009-05-05,84.57,88.07,82.28,83.16,5123528
2009-05-06,83.75,86.07,82.05,82.8,2978496
2009-05-07,83.03,86.85,83.03,86.09,3099100
2009-05-08,86.24,90.0,85.38,88.28,5348784
2009-05-11,88.5,90.96,86.04,87.51,3150272
2009-05-12,87.35,90.5,85.8,89.32,3131432
2009-05-13,90.9,93.22,89.75,90.55,4200676
2009-05-14,89.46,91.75,86.75,90.35,1176888
2009-05-15,91.25,93.0,90.0,90.63,1535368
2009-05-18,93.75,98.75,92.5,97.93,9612
2009-05-19,100.59,103.6,89.53,91.19,2534664
2009-05-20,91.5,97.47,90.0,96.16,2390096
2009-05-21,96.9,109.0,96.9,104.18,6398540
2009-05-22,105.0,122.75,104.0,118.68,12727532
2009-05-25,121.25,125.75,115.53,120.57,6114692
2009-05-26,120.45,122.5,107.13,109.88,4370228
2009-05-27,114.15,121.22,113.0,120.22,4916692
2009-05-28,119.75,122.0,115.0,115.91,2222420
2009-05-29,118.0,121.82,117.5,118.41,2036296
2009-06-01,120.05,132.21,118.5,130.71,7153768
2009-06-02,131.96,143.5,128.75,139.77,8626208
2009-06-03,142.27,169.73,141.25,164.45,15396192
2009-06-04,162.5,179.5,160.27,167.04,12380628
2009-06-05,172.93,172.93,157.52,159.35,4269848
2009-06-08,161.25,166.25,143.88,148.07,3867928
2009-06-09,147.43,189.48,142.5,186.0,25479936
2009-06-10,188.75,215.0,188.75,195.7,39721212
2009-06-11,201.55,204.68,188.75,193.49,13986920
2009-06-12,193.96,199.75,178.75,180.32,8832052
2009-06-15,177.5,186.0,170.38,174.87,7632944
2009-06-16,174.95,200.75,162.5,197.38,17177272
2009-06-17,200.32,204.5,183.5,188.91,18191532
2009-06-18,186.25,198.75,183.75,195.98,16286208
2009-06-19,197.75,200.95,181.84,190.27,13176592
2009-06-22,191.25,195.8,183.75,185.29,6331660
2009-06-23,187.5,192.26,176.3,186.84,10207756
2009-06-24,196.93,196.93,186.65,190.21,5535912
2009-06-25,190.5,193.63,184.2,185.98,4299840
2009-06-26,189.91,190.25,178.3,185.02,6447604
2009-06-29,187.24,189.8,183.75,185.54,3376320
2009-06-30,187.49,193.2,181.75,183.02,6592212
2009-07-01,185.91,189.25,180.52,186.88,3625312
2009-07-02,188.75,194.75,185.62,192.63,7990748
2009-07-03,190.0,192.5,186.29,188.02,3222056
2009-07-06,185.25,189.75,171.23,173.98,3102168
2009-07-07,170.27,179.0,170.27,176.71,2110404
2009-07-08,172.57,179.98,165.75,171.45,4527004
2009-07-09,174.5,176.98,168.75,173.87,2716616
2009-07-10,178.6,181.93,157.13,163.45,4864364
2009-07-13,167.23,169.75,160.25,163.77,3277876
2009-07-14,171.24,177.38,166.25,175.73,4144184
2009-07-15,177.02,180.0,172.0,174.49,4991452
2009-07-16,177.43,183.2,174.5,176.44,6589448
2009-07-17,179.19,186.52,177.5,183.57,7332152
2009-07-20,187.0,203.57,183.88,200.68,14522348
2009-07-21,203.75,209.75,197.01,203.05,14160804
2009-07-22,202.5,203.73,190.75,192.59,8345144
2009-07-23,183.55,199.0,183.55,196.12,14864588
2009-07-24,204.96,204.96,196.12,198.88,6598000
2009-07-27,199.75,201.25,194.5,197.75,2840432
2009-07-28,198.7,207.43,197.01,201.55,7504260
2009-07-29,197.52,205.75,195.25,203.04,5480712
2009-07-30,200.0,213.75,200.0,212.05,10100872
2009-07-31,216.25,218.43,209.0,212.04,7496628
2009-08-03,212.5,215.6,209.5,212.54,3131876
2009-08-04,213.65,219.94,207.77,212.82,7481428
2009-08-05,217.46,217.48,210.63,215.69,5426516
2009-08-06,209.02,215.48,202.85,206.8,3845044
2009-08-07,206.25,206.25,190.13,191.82,5037484
2009-08-10,195.0,200.71,192.52,195.51,5708744
2009-08-11,192.0,211.75,192.0,208.23,8438916
2009-08-12,206.5,211.18,200.0,209.57,5602856
2009-08-13,213.02,215.65,210.63,214.1,3760228
2009-08-14,214.75,215.5,209.75,211.07,2758644
2009-08-17,209.32,212.34,200.0,201.41,3182060
2009-08-18,200.0,211.44,200.0,210.12,3301416
2009-08-19,210.0,213.63,203.07,204.77,3471420
2009-08-20,206.57,211.5,205.57,207.91,2328260
2009-08-21,208.0,208.5,202.25,204.59,3410956
2009-08-24,209.98,213.0,207.15,211.07,3438000
2009-08-25,210.0,223.75,208.07,222.75,11149044
2009-08-26,225.25,233.75,223.25,230.32,8501964
2009-08-27,229.04,231.1,225.55,229.48,4825280
2009-08-28,230.0,231.8,223.5,229.0,3655908
2009-08-31,228.75,239.93,225.88,237.21,6899444
2009-09-01,238.75,252.0,236.0,242.98,9633900
2009-09-02,240.52,245.55,236.7,239.63,5917780
2009-09-03,243.0,243.0,234.0,236.07,3124104
2009-09-04,237.0,240.5,231.5,238.51,3049608
2009-09-07,241.5,244.5,239.2,242.29,4303976
2009-09-08,247.49,255.5,237.5,239.15,5754640
2009-09-09,239.0,241.46,235.13,237.19,2374232
2009-09-10,239.02,241.5,225.5,227.69,4196236
2009-09-11,231.25,231.25,219.0,221.34,5591100
2009-09-14,221.51,226.25,216.38,223.95,3869844
2009-09-15,225.5,228.24,222.55,225.5,2492296
2009-09-16,227.52,229.43,226.0,227.77,2046600
2009-09-17,229.45,231.99,225.74,227.62,2805744
2009-09-18,227.25,229.5,225.25,226.21,1798668
2009-09-22,227.0,230.4,225.44,227.77,2040076
2009-09-23,228.02,228.9,224.1,225.55,1941516
2009-09-24,223.75,225.0,220.98,223.3,2358196
2009-09-25,223.3,236.24,222.01,233.68,5839744
2009-09-29,235.0,237.43,230.63,231.6,2653536
2009-09-30,232.75,236.73,232.0,234.04,3170580
2009-10-01,232.5,239.69,232.5,236.5,3412080
2009-10-05,234.75,239.1,231.25,234.54,2392104
2009-10-06,239.25,239.25,230.0,233.65,1685520
2009-10-07,235.0,235.0,227.57,229.91,2551604
2009-10-08,231.25,231.71,225.29,226.94,1306424
2009-10-09,228.0,233.12,226.26,229.84,2049720
2009-10-12,228.75,233.23,228.5,231.15,1011484
2009-10-14,235.5,235.82,231.25,233.38,1346400
2009-10-15,235.48,236.75,229.68,232.32,2326708
2009-10-16,233.5,238.29,231.5,237.5,2136712
2009-10-17,230.25,239.73,230.25,235.19,302116
2009-10-20,235.75,240.13,233.76,235.4,2365860
2009-10-21,237.5,239.75,234.5,235.82,2661964
2009-10-22,235.5,237.37,233.75,234.68,1487880
2009-10-23,237.26,237.5,233.82,234.76,895500
2009-10-26,235.5,236.68,232.0,234.84,1019168
2009-10-27,233.75,238.45,232.51,234.01,1935340
2009-10-28,232.63,236.82,228.13,235.76,938252
2009-10-29,234.25,235.16,228.88,232.27,1798492
2009-10-30,236.0,239.0,229.0,233.59,1917820
2009-11-03,232.25,233.74,221.75,224.16,1262492
2009-11-04,225.0,231.45,218.25,229.48,1212312
2009-11-05,228.65,233.74,224.27,232.6,753448
2009-11-06,229.6,236.0,226.5,233.51,495164
2009-11-09,235.0,259.39,232.5,257.38,6869916
2009-11-10,260.5,262.25,247.04,249.9,4429816
2009-11-11,250.0,266.0,247.5,263.57,4443720
2009-11-12,269.75,269.75,250.85,262.17,2743344
2009-11-13,255.75,264.14,249.16,250.5,2184792
2009-11-16,252.25,254.75,248.05,251.38,2393840
