date,open,high,low,close,volume
2017-11-02,275.05,284.9,261.3,266.15,113099
2017-11-03,269.95,269.95,252.85,253.1,147702
2017-11-06,255.75,255.75,241.0,243.05,397193
2017-11-07,241.0,254.85,241.0,250.1,145331
2017-11-08,262.6,262.6,251.05,262.55,116053
2017-11-09,270.75,275.65,270.0,275.65,8258
2017-11-10,289.4,289.4,289.4,289.4,263167
2017-11-13,303.85,303.85,290.0,291.85,516205
2017-11-14,278.0,294.8,277.5,289.9,97766
2017-11-15,291.0,299.0,285.0,293.5,137404
2017-11-16,304.0,308.9,284.0,290.5,54867
2017-11-17,299.95,299.95,277.25,279.45,91870
2017-11-20,280.0,283.0,275.0,275.25,59105
2017-11-21,274.85,278.2,265.65,269.1,133093
2017-11-22,269.1,270.0,262.0,264.8,25553
2017-11-23,268.95,270.0,262.5,265.7,26151
2017-11-24,268.5,271.0,265.0,269.6,34189
2017-11-27,274.5,274.5,266.3,269.8,29991
2017-11-28,271.0,271.7,262.4,264.95,220652
2017-11-29,264.95,267.0,259.3,260.85,35770
2017-11-30,263.0,263.0,256.0,258.9,71198
2017-12-01,259.0,264.45,255.0,255.75,24233
2017-12-04,255.75,262.0,253.0,258.9,33722
2017-12-05,253.05,258.95,251.05,257.1,14675
2017-12-06,257.1,257.1,215.7,252.55,190976
2017-12-07,254.95,254.95,242.05,251.8,20875
2017-12-08,259.9,261.0,252.15,259.2,38260
2017-12-11,271.0,283.35,269.0,270.4,92879
2017-12-12,273.95,273.95,256.25,257.9,59252
2017-12-13,250.5,263.95,250.5,259.8,13344
2017-12-14,262.4,262.4,257.0,259.95,17643
2017-12-15,262.95,265.75,259.75,263.1,446942
2017-12-18,268.0,275.0,255.0,265.15,516880
2017-12-19,267.75,270.9,260.5,264.6,57890
2017-12-20,263.05,269.9,262.05,263.95,42921
2017-12-21,265.75,269.85,263.2,264.5,43533
2017-12-22,268.2,272.85,266.0,270.05,56045
2017-12-26,270.3,275.05,267.0,273.45,105722
2017-12-27,273.9,276.0,270.0,270.8,40298
2017-12-28,272.45,274.0,269.95,271.35,21342
2017-12-29,274.65,274.75,267.6,269.55,53814
2018-01-01,265.45,275.2,265.45,269.8,71903
2018-01-02,267.0,273.0,263.85,268.15,200465
2018-01-03,268.0,274.9,265.05,273.85,54103
2018-01-04,270.0,284.8,270.0,280.6,243242
2018-01-05,281.65,300.0,281.65,294.45,127514
2018-01-08,299.9,300.5,294.0,294.7,85480
2018-01-09,302.5,304.7,289.95,295.6,166365
2018-01-10,295.95,300.5,293.0,294.1,33230
2018-01-11,295.0,300.0,269.1,287.4,668166
2018-01-12,285.1,292.75,285.1,287.35,254450
2018-01-15,286.0,296.0,286.0,294.15,67738
2018-01-16,299.85,300.0,278.2,279.35,46453
2018-01-17,279.5,289.0,271.6,283.4,24093
2018-01-18,281.5,289.4,266.5,268.35,63228
2018-01-19,270.0,273.95,268.0,272.65,12777
2018-01-22,281.0,281.0,268.55,277.35,22164
2018-01-23,277.35,284.4,270.5,273.7,25813
2018-01-24,270.55,277.4,259.5,260.75,430124
2018-01-25,261.0,273.7,261.0,268.15,64574
2018-01-29,265.25,275.0,260.0,264.1,1227085
2018-01-30,266.9,268.75,262.0,267.25,61986
2018-01-31,268.9,268.95,261.8,267.25,16116
2018-02-01,269.95,269.95,261.9,265.75,43679
2018-02-02,263.6,267.0,245.0,263.45,95629
2018-02-05,262.95,263.0,250.0,259.8,41947
2018-02-06,252.05,263.0,245.0,262.1,35032
2018-02-07,263.0,266.5,257.15,264.85,164749
2018-02-08,268.0,268.0,260.0,261.9,14999
2018-02-09,260.0,271.1,255.0,270.2,16781
2018-02-12,273.0,282.0,273.0,280.05,21256
2018-02-14,285.05,295.0,277.95,286.6,58700
2018-02-15,288.0,288.35,270.0,273.1,28447
2018-02-16,283.0,283.0,263.05,270.55,85077
2018-02-19,270.0,273.0,261.8,267.8,225249
2018-02-20,267.05,278.7,267.05,274.05,16564
2018-02-21,272.3,275.8,265.9,271.25,21743
2018-02-22,269.4,270.0,265.55,266.5,7470
2018-02-23,265.95,271.55,261.8,263.3,88387
2018-02-26,268.5,268.5,258.0,260.0,84836
2018-02-27,261.15,262.45,257.7,260.05,24509
2018-02-28,262.9,263.4,257.0,261.3,368987
2018-03-01,260.85,263.9,260.3,263.05,9746
2018-03-05,265.0,272.5,264.9,266.05,65700
2018-03-06,270.0,271.4,260.0,261.65,57890
2018-03-07,262.1,262.1,255.0,260.2,15518
2018-03-08,260.2,267.0,254.5,264.25,27076
2018-03-09,269.0,269.0,257.0,260.7,56539
2018-03-12,269.0,269.0,258.95,261.0,13147
2018-03-13,262.95,265.0,259.0,260.55,185416
2018-03-14,259.15,262.75,256.25,258.5,910986
2018-03-15,260.95,261.5,255.55,255.95,27691
