date,open,high,low,close,volume
2009-03-05,28.02,28.6,26.05,26.36,633735
2009-03-06,25.2,26.4,23.75,25.38,708380
2009-03-09,24.42,25.95,24.4,24.67,381955
2009-03-12,25.2,25.75,23.65,24.2,361595
2009-03-13,24.93,25.99,24.36,25.28,859485
2009-03-16,26.0,26.72,24.82,26.28,526905
2009-03-17,26.01,28.29,25.0,25.61,974575
2009-03-18,26.0,26.72,25.11,25.22,640425
2009-03-19,25.5,26.8,25.43,26.11,565535
2009-03-20,25.8,26.78,25.44,25.58,227575
2009-03-23,26.8,26.8,25.68,25.9,450730
2009-03-24,26.4,27.58,25.7,25.9,613085
2009-03-25,25.98,27.0,25.6,26.73,561070
2009-03-26,26.4,29.57,26.4,29.33,1491725
2009-03-27,29.33,30.98,29.31,30.38,587305
2009-03-30,28.2,30.0,28.0,28.22,375165
2009-03-31,28.5,29.6,28.05,28.34,284200
2009-04-01,28.22,32.94,28.22,32.45,1167995
2009-04-02,33.02,36.56,33.02,35.41,1977360
2009-04-06,36.4,38.0,35.6,36.54,690205
2009-04-08,34.8,38.8,33.66,37.82,996685
2009-04-09,38.48,39.0,36.24,36.79,638355
2009-04-13,37.8,39.0,36.75,37.81,342160
2009-04-15,37.3,45.38,37.3,44.98,2105675
2009-04-16,46.02,46.02,40.49,40.5,830705
2009-04-17,40.84,42.8,36.45,37.89,826490
2009-04-20,39.0,40.19,38.0,38.64,316755
2009-04-21,38.0,41.8,37.21,40.1,1195250
2009-04-22,40.7,41.5,38.3,39.43,854600
2009-04-23,40.5,40.78,37.66,40.21,663965
2009-04-24,40.36,41.59,39.63,40.36,378520
2009-04-27,40.0,41.56,38.0,38.83,223730
2009-04-28,39.1,39.6,37.21,37.59,175180
2009-04-29,38.0,39.88,38.0,38.39,227125
2009-05-04,38.81,40.8,38.81,40.02,236345
2009-05-05,41.1,41.26,40.01,40.39,185645
2009-05-06,38.43,44.38,38.43,41.3,698295
2009-05-07,41.96,42.8,41.2,41.72,235295
2009-05-08,42.0,43.48,40.4,41.33,278240
2009-05-11,41.98,44.8,41.4,42.28,637750
2009-05-12,41.39,43.95,41.39,42.99,338920
2009-05-13,43.6,45.4,42.0,44.66,707580
2009-05-14,43.16,50.98,43.16,49.94,1714825
2009-05-15,51.4,52.85,48.41,49.41,1517435
2009-05-18,54.4,57.6,52.25,56.1,4680
2009-05-19,57.5,60.4,49.02,57.04,1113930
2009-05-20,57.36,68.0,55.0,64.57,1342935
2009-05-21,67.0,67.4,62.24,63.18,391240
2009-05-22,65.8,66.99,61.0,61.53,404870
2009-05-25,63.6,65.8,61.5,62.34,452275
2009-05-26,62.99,64.4,56.11,56.47,481495
2009-05-27,59.8,62.12,58.0,62.12,662725
2009-05-28,64.66,64.66,61.4,62.86,460540
2009-05-29,63.6,65.0,62.2,63.12,898240
2009-06-01,64.3,69.44,64.1,69.44,736410
2009-06-02,74.0,74.0,66.22,70.32,715280
2009-06-03,72.7,74.18,71.1,72.05,535085
2009-06-04,72.3,79.26,70.61,79.26,591425
2009-06-05,83.23,83.23,82.93,83.23,88320
2009-06-08,87.4,87.4,79.07,79.07,664130
2009-06-09,77.98,83.03,75.12,83.03,675240
2009-06-10,85.96,86.4,78.88,79.23,333690
2009-06-11,81.18,83.0,77.02,81.19,395215
2009-06-12,82.2,82.94,78.1,78.61,132320
2009-06-15,76.6,80.28,75.0,75.57,250815
2009-06-16,74.36,77.58,72.0,76.22,289055
2009-06-17,76.58,78.98,72.5,73.17,179650
2009-06-18,74.0,75.58,69.52,69.75,149865
2009-06-19,70.0,73.24,67.8,73.16,530945
2009-06-22,75.88,76.82,75.5,76.82,512125
2009-06-23,76.0,80.67,76.0,80.67,605055
2009-06-24,84.6,84.71,83.0,84.71,663030
2009-06-25,87.0,88.95,80.48,80.48,1060535
2009-06-26,79.94,83.6,76.76,81.69,1019430
2009-06-29,81.94,85.78,81.94,85.68,1160200
2009-06-30,87.88,89.0,84.01,85.6,1329190
2009-07-01,86.0,87.96,81.63,85.76,1284940
2009-07-02,86.4,89.2,84.22,87.58,1253950
2009-07-03,86.96,91.0,83.2,83.2,10056935
2009-07-06,81.78,81.78,79.04,79.04,110825
2009-07-07,75.2,75.2,64.8,67.15,1425975
2009-07-08,62.25,79.54,62.25,73.83,3036670
2009-07-09,74.2,78.34,70.6,72.32,1465640
2009-07-10,72.4,75.06,67.26,68.14,732800
2009-07-13,64.4,65.58,57.12,60.08,756995
2009-07-14,64.57,65.68,58.7,60.65,1328220
2009-07-15,61.02,64.5,61.02,63.62,1373915
2009-07-16,64.6,65.6,61.2,61.69,583145
2009-07-17,62.0,67.18,61.84,64.26,1186325
2009-07-20,64.0,68.0,64.0,65.45,573455
2009-07-21,65.71,66.0,62.4,63.1,503260
2009-07-22,63.4,64.8,58.3,58.8,759560
2009-07-23,59.0,61.0,59.0,59.41,474105
2009-07-24,60.0,61.02,59.22,59.73,460895
2009-07-27,59.98,60.88,58.4,58.81,353620
2009-07-28,58.81,63.4,58.6,61.98,1226375
2009-07-29,60.89,63.6,59.02,60.0,636385
2009-07-30,59.4,61.4,59.2,60.01,238345
2009-07-31,61.02,61.8,58.8,59.5,231390
2009-08-03,59.6,61.38,58.1,60.01,365495
2009-08-04,60.18,61.2,59.0,59.44,353735
2009-08-05,59.99,60.76,58.91,59.68,259305
2009-08-06,60.0,62.89,59.0,59.51,628940
2009-08-07,59.6,59.96,57.02,57.52,260535
2009-08-10,58.4,59.2,56.0,56.86,118070
2009-08-11,57.78,58.4,56.02,57.07,213050
2009-08-12,57.4,57.4,55.3,56.49,170820
2009-08-13,57.0,60.2,57.0,59.41,528475
2009-08-14,59.89,59.98,58.0,58.23,153290
2009-08-17,58.0,58.23,55.6,56.09,114490
2009-08-18,57.31,58.4,56.09,57.37,262575
2009-08-19,57.96,58.0,55.4,56.38,104200
2009-08-20,57.78,57.78,56.2,56.48,120340
2009-08-21,56.4,57.39,52.23,56.38,85075
2009-08-24,57.0,61.28,56.7,59.66,596605
2009-08-25,58.02,61.02,58.02,59.98,202285
2009-08-26,60.6,64.63,60.24,62.51,1279265
2009-08-27,62.0,65.0,61.63,61.92,725755
2009-08-28,62.1,64.21,61.64,62.08,587040
2009-08-31,61.8,63.61,61.4,62.29,283925
2009-09-01,62.58,64.0,60.22,60.74,314805
2009-09-02,61.0,62.98,59.7,60.89,250145
