date,open,high,low,close,volume
2009-03-05,32.39,33.9,32.0,33.7,57916
2009-03-06,33.88,35.25,31.25,32.53,81508
2009-03-09,32.88,32.97,31.83,32.2,26996
2009-03-12,32.15,33.5,31.04,31.79,57564
2009-03-13,32.25,32.47,31.42,31.86,12156
2009-03-16,32.01,32.41,31.79,32.13,11720
2009-03-17,32.5,32.5,31.4,31.67,21832
2009-03-18,32.38,33.0,31.75,31.83,31068
2009-03-19,32.13,32.74,32.13,32.53,25536
2009-03-20,32.5,32.51,32.0,32.17,4668
2009-03-23,32.49,33.74,32.17,32.36,23416
2009-03-24,32.95,32.95,32.25,32.49,25752
2009-03-25,32.5,33.0,32.03,32.22,14624
2009-03-26,32.28,33.35,32.11,32.97,46336
2009-03-27,33.38,33.97,32.75,33.56,34788
2009-03-30,33.5,34.25,31.65,31.8,141664
2009-03-31,32.47,34.63,31.75,33.5,125960
2009-04-01,33.89,34.11,32.88,33.6,21428
2009-04-02,34.44,34.45,33.53,33.76,46540
2009-04-06,34.25,35.5,33.78,34.94,64668
2009-04-08,33.75,35.25,33.75,34.97,29908
2009-04-09,36.0,36.1,34.81,35.78,101476
2009-04-13,36.69,37.56,36.0,36.36,53476
2009-04-15,37.0,37.99,35.3,37.03,100692
2009-04-16,37.49,39.0,36.83,37.14,113120
2009-04-17,37.97,38.25,37.13,37.24,58212
2009-04-20,37.5,37.75,37.0,37.05,32216
2009-04-21,37.25,40.72,36.8,38.97,155504
2009-04-22,39.51,40.26,37.51,37.83,45776
2009-04-23,37.39,38.44,37.03,37.35,21412
2009-04-24,37.5,37.94,37.0,37.53,24348
2009-04-27,37.28,38.19,36.76,37.1,20460
2009-04-28,36.26,39.2,35.53,36.36,171736
2009-04-29,37.44,37.44,36.25,36.5,14160
2009-05-04,37.25,37.5,36.88,37.19,31152
2009-05-05,37.47,37.97,37.01,37.5,29212
2009-05-06,37.75,39.13,37.0,37.16,106236
2009-05-07,38.22,43.0,37.53,39.47,832564
2009-05-08,40.0,40.1,37.81,38.2,127032
2009-05-11,38.2,39.25,37.5,37.78,73880
2009-05-12,37.5,38.25,37.25,38.05,30168
2009-05-13,38.08,38.44,37.25,37.53,31272
2009-05-14,37.25,37.75,36.51,37.47,30676
2009-05-15,38.47,40.0,37.0,37.38,190020
2009-05-19,38.75,41.0,38.25,38.55,153596
2009-05-20,36.78,41.28,34.5,40.05,157536
2009-05-21,41.25,44.55,40.28,43.03,314776
2009-05-22,44.47,44.51,41.78,43.61,141568
2009-05-25,44.75,48.25,43.76,47.4,445216
2009-05-26,47.4,49.45,43.7,43.99,171828
2009-05-27,44.75,46.0,43.53,43.88,101868
2009-05-28,44.25,44.38,42.88,43.28,51580
2009-05-29,43.72,45.9,42.7,44.63,387128
2009-06-01,45.49,46.22,44.16,44.41,136652
2009-06-02,45.0,45.47,43.5,44.65,61160
2009-06-03,45.35,46.25,44.5,45.53,156972
2009-06-04,37.0,45.7,37.0,44.88,243360
2009-06-05,45.25,47.95,44.65,46.01,328972
2009-06-08,46.0,46.0,43.5,43.86,133396
2009-06-09,43.86,44.7,42.5,44.15,110068
2009-06-10,44.97,45.5,43.75,44.14,78532
2009-06-11,48.72,48.72,43.25,44.24,173420
2009-06-12,45.25,46.16,44.0,44.75,281248
2009-06-15,45.05,45.05,43.75,43.83,46656
2009-06-16,44.5,45.25,43.03,44.63,50068
2009-06-17,45.59,45.6,42.75,43.55,57024
2009-06-18,45.0,45.0,41.0,41.26,109404
2009-06-19,41.26,43.45,40.25,41.94,117072
2009-06-22,43.0,43.0,42.01,42.55,36412
2009-06-23,42.17,43.51,41.25,42.67,8453780
2009-06-24,43.49,45.66,42.69,43.4,7989736
2009-06-25,43.78,45.03,43.14,44.53,301960
2009-06-26,45.0,47.2,44.63,45.84,329076
2009-06-29,45.84,46.1,45.0,45.06,56424
2009-06-30,45.72,45.72,44.47,44.94,97816
2009-07-01,45.03,45.19,44.03,44.14,49500
2009-07-02,44.97,49.75,44.38,46.81,1089028
2009-07-03,46.25,46.7,45.17,46.26,182976
2009-07-06,46.75,46.75,44.75,45.01,130852
2009-07-07,45.0,46.19,43.28,45.81,91260
2009-07-08,45.25,45.49,44.88,45.01,69668
2009-07-09,43.39,45.5,41.92,44.65,98280
2009-07-10,44.26,45.75,44.26,44.84,49476
2009-07-13,43.78,45.49,43.38,45.09,72312
2009-07-14,45.14,47.0,45.14,45.47,99996
2009-07-15,46.25,46.25,45.5,45.56,30064
2009-07-16,46.24,46.47,45.5,45.59,39216
2009-07-17,45.5,45.91,45.25,45.3,40152
2009-07-20,45.4,46.25,45.28,45.88,40240
2009-07-21,46.75,49.0,45.58,47.13,201280
2009-07-22,47.13,47.88,46.28,46.6,47944
2009-07-23,46.55,47.75,46.25,46.6,50684
2009-07-24,46.13,47.34,45.91,46.89,37824
2009-07-27,45.38,48.25,45.38,48.05,96800
2009-07-28,47.25,49.5,47.25,49.25,142308
2009-07-29,48.75,52.15,48.75,51.28,343760
2009-07-30,51.2,55.6,49.0,55.31,642336
2009-07-31,55.38,55.97,52.25,53.81,203876
2009-08-03,54.0,56.45,52.76,54.59,148420
2009-08-04,55.41,57.75,53.76,56.0,238720
2009-08-05,56.63,56.7,54.51,54.88,57972
2009-08-06,56.0,56.0,51.25,52.41,56144
2009-08-07,52.01,52.97,51.25,51.7,43296
2009-08-10,53.74,53.74,50.51,51.1,45136
2009-08-11,50.63,53.1,50.63,52.63,175088
2009-08-12,52.47,55.67,51.78,53.08,766044
2009-08-13,53.97,54.69,53.28,54.26,154852
2009-08-14,54.25,54.63,52.83,53.47,49464
2009-08-17,53.17,54.49,52.5,53.8,99464
2009-08-18,53.78,54.17,53.3,53.72,69788
2009-08-19,54.0,56.26,53.75,54.22,161268
2009-08-20,55.25,57.25,54.55,56.35,216284
2009-08-21,57.22,60.0,56.5,59.4,734540
2009-08-24,60.0,62.67,60.0,62.49,415180
2009-08-25,61.0,70.38,60.89,67.55,1125484
2009-08-26,68.25,71.63,66.54,68.88,1496740
2009-08-27,67.85,69.72,63.6,66.14,610384
2009-08-28,66.49,69.95,65.75,68.19,389852
2009-08-31,67.75,69.78,66.0,66.61,510924
2009-09-01,66.25,68.0,64.25,65.18,344352
2009-09-02,64.99,68.0,64.5,66.32,426128
2009-09-03,68.0,70.22,66.89,68.24,530072
2009-09-04,69.75,71.25,69.38,69.89,463552
2009-09-07,71.26,71.75,70.04,70.51,262936
2009-09-08,71.2,71.2,65.78,67.71,246980
2009-09-09,67.0,69.75,66.35,67.49,434836
2009-09-10,68.03,68.95,66.78,67.61,178264
2009-09-11,67.5,70.74,67.13,68.11,557188
2009-09-14,62.75,68.47,62.75,65.2,210180
2009-09-15,66.18,66.85,65.32,66.55,100616
2009-09-16,67.25,68.05,66.28,66.78,144096
2009-09-17,68.0,68.63,65.05,65.57,159100
2009-09-18,67.57,67.88,65.38,67.35,129052
2009-09-22,66.82,67.75,65.89,66.36,129180
2009-09-23,65.75,68.38,65.75,66.6,196616
2009-09-24,65.55,72.49,65.55,70.1,822260
2009-09-25,69.72,76.05,68.76,74.96,1185296
2009-09-29,76.25,79.19,76.03,76.86,1294804
2009-09-30,77.36,79.95,76.82,78.79,719512
2009-10-01,79.45,79.45,76.5,77.64,276004
2009-10-05,76.75,77.49,75.0,75.88,150200
2009-10-06,76.25,76.82,71.3,75.9,194996
2009-10-07,76.5,79.59,76.25,77.19,422640
2009-10-08,77.32,78.47,75.03,75.95,126140
2009-10-09,77.96,77.96,74.03,74.97,93620
2009-10-12,75.25,76.75,74.64,75.85,106216
2009-10-14,78.43,78.72,76.28,77.79,458924
2009-10-15,78.85,82.63,78.75,82.13,653148
2009-10-16,82.25,85.0,82.25,84.07,491116
2009-10-17,85.0,85.0,83.0,84.01,128428
2009-10-20,84.75,87.47,84.49,86.11,350924
2009-10-21,84.09,87.25,83.75,84.63,442132
2009-10-22,85.0,85.97,80.07,81.74,185984
2009-10-23,83.75,84.5,81.0,82.09,212680
2009-10-26,81.26,82.5,80.5,81.03,736252
2009-10-27,78.76,80.61,78.25,78.88,158552
2009-10-28,78.0,80.74,73.07,79.57,184160
2009-10-29,77.16,79.25,75.0,78.79,86316
2009-10-30,79.13,82.46,79.13,81.91,198292
2009-11-03,83.75,85.38,81.43,83.99,365396
2009-11-04,85.95,88.7,84.51,88.19,387324
2009-11-05,88.5,95.0,87.5,93.99,397320
2009-11-06,90.01,99.99,90.01,95.68,363688
2009-11-09,96.25,99.43,94.75,97.82,171036
2009-11-10,98.7,101.0,92.75,93.26,297900
2009-11-11,93.72,95.0,92.78,93.22,124780
2009-11-12,93.2,98.18,93.2,96.97,187096
2009-11-13,98.4,102.0,97.57,97.91,454320
2009-11-16,100.5,100.75,94.53,95.53,284400
2009-11-17,96.0,97.47,94.53,95.05,94608
2009-11-18,95.3,97.18,94.0,95.11,222488
2009-11-19,96.0,96.25,93.53,94.1,149536
2009-11-20,95.18,95.49,93.04,94.9,224184
