date,open,high,low,close,volume
2009-03-05,70.05,70.35,66.25,66.8,56029
2009-03-06,66.0,66.35,63.5,65.15,78719
2009-03-09,65.95,65.95,64.6,65.3,44020
2009-03-12,60.1,68.35,60.1,66.95,110286
2009-03-13,67.05,68.4,66.5,68.05,73298
2009-03-16,69.0,71.25,66.85,68.65,115293
2009-03-17,69.0,71.0,68.0,68.75,72406
2009-03-18,70.0,71.3,69.2,69.55,59297
2009-03-19,69.25,71.35,69.25,70.35,44605
2009-03-20,69.85,71.75,69.0,70.6,56201
2009-03-23,72.5,72.5,70.6,71.85,77014
2009-03-24,71.85,73.65,69.95,70.1,104123
2009-03-25,71.8,71.8,69.2,70.9,56423
2009-03-26,71.8,72.8,71.1,71.5,72377
2009-03-27,73.0,74.8,71.55,74.05,130644
2009-03-30,73.45,74.95,72.05,72.75,119666
2009-03-31,72.25,76.0,72.25,74.4,116159
2009-04-01,75.4,76.9,74.0,76.35,90242
2009-04-02,77.5,79.6,76.3,78.9,166769
2009-04-06,81.0,82.0,78.5,80.7,126194
2009-04-08,77.25,84.95,77.1,84.05,295361
2009-04-09,86.9,109.45,86.0,104.95,3465756
2009-04-13,108.0,111.0,102.0,105.0,1510620
2009-04-15,101.5,112.9,101.5,108.45,805659
2009-04-16,110.0,111.85,98.0,99.9,394788
2009-04-17,100.95,107.5,99.7,104.15,365408
2009-04-20,104.0,108.5,102.0,103.95,338110
2009-04-21,99.4,109.4,99.4,104.85,458517
2009-04-22,102.15,107.1,98.0,99.75,221284
2009-04-23,101.1,101.75,95.9,99.7,199411
2009-04-24,100.1,110.9,99.7,103.85,1330900
2009-04-27,104.0,108.5,102.5,104.3,602855
2009-04-28,107.0,107.0,96.25,97.2,252991
2009-04-29,101.9,103.8,97.05,98.8,410806
2009-05-04,103.9,105.4,102.2,104.45,409652
2009-05-05,104.9,107.95,103.1,105.15,272064
2009-05-06,107.0,115.4,105.15,107.45,1347609
2009-05-07,110.4,113.4,108.1,108.8,446794
2009-05-08,109.0,112.0,104.1,104.85,465394
2009-05-11,106.9,107.65,98.1,99.75,343583
2009-05-12,97.8,103.0,97.05,101.85,340266
2009-05-13,103.0,107.0,102.6,104.8,418918
2009-05-14,103.0,105.5,100.1,104.1,165589
2009-05-15,105.0,108.45,104.1,106.05,448311
2009-05-18,112.5,118.9,112.5,115.85,3425
2009-05-19,118.0,137.0,107.1,134.65,1471334
2009-05-20,131.0,149.0,131.0,142.15,730936
2009-05-21,142.15,149.0,137.0,141.15,419162
2009-05-22,142.0,143.9,133.3,138.35,376556
2009-05-25,141.0,144.25,138.6,140.95,353554
2009-05-26,144.9,149.95,136.0,137.75,614815
2009-05-27,144.0,144.9,139.0,142.5,351480
2009-05-28,144.9,145.0,141.15,143.15,808984
2009-05-29,144.45,145.9,143.0,143.2,509883
2009-06-01,146.0,153.6,144.1,147.35,1401715
2009-06-02,149.0,150.0,142.5,143.9,367548
2009-06-03,147.8,148.45,137.6,142.6,311349
2009-06-04,140.3,162.0,140.3,157.8,1372900
2009-06-05,160.0,165.9,150.0,154.65,1200298
2009-06-08,156.0,174.4,154.2,158.45,2100621
2009-06-09,158.0,164.4,152.0,159.9,792531
2009-06-10,162.0,167.75,162.0,165.1,1372988
2009-06-11,165.0,170.0,163.7,168.15,882612
2009-06-12,169.75,177.7,156.0,162.5,997259
2009-06-15,161.9,161.95,148.4,150.25,331309
2009-06-16,148.0,163.0,147.0,160.6,590165
2009-06-17,161.25,164.0,152.0,152.9,261444
2009-06-18,151.0,153.0,137.5,141.0,298120
2009-06-19,145.5,147.0,140.6,145.1,219319
2009-06-22,148.6,150.0,142.2,143.95,147434
2009-06-23,140.0,143.9,139.75,141.1,205470
2009-06-24,143.0,169.3,141.2,164.45,3053090
2009-06-25,167.45,172.7,151.1,156.75,2492969
2009-06-26,162.2,171.3,160.0,169.2,1096432
2009-06-29,170.1,176.5,164.0,169.15,1101031
2009-06-30,172.0,175.0,165.85,167.4,423501
2009-07-01,168.5,173.9,166.5,172.7,473679
2009-07-02,173.9,194.8,169.0,191.75,3376644
2009-07-03,192.75,196.5,184.5,189.65,2054661
2009-07-06,192.0,196.4,170.5,174.05,910122
2009-07-07,176.0,191.8,176.0,188.65,824672
2009-07-08,186.75,188.9,178.0,181.8,595770
2009-07-09,182.95,188.0,174.0,185.45,487466
2009-07-10,187.0,191.7,182.1,183.9,598986
2009-07-13,177.5,184.8,167.3,180.2,551256
2009-07-14,184.0,195.5,183.2,191.05,1057166
2009-07-15,195.9,200.0,184.2,197.0,1074303
2009-07-16,199.95,201.0,191.3,193.55,513255
2009-07-17,188.0,200.75,188.0,197.75,460543
2009-07-20,199.8,207.1,199.0,201.4,907765
2009-07-21,189.0,205.0,189.0,197.65,463977
2009-07-22,198.2,201.9,193.0,194.3,294480
2009-07-23,196.2,200.75,196.0,198.45,355099
2009-07-24,199.1,200.95,195.1,196.35,177991
2009-07-27,196.5,216.45,193.4,214.5,1753137
2009-07-28,218.4,218.4,208.1,212.15,670991
2009-07-29,212.5,221.0,208.0,212.45,951915
2009-07-30,211.9,222.4,211.0,220.1,820390
2009-07-31,222.5,222.5,213.5,220.45,880761
2009-08-03,222.5,230.4,215.0,227.85,841689
2009-08-04,227.9,236.5,222.45,233.9,615329
2009-08-05,234.5,239.9,228.5,232.85,398793
2009-08-06,234.95,234.95,220.1,223.65,292963
2009-08-07,218.0,226.5,212.2,213.7,371240
2009-08-10,218.5,227.5,215.55,225.45,566930
2009-08-11,225.0,248.5,222.05,240.8,1172388
2009-08-12,235.0,243.8,234.1,238.05,712477
2009-08-13,245.0,247.5,237.5,239.45,487834
2009-08-14,240.9,251.95,238.0,243.3,699886
2009-08-17,242.9,244.6,234.15,236.45,433136
2009-08-18,235.1,243.9,233.5,236.55,366139
2009-08-19,237.0,243.9,230.25,238.55,571099
2009-08-20,241.9,245.45,235.0,236.5,324349
2009-08-21,237.0,241.0,234.05,237.3,309264
2009-08-24,238.9,244.0,236.1,238.4,486080
2009-08-25,239.4,240.25,234.35,235.25,301008
2009-08-26,236.0,239.0,232.5,233.55,217609
2009-08-27,233.0,239.4,230.6,231.55,351465
2009-08-28,231.0,236.9,231.0,233.4,300574
2009-08-31,233.0,233.0,223.5,227.55,245308
2009-09-01,229.85,237.4,222.5,228.25,356857
2009-09-02,228.0,231.9,225.7,226.65,163070
2009-09-03,228.0,240.95,226.0,236.25,653125
2009-09-04,237.0,244.8,233.05,236.3,723679
2009-09-07,237.9,240.65,236.5,239.1,258056
2009-09-08,239.85,244.5,235.0,238.15,394855
2009-09-09,238.5,239.75,234.15,238.7,387460
2009-09-10,241.8,269.6,236.15,261.15,3756315
2009-09-11,264.7,268.35,254.1,261.65,1822188
2009-09-14,260.0,263.35,252.05,257.65,451491
2009-09-15,259.8,267.4,258.0,263.75,630722
2009-09-16,264.8,274.7,263.1,271.35,943861
2009-09-17,272.8,279.65,268.0,269.95,827981
2009-09-18,271.0,284.95,266.5,279.7,1146786
2009-09-22,279.5,288.5,278.7,286.2,620447
2009-09-23,286.6,290.3,277.0,279.95,447933
2009-09-24,277.0,296.2,275.0,294.05,993680
2009-09-25,293.0,300.95,290.75,297.3,872599
2009-09-29,299.9,307.0,298.0,303.4,389525
2009-09-30,306.4,320.95,304.5,318.55,882716
2009-10-01,318.55,318.55,303.8,306.1,503440
2009-10-05,304.8,304.8,294.35,295.75,500902
2009-10-06,298.9,301.45,280.05,295.35,516302
2009-10-07,298.9,317.7,297.65,306.3,758218
2009-10-08,311.0,313.6,297.1,299.5,383383
2009-10-09,305.0,306.6,294.15,297.1,429420
2009-10-12,299.0,300.95,294.2,297.25,221909
2009-10-14,300.0,304.4,293.1,294.65,338823
2009-10-15,297.9,304.9,296.0,299.65,297534
2009-10-16,301.0,302.9,296.5,298.15,273229
2009-10-17,299.0,301.8,298.0,299.45,89173
2009-10-20,302.45,302.45,296.0,300.05,191256
2009-10-21,299.0,310.0,293.1,306.55,554408
2009-10-22,306.0,321.65,301.3,304.6,1641793
2009-10-23,306.5,315.9,304.1,306.15,337856
2009-10-26,308.5,308.5,292.1,294.1,249787
2009-10-27,290.3,296.7,279.6,289.6,387584
2009-10-28,284.95,294.15,284.95,291.85,187993
2009-10-29,288.5,294.0,283.0,291.15,200207
2009-10-30,296.9,304.4,280.3,284.6,350198
2009-11-03,284.0,291.0,270.1,273.75,369026
2009-11-04,279.0,299.0,277.15,295.5,687778
2009-11-05,296.0,315.95,288.15,312.8,782662
2009-11-06,316.0,345.0,313.5,340.05,1540849
2009-11-09,346.4,350.85,337.0,338.65,425969
2009-11-10,368.7,368.7,330.3,332.7,279686
2009-11-11,334.0,342.0,328.0,331.8,333303
2009-11-12,332.9,335.0,323.6,326.55,188921
2009-11-13,328.9,328.9,317.0,319.6,314937
2009-11-16,324.9,332.4,319.5,321.75,707694
2009-11-17,323.0,328.0,314.3,316.5,287684
2009-11-18,316.55,321.0,313.1,316.8,170413
2009-11-19,319.4,324.35,311.0,313.35,265524
2009-11-20,313.0,324.0,310.0,321.0,296678
2009-11-23,321.0,333.75,320.0,330.4,408032
2009-11-24,332.85,333.8,320.15,322.1,197684
2009-11-25,325.45,332.0,320.1,323.6,177602
2009-11-26,325.0,328.8,321.0,324.5,344052
2009-11-27,320.0,324.9,312.0,322.4,260846
2009-11-30,325.05,335.0,318.3,321.3,197193
2009-12-01,324.0,324.8,317.15,319.5,327697
2009-12-02,320.0,331.45,319.0,320.6,520422
2009-12-03,322.9,325.6,316.6,318.3,239759
2009-12-04,319.15,323.7,316.15,317.35,181166
2009-12-07,318.0,320.85,312.1,314.3,100070
2009-12-08,316.6,316.6,310.2,312.7,129539
2009-12-09,312.8,317.55,308.1,309.85,205840
2009-12-10,310.0,318.0,310.0,314.6,220633
2009-12-11,318.0,319.4,306.1,308.6,193232
2009-12-14,310.2,316.0,305.15,306.2,190395
2009-12-15,307.0,309.65,294.1,297.95,138328
2009-12-16,298.0,298.9,291.45,295.45,154889
2009-12-17,297.95,314.0,292.9,311.6,537667
2009-12-18,311.0,316.9,302.15,304.85,285899
2009-12-21,303.0,309.0,300.0,300.75,71426
2009-12-22,303.0,308.5,303.0,306.7,100380
2009-12-23,307.3,314.8,306.75,312.0,211659
2009-12-24,314.75,325.0,311.2,320.2,551805
2009-12-29,322.45,324.85,315.5,317.0,135011
2009-12-30,318.4,319.4,309.9,313.75,133538
2009-12-31,316.0,324.6,310.6,322.7,291093
2010-01-04,321.0,325.5,313.1,315.2,249026
2010-01-05,319.7,335.5,312.4,320.0,872636
2010-01-06,323.5,324.9,310.9,313.05,483516
2010-01-07,314.0,316.0,310.0,310.4,228748
2010-01-08,311.65,322.85,311.5,313.55,574138
2010-01-11,316.4,318.0,313.05,313.95,168550
2010-01-12,315.0,324.4,311.1,319.0,793860
2010-01-13,317.8,321.9,315.0,319.9,235721
2010-01-14,321.0,324.9,318.15,319.95,155260
2010-01-15,321.4,321.9,307.1,309.6,354246
2010-01-18,309.6,316.9,308.1,314.8,345514
2010-01-19,316.1,319.8,311.1,313.25,395972
2010-01-20,315.0,316.9,301.2,303.1,435712
2010-01-21,304.0,305.0,295.6,299.05,403952
2010-01-22,295.0,295.8,280.0,284.0,417030
2010-01-25,275.5,287.4,271.0,281.3,192801
2010-01-27,279.9,284.5,268.0,275.2,239265
2010-01-28,277.5,293.9,277.5,292.15,367397
2010-01-29,289.8,295.0,276.2,290.25,571474
2010-02-01,289.7,301.9,287.0,297.0,247257
2010-02-02,301.0,304.2,292.0,294.35,238202
2010-02-03,290.0,302.5,290.0,298.85,170447
2010-02-04,292.1,301.8,292.1,295.35,131428
2010-02-05,287.5,294.0,281.0,291.85,221167
2010-02-06,293.4,297.1,291.4,294.7,37540
2010-02-08,296.3,303.7,280.15,289.35,349990
2010-02-09,291.9,296.05,290.3,293.9,273127
2010-02-10,296.0,300.0,292.5,295.55,281978
2010-02-11,294.05,301.0,294.05,298.3,123904
2010-02-15,299.65,301.9,295.0,295.95,121916
2010-02-16,298.75,300.5,294.05,295.7,232496
2010-02-17,295.7,302.0,295.7,299.95,196352
2010-02-18,302.3,303.6,293.5,295.45,84950
2010-02-19,293.8,298.5,293.8,296.25,88874
2010-02-22,297.05,299.7,293.0,296.05,103878
2010-02-23,294.9,296.7,292.0,295.0,78744
2010-02-24,291.1,295.8,291.1,294.6,72877
2010-02-25,292.0,299.0,292.0,297.15,113656
2010-02-26,299.0,299.95,292.0,294.35,76446
2010-03-02,298.75,298.75,291.5,294.1,84599
2010-03-03,294.1,309.4,294.1,303.4,359177
2010-03-04,303.0,310.9,303.0,305.45,211304
2010-03-05,307.7,308.85,302.7,303.55,128284
2010-03-08,305.9,318.0,302.3,312.95,286714
2010-03-09,314.0,321.45,312.0,314.05,384978
2010-03-10,317.7,324.0,300.35,312.25,772362
2010-03-11,306.0,306.0,291.15,298.1,305995
2010-03-12,300.8,304.7,292.75,295.3,208285
2010-03-15,296.0,303.5,293.15,296.1,146934
2010-03-16,297.55,304.5,297.5,303.35,169976
2010-03-17,304.95,306.0,298.0,299.6,180548
2010-03-18,300.15,302.0,298.05,300.25,114761
2010-03-19,299.0,314.4,298.65,310.1,632514
2010-03-22,306.15,311.0,301.0,301.35,201825
2010-03-23,304.8,310.0,300.4,302.05,223615
2010-03-25,302.95,304.65,297.4,298.0,118825
2010-03-26,300.75,304.5,299.0,300.8,141934
2010-03-29,302.0,302.0,285.0,288.05,385170
2010-03-30,290.9,292.8,276.5,282.55,983740
2010-03-31,286.8,294.0,277.35,288.85,477943
2010-04-01,293.0,302.0,292.0,300.6,296718
2010-04-05,303.8,307.0,298.65,300.95,200387
2010-04-06,304.0,304.65,297.05,298.15,108973
2010-04-07,298.15,309.9,298.15,308.25,352944
2010-04-08,311.0,311.0,302.25,304.15,172519
2010-04-09,305.0,312.6,305.0,307.0,214205
2010-04-12,308.4,311.5,304.4,306.7,172697
2010-04-13,305.55,307.75,303.8,304.75,77822
2010-04-15,305.4,306.8,296.15,297.4,107742
2010-04-16,295.85,299.8,295.85,296.65,72817
2010-04-19,291.2,298.95,286.55,296.8,71060
2010-04-20,297.1,306.0,296.05,304.95,532670
2010-04-21,305.9,321.0,305.25,317.85,713452
2010-04-22,317.0,322.0,309.0,310.6,373288
2010-04-23,311.0,317.7,309.2,311.35,140005
2010-04-26,312.5,315.0,306.0,307.5,84749
2010-04-27,307.0,309.1,301.8,302.8,83428
2010-04-28,300.0,306.0,294.85,296.7,111452
2010-04-29,298.85,309.0,298.85,308.1,349813
2010-04-30,310.0,310.9,301.1,303.65,141369
2010-05-03,301.4,318.0,300.0,313.75,306072
2010-05-04,317.5,319.75,308.1,310.65,283439
2010-05-05,300.25,308.4,296.0,307.15,279296
2010-05-06,305.2,322.0,305.2,319.0,492253
2010-05-07,310.0,320.2,302.55,308.8,591842
2010-05-10,316.0,334.75,316.0,331.55,1103260
2010-05-11,331.55,343.0,330.0,332.8,844843
2010-05-12,332.8,334.65,318.6,326.0,306115
2010-05-13,327.5,332.7,322.65,324.55,190907
2010-05-14,322.1,339.95,321.65,335.15,694218
2010-05-17,330.0,338.0,326.05,336.55,247361
2010-05-18,339.0,350.7,337.0,342.4,619925
2010-05-19,348.0,348.0,329.05,330.75,288929
2010-05-20,336.1,336.1,323.15,326.25,125113
2010-05-21,320.25,324.0,315.75,317.6,152776
2010-05-24,323.0,328.95,310.25,314.95,124540
2010-05-25,313.9,316.0,303.0,304.35,229622
2010-05-26,309.75,320.0,308.4,319.05,243909
2010-05-27,315.3,324.1,315.0,319.5,203963
2010-05-28,324.75,328.0,317.0,320.3,144925
2010-05-31,316.0,324.75,316.0,323.5,77410
2010-06-01,324.5,327.7,317.05,319.55,108307
2010-06-02,322.8,325.0,320.15,323.5,99379
2010-06-03,325.9,333.8,325.0,328.2,101939
2010-06-04,327.0,332.0,325.05,330.4,63321
2010-06-07,323.4,334.95,320.25,331.15,79537
2010-06-08,335.0,335.0,328.05,330.25,108967
2010-06-09,330.4,336.75,329.1,334.35,153381
2010-06-10,334.9,341.9,333.0,339.5,116881
2010-06-11,340.0,344.5,335.35,337.95,81824
2010-06-14,345.0,345.0,332.0,335.35,53718
2010-06-15,337.75,338.4,334.05,336.55,45572
2010-06-16,339.35,339.35,334.05,336.7,71298
2010-06-17,334.3,340.5,332.05,337.5,56497
2010-06-18,337.5,342.4,335.3,338.35,92009
2010-06-21,339.9,344.95,337.25,339.55,151748
2010-06-22,336.0,345.55,336.0,338.25,723808
2010-06-23,338.5,345.25,336.2,340.05,612246
2010-06-24,342.0,344.0,338.2,339.45,55446
2010-06-25,340.0,340.9,329.0,330.85,66177
2010-06-28,331.0,335.9,330.85,333.25,55888
2010-06-29,333.85,338.4,331.95,335.6,49192
2010-06-30,330.55,336.25,330.0,332.45,120333
2010-07-01,332.45,342.3,328.0,340.65,118019
2010-07-02,342.0,351.25,337.05,348.95,398982
2010-07-05,351.1,375.0,351.1,354.3,645685
2010-07-06,356.0,365.0,355.0,361.45,239771
2010-07-07,360.4,366.0,359.1,365.2,145915
2010-07-08,367.5,370.0,362.05,363.3,104805
2010-07-09,366.0,366.0,353.0,359.25,162414
2010-07-12,361.0,361.0,351.0,355.0,53074
2010-07-13,355.2,359.4,349.5,351.1,91763
2010-07-14,354.3,362.0,352.0,353.6,107586
2010-07-15,354.0,358.0,351.0,352.7,969256
2010-07-16,354.05,356.0,345.25,347.25,294195
2010-07-19,345.25,351.6,345.25,349.0,57781
2010-07-20,351.5,354.7,348.0,350.5,46844
2010-07-21,352.0,353.0,345.0,345.4,110094
2010-07-22,346.8,354.9,341.5,350.85,274199
2010-07-23,353.0,355.0,345.0,345.95,61838
2010-07-26,346.0,347.9,340.1,342.1,49761
2010-07-27,344.0,346.1,339.5,343.2,314242
2010-07-28,343.0,346.85,336.0,340.7,53376
2010-07-29,338.0,346.8,336.1,344.5,145100
2010-07-30,342.5,353.0,342.5,344.4,145755
2010-08-02,349.75,355.0,345.25,346.75,181745
2010-08-03,347.8,351.9,344.25,346.45,93869
2010-08-04,345.2,347.0,338.5,340.05,147410
2010-08-05,341.0,345.7,340.35,343.75,114216
2010-08-06,342.0,353.8,342.0,350.5,311130
2010-08-09,350.45,353.1,346.0,347.75,68453
2010-08-10,348.0,350.0,343.0,348.95,254295
2010-08-11,348.3,348.3,338.0,339.4,182929
2010-08-12,335.1,338.7,334.5,337.5,63031
2010-08-13,338.8,347.0,337.05,341.9,98015
2010-08-16,343.35,343.35,336.6,338.1,98402
2010-08-17,340.0,341.0,331.2,337.95,150261
2010-08-18,348.0,349.75,335.05,337.05,276599
2010-08-19,340.5,340.5,333.0,335.05,80918
2010-08-20,333.3,342.0,333.3,340.45,73587
2010-08-23,340.0,343.0,336.55,339.95,142937
2010-08-24,341.75,342.0,337.25,339.95,84988
2010-08-25,341.7,341.7,331.8,334.25,71834
2010-08-26,336.8,339.75,324.15,337.6,121944
2010-08-27,339.0,339.0,330.75,334.45,111683
2010-08-30,335.0,340.5,332.25,338.8,79729
2010-08-31,335.25,341.0,331.35,339.1,93570
