date,open,high,low,close,volume
2009-03-05,0.65,0.68,0.64,0.66,93750
2009-03-06,0.63,0.68,0.63,0.66,185180
2009-03-09,0.68,0.68,0.63,0.64,124110
2009-03-12,0.66,0.67,0.6,0.61,285900
2009-03-13,0.63,0.67,0.62,0.67,593220
2009-03-16,0.66,0.69,0.65,0.68,294990
2009-03-17,0.68,0.7,0.66,0.67,96110
2009-03-18,0.69,0.69,0.66,0.68,255270
2009-03-19,0.63,0.69,0.63,0.67,235190
2009-03-20,0.63,0.7,0.63,0.69,126230
2009-03-23,0.67,0.69,0.65,0.68,346070
2009-03-24,0.7,0.74,0.67,0.68,198270
2009-03-25,0.67,0.72,0.67,0.69,577560
2009-03-26,0.7,0.73,0.69,0.71,190100
2009-03-27,0.7,0.71,0.67,0.68,428890
2009-03-30,0.64,0.71,0.64,0.69,333680
2009-03-31,0.69,0.72,0.69,0.71,200150
2009-04-01,0.68,0.73,0.68,0.72,216460
2009-04-02,0.74,0.75,0.71,0.73,338490
2009-04-06,0.77,0.79,0.73,0.76,251000
2009-04-08,0.76,0.83,0.76,0.81,852670
2009-04-09,0.85,0.85,0.8,0.81,358530
2009-04-13,0.88,0.89,0.82,0.88,838480
2009-04-15,0.88,0.96,0.85,0.96,1326360
2009-04-16,1.0,1.01,0.92,0.94,1712560
2009-04-17,0.91,1.0,0.91,0.99,1301160
2009-04-20,1.03,1.03,0.96,0.98,736560
2009-04-21,0.93,1.0,0.93,1.0,839420
2009-04-22,1.05,1.05,0.98,1.0,539390
2009-04-23,1.0,1.01,0.96,0.96,392320
2009-04-24,0.99,1.0,0.96,0.96,273910
2009-04-27,0.96,0.99,0.94,0.94,170890
2009-04-28,0.99,0.99,0.9,0.91,193770
2009-04-29,0.9,0.92,0.88,0.91,94000
2009-05-04,0.93,0.94,0.88,0.93,371050
2009-05-05,0.91,0.95,0.91,0.94,151270
2009-05-06,0.92,0.97,0.91,0.92,114200
2009-05-07,0.92,0.94,0.91,0.92,248170
2009-05-08,0.92,0.94,0.91,0.91,109160
2009-05-11,0.9,0.93,0.88,0.9,217310
2009-05-12,0.89,0.91,0.88,0.89,430210
2009-05-13,0.9,0.93,0.86,0.87,375730
2009-05-14,0.84,0.89,0.8,0.84,568420
2009-05-15,0.85,0.93,0.85,0.9,875830
2009-05-19,0.99,0.99,0.94,0.99,1306930
2009-05-20,1.02,1.09,0.99,1.09,870470
2009-05-21,1.13,1.14,1.12,1.14,669480
2009-05-22,1.19,1.21,1.14,1.19,1729890
2009-05-25,1.2,1.25,1.2,1.25,634260
2009-05-26,1.31,1.31,1.24,1.26,1121170
2009-05-27,1.25,1.33,1.25,1.33,1238180
2009-05-28,1.39,1.39,1.27,1.39,636350
2009-05-29,1.47,1.47,1.4,1.47,2260930
2009-06-01,1.5,1.54,1.45,1.47,2263950
2009-06-02,1.49,1.49,1.39,1.4,1004520
2009-06-03,1.41,1.45,1.38,1.4,1795810
2009-06-04,1.35,1.46,1.35,1.45,1400120
2009-06-05,1.49,1.51,1.39,1.41,1383460
2009-06-08,1.41,1.45,1.34,1.34,740420
2009-06-09,1.27,1.37,1.27,1.31,1125660
2009-06-10,1.37,1.38,1.3,1.3,811030
2009-06-11,1.25,1.35,1.24,1.25,772130
2009-06-12,1.3,1.3,1.2,1.25,625160
2009-06-15,1.2,1.25,1.19,1.2,487390
2009-06-16,1.2,1.26,1.18,1.24,380120
2009-06-17,1.25,1.29,1.18,1.2,305200
2009-06-18,1.24,1.24,1.14,1.15,392850
2009-06-19,1.2,1.21,1.14,1.14,285120
2009-06-22,1.15,1.2,1.11,1.14,309630
2009-06-23,1.14,1.18,1.1,1.11,882640
2009-06-24,1.15,1.15,1.11,1.14,244400
2009-06-25,1.19,1.19,1.13,1.14,280330
2009-06-26,1.13,1.18,1.12,1.15,358890
2009-06-29,1.19,1.2,1.16,1.18,448970
2009-06-30,1.18,1.23,1.18,1.2,400660
2009-07-01,1.19,1.2,1.14,1.15,496460
2009-07-02,1.18,1.19,1.14,1.16,212580
2009-07-03,1.13,1.16,1.13,1.16,393670
2009-07-06,1.19,1.2,1.11,1.12,576680
2009-07-07,1.12,1.12,1.07,1.1,383510
2009-07-08,1.09,1.1,1.0,1.04,426890
2009-07-09,1.04,1.06,0.99,1.0,320820
2009-07-10,1.04,1.04,0.93,0.96,282650
2009-07-13,0.93,0.99,0.88,0.92,542710
2009-07-14,0.91,1.01,0.91,1.0,230040
2009-07-15,0.98,1.06,0.98,1.04,307930
2009-07-16,1.05,1.06,1.0,1.0,381550
2009-07-17,1.06,1.06,1.0,1.03,229180
2009-07-20,1.07,1.07,1.01,1.06,326160
2009-07-21,1.05,1.09,1.02,1.06,323890
2009-07-22,1.14,1.16,1.06,1.12,763810
2009-07-23,1.17,1.18,1.11,1.13,505150
2009-07-24,1.24,1.24,1.24,1.24,686570
2009-07-27,1.37,1.37,1.37,1.37,708710
2009-07-28,1.44,1.44,1.35,1.39,3520510
2009-07-29,1.41,1.41,1.34,1.37,1200670
2009-07-30,1.39,1.39,1.3,1.31,614710
2009-07-31,1.35,1.36,1.26,1.29,2874320
2009-08-03,1.29,1.33,1.27,1.31,512330
2009-08-04,1.3,1.35,1.3,1.34,517090
2009-08-05,1.33,1.41,1.32,1.41,1245960
2009-08-06,1.47,1.47,1.39,1.39,1254360
2009-08-07,1.43,1.47,1.41,1.46,1810680
2009-08-10,1.42,1.53,1.4,1.43,1377780
2009-08-11,1.4,1.43,1.39,1.41,742600
2009-08-12,1.4,1.41,1.35,1.37,346880
2009-08-13,1.38,1.44,1.38,1.43,676730
2009-08-14,1.42,1.5,1.39,1.45,903850
2009-08-17,1.4,1.47,1.38,1.39,357390
2009-08-18,1.36,1.46,1.36,1.46,1056230
2009-08-19,1.51,1.53,1.45,1.5,2171210
2009-08-20,1.47,1.52,1.46,1.47,374320
2009-08-21,1.47,1.5,1.43,1.46,1545870
2009-08-24,1.5,1.5,1.46,1.47,514510
2009-08-25,1.46,1.48,1.44,1.48,343530
2009-08-26,1.48,1.5,1.41,1.47,2135570
2009-08-27,1.5,1.52,1.48,1.49,2963760
2009-08-28,1.49,1.51,1.46,1.48,759950
2009-08-31,1.5,1.51,1.47,1.5,1157220
2009-09-01,1.5,1.51,1.46,1.48,1386790
2009-09-02,1.48,1.5,1.45,1.47,334350
