date,open,high,low,close,volume
2009-03-05,37.5,37.8,34.7,35.5,259318
2009-03-06,35.1,35.7,34.4,34.7,206805
2009-03-09,34.15,35.45,32.55,32.8,198662
2009-03-12,33.2,36.0,31.9,32.2,283402
2009-03-13,33.5,33.75,32.15,32.6,702497
2009-03-16,32.8,33.7,32.5,32.85,661917
2009-03-17,33.0,34.35,32.75,33.05,538608
2009-03-18,33.5,36.5,33.5,34.95,875556
2009-03-19,34.15,36.3,34.15,35.0,318090
2009-03-20,34.75,35.0,34.2,34.5,143495
2009-03-23,34.5,37.2,34.5,36.7,499106
2009-03-24,37.5,38.5,36.65,37.0,653175
2009-03-25,36.6,37.4,35.5,36.05,300449
2009-03-26,36.65,38.6,36.0,37.8,926816
2009-03-27,38.25,39.8,37.6,38.85,641246
2009-03-30,38.0,40.45,37.1,37.65,531469
2009-03-31,38.2,40.2,37.0,39.5,640655
2009-04-01,40.25,41.65,39.2,41.3,599194
2009-04-02,41.75,43.05,41.75,42.65,530477
2009-04-06,43.0,44.3,42.5,43.7,541152
2009-04-08,42.8,54.3,42.05,52.65,3821039
2009-04-09,53.5,55.3,50.15,52.4,2424368
2009-04-13,53.35,57.15,52.8,55.9,2165540
2009-04-15,55.9,60.0,55.0,58.7,1930291
2009-04-16,57.0,60.9,50.5,51.75,1216066
2009-04-17,52.5,58.5,52.0,53.1,1941403
2009-04-20,52.0,55.0,51.8,52.9,717538
2009-04-21,51.0,54.6,51.0,53.45,738351
2009-04-22,53.0,55.3,50.5,51.65,804577
2009-04-23,53.0,53.5,50.5,52.95,602410
2009-04-24,54.0,55.6,52.2,55.0,814265
2009-04-27,56.0,57.05,52.55,53.2,695600
2009-04-28,53.9,53.95,48.0,48.35,673480
2009-04-29,50.0,52.5,48.7,51.65,1242705
2009-05-04,54.9,58.35,54.0,55.5,902477
2009-05-05,56.3,68.2,55.5,65.5,8259535
2009-05-06,66.1,68.4,61.0,62.25,4222954
2009-05-07,63.9,65.9,62.3,63.95,1510986
2009-05-08,63.95,66.95,62.0,64.9,2372011
2009-05-11,65.9,66.35,60.25,64.85,3854660
2009-05-12,64.0,65.25,61.8,62.9,2814432
2009-05-13,65.8,66.0,61.2,62.1,1483959
2009-05-14,60.1,63.45,59.4,62.15,954945
2009-05-15,63.5,64.0,61.1,61.7,1026199
2009-05-18,66.0,69.0,65.7,68.0,4876
2009-05-19,70.0,72.3,62.2,70.95,3575035
2009-05-20,70.0,84.9,68.5,79.05,2939394
2009-05-21,79.0,83.7,75.15,77.7,1440373
2009-05-22,75.55,82.9,74.6,81.65,1227930
2009-05-25,82.0,94.5,82.0,91.1,4836144
2009-05-26,92.9,93.9,81.65,83.35,1837499
2009-05-27,85.0,88.5,81.1,85.4,2569978
2009-05-28,85.0,88.55,84.5,87.25,2075853
2009-05-29,87.5,91.0,86.25,87.15,1849853
2009-06-01,89.9,91.0,88.0,90.05,1530137
2009-06-02,91.6,93.75,88.5,92.5,2391975
2009-06-03,93.5,96.0,89.2,91.7,2028071
2009-06-04,90.8,97.5,89.7,94.75,2624952
2009-06-05,95.0,103.7,92.5,97.05,6453586
2009-06-08,96.0,102.45,90.1,94.4,4811555
2009-06-09,93.1,100.6,91.0,99.55,2304059
2009-06-10,100.1,102.0,93.05,96.1,2703879
2009-06-11,97.0,104.25,96.25,101.8,5099997
2009-06-12,102.7,106.35,96.5,97.95,4813288
2009-06-15,96.1,98.3,92.0,93.3,1350007
2009-06-16,91.1,98.75,90.1,96.45,1398743
2009-06-17,96.15,99.75,93.05,94.0,2461437
2009-06-18,94.0,96.9,88.3,91.2,1204467
2009-06-19,92.5,94.5,90.05,93.65,1150603
2009-06-22,94.95,96.4,92.0,92.6,868838
2009-06-23,90.4,92.0,88.75,91.2,828991
2009-06-24,92.4,104.2,91.8,100.6,3546320
2009-06-25,103.0,104.25,98.15,99.25,4023101
2009-06-26,100.95,103.95,99.5,101.5,2406696
2009-06-29,102.8,106.2,102.0,103.45,2508697
2009-06-30,105.0,105.4,94.05,95.45,1519280
2009-07-01,96.0,102.35,92.5,101.2,2036485
2009-07-02,103.0,103.2,99.2,100.6,1464993
2009-07-03,99.65,101.1,97.75,99.7,695217
2009-07-06,99.5,100.75,92.15,93.9,674090
2009-07-07,94.85,100.1,92.25,98.6,1290889
