date,open,high,low,close,volume
2009-03-05,10.02,10.45,9.5,9.73,3471404
2009-03-06,9.75,10.38,9.5,10.2,2474108
2009-03-09,10.25,10.63,9.57,9.7,3490470
2009-03-12,9.95,10.13,9.63,9.77,2569320
2009-03-13,10.1,10.38,9.75,10.25,4415450
2009-03-16,10.5,11.13,9.95,10.93,4200516
2009-03-17,10.8,10.93,10.15,10.4,3254288
2009-03-18,10.5,10.8,10.2,10.38,2256864
2009-03-19,10.48,10.6,9.77,10.18,1337810
2009-03-20,10.2,10.35,9.9,10.05,1037488
2009-03-23,10.23,10.5,10.18,10.32,1384052
2009-03-24,10.38,10.65,9.93,10.07,2475556
2009-03-25,9.93,10.25,9.8,9.93,1917036
2009-03-26,10.0,10.7,9.9,10.55,2947034
2009-03-27,10.5,11.0,10.4,10.8,1889684
2009-03-30,10.75,11.45,10.63,11.18,3226678
2009-03-31,11.63,11.73,11.07,11.35,1571316
2009-04-01,11.65,12.07,11.38,11.52,4951398
2009-04-02,11.75,12.0,11.48,11.63,2390894
2009-04-06,12.0,12.0,11.4,11.52,1567216
2009-04-08,11.13,12.25,10.27,11.98,4651944
2009-04-09,12.25,12.52,11.8,12.05,2746294
2009-04-13,12.93,12.93,10.63,12.63,2631252
2009-04-15,12.65,13.0,12.27,12.65,4499792
2009-04-16,13.0,13.07,11.77,11.95,2511840
2009-04-17,12.0,12.57,11.95,12.23,1876292
2009-04-20,12.18,13.6,12.18,13.18,4145112
2009-04-21,13.0,14.43,13.0,13.95,6424480
2009-04-22,14.0,14.35,12.82,13.02,5417682
2009-04-23,13.25,17.13,13.05,16.7,33842824
2009-04-24,16.63,17.5,15.02,15.27,18018358
2009-04-27,15.1,16.45,14.5,16.0,8081816
2009-04-28,15.98,16.33,15.27,15.5,3608702
2009-04-29,15.75,16.85,15.63,16.52,9084710
2009-05-04,16.85,17.75,16.63,17.4,6981782
2009-05-05,17.5,17.85,17.05,17.48,3446444
2009-05-06,17.38,17.5,16.75,16.98,1481626
2009-05-07,17.48,17.5,16.63,17.3,1401764
2009-05-08,17.33,21.75,17.02,21.23,17975872
2009-05-11,21.48,21.7,20.0,20.23,9647266
2009-05-12,19.5,20.48,19.0,19.95,4191642
2009-05-13,20.0,20.83,18.65,19.1,3692424
2009-05-14,18.25,19.6,17.75,19.02,3592934
2009-05-15,19.5,19.75,18.35,18.83,1669342
2009-05-18,21.5,21.5,20.25,20.92,5750
2009-05-19,22.95,25.1,19.55,21.4,6773486
2009-05-20,21.2,23.13,20.5,22.33,5659342
2009-05-21,22.5,22.98,21.4,21.8,4059278
2009-05-22,23.7,24.0,21.95,22.33,5521152
2009-05-25,22.5,23.0,21.3,21.55,4019358
2009-05-26,21.75,22.25,20.75,21.05,2715022
2009-05-27,21.5,22.6,21.13,22.05,3160632
2009-05-28,22.05,23.45,21.75,22.9,6146274
2009-05-29,22.6,23.45,22.0,22.38,3220096
2009-06-01,22.55,23.9,22.55,23.23,4173948
2009-06-02,23.45,23.9,22.5,22.85,2013552
2009-06-03,23.0,23.75,21.9,22.8,2774990
2009-06-04,22.5,23.23,22.2,22.77,979998
