date,open,high,low,close,volume
2009-03-05,3.2,3.32,2.91,2.91,32160
2009-03-06,2.93,2.93,2.93,2.93,3000
2009-03-09,2.43,3.18,2.43,3.18,27630
2009-03-12,2.67,3.34,2.67,3.07,53700
2009-03-13,3.29,3.29,2.67,2.87,51660
2009-03-16,2.93,3.1,2.9,3.01,26490
2009-03-17,2.87,3.06,2.87,3.0,28830
2009-03-18,3.1,3.16,2.8,2.85,34620
2009-03-19,2.87,2.96,2.73,2.96,13530
2009-03-20,2.99,3.3,2.87,3.15,90330
2009-03-23,2.94,3.3,2.93,3.14,16200
2009-03-24,3.09,3.24,3.09,3.24,4590
2009-03-25,3.24,3.24,3.0,3.0,90
2009-03-26,3.04,3.22,3.02,3.06,196050
2009-03-27,3.07,3.08,3.0,3.04,31110
2009-03-30,2.94,2.94,2.94,2.94,60
2009-03-31,3.1,3.1,3.07,3.07,60
2009-04-01,3.13,3.13,2.98,2.98,690
2009-04-02,3.18,3.26,3.09,3.25,6120
2009-04-06,3.49,3.5,3.14,3.29,12480
2009-04-08,3.18,3.93,3.18,3.61,26400
2009-04-09,3.54,4.01,3.54,3.8,30900
2009-04-13,3.87,3.87,3.55,3.69,62820
2009-04-15,3.93,4.03,3.8,4.0,23400
2009-04-16,4.0,4.03,3.61,3.8,48060
2009-04-17,3.34,4.4,3.34,3.91,18210
2009-04-20,3.95,3.96,3.67,3.71,12330
2009-04-21,3.5,3.93,3.5,3.88,5430
2009-04-22,3.84,3.99,3.84,3.99,6480
2009-04-23,3.96,4.34,3.74,4.27,15030
2009-04-24,3.47,4.3,3.47,4.1,6900
2009-04-27,3.34,4.41,3.34,3.77,9360
2009-04-29,3.99,3.99,3.52,3.79,1230
2009-05-04,3.66,3.93,3.51,3.68,12630
2009-05-05,4.0,4.0,3.6,3.64,25080
2009-05-06,3.66,3.8,3.62,3.63,7200
2009-05-07,4.16,4.17,3.16,3.8,89520
2009-05-08,4.16,4.3,3.47,3.78,61170
2009-05-11,3.55,4.05,3.55,3.95,40860
2009-05-12,3.74,4.1,3.73,4.0,28170
2009-05-13,3.84,3.99,3.84,3.99,6030
2009-05-14,3.96,3.96,3.96,3.96,120
2009-05-15,3.99,3.99,3.82,3.82,7980
2009-05-19,4.07,4.32,3.24,3.97,18870
2009-05-20,4.14,4.34,4.01,4.28,37920
2009-05-21,4.66,4.7,4.47,4.5,21090
2009-05-22,4.66,4.8,4.11,4.64,40890
2009-05-25,4.84,5.56,4.76,5.46,32490
2009-05-26,5.43,5.66,5.16,5.28,12930
2009-05-27,5.03,5.8,5.03,5.43,24870
2009-05-28,5.3,5.61,5.26,5.36,24000
2009-05-29,5.4,5.6,5.34,5.53,32520
2009-06-01,5.7,5.72,5.3,5.66,28290
2009-06-02,5.64,5.76,5.53,5.53,17190
2009-06-03,5.66,5.74,5.4,5.47,28680
2009-06-04,5.41,5.49,5.21,5.33,48900
2009-06-05,5.53,5.64,5.47,5.54,29940
2009-06-08,5.41,5.6,5.28,5.41,14310
2009-06-09,5.49,5.49,5.14,5.3,6750
2009-06-10,5.4,5.74,5.24,5.45,14460
2009-06-11,5.66,5.66,5.01,5.32,12210
2009-06-12,5.3,5.64,5.07,5.16,12360
2009-06-15,4.99,5.03,4.97,4.97,4680
2009-06-16,4.67,5.0,4.67,4.9,16560
2009-06-17,4.99,5.34,4.74,5.26,20160
2009-06-18,5.16,5.36,4.9,4.9,45570
2009-06-19,4.9,5.03,4.45,4.8,91500
2009-06-22,4.9,4.9,4.84,4.84,12300
2009-06-23,4.93,4.93,4.59,4.83,19380
2009-06-24,5.16,5.16,4.53,4.68,31350
2009-06-25,4.64,5.14,4.64,4.86,65640
2009-06-26,5.3,5.3,4.76,4.91,10560
2009-06-29,4.83,5.34,4.83,5.05,12330
2009-06-30,5.01,5.11,4.67,4.78,11760
2009-07-01,5.03,5.03,4.74,4.74,3000
2009-07-02,4.54,5.03,4.54,4.82,19140
2009-07-03,4.74,5.16,4.74,5.14,1740
2009-07-06,5.6,5.65,4.7,5.07,44940
2009-07-07,5.35,5.35,4.84,5.03,15180
2009-07-08,4.9,5.0,4.64,4.92,630
2009-07-09,4.55,4.84,4.55,4.84,3810
2009-07-10,4.41,4.8,4.41,4.44,7200
2009-07-13,4.66,4.66,4.17,4.24,12000
2009-07-14,4.34,4.81,4.34,4.6,9510
2009-07-15,4.66,5.16,4.36,4.86,6090
2009-07-16,5.05,5.05,4.66,4.8,11580
2009-07-17,5.0,5.57,4.71,4.76,84180
2009-07-20,5.14,5.39,4.82,5.27,31950
2009-07-21,5.07,5.14,5.0,5.05,21150
2009-07-22,5.07,5.07,4.88,5.07,15180
2009-07-23,4.8,5.13,4.77,4.94,6840
2009-07-24,5.16,5.47,4.9,4.9,11640
2009-07-27,5.03,5.43,5.03,5.41,23880
2009-07-28,5.4,5.5,5.11,5.47,20910
2009-07-29,5.47,5.5,5.16,5.5,9390
2009-07-30,5.16,5.49,5.16,5.43,12750
2009-07-31,5.34,5.43,5.16,5.22,15360
