date,open,high,low,close,volume
2009-03-05,49.33,50.67,48.33,49.43,690445
2009-03-06,48.33,51.9,48.33,50.5,300832
2009-03-09,49.4,51.63,47.67,50.03,371884
2009-03-12,49.4,55.33,49.0,53.33,849421
2009-03-13,55.33,60.67,54.0,57.5,1112114
2009-03-16,59.33,62.93,58.37,62.17,1697434
2009-03-17,62.03,63.07,57.13,58.67,728971
2009-03-18,59.33,61.17,57.93,58.87,289558
2009-03-19,60.47,63.0,58.93,59.47,457219
2009-03-20,61.0,61.0,57.27,58.9,124316
2009-03-23,59.67,65.33,59.13,62.53,342893
2009-03-24,64.33,66.67,62.67,65.33,325450
2009-03-25,65.9,66.67,62.33,63.37,596174
2009-03-26,63.83,66.0,62.67,65.33,124796
2009-03-27,64.03,66.0,63.43,65.07,184436
2009-03-30,64.67,67.33,63.73,64.07,284320
2009-03-31,63.37,66.67,62.87,65.5,2558300
2009-04-01,66.67,70.6,64.33,69.77,1268209
2009-04-02,72.0,73.17,69.07,70.73,585385
2009-04-06,72.53,75.67,69.27,70.2,1442026
2009-04-08,68.37,72.2,65.4,71.17,1060997
2009-04-09,72.2,74.0,69.4,72.23,1030214
2009-04-13,74.0,79.87,74.0,76.3,962858
2009-04-15,76.67,85.33,74.87,83.37,2542949
2009-04-16,84.0,89.87,81.67,82.43,2823373
2009-04-17,82.0,89.1,80.8,82.63,965279
2009-04-20,84.57,86.0,81.73,84.17,782123
2009-04-21,82.6,85.0,79.33,81.6,259379
2009-04-22,82.67,85.27,78.1,79.73,123337
2009-04-23,80.03,83.3,77.6,81.67,994694
2009-04-24,81.3,87.97,80.67,85.0,965465
2009-04-27,86.07,92.27,82.07,83.8,1863379
2009-04-28,82.63,85.2,74.4,77.83,1139131
2009-04-29,79.93,79.93,75.37,76.63,3471746
2009-05-04,79.33,86.4,78.63,82.33,3125893
2009-05-05,87.0,89.73,84.0,85.53,2318476
2009-05-06,85.6,88.53,82.37,84.17,1942394
2009-05-07,85.97,86.47,82.03,82.9,598063
2009-05-08,83.33,85.27,77.73,78.77,1263538
2009-05-11,80.97,81.8,79.33,79.97,480083
2009-05-12,80.53,80.7,76.03,76.7,1100951
2009-05-13,77.33,79.67,76.2,77.77,1587845
2009-05-14,78.03,84.63,76.0,82.73,2438584
2009-05-15,85.6,86.0,82.7,84.27,4032412
2009-05-18,92.33,100.0,90.93,96.57,12734
2009-05-19,100.8,105.87,83.53,101.23,5496778
2009-05-20,100.1,106.67,100.1,105.0,1432888
2009-05-21,105.33,109.33,95.33,100.13,1402028
2009-05-22,102.0,110.6,100.0,109.5,2758907
2009-05-25,110.67,115.93,107.4,113.7,1916387
2009-05-26,114.0,115.9,103.33,107.03,2395694
2009-05-27,108.87,108.87,105.67,108.0,1924318
2009-05-28,108.0,111.8,106.1,107.43,3188095
2009-05-29,108.47,115.0,103.53,109.27,17850616
2009-06-01,107.87,113.8,107.87,109.43,3213775
2009-06-02,110.47,113.27,106.07,108.63,2176181
2009-06-03,109.0,118.47,108.4,116.77,6560485
2009-06-04,116.07,118.0,112.07,113.8,5168050
2009-06-05,115.3,118.6,111.43,113.7,3137180
2009-06-08,114.57,115.67,102.83,104.0,1714832
2009-06-09,100.07,111.27,97.37,109.4,1691434
2009-06-10,113.27,117.0,110.3,114.87,4798799
2009-06-11,116.07,116.07,111.0,112.43,1222219
2009-06-12,115.33,115.33,107.37,110.13,3143681
2009-06-15,108.67,109.57,103.0,104.8,1218413
2009-06-16,103.87,109.2,102.67,105.53,1354531
2009-06-17,106.67,107.3,96.67,98.03,1392028
2009-06-18,98.67,99.93,90.67,97.83,1236782
2009-06-19,100.97,103.93,93.37,98.8,877381
2009-06-22,100.0,101.8,97.7,98.93,553354
2009-06-23,96.67,99.4,95.5,97.67,902996
2009-06-24,99.33,100.6,98.0,98.63,1645841
2009-06-25,100.53,101.93,98.0,99.33,4375505
2009-06-26,101.33,105.27,99.53,103.83,2920864
2009-06-29,104.53,104.67,100.8,101.33,1721050
2009-06-30,103.33,103.37,94.0,95.17,2163836
2009-07-01,96.63,99.73,95.33,98.8,1052383
2009-07-02,99.67,100.0,95.43,96.3,904072
2009-07-03,97.33,100.0,95.33,99.47,946519
2009-07-06,102.0,103.13,96.0,97.8,1578055
2009-07-07,98.0,99.1,94.07,96.23,655870
2009-07-08,95.5,96.0,91.2,91.6,1473626
2009-07-09,92.0,95.5,91.13,93.4,653731
2009-07-10,93.33,95.27,91.6,92.67,891146
2009-07-13,91.33,94.1,88.6,93.33,893239
2009-07-14,94.5,97.27,94.13,96.4,705680
2009-07-15,94.33,100.97,91.37,99.73,1155128
2009-07-16,101.0,103.33,100.0,101.73,1623748
2009-07-17,103.0,103.37,98.77,99.8,2493733
2009-07-20,102.67,105.87,101.73,103.1,1822594
2009-07-21,104.17,106.6,100.67,105.17,2142682
2009-07-22,105.87,106.33,96.7,99.4,1445465
2009-07-23,100.7,102.3,99.4,99.97,970915
2009-07-24,102.67,108.2,100.9,107.33,1858426
2009-07-27,108.07,115.77,107.67,114.37,2978392
2009-07-28,116.0,116.3,110.0,114.9,1137473
2009-07-29,113.2,115.63,108.7,113.23,1499194
2009-07-30,113.1,115.07,110.37,112.97,1806766
2009-07-31,115.2,118.33,113.33,114.27,1579220
2009-08-03,115.13,123.33,114.67,122.33,4580600
2009-08-04,122.0,123.57,116.67,119.13,2631062
2009-08-05,114.03,120.67,113.77,115.47,1654786
2009-08-06,111.1,118.9,111.1,114.5,852437
2009-08-07,112.0,114.5,107.7,108.67,813169
2009-08-10,105.0,111.63,100.83,102.17,1683565
2009-08-11,98.37,105.5,98.37,101.3,872129
2009-08-12,100.0,104.27,99.33,101.47,2128241
2009-08-13,101.5,108.6,101.5,105.63,1330321
2009-08-14,105.0,118.6,105.0,115.93,3087671
2009-08-17,113.2,114.73,105.67,106.53,1493513
2009-08-18,106.53,109.33,104.43,105.4,2460583
2009-08-19,106.53,108.67,101.43,103.33,1881439
2009-08-20,104.67,106.5,102.7,104.43,666644
2009-08-21,101.53,106.6,101.53,103.13,1497203
2009-08-24,106.63,107.33,104.4,105.1,1799647
2009-08-25,104.07,109.87,103.8,107.97,1713154
2009-08-26,108.73,109.9,107.33,108.1,2828218
2009-08-27,108.4,114.23,107.83,111.87,3635074
2009-08-28,112.0,114.47,108.83,110.73,2496212
2009-08-31,108.07,114.93,108.07,112.73,2240635
2009-09-01,114.33,116.93,109.67,111.83,3371366
2009-09-02,108.17,112.97,108.17,110.6,1289140
2009-09-03,112.0,113.33,109.4,110.83,781201
2009-09-04,109.0,112.83,109.0,111.27,745751
2009-09-07,110.67,113.6,110.17,111.03,1174202
2009-09-08,110.07,113.07,108.43,108.97,1391201
2009-09-09,109.8,111.67,108.07,109.73,1854020
2009-09-10,110.67,116.27,110.07,113.77,2797328
2009-09-11,115.67,116.63,111.5,112.77,2209483
2009-09-14,112.9,113.33,109.43,110.6,1702702
2009-09-15,111.6,112.8,110.73,111.43,720691
2009-09-16,112.5,114.03,110.47,113.1,1457467
2009-09-17,110.07,115.67,109.4,110.07,2823197
2009-09-18,110.0,112.0,108.9,109.23,2788540
2009-09-22,109.37,110.43,108.33,108.9,1129553
2009-09-23,108.07,109.33,103.97,106.0,3877691
2009-09-24,105.07,107.27,103.4,105.1,2180752
2009-09-25,104.67,110.97,104.67,110.2,1763017
2009-09-29,109.8,111.9,108.83,110.17,1088542
2009-09-30,110.6,111.57,109.5,110.57,1019941
2009-10-01,111.27,113.87,109.37,112.33,1959718
2009-10-05,112.13,114.6,109.17,112.83,2493278
2009-10-06,112.83,115.6,110.53,111.53,1423570
2009-10-07,112.33,120.0,112.33,117.3,4752502
2009-10-08,119.27,119.73,111.47,113.8,3105143
2009-10-09,114.0,114.67,105.43,108.77,5324623
2009-10-12,111.23,111.23,108.23,109.43,925252
2009-10-14,108.9,111.63,108.9,110.37,1589342
2009-10-15,111.07,111.53,107.67,108.63,1700405
2009-10-16,109.67,111.47,106.57,108.23,2993102
2009-10-17,109.67,110.0,107.7,108.87,176663
2009-10-20,109.93,110.0,107.7,108.73,1981997
2009-10-21,109.33,109.67,106.47,106.6,3562385
2009-10-22,105.4,107.67,103.77,104.47,1758482
2009-10-23,106.5,106.6,104.67,104.77,2124457
2009-10-26,106.5,106.5,101.3,102.0,3986518
2009-10-27,102.0,102.0,96.37,97.03,3945713
2009-10-28,96.67,97.0,93.67,95.9,1071877
2009-10-29,95.2,95.53,90.9,93.5,2445788
2009-10-30,95.0,99.67,94.0,95.9,2332400
2009-11-03,94.67,96.33,91.67,92.93,844357
2009-11-04,92.67,95.6,90.27,94.5,1367344
2009-11-05,94.0,96.43,92.67,96.0,455720
2009-11-06,94.73,97.17,94.5,96.07,1536242
2009-11-09,97.27,100.87,96.1,99.0,2461886
2009-11-10,100.0,101.27,98.03,99.63,2602910
2009-11-11,100.57,102.0,98.13,99.3,1717174
2009-11-12,99.67,99.67,94.47,96.73,2469929
2009-11-13,97.27,97.27,95.4,96.63,793756
2009-11-16,98.6,99.73,96.93,99.13,1338043
2009-11-17,100.6,100.6,95.5,96.5,1864849
2009-11-18,96.8,97.2,95.9,96.57,1444976
2009-11-19,96.33,97.17,92.17,92.6,2094041
2009-11-20,92.0,92.3,88.6,89.97,3080080
2009-11-23,92.6,94.27,90.33,92.87,2759153
2009-11-24,93.0,98.2,93.0,97.53,2805121
2009-11-25,98.67,103.93,98.0,103.47,3993898
2009-11-26,103.3,103.83,99.0,100.4,1823786
2009-11-27,100.0,100.0,96.07,98.1,1601512
2009-11-30,100.07,101.2,98.37,99.57,565757
2009-12-01,100.63,106.17,99.03,105.37,2018762
2009-12-02,106.47,109.93,105.4,107.77,2495627
2009-12-03,108.0,113.0,107.47,109.97,4319752
2009-12-04,111.13,111.13,105.43,106.37,1613212
2009-12-07,107.7,109.2,104.47,104.83,783574
2009-12-08,105.33,113.2,103.33,110.67,5049412
2009-12-09,109.33,113.6,107.33,112.07,1257556
