date,open,high,low,close,volume
2016-11-08,25.5,27.95,24.7,27.25,305744100
2016-11-09,23.3,26.65,23.3,25.75,13691710
2016-11-10,26.45,27.3,25.65,25.85,7757485
2016-11-11,25.7,26.65,25.5,26.1,5469200
2016-11-15,25.95,26.35,25.5,25.95,6065110
2016-11-16,26.05,26.5,25.55,25.8,1348345
2016-11-17,25.55,26.35,25.55,26.1,3663025
2016-11-18,26.05,26.35,25.8,26.1,1428685
2016-11-21,25.6,26.2,25.6,26.05,1251700
2016-11-22,25.6,26.35,25.6,26.1,1221155
2016-11-23,25.8,26.35,25.7,26.25,2689075
2016-11-24,26.0,26.2,25.85,26.0,464180
2016-11-25,25.85,26.15,25.7,25.85,752560
2016-11-28,26.05,26.05,25.2,25.35,765350
2016-11-29,25.45,26.05,25.2,25.8,671900
2016-11-30,25.65,26.15,25.65,26.05,881965
2016-12-01,25.8,26.05,25.6,25.65,290590
2016-12-02,25.55,26.0,25.55,25.6,321470
2016-12-05,25.5,25.85,25.3,25.65,412835
2016-12-06,25.8,25.8,24.9,25.05,329990
2016-12-07,24.9,25.25,24.15,24.35,841570
2016-12-08,24.4,25.5,24.35,25.05,658780
2016-12-09,25.2,25.2,24.55,24.6,316105
2016-12-12,24.0,25.0,24.0,24.95,337805
2016-12-13,24.4,24.95,24.4,24.75,121345
2016-12-14,24.95,24.95,24.6,24.7,270680
2016-12-15,24.3,24.95,24.3,24.9,394165
2016-12-16,24.6,25.25,24.35,24.45,1062385
2016-12-19,24.6,24.6,24.05,24.35,695320
2016-12-20,24.55,24.55,24.0,24.05,368720
2016-12-21,24.1,24.1,23.45,23.55,591215
2016-12-22,23.6,23.7,21.45,22.75,858635
2016-12-23,22.5,22.9,21.9,22.05,390835
2016-12-26,21.85,21.85,20.8,21.3,613655
2016-12-27,21.15,21.9,20.9,21.65,336895
2016-12-28,21.55,22.0,21.4,21.75,473110
2016-12-29,21.75,22.3,21.5,22.2,349295
2016-12-30,22.35,22.8,22.2,22.55,259910
2017-01-02,22.9,23.7,22.6,23.65,251690
2017-01-03,24.35,24.85,24.2,24.3,1050985
2017-01-04,24.7,24.75,24.0,24.6,488075
2017-01-05,24.7,24.9,24.35,24.75,457120
2017-01-06,24.75,24.8,24.3,24.45,309115
2017-01-09,24.5,24.9,24.2,24.75,396545
2017-01-10,24.45,24.85,24.45,24.75,168380
2017-01-11,24.75,24.8,24.4,24.5,416320
2017-01-12,24.5,24.7,24.5,24.55,229940
2017-01-13,24.35,24.9,24.35,24.75,452120
2017-01-16,24.4,24.8,24.4,24.55,198095
2017-01-17,24.75,24.75,24.3,24.4,175885
2017-01-18,24.6,24.6,24.1,24.2,1273235
2017-01-19,24.4,24.45,24.25,24.35,221270
2017-01-20,24.35,24.35,23.8,24.0,200995
2017-01-23,24.0,24.2,23.5,23.5,109330
2017-01-24,23.4,24.1,23.4,24.0,178945
2017-01-25,23.75,24.25,23.6,24.0,218030
2017-01-27,23.7,23.9,23.2,23.65,462490
2017-01-30,23.65,23.75,23.4,23.7,426070
2017-01-31,23.45,23.65,23.35,23.55,137305
2017-02-01,23.55,23.8,23.35,23.6,138880
2017-02-02,23.5,24.0,23.45,23.5,89420
2017-02-03,23.15,23.7,23.1,23.35,792935
2017-02-06,23.6,24.0,23.3,23.9,565360
2017-02-07,23.7,24.0,23.65,24.0,1235230
2017-02-08,23.7,24.0,23.6,23.95,380410
2017-02-09,23.8,23.95,23.65,23.9,375875
2017-02-10,23.85,23.9,23.6,23.85,129715
2017-02-13,23.65,23.95,23.65,23.95,419020
2017-02-14,23.75,23.85,23.6,23.75,133045
2017-02-15,23.9,23.95,23.6,23.9,443375
2017-02-16,23.95,23.95,23.25,23.8,2598695
2017-02-17,23.7,23.95,23.7,23.9,224180
2017-02-20,23.4,24.15,23.4,23.95,1583965
2017-02-21,23.8,24.0,23.5,23.7,2223395
2017-02-22,23.7,23.8,22.8,23.0,2061010
2017-02-23,22.8,23.4,22.5,23.15,655360
2017-02-27,23.3,23.6,22.9,23.4,203275
2017-02-28,23.4,23.75,23.0,23.15,943820
2017-03-01,23.65,23.65,22.5,22.85,1403395
2017-03-02,22.95,23.0,22.15,22.3,532355
2017-03-03,22.35,22.65,21.95,22.1,968605
2017-03-06,22.1,22.85,21.9,22.1,335285
2017-03-07,21.95,22.5,21.95,22.2,418615
2017-03-08,22.05,22.2,21.65,21.7,265085
2017-03-09,21.45,21.7,21.05,21.15,496405
2017-03-10,21.35,21.6,21.1,21.2,247030
2017-03-14,21.75,21.75,20.15,20.65,848510
2017-03-15,20.6,21.05,20.5,20.7,547595
2017-03-16,20.7,20.85,20.5,20.75,545750
2017-03-17,20.85,21.2,20.7,21.1,1347215
2017-03-20,21.2,23.05,21.1,22.2,2517175
2017-03-21,22.8,23.15,22.0,22.1,3646825
2017-03-22,21.95,22.5,21.7,22.15,2094035
2017-03-23,22.2,22.55,22.2,22.35,1526320
2017-03-24,22.35,22.55,22.2,22.4,5880545
2017-03-27,22.4,23.1,22.4,22.8,3960500
2017-03-28,22.9,23.1,22.5,22.6,418600
2017-03-29,22.6,22.8,22.35,22.45,304610
2017-03-30,22.15,22.85,22.15,22.75,417895
2017-03-31,22.65,24.9,22.5,24.0,10976225
2017-04-03,23.95,24.3,23.7,24.0,2186695
2017-04-05,23.95,24.55,23.95,24.35,1976140
2017-04-06,24.3,25.9,24.0,24.95,2762420
2017-04-07,24.85,25.6,24.8,25.2,1143835
2017-04-10,25.2,25.8,25.2,25.65,864575
2017-04-11,25.25,26.0,25.15,25.8,1001030
2017-04-12,25.35,26.9,25.2,26.7,4442120
2017-04-13,26.8,28.7,26.75,28.35,7348330
2017-04-17,28.75,29.55,28.15,28.3,3735730
2017-04-18,28.05,29.25,28.05,28.75,3122080
2017-04-19,28.5,29.2,28.45,29.0,3090560
