date,open,high,low,close,volume
2009-03-05,77.5,78.2,73.4,73.9,4332464
2009-03-06,72.1,74.65,71.05,72.6,4648286
2009-03-09,71.8,76.35,71.05,72.1,5990320
2009-03-12,72.9,76.9,72.6,76.05,4214487
2009-03-13,78.15,80.8,77.8,79.65,4128956
2009-03-16,81.4,84.2,77.8,83.3,5853727
2009-03-17,83.1,84.95,82.05,83.15,5057607
2009-03-18,83.0,87.4,83.0,84.85,4199681
2009-03-19,85.5,86.4,83.05,85.25,2724414
2009-03-20,84.95,88.5,83.6,87.15,5382757
2009-03-23,88.6,90.9,87.75,88.6,4970024
2009-03-24,89.0,91.35,85.55,86.1,5797403
2009-03-25,85.0,89.7,84.2,88.9,4697886
2009-03-26,90.15,99.4,89.8,98.4,9930535
2009-03-27,98.15,110.4,96.2,107.8,11489279
2009-03-30,107.4,107.4,98.85,102.3,11621140
2009-03-31,101.5,104.8,97.15,99.6,20113506
2009-04-01,101.0,102.9,98.75,100.1,6169723
2009-04-02,102.1,108.2,102.1,105.2,7342339
2009-04-06,107.0,110.95,103.5,105.65,6929005
2009-04-08,100.0,108.15,97.1,106.4,8583687
2009-04-09,107.5,115.0,105.8,112.55,11578378
2009-04-13,115.0,120.0,114.0,115.75,6873631
2009-04-15,112.0,120.95,111.1,119.15,6364916
2009-04-16,118.1,122.0,108.6,110.05,7308075
2009-04-17,112.0,115.8,107.15,110.7,4784442
2009-04-20,105.5,118.95,105.5,116.3,8402530
2009-04-21,115.0,124.0,111.0,115.25,11066240
2009-04-22,115.0,119.7,112.5,115.15,4775094
2009-04-23,115.7,120.9,111.1,119.6,6664740
2009-04-24,119.3,126.3,119.3,124.35,7634924
2009-04-27,125.0,126.9,118.8,121.7,4979580
2009-04-28,121.5,121.7,111.1,112.3,4828206
2009-04-29,113.0,115.5,106.8,111.85,8125810
2009-05-04,116.0,121.7,115.0,120.25,4316791
2009-05-05,123.8,124.85,119.6,121.3,5505841
2009-05-06,124.7,125.45,117.0,119.7,5701841
2009-05-07,118.3,127.85,117.9,126.5,9514804
