date,open,high,low,close,volume
2009-03-05,9.4,9.6,9.0,9.4,33190
2009-03-06,9.56,9.56,7.8,9.39,5020
2009-03-09,8.12,9.8,8.12,8.99,174305
2009-03-12,8.45,9.2,8.45,9.17,12645
2009-03-13,8.9,9.0,8.86,8.97,83315
2009-03-16,8.99,9.0,8.02,9.0,204510
2009-03-17,9.0,9.1,8.82,8.86,177505
2009-03-18,8.83,9.2,8.73,8.8,863435
2009-03-19,8.82,9.1,8.6,8.77,804585
2009-03-20,8.02,9.07,8.02,9.05,128135
2009-03-23,9.08,9.3,9.08,9.19,60995
2009-03-24,9.2,9.58,8.63,9.22,77445
2009-03-25,8.96,9.5,8.96,9.24,62665
2009-03-26,9.58,9.6,9.24,9.38,22860
2009-03-27,9.3,9.68,9.3,9.49,46610
2009-03-30,9.26,9.59,9.26,9.39,12060
2009-03-31,9.2,9.6,9.2,9.58,4280
2009-04-01,9.4,10.2,9.3,10.06,84205
2009-04-02,10.19,10.32,10.0,10.26,28415
2009-04-06,10.87,11.4,10.44,11.3,66860
2009-04-08,10.4,12.0,10.4,11.69,72390
2009-04-09,11.6,11.82,11.36,11.56,49840
2009-04-13,11.5,13.88,11.04,13.88,349945
2009-04-15,14.93,14.99,13.65,14.93,270950
2009-04-16,15.0,15.5,13.8,14.14,200085
2009-04-17,13.12,14.79,13.12,14.02,33195
2009-04-20,13.8,14.35,13.8,13.93,17375
2009-04-21,13.4,14.59,12.9,13.64,29575
2009-04-22,13.3,13.96,13.0,13.18,24020
2009-04-23,12.92,13.68,12.52,12.91,42105
2009-04-24,12.67,13.19,12.67,12.84,28285
2009-04-27,12.72,13.16,12.64,13.15,11555
2009-04-28,12.85,13.28,12.71,12.73,12310
2009-04-29,12.45,13.4,12.45,13.15,41000
2009-05-04,13.0,14.47,12.9,14.35,151385
2009-05-05,14.47,15.0,14.3,14.85,84205
2009-05-06,14.4,15.34,14.4,14.78,55615
2009-05-07,14.59,15.08,14.59,14.66,13420
2009-05-08,14.62,14.7,14.0,14.49,50245
2009-05-11,14.31,14.77,14.04,14.04,28855
2009-05-12,13.84,14.75,13.84,14.44,180175
2009-05-13,14.6,15.98,14.6,15.08,540550
2009-05-14,15.2,15.2,14.62,14.82,28165
2009-05-15,14.68,14.88,14.68,14.8,19645
2009-05-19,15.0,17.0,15.0,15.91,103190
2009-05-20,15.4,17.66,15.4,17.39,102685
2009-05-21,17.6,20.87,17.6,20.4,356780
2009-05-22,20.4,21.18,18.4,20.22,168780
2009-05-25,20.2,22.25,20.2,22.21,114500
2009-05-26,22.61,23.3,20.26,20.44,72755
2009-05-27,20.8,22.49,20.4,22.4,123745
2009-05-28,22.6,24.2,21.8,23.8,232790
2009-05-29,23.6,26.18,23.6,26.01,253280
2009-06-01,25.8,26.4,24.82,25.21,105865
2009-06-02,25.92,25.92,23.95,24.63,333015
2009-06-03,24.63,25.87,24.31,25.21,211620
2009-06-04,26.0,26.0,24.28,25.08,127855
2009-06-05,24.78,26.34,24.71,26.34,249010
2009-06-08,27.11,27.6,25.03,25.03,76585
2009-06-09,24.0,25.3,23.8,25.17,149345
2009-06-10,25.04,26.43,24.7,25.89,208610
2009-06-11,24.92,26.48,24.63,24.74,100010
2009-06-12,25.2,25.98,24.52,24.83,81935
2009-06-15,24.3,25.38,24.13,24.38,35460
2009-06-16,24.5,25.0,23.71,24.2,159120
2009-06-17,24.05,24.4,23.57,24.01,83710
2009-06-18,24.0,24.34,22.81,23.06,157750
2009-06-19,23.4,23.6,21.91,22.29,48675
2009-06-22,22.6,23.0,21.6,22.07,22370
2009-06-23,21.06,22.39,21.06,21.94,13855
2009-06-24,22.8,23.04,21.72,23.04,97800
2009-06-25,23.04,24.2,23.04,24.1,148815
2009-06-26,24.24,24.4,23.6,23.86,93900
2009-06-29,23.6,24.4,23.28,24.02,49865
2009-06-30,24.0,25.23,23.62,24.34,122185
2009-07-01,25.16,25.2,23.78,23.91,39630
2009-07-02,23.22,24.79,23.22,24.3,52300
2009-07-03,25.45,25.45,23.6,24.53,40095
2009-07-06,24.8,25.4,23.31,23.31,68065
2009-07-07,23.58,23.58,19.58,21.48,76685
2009-07-08,21.0,23.0,20.0,21.89,25185
2009-07-09,22.92,22.92,21.2,21.51,17905
2009-07-10,21.6,22.4,21.3,21.68,5780
2009-07-13,18.6,23.53,18.6,21.48,175405
2009-07-14,22.0,23.06,21.6,22.69,47035
2009-07-15,23.0,25.4,22.39,24.16,85535
2009-07-16,24.4,27.2,24.4,24.92,369180
2009-07-17,24.9,27.4,24.62,26.12,274200
2009-07-20,26.4,27.58,25.62,25.92,39100
2009-07-21,25.4,27.4,25.4,26.42,265515
2009-07-22,25.6,27.2,25.6,27.0,75765
2009-07-23,26.86,27.0,26.48,26.7,51480
2009-07-24,26.58,28.98,26.42,27.9,435585
2009-07-27,29.0,30.1,28.4,29.5,349590
2009-07-28,28.01,30.97,28.01,29.07,465110
2009-07-29,25.19,30.55,25.19,30.04,221555
2009-07-30,29.0,30.52,29.0,30.29,60305
2009-07-31,25.03,31.0,25.03,29.21,556665
2009-08-03,28.64,30.52,28.64,30.31,96820
2009-08-04,28.68,30.78,28.68,29.57,42165
2009-08-05,28.68,30.96,28.68,30.28,109645
2009-08-06,26.2,31.0,26.2,29.32,47640
2009-08-07,29.4,30.0,28.55,28.93,65505
2009-08-10,29.2,29.2,28.0,28.91,72425
2009-08-11,28.02,29.6,28.02,28.63,32045
2009-08-12,27.02,28.74,27.02,27.93,38300
2009-08-13,28.0,28.6,27.6,27.97,29420
2009-08-14,27.2,28.1,27.2,27.39,15005
2009-08-17,26.98,27.4,26.4,26.41,6240
2009-08-18,25.67,26.98,25.67,26.73,5530
2009-08-19,26.01,26.8,25.66,25.79,16105
2009-08-20,24.4,27.0,24.4,26.05,4175
2009-08-21,25.21,26.4,25.21,26.03,11525
2009-08-24,23.39,27.2,23.39,26.76,13605
2009-08-25,25.62,27.81,25.62,27.33,23815
2009-08-26,26.6,30.4,26.6,29.46,391910
2009-08-27,29.2,30.4,28.4,28.58,163000
2009-08-28,28.7,29.6,28.4,28.95,48570
2009-08-31,28.02,28.6,27.4,27.68,40970
2009-09-01,27.22,30.18,27.22,29.23,254455
2009-09-02,27.65,29.6,27.65,29.02,39055
2009-09-03,29.01,29.58,29.0,29.01,55255
2009-09-04,28.42,30.58,28.42,30.06,190875
2009-09-07,29.42,30.79,29.42,29.93,41295
2009-09-08,33.2,35.0,30.85,31.44,284240
2009-09-09,32.04,32.4,31.02,32.17,212475
2009-09-10,28.79,32.77,28.79,31.89,170485
2009-09-11,30.59,32.8,30.59,31.87,161745
2009-09-14,30.2,32.8,30.2,31.44,23870
2009-09-15,31.01,34.35,31.01,33.62,292975
2009-09-16,34.0,34.38,32.8,33.91,98775
2009-09-17,32.59,34.98,32.59,33.83,128695
2009-09-18,32.8,35.0,32.8,33.38,167645
2009-09-22,32.39,34.38,32.39,33.49,40225
2009-09-23,32.2,34.2,32.2,32.76,39975
2009-09-24,31.22,36.0,31.22,34.33,914765
2009-09-25,33.22,35.2,33.22,34.37,154135
2009-09-29,33.22,35.97,33.22,34.72,171130
2009-09-30,33.4,35.2,33.4,33.84,65130
2009-10-01,30.79,33.93,30.79,33.02,30480
2009-10-05,30.8,33.98,30.8,32.52,59950
2009-10-06,31.01,32.8,31.0,31.38,44350
2009-10-07,31.22,32.4,30.79,31.26,120380
2009-10-08,31.78,32.2,30.29,31.85,181090
2009-10-09,30.42,34.79,30.42,32.25,381755
2009-10-12,30.4,32.8,30.4,32.11,47250
2009-10-14,31.02,33.2,31.02,32.31,83630
2009-10-15,31.62,32.84,31.6,31.92,15585
2009-10-16,30.8,32.38,30.8,31.66,15585
2009-10-17,31.02,32.76,31.02,31.93,8145
2009-10-20,31.8,32.95,31.8,32.42,67515
2009-10-21,31.62,32.63,31.55,31.76,33625
2009-10-22,31.6,32.48,31.43,31.58,34275
2009-10-23,31.62,32.21,30.81,31.33,30835
2009-10-26,30.82,34.8,30.82,32.2,723635
2009-10-27,31.02,34.0,30.48,33.17,342485
2009-10-28,31.2,34.1,31.2,33.57,110135
2009-10-29,31.66,33.6,31.66,32.84,173885
2009-10-30,32.05,33.2,30.5,30.63,214775
2009-11-03,29.7,31.6,29.7,30.59,46470
2009-11-04,24.48,31.1,24.48,30.75,88155
2009-11-05,29.63,30.99,29.63,30.07,77115
2009-11-06,30.42,31.14,30.1,30.47,48850
2009-11-09,29.6,32.8,29.6,32.39,129550
2009-11-10,32.02,34.0,32.02,32.47,153080
2009-11-11,30.42,33.28,30.42,32.94,53130
2009-11-12,29.2,33.98,29.2,31.72,133460
2009-11-13,31.14,32.38,31.14,31.87,69095
2009-11-16,32.86,34.99,32.46,34.17,297660
2009-11-17,34.0,35.78,34.0,34.32,349500
2009-11-18,35.19,35.19,33.61,33.99,71650
2009-11-19,34.0,34.6,33.1,33.4,101225
2009-11-20,32.39,33.85,32.39,33.11,34260
2009-11-23,33.22,34.66,33.22,33.83,68525
2009-11-24,34.0,34.9,33.56,34.62,82600
2009-11-25,34.85,38.37,34.3,37.82,1101550
2009-11-26,39.56,39.56,37.25,37.64,635390
2009-11-27,37.0,37.2,35.12,35.66,338905
2009-11-30,36.06,37.4,36.06,36.52,111750
2009-12-01,36.2,37.96,36.2,37.42,146835
2009-12-02,36.44,39.1,36.44,38.24,316240
2009-12-03,38.88,39.3,37.0,37.78,139620
2009-12-04,38.56,39.95,37.62,38.9,308705
2009-12-07,35.2,41.64,35.2,39.25,585610
2009-12-08,36.04,40.8,36.04,40.31,261490
2009-12-09,38.4,41.9,38.4,41.41,455140
2009-12-10,41.2,42.67,41.2,41.87,338150
2009-12-11,41.92,42.86,41.61,42.61,231165
2009-12-14,42.0,42.8,41.02,41.17,233640
2009-12-15,40.2,41.44,40.2,40.6,137170
2009-12-16,39.7,45.55,39.7,43.11,2646125
2009-12-17,41.03,44.8,41.03,43.21,567990
2009-12-18,41.63,44.93,41.63,43.44,557575
2009-12-21,43.99,44.72,42.24,42.69,126265
2009-12-22,43.49,43.49,41.96,42.26,105110
2009-12-23,41.03,43.38,41.03,42.07,154090
2009-12-24,43.44,43.44,42.0,43.01,240755
2009-12-29,43.69,43.69,41.64,41.81,136165
2009-12-30,40.01,42.7,40.01,41.56,169150
2009-12-31,40.22,43.5,40.22,41.74,372765
2010-01-04,41.8,43.9,41.8,43.0,622175
2010-01-05,43.82,47.28,43.42,46.73,1641925
2010-01-06,44.23,48.95,44.23,48.03,904355
2010-01-07,48.03,48.8,46.7,47.56,396310
