date,open,high,low,close,volume
2009-03-05,57.8,57.8,50.2,50.95,1645216
2009-03-06,50.25,52.85,49.05,51.4,1712164
2009-03-09,45.0,51.7,45.0,49.0,890109
2009-03-12,50.05,51.25,48.75,49.85,1463014
2009-03-13,51.1,55.0,50.5,53.9,2057650
2009-03-16,55.0,57.25,54.1,56.75,1333738
2009-03-17,50.1,62.9,50.1,60.2,3571384
2009-03-18,61.05,70.9,61.05,68.5,6557434
2009-03-19,70.95,73.95,68.05,71.05,4382656
2009-03-20,71.0,73.9,69.2,70.2,3711333
2009-03-23,70.9,72.3,68.5,70.9,2134930
2009-03-24,72.0,72.75,67.2,68.0,1939015
2009-03-25,68.0,79.2,66.25,77.8,7722159
2009-03-26,80.0,82.7,74.6,76.1,7275768
2009-03-27,76.0,82.6,75.2,80.75,4096084
2009-03-30,80.0,80.0,70.7,72.55,4410268
2009-03-31,74.0,76.45,71.75,74.45,2964304
2009-04-01,76.4,78.85,74.1,77.65,2761684
2009-04-02,80.0,83.5,78.5,80.6,4507917
2009-04-06,81.65,85.9,80.15,83.45,4517137
2009-04-08,81.0,89.25,79.0,87.7,4769580
2009-04-09,89.4,92.0,84.5,86.5,4381170
2009-04-13,87.85,95.4,86.8,93.1,5260756
2009-04-15,94.0,100.25,91.25,96.9,5370451
2009-04-16,98.0,101.8,87.6,88.5,4459485
2009-04-17,88.5,93.4,86.65,89.0,3441354
2009-04-20,91.95,95.0,88.05,89.85,2862584
2009-04-21,87.9,107.3,85.55,103.6,11716754
2009-04-22,105.0,108.7,97.55,99.9,13546284
2009-04-23,101.0,102.7,95.75,101.0,5424721
2009-04-24,102.25,104.85,99.25,101.3,3225334
2009-04-27,101.0,108.0,99.75,101.9,6446283
2009-04-28,102.0,102.9,90.55,91.8,3891917
2009-04-29,93.2,102.5,92.3,100.6,5299495
2009-05-04,100.6,107.45,100.6,104.85,4923698
2009-05-05,106.0,110.5,103.5,107.05,9238996
2009-05-06,108.85,109.15,99.65,101.9,4656984
2009-05-07,106.9,110.9,102.05,108.05,4663810
2009-05-08,109.1,117.1,105.0,114.4,11875748
2009-05-11,117.4,119.0,106.3,108.75,6334348
2009-05-12,108.0,116.75,106.0,115.7,6886268
2009-05-13,117.0,118.0,109.65,111.5,4798900
2009-05-14,109.1,115.0,107.55,114.15,4264523
2009-05-15,115.0,116.85,111.2,112.05,2585042
2009-05-18,120.15,129.0,120.15,128.05,32606
2009-05-19,135.0,141.0,115.0,135.9,6099877
2009-05-20,134.0,152.3,132.25,150.05,4944642
2009-05-21,150.05,160.5,142.5,144.75,5772611
2009-05-22,144.1,153.3,141.0,152.2,4442089
2009-05-25,153.7,168.9,153.05,166.6,4937359
2009-05-26,168.7,172.0,155.0,157.8,3939292
2009-05-27,162.5,166.8,159.05,164.45,2315880
2009-05-28,167.85,171.75,158.0,167.9,7837734
2009-05-29,170.0,175.75,167.25,169.0,3960409
2009-06-01,172.9,195.0,170.0,193.45,7552782
2009-06-02,196.4,200.0,183.25,198.9,6304802
2009-06-03,205.0,232.5,200.0,230.7,11702578
2009-06-04,230.0,240.4,215.25,233.8,7405609
2009-06-05,237.85,238.45,220.25,223.7,3718916
2009-06-08,224.8,230.9,196.9,200.25,4865757
2009-06-09,201.0,220.8,192.6,217.95,4536444
2009-06-10,222.0,225.4,212.6,218.5,4166074
2009-06-11,218.5,225.85,212.8,222.15,3423774
2009-06-12,225.7,240.9,221.25,230.15,8943166
2009-06-15,227.7,228.4,208.95,211.65,3723370
2009-06-16,207.5,220.8,201.2,218.05,3019336
2009-06-17,217.0,219.4,200.65,202.85,3172972
2009-06-18,201.0,206.85,182.15,191.25,4030817
2009-06-19,196.85,202.0,187.35,199.7,3212361
2009-06-22,210.0,210.0,195.1,199.65,3324977
2009-06-23,192.55,202.55,191.65,200.6,2013523
2009-06-24,202.55,211.9,194.05,209.35,3831628
2009-06-25,219.8,219.8,200.25,203.5,5443563
2009-06-26,208.85,208.85,200.5,204.4,3852486
2009-06-29,205.9,215.7,203.8,212.2,3951897
2009-06-30,214.8,214.85,190.0,192.65,3536872
2009-07-01,193.0,203.4,187.95,201.5,3355830
2009-07-02,204.0,204.45,193.65,198.4,2921963
2009-07-03,194.05,199.95,191.5,197.85,2025201
2009-07-06,198.25,199.7,183.1,185.0,2251726
2009-07-07,186.2,196.5,184.25,194.9,2411732
2009-07-08,192.0,192.9,182.0,184.55,2697694
2009-07-09,186.4,196.75,181.2,193.65,3770056
2009-07-10,195.7,196.5,179.15,183.7,1599167
2009-07-13,178.65,189.0,170.0,174.65,1931211
2009-07-14,178.15,186.65,176.7,185.3,2694972
2009-07-15,188.0,209.75,187.55,204.25,4865033
2009-07-16,209.4,209.4,194.3,197.35,7549469
2009-07-17,201.0,206.0,192.1,195.8,6905714
2009-07-20,204.95,204.95,193.8,197.4,3545437
2009-07-21,196.0,198.1,190.65,191.85,3939974
2009-07-22,193.45,206.6,193.4,199.6,8313389
2009-07-23,201.05,210.9,201.05,208.4,6814822
2009-07-24,210.1,214.95,206.15,213.6,4887900
2009-07-27,215.0,215.0,206.05,210.9,2375669
2009-07-28,213.0,230.0,211.0,227.35,8074167
2009-07-29,227.0,234.2,215.2,225.25,5984149
2009-07-30,227.1,239.95,225.55,231.3,14198835
2009-07-31,230.7,233.5,224.0,226.95,3748505
2009-08-03,228.4,231.8,221.1,230.6,2644713
2009-08-04,232.45,232.85,224.05,227.55,2149513
2009-08-05,229.0,229.85,222.4,227.05,1790029
2009-08-06,225.6,233.7,220.9,222.45,2894039
2009-08-07,220.85,223.5,210.0,211.65,2728389
2009-08-10,215.95,217.0,204.5,206.75,1831363
2009-08-11,206.65,216.2,203.5,214.5,2522168
2009-08-12,213.25,214.9,205.6,213.25,1853562
2009-08-13,216.0,222.25,213.7,220.9,2117711
2009-08-14,221.5,222.4,215.2,216.7,1497456
2009-08-17,207.3,214.5,200.6,202.1,1434148
2009-08-18,200.0,211.0,200.0,209.0,1560126
2009-08-19,211.65,213.35,203.3,204.9,1422052
2009-08-20,207.0,214.35,207.0,212.15,2048268
2009-08-21,214.25,220.75,209.4,219.75,2799750
2009-08-24,224.0,228.9,223.05,227.75,2188574
2009-08-25,226.0,233.45,224.2,232.55,3647239
2009-08-26,233.6,237.0,228.1,236.1,2651842
2009-08-27,236.1,249.8,232.55,246.05,6543583
2009-08-28,246.0,249.8,236.0,245.4,3392871
2009-08-31,240.1,242.8,230.2,234.4,3338326
2009-09-01,235.0,243.0,230.5,232.15,2681412
2009-09-02,230.95,233.7,225.55,226.65,2129480
2009-09-03,229.0,233.45,228.2,230.6,1552918
2009-09-04,232.5,240.0,227.5,239.05,2473657
2009-09-07,243.0,255.9,242.0,254.55,5659779
2009-09-08,257.0,258.05,246.5,248.5,3905188
2009-09-09,248.0,249.9,242.2,247.1,2171290
2009-09-10,249.5,256.95,247.1,248.5,3917023
2009-09-11,250.05,255.85,247.15,250.95,2665867
2009-09-14,248.0,250.45,243.0,246.5,1379782
2009-09-15,248.0,256.9,248.0,256.05,3526401
2009-09-16,257.0,262.35,254.0,259.7,4237399
2009-09-17,261.05,269.95,259.0,267.2,4498591
2009-09-18,265.35,272.45,261.5,270.45,2394368
2009-09-22,271.0,278.0,271.0,275.25,2114322
2009-09-23,276.95,276.95,261.4,265.6,1809339
2009-09-24,262.0,270.45,259.0,265.9,4639476
2009-09-25,259.0,262.75,250.55,256.85,3548925
2009-09-29,261.0,261.75,255.25,256.95,1521888
2009-09-30,255.9,261.25,254.9,260.05,3052492
2009-10-01,260.0,266.95,260.0,261.9,2758950
2009-10-05,259.7,266.95,256.0,261.6,2279183
2009-10-06,264.8,264.8,255.0,261.55,1692651
2009-10-07,264.0,273.7,263.0,268.7,3615523
2009-10-08,274.0,281.0,271.0,272.8,4831427
2009-10-09,275.0,279.0,264.55,267.25,1994148
2009-10-12,269.15,277.4,268.75,276.05,4515280
2009-10-14,278.8,282.6,275.35,279.75,2837739
2009-10-15,282.0,283.9,276.5,278.85,1709728
2009-10-16,280.0,282.6,277.0,280.75,1627290
2009-10-17,282.9,283.8,280.05,281.25,381788
2009-10-20,283.0,285.5,281.5,282.75,1112282
2009-10-21,284.9,286.7,273.0,275.65,1204445
2009-10-22,275.9,280.0,266.2,269.05,1313987
2009-10-23,272.05,282.0,272.05,280.65,1602754
2009-10-26,281.25,289.9,275.5,283.7,3887840
2009-10-27,280.95,283.4,266.5,269.05,2230203
2009-10-28,266.1,271.5,262.5,266.55,1713795
2009-10-29,262.15,264.7,251.0,255.4,4380765
2009-10-30,260.0,266.9,255.05,257.2,1912389
2009-11-03,255.9,261.0,243.5,246.5,1612893
2009-11-04,251.0,260.0,245.0,258.05,1522053
2009-11-05,259.0,265.9,255.05,264.05,2238902
2009-11-06,268.0,279.45,266.0,276.5,3053168
2009-11-09,282.0,282.0,272.3,277.4,1291108
2009-11-10,281.0,281.05,272.6,274.75,1672562
2009-11-11,277.0,286.75,273.0,285.3,2946560
2009-11-12,285.0,286.2,277.2,279.6,1273042
2009-11-13,277.0,284.3,276.95,283.2,1305624
2009-11-16,284.6,291.4,284.6,287.5,2309013
2009-11-17,289.95,294.8,281.1,284.45,1093840
2009-11-18,284.0,288.0,281.25,285.35,1546025
2009-11-19,285.9,296.3,285.0,293.15,8117111
2009-11-20,289.7,289.95,275.2,282.0,2672772
2009-11-23,286.4,286.4,277.6,280.75,748460
2009-11-24,280.0,282.4,264.85,272.55,1852299
2009-11-25,279.4,283.7,266.5,280.9,2321539
2009-11-26,280.0,282.0,269.1,274.75,4316865
2009-11-27,268.0,269.9,257.15,268.25,2118128
2009-11-30,272.0,278.8,270.85,277.45,1410210
2009-12-01,279.0,281.5,277.7,280.1,1277686
2009-12-02,281.8,282.9,278.05,279.9,1321721
2009-12-03,280.9,281.0,277.0,278.65,1156533
2009-12-04,277.25,280.6,273.85,278.0,760072
2009-12-07,278.0,280.0,270.7,272.95,754214
2009-12-08,272.95,275.45,268.55,274.6,1462547
2009-12-09,280.0,280.0,269.5,272.2,1128470
2009-12-10,271.0,271.3,266.55,268.1,1807406
2009-12-11,271.0,271.0,266.25,267.7,1160359
2009-12-14,275.0,275.0,263.75,267.8,631385
2009-12-15,268.0,268.0,259.1,260.55,1327309
2009-12-16,261.8,263.0,255.3,260.8,1114174
2009-12-17,261.0,263.75,259.7,262.45,616374
2009-12-18,261.05,263.0,259.05,260.0,786715
2009-12-21,261.0,263.0,257.05,259.0,603212
2009-12-22,259.6,264.9,259.2,262.15,669232
2009-12-23,264.8,266.75,263.05,266.0,1096048
2009-12-24,268.0,270.1,266.15,267.3,682317
2009-12-29,268.2,273.5,267.3,271.3,1135116
2009-12-30,273.0,273.45,269.2,270.25,605222
2009-12-31,271.5,272.35,268.5,270.05,2267568
2010-01-04,270.8,277.6,270.0,276.55,1070904
2010-01-05,279.0,281.0,275.2,276.4,936400
2010-01-06,276.2,280.45,275.7,276.7,768569
2010-01-07,277.1,277.45,273.45,275.05,517096
2010-01-08,276.3,283.0,273.8,280.55,1601829
2010-01-11,284.0,286.7,281.1,285.85,1438540
2010-01-12,286.0,286.85,275.75,277.3,1069505
2010-01-13,275.2,283.0,273.1,282.15,1010878
2010-01-14,283.95,283.95,278.1,279.8,328013
2010-01-15,281.8,283.35,276.4,278.95,1034561
2010-01-18,278.7,280.05,276.55,278.85,400686
2010-01-19,280.0,284.9,279.5,280.25,884288
2010-01-20,281.95,283.0,274.5,279.15,837146
2010-01-21,280.0,281.95,264.0,265.75,965932
2010-01-22,264.5,270.0,249.0,266.0,1679941
2010-01-25,265.2,273.9,259.15,270.5,1058442
2010-01-27,269.0,270.05,255.0,256.85,1162815
2010-01-28,258.55,263.9,252.2,261.8,4716222
2010-01-29,257.9,264.8,252.0,262.45,1251336
2010-02-01,260.1,265.0,255.05,264.0,741420
2010-02-02,265.3,270.0,258.2,260.35,622944
2010-02-03,262.0,266.95,256.6,265.45,596931
2010-02-04,265.8,265.8,257.6,258.8,638740
2010-02-05,255.0,255.0,239.1,246.7,1620778
2010-02-06,246.9,252.65,246.05,250.9,308230
2010-02-08,251.0,251.0,236.7,242.7,1366737
2010-02-09,242.1,246.5,240.4,244.7,1060860
2010-02-10,248.5,250.25,239.0,242.2,789720
2010-02-11,243.9,245.8,238.1,239.45,1187026
2010-02-15,240.7,242.95,235.0,239.5,574762
2010-02-16,240.75,244.65,237.1,243.7,513681
2010-02-17,246.0,253.85,245.0,252.7,1687253
2010-02-18,253.0,253.0,244.3,247.05,713647
2010-02-19,246.0,246.0,236.7,238.6,1110282
2010-02-22,242.1,243.5,231.25,235.15,659128
2010-02-23,234.5,238.4,230.1,232.0,1050621
2010-02-24,230.0,237.9,228.15,234.15,857752
2010-02-25,230.0,242.8,230.0,237.7,1703918
2010-02-26,240.9,245.7,236.15,240.3,775841
2010-03-02,241.7,250.0,241.5,248.9,1106045
2010-03-03,251.0,262.9,250.95,257.75,1566399
2010-03-04,257.7,264.0,257.7,262.75,1042874
2010-03-05,262.0,267.8,261.25,266.3,793238
2010-03-08,268.5,269.5,263.5,264.65,665133
2010-03-09,265.0,271.0,260.1,265.5,2573033
2010-03-10,265.8,268.75,261.05,263.8,627744
2010-03-11,264.0,268.3,261.8,264.45,1171277
2010-03-12,264.0,268.1,261.75,263.5,1063317
2010-03-15,262.0,267.4,261.0,262.65,786927
2010-03-16,255.1,267.9,255.1,265.45,736037
2010-03-17,268.8,270.0,264.4,267.55,1082480
