date,open,high,low,close,volume
2009-03-05,1.4,1.43,1.39,1.39,154870
2009-03-06,1.33,1.44,1.14,1.39,115670
2009-03-09,1.4,1.42,1.4,1.41,52620
2009-03-12,1.45,1.7,1.45,1.7,6481390
2009-03-13,1.78,1.81,1.62,1.68,2276630
2009-03-16,1.69,1.84,1.65,1.73,1085060
2009-03-17,1.75,2.08,1.75,2.05,3373920
2009-03-18,1.98,2.1,1.91,1.94,1064240
2009-03-19,1.99,2.13,1.96,2.11,862740
2009-03-20,2.1,2.17,2.05,2.13,103080
2009-03-23,2.1,2.24,2.1,2.21,485800
2009-03-24,2.3,2.33,2.25,2.28,367130
2009-03-25,2.3,2.4,2.3,2.4,681350
2009-03-26,2.5,2.5,2.28,2.31,273010
2009-03-27,2.2,2.3,2.2,2.2,126810
2009-03-30,2.2,2.29,2.1,2.11,41300
2009-03-31,2.05,2.14,2.02,2.04,35000
2009-04-01,2.07,2.13,2.07,2.07,23630
2009-04-02,1.98,2.17,1.98,2.04,68930
2009-04-06,2.03,2.15,2.03,2.13,82950
2009-04-08,2.04,2.24,2.04,2.24,35910
2009-04-09,2.26,2.27,2.15,2.25,34920
2009-04-13,2.34,2.36,2.25,2.33,76110
2009-04-15,2.4,2.45,2.4,2.45,55350
2009-04-16,2.57,2.57,2.5,2.54,368080
2009-04-17,2.5,2.67,2.41,2.41,74850
2009-04-20,2.41,2.5,2.3,2.3,57010
2009-04-21,2.29,2.41,2.26,2.32,40890
2009-04-22,2.25,2.44,2.25,2.42,118650
2009-04-23,2.4,2.5,2.35,2.44,144360
2009-04-24,2.45,2.57,2.45,2.57,98670
2009-04-27,2.66,2.7,2.66,2.7,109790
2009-04-28,2.83,2.83,2.58,2.58,325340
2009-04-29,2.5,2.7,2.5,2.7,71800
2009-05-04,2.71,2.83,2.62,2.65,92780
2009-05-05,2.71,2.77,2.62,2.7,32020
2009-05-06,2.59,2.7,2.59,2.6,33700
2009-05-07,2.51,2.73,2.51,2.69,57480
2009-05-08,2.65,2.82,2.65,2.74,68840
2009-05-11,2.62,2.77,2.6,2.63,158480
2009-05-12,2.58,2.63,2.53,2.59,22860
2009-05-13,2.7,2.7,2.6,2.6,27180
2009-05-14,2.55,2.65,2.55,2.57,9940
2009-05-15,2.6,2.7,2.6,2.67,51970
2009-05-19,2.81,2.81,2.81,2.81,122510
2009-05-20,2.94,2.94,2.82,2.94,130980
2009-05-21,2.94,3.09,2.92,3.03,110520
2009-05-22,2.88,3.18,2.88,3.18,93350
2009-05-25,3.34,3.34,3.34,3.34,17980
2009-05-26,3.51,3.51,3.17,3.2,156400
2009-05-27,3.36,3.36,3.06,3.34,110660
2009-05-28,3.5,3.51,3.5,3.51,62430
2009-05-29,3.68,3.69,3.54,3.61,284830
2009-06-01,3.8,3.8,3.7,3.8,728890
2009-06-02,3.98,3.98,3.98,3.98,150530
2009-06-03,4.18,4.18,4.18,4.18,51850
2009-06-04,4.39,4.39,4.39,4.39,406380
2009-06-05,4.62,4.62,4.18,4.27,523400
2009-06-08,4.3,4.3,4.06,4.06,222280
2009-06-09,3.86,4.26,3.86,4.13,391380
2009-06-10,4.01,4.2,4.01,4.17,148920
