date,open,high,low,close,volume
2009-03-05,23.4,23.4,22.96,23.26,9207680
2009-03-06,23.05,24.24,22.83,24.0,11346682
2009-03-09,23.62,23.85,22.96,23.21,5436832
2009-03-12,24.3,24.3,23.32,23.86,11866800
2009-03-13,24.19,25.42,24.08,25.3,21071296
2009-03-16,25.32,25.76,24.78,25.7,12078404
2009-03-17,25.7,25.84,24.84,25.62,10721418
2009-03-18,25.99,26.76,25.58,25.94,9965418
2009-03-19,26.16,26.53,25.68,26.16,10798026
2009-03-20,25.99,26.34,25.6,26.0,10888960
2009-03-23,26.22,27.11,26.14,26.92,10806346
2009-03-24,27.28,28.06,26.88,27.38,17595028
2009-03-25,27.17,28.06,26.96,27.28,13222692
2009-03-26,27.28,29.68,27.22,28.74,23705680
2009-03-27,28.69,29.25,27.71,28.47,11722480
2009-03-30,27.9,28.08,26.7,27.12,11424452
2009-03-31,26.56,27.83,26.56,27.66,7013856
2009-04-01,27.68,28.66,27.02,28.4,6835578
2009-04-02,28.69,30.64,28.69,30.38,12664948
2009-04-06,30.6,31.38,29.52,30.32,13525120
2009-04-08,29.38,32.6,29.02,31.76,27571108
2009-04-09,32.06,32.48,30.58,30.88,17638218
2009-04-13,31.28,31.51,29.3,30.24,18339872
2009-04-15,29.25,30.6,28.16,30.26,27436282
2009-04-16,30.38,31.94,29.59,31.23,20614816
2009-04-17,31.52,32.88,30.42,30.94,23054496
2009-04-20,30.94,31.82,30.18,30.8,9989482
2009-04-21,30.38,31.72,29.9,30.88,7860112
2009-04-22,33.86,33.86,30.72,31.62,32723172
2009-04-23,31.72,35.94,31.72,35.2,43457536
2009-04-24,35.44,35.71,33.9,35.13,21111520
2009-04-27,34.88,37.03,34.25,36.67,19702432
2009-04-28,37.12,37.12,35.22,35.48,14146336
2009-04-29,35.6,37.52,35.6,37.22,16878816
2009-05-04,37.14,41.5,37.14,41.12,19947712
2009-05-05,42.04,42.04,39.76,41.57,17580282
2009-05-06,41.62,42.06,39.84,40.43,26095786
2009-05-07,40.5,43.28,39.72,42.88,24901600
2009-05-08,42.98,43.14,39.66,39.95,24525360
2009-05-11,40.16,40.5,38.26,39.33,10957508
2009-05-12,39.15,42.61,38.82,42.13,20554736
2009-05-13,41.96,44.1,41.08,42.14,20172586
2009-05-14,40.5,41.84,40.06,40.88,13017092
2009-05-15,41.62,43.18,41.18,42.48,12686004
2009-05-18,45.0,51.74,45.0,46.9,355898
2009-05-19,47.4,49.38,42.76,43.36,42957028
2009-05-20,43.88,45.07,42.25,44.58,21949706
2009-05-21,44.22,44.47,42.0,42.28,9364532
2009-05-22,42.3,42.3,40.85,41.56,9537578
2009-05-25,41.62,42.12,40.0,41.28,9316788
2009-05-26,41.36,42.74,41.28,42.08,10558458
2009-05-27,43.62,43.62,41.74,42.66,12090788
2009-05-28,42.64,43.52,40.74,41.53,31297828
2009-05-29,42.35,43.29,41.74,43.0,11417440
2009-06-01,43.32,45.0,43.2,44.88,11200212
2009-06-02,45.56,46.01,43.68,44.06,13524644
2009-06-03,44.44,44.88,43.68,44.56,7251386
2009-06-04,44.32,44.74,43.46,43.94,8130388
2009-06-05,44.39,45.1,43.47,44.26,12065604
2009-06-08,44.74,46.28,44.32,45.64,15566212
2009-06-09,45.14,48.94,44.66,47.66,19824986
2009-06-10,47.82,51.19,47.66,48.64,27581056
2009-06-11,48.38,48.59,46.87,47.68,10813242
2009-06-12,47.82,48.26,45.58,46.12,7906720
2009-06-15,46.35,47.24,44.21,45.22,14459652
2009-06-16,43.88,45.19,43.57,44.6,13701524
2009-06-17,44.66,44.66,42.24,42.8,14705722
2009-06-18,41.26,43.96,41.26,42.38,14793786
2009-06-19,42.75,43.24,42.19,42.79,12401658
2009-06-22,42.98,43.86,42.12,42.68,15911856
2009-06-23,41.78,42.94,41.74,42.46,16300752
2009-06-24,42.76,44.22,41.69,42.89,14635412
2009-06-25,43.3,43.62,41.28,42.14,38477896
2009-06-26,42.75,43.54,42.08,43.24,10793696
2009-06-29,43.32,43.32,42.36,42.66,8229028
2009-06-30,42.75,43.38,42.12,42.52,7663776
2009-07-01,42.52,43.25,41.77,42.67,12398378
2009-07-02,42.76,43.29,41.98,42.95,8945536
2009-07-03,42.98,43.54,42.32,43.36,11192804
2009-07-06,43.54,44.32,41.4,41.88,8976442
2009-07-07,41.62,43.24,41.62,42.59,9149696
2009-07-08,42.16,42.86,41.12,42.2,8453284
2009-07-09,42.22,42.96,41.23,42.0,5967684
2009-07-10,42.3,44.2,42.3,43.28,24092752
2009-07-13,43.32,44.39,42.77,43.76,10164096
2009-07-14,44.1,45.77,43.81,45.04,9500788
2009-07-15,45.78,46.63,45.34,46.48,10431882
2009-07-16,46.86,47.9,46.69,46.87,11639082
2009-07-17,47.09,49.13,47.09,48.32,12197632
2009-07-20,48.52,54.54,48.52,51.74,36817764
2009-07-21,52.32,52.96,51.19,51.6,17417898
2009-07-22,51.8,53.86,50.23,50.76,32022484
2009-07-23,51.42,51.95,50.68,51.36,11406880
