date,open,high,low,close,volume
2009-03-05,73.0,73.8,70.55,71.0,54247
2009-03-06,72.0,73.0,70.2,72.25,53531
2009-03-09,72.75,72.75,70.0,70.8,24519
2009-03-12,72.5,72.5,68.0,68.2,41618
2009-03-13,68.25,72.0,68.25,70.25,49979
2009-03-16,72.0,77.35,72.0,75.65,118107
2009-03-17,75.65,82.0,73.2,75.2,197743
2009-03-18,77.0,84.35,76.0,80.25,111357
2009-03-19,82.45,82.45,77.1,77.85,46906
2009-03-20,77.0,79.85,76.7,77.5,74649
2009-03-23,78.95,81.0,78.45,80.0,91895
2009-03-24,82.0,87.6,78.65,85.4,166299
2009-03-25,87.0,89.0,84.5,85.5,414492
2009-03-26,86.1,87.3,83.25,84.8,250366
2009-03-27,85.9,88.0,84.5,86.25,64555
2009-03-30,84.0,87.5,79.05,79.6,175597
2009-03-31,85.0,88.85,82.05,85.35,383491
2009-04-01,85.0,85.0,66.5,75.65,4549590
2009-04-02,77.0,80.1,75.65,76.65,1195434
2009-04-06,77.0,79.85,77.0,77.35,558093
2009-04-08,76.0,79.4,75.2,78.05,510994
2009-04-09,80.0,83.45,79.5,80.7,663113
2009-04-13,82.6,86.5,81.5,84.3,606321
2009-04-15,85.0,93.95,83.5,92.95,1032147
2009-04-16,94.0,104.15,93.6,95.0,968401
2009-04-17,98.6,101.6,92.05,93.2,477252
2009-04-20,95.0,97.4,89.2,91.25,208213
2009-04-21,89.9,96.8,88.05,93.65,381469
2009-04-22,94.3,107.95,91.8,104.85,1414594
2009-04-23,109.65,109.65,99.0,101.5,819534
2009-04-24,102.0,105.5,100.2,102.6,458888
2009-04-27,102.6,102.8,96.25,97.1,334308
2009-04-28,98.0,98.0,89.2,90.35,212773
2009-04-29,91.1,95.9,87.0,89.3,568841
2009-05-04,92.0,92.0,85.5,88.5,317806
2009-05-05,89.0,93.1,88.2,90.25,339267
2009-05-06,91.25,92.5,87.0,88.15,164417
2009-05-07,89.95,91.0,89.0,89.5,156250
2009-05-08,89.9,91.95,87.8,88.15,125902
2009-05-11,89.5,89.85,87.55,88.75,77596
2009-05-12,88.0,92.0,87.2,91.55,133460
2009-05-13,88.8,92.5,88.7,89.25,94113
2009-05-14,87.1,89.0,85.5,88.0,52680
2009-05-15,89.0,91.4,87.5,88.25,109162
2009-05-18,96.6,100.0,96.6,99.1,1560
2009-05-19,100.0,105.9,91.0,94.15,375023
2009-05-20,95.0,97.7,94.0,96.55,471770
2009-05-21,96.0,114.9,96.0,107.75,2216673
2009-05-22,106.0,119.8,106.0,117.35,1243032
2009-05-25,121.0,124.7,118.75,122.75,1141525
2009-05-26,124.0,124.75,111.0,115.3,550811
2009-05-27,118.0,124.0,114.6,122.4,660891
2009-05-28,123.5,126.9,115.65,117.3,655406
2009-05-29,118.6,123.8,118.55,120.85,442221
2009-06-01,123.5,124.5,117.05,123.9,618677
2009-06-02,126.5,146.7,122.55,142.8,2354904
2009-06-03,145.8,147.8,135.55,138.6,724803
2009-06-04,137.0,143.55,135.0,138.7,515891
2009-06-05,141.0,157.9,138.0,141.85,2314630
2009-06-08,147.9,147.9,126.25,131.3,788094
2009-06-09,130.5,144.9,125.0,143.1,695288
2009-06-10,147.0,150.9,138.0,144.4,851572
2009-06-11,146.5,149.0,140.7,143.05,382098
2009-06-12,144.8,149.75,136.45,147.25,791161
2009-06-15,155.0,156.95,139.35,140.95,1235227
2009-06-16,138.0,143.8,137.55,142.15,329135
2009-06-17,140.0,142.0,129.1,130.45,482868
2009-06-18,135.95,138.0,126.45,129.45,610384
2009-06-19,131.2,134.0,128.0,132.7,275331
2009-06-22,133.15,138.7,131.0,133.5,249811
2009-06-23,133.0,133.0,128.3,131.4,118981
2009-06-24,132.0,142.1,132.0,141.3,498960
2009-06-25,144.3,150.0,143.0,148.15,627905
2009-06-26,150.0,151.4,141.5,142.45,188584
2009-06-29,145.0,149.0,143.1,144.1,177696
2009-06-30,146.0,146.95,135.0,136.25,155889
2009-07-01,133.4,137.9,132.2,134.45,51366
2009-07-02,135.05,138.0,134.1,135.25,65010
2009-07-03,133.0,135.65,130.1,134.15,106012
2009-07-06,139.8,139.8,124.25,125.9,111566
2009-07-07,126.1,129.75,126.1,127.3,69522
2009-07-08,126.0,126.5,119.05,120.05,88744
2009-07-09,119.0,129.9,117.25,127.05,453692
2009-07-10,130.05,130.9,120.0,123.1,158619
2009-07-13,121.6,124.95,115.0,115.65,69572
2009-07-14,120.0,122.9,116.5,121.75,65054
2009-07-15,125.0,128.7,121.0,127.85,90770
2009-07-16,129.5,130.0,121.3,124.15,71536
2009-07-17,127.7,132.85,125.0,129.5,110060
2009-07-20,130.0,136.7,130.0,132.3,117202
2009-07-21,133.0,134.75,129.1,131.85,94698
2009-07-22,130.1,139.8,130.1,138.5,181767
2009-07-23,140.0,140.0,132.4,139.25,133514
2009-07-24,140.0,142.55,138.0,139.6,85731
2009-07-27,141.8,153.35,141.8,150.5,329658
2009-07-28,150.5,156.8,147.5,155.15,381863
2009-07-29,158.95,158.95,143.5,146.1,328679
2009-07-30,146.5,151.8,146.3,148.8,110571
2009-07-31,149.15,149.5,141.0,141.75,168437
2009-08-03,144.0,145.9,140.0,145.05,115831
2009-08-04,146.0,148.45,142.75,143.75,114817
2009-08-05,142.0,146.9,142.0,145.0,86414
2009-08-06,145.0,158.5,144.25,147.95,533223
2009-08-07,148.1,152.9,145.0,146.65,238352
2009-08-10,151.9,151.9,143.05,144.75,142192
2009-08-11,145.0,147.0,144.0,146.0,46789
2009-08-12,143.0,153.45,143.0,150.95,110613
2009-08-13,153.4,165.6,146.0,163.85,456533
2009-08-14,163.8,165.4,158.5,160.15,160934
2009-08-17,158.0,166.4,153.6,157.1,184216
2009-08-18,157.5,161.7,157.5,158.55,84073
2009-08-19,159.0,161.8,155.2,157.0,71012
2009-08-20,159.9,165.0,158.15,159.6,93096
2009-08-21,160.0,163.8,158.5,162.2,82502
2009-08-24,177.0,187.5,168.0,176.85,1891522
2009-08-25,178.0,181.0,170.65,171.7,409285
2009-08-26,175.0,175.0,163.0,164.85,227436
2009-08-27,162.1,169.7,161.3,165.8,144785
2009-08-28,166.5,167.5,162.2,163.85,62916
2009-08-31,162.8,167.6,160.1,161.45,66676
2009-09-01,162.6,164.4,159.0,159.8,86141
2009-09-02,161.45,161.45,155.05,157.85,34966
2009-09-03,161.45,162.0,156.0,157.0,77168
2009-09-04,159.45,159.45,155.7,156.55,58536
2009-09-07,158.0,163.0,158.0,160.2,57917
2009-09-08,162.8,164.0,157.4,159.8,76027
2009-09-09,158.55,163.5,158.1,159.15,37983
