date,open,high,low,close,volume
2009-03-05,7.8,8.11,7.55,7.96,573100
2009-03-06,7.9,8.76,7.82,8.32,1054900
2009-03-09,8.21,8.21,7.61,7.84,70740
2009-03-12,7.84,7.85,7.61,7.79,203250
2009-03-13,7.7,8.2,7.7,7.88,79770
2009-03-16,8.1,8.3,7.81,7.93,101770
2009-03-17,7.35,8.2,7.35,7.79,36580
2009-03-18,7.75,8.0,7.71,7.79,91780
2009-03-19,7.51,8.01,7.51,7.86,193990
2009-03-20,8.0,8.63,7.75,8.06,163860
2009-03-23,8.7,8.7,7.91,8.04,62900
2009-03-24,8.2,8.24,7.81,7.82,85270
2009-03-25,7.71,7.79,7.5,7.61,94330
2009-03-26,8.0,8.0,7.55,7.63,49890
2009-03-27,7.77,8.1,7.63,8.06,151100
2009-03-30,8.0,8.0,7.65,7.71,49210
2009-03-31,7.8,7.9,7.63,7.74,18410
2009-04-01,7.76,8.12,7.76,7.98,38560
2009-04-02,8.14,8.4,8.01,8.13,130480
2009-04-06,8.58,8.61,8.24,8.43,70540
2009-04-08,7.75,8.69,7.75,8.59,87070
2009-04-09,8.99,8.99,8.61,8.72,79250
2009-04-13,8.81,9.13,8.76,9.08,145360
2009-04-15,8.81,9.5,8.2,9.33,118450
2009-04-16,10.0,10.24,8.9,9.11,125400
2009-04-17,9.79,9.79,9.12,9.53,61020
2009-04-20,9.89,10.05,9.57,9.93,110870
2009-04-21,9.8,10.92,9.8,10.92,1316190
2009-04-22,11.1,11.3,10.38,10.38,210300
2009-04-23,10.5,10.5,9.86,10.03,275020
2009-04-24,10.1,10.38,9.95,10.03,71450
2009-04-27,9.9,10.38,9.75,9.88,54440
2009-04-28,9.8,9.98,9.41,9.48,71100
2009-04-29,9.6,9.9,9.24,9.88,59990
2009-05-04,10.01,10.28,9.79,10.18,84300
2009-05-05,10.2,10.43,9.9,10.06,43290
2009-05-06,10.06,10.06,9.7,9.77,84080
2009-05-07,9.8,10.18,9.7,9.82,109370
2009-05-08,9.82,9.95,9.65,9.78,72890
2009-05-11,9.99,9.99,9.4,9.48,52660
2009-05-12,9.5,9.95,9.22,9.78,241050
2009-05-13,9.9,9.9,9.45,9.58,79430
2009-05-14,9.8,10.0,9.4,9.79,97000
2009-05-15,9.9,9.98,9.63,9.87,68130
2009-05-18,10.0,10.0,10.0,10.0,1000
2009-05-19,10.1,10.85,10.0,10.38,361780
2009-05-20,10.79,10.99,10.21,10.9,227840
2009-05-21,11.0,11.8,11.0,11.08,303130
2009-05-22,11.2,12.0,11.02,11.92,415820
2009-05-25,12.2,12.95,12.2,12.81,352060
2009-05-26,13.11,13.3,12.18,12.18,175710
2009-05-27,12.54,12.58,11.73,11.92,250980
2009-05-28,12.01,12.3,11.7,11.76,111110
2009-05-29,12.19,12.2,11.8,11.98,211720
2009-06-01,12.39,12.58,11.95,12.53,498870
2009-06-02,12.58,12.89,12.25,12.52,157990
2009-06-03,12.6,12.78,12.1,12.41,177620
2009-06-04,12.02,12.78,12.02,12.48,173570
2009-06-05,12.55,12.67,12.3,12.5,171650
2009-06-08,12.53,12.8,11.88,11.97,152290
2009-06-09,11.46,12.57,11.45,12.3,252470
2009-06-10,12.42,12.91,12.42,12.59,473410
2009-06-11,12.61,12.95,12.31,12.52,138540
2009-06-12,12.47,12.7,12.1,12.18,87000
2009-06-15,12.1,12.35,11.81,11.93,109050
2009-06-16,12.18,12.18,11.5,11.72,173860
2009-06-17,12.23,12.23,11.6,11.69,69020
2009-06-18,11.9,12.28,11.18,11.33,242310
2009-06-19,11.63,11.8,11.5,11.54,71450
2009-06-22,11.53,11.85,11.3,11.33,44370
2009-06-23,11.28,11.29,10.77,10.87,180080
2009-06-24,10.95,11.24,10.65,11.15,88140
2009-06-25,11.3,11.6,11.11,11.28,156010
2009-06-26,11.35,11.5,11.35,11.47,50160
2009-06-29,11.7,12.04,11.46,12.04,213950
2009-06-30,12.65,12.65,12.2,12.31,251420
2009-07-01,12.5,12.59,11.72,12.03,67240
2009-07-02,12.25,12.5,11.77,12.32,95430
2009-07-03,12.08,12.5,12.08,12.34,62960
2009-07-06,12.51,12.69,11.73,11.82,66950
2009-07-07,11.95,12.0,11.81,11.92,43540
2009-07-08,11.57,13.11,11.16,12.21,215040
2009-07-09,11.9,12.5,11.72,11.91,101890
2009-07-10,12.25,12.45,11.72,11.84,100570
2009-07-13,11.9,12.0,11.55,11.63,25530
2009-07-14,11.75,12.3,11.63,12.16,147400
2009-07-15,11.99,12.19,11.8,11.98,91870
2009-07-16,12.89,13.18,12.09,12.94,313680
2009-07-17,13.25,13.85,12.8,13.39,296410
2009-07-20,13.9,14.5,13.7,14.01,916090
2009-07-21,14.1,14.19,13.13,13.54,372950
2009-07-22,14.9,14.9,14.02,14.48,859780
2009-07-23,14.5,15.6,14.5,15.07,2429110
2009-07-24,15.6,15.77,14.41,14.49,577490
2009-07-27,14.63,15.94,14.63,15.94,1307990
2009-07-28,16.5,17.39,16.3,16.74,1169600
2009-07-29,16.8,16.8,15.9,16.09,451270
2009-07-30,15.51,16.9,15.51,16.9,333220
2009-07-31,17.03,17.74,17.01,17.4,960630
2009-08-03,17.89,17.89,17.13,17.2,257860
2009-08-04,17.43,17.44,16.82,16.96,139810
2009-08-05,17.4,17.4,16.61,16.83,99550
2009-08-06,16.7,17.42,16.55,16.76,214530
2009-08-07,16.11,17.06,16.11,16.59,230100
2009-08-10,16.59,17.12,15.9,16.06,190270
2009-08-11,16.2,16.86,16.06,16.78,606840
2009-08-12,16.7,16.99,16.51,16.69,147630
