date,open,high,low,close,volume
2015-03-31,56.7,58.5,55.0,55.95,137591
2015-04-01,57.4,57.4,54.15,55.7,148767
2015-04-06,57.25,66.8,56.5,63.7,308258
2015-04-07,63.95,72.0,63.0,69.45,281312
2015-04-08,70.2,73.0,64.4,70.05,608437
2015-04-09,72.45,81.45,72.45,79.7,1390034
2015-04-10,80.6,82.8,77.6,79.2,432915
2015-04-13,79.65,79.65,74.35,77.25,206972
2015-04-15,77.0,79.7,75.95,77.3,178758
2015-04-16,78.5,79.45,73.1,74.25,122946
2015-04-17,75.0,76.85,72.6,73.8,101631
2015-04-20,74.9,75.0,68.25,69.0,82563
2015-04-21,67.1,72.8,67.1,68.75,84727
2015-04-22,69.2,70.95,66.1,68.4,112900
2015-04-23,68.5,71.95,67.0,67.3,121348
2015-04-24,68.65,68.65,60.6,61.9,113839
2015-04-27,62.4,63.45,55.75,55.75,68078
2015-04-28,53.95,53.95,53.0,53.0,211703
2015-04-29,50.5,55.65,50.45,55.65,193482
2015-04-30,56.7,58.4,55.4,58.4,140155
2015-05-04,61.25,61.3,59.5,61.3,139961
2015-05-05,63.4,64.35,62.3,64.35,143267
2015-05-06,65.0,67.0,61.15,61.15,178130
2015-05-07,62.5,62.5,58.1,58.1,48515
2015-05-08,59.05,61.0,56.1,58.85,107900
2015-05-11,60.0,60.9,57.6,58.7,77032
2015-05-12,59.0,59.85,55.9,56.25,37780
2015-05-13,58.8,58.8,55.1,57.4,48717
2015-05-14,56.05,58.8,56.0,56.9,52919
2015-05-15,56.1,57.55,54.1,55.7,141919
2015-05-18,56.5,58.45,55.65,58.45,64287
2015-05-19,60.7,60.8,56.25,57.3,74942
2015-05-20,57.0,58.95,56.55,57.35,47296
2015-05-21,56.4,58.2,55.1,57.75,30524
2015-05-22,58.1,58.85,57.15,57.75,36635
2015-05-25,60.6,60.6,60.5,60.6,75138
2015-05-26,63.6,63.6,63.6,63.6,13214
2015-05-27,66.75,66.75,60.5,66.75,523287
2015-05-28,70.05,70.05,68.55,70.05,185134
2015-05-29,73.55,73.55,73.55,73.55,19375
2015-06-01,77.2,77.2,77.2,77.2,19852
2015-06-02,81.05,81.05,74.25,76.35,1435235
2015-06-03,76.0,76.05,72.55,72.55,80361
2015-06-04,69.55,76.15,69.0,76.15,265781
2015-06-05,77.3,79.0,75.2,76.75,229032
2015-06-08,76.05,80.0,75.55,76.05,89698
2015-06-09,78.0,79.0,72.5,77.1,54918
2015-06-10,74.1,78.9,74.1,75.25,48072
2015-06-11,73.5,77.5,71.5,71.95,24973
2015-06-12,71.0,72.9,69.9,70.5,35864
2015-06-15,70.0,74.0,68.05,74.0,24552
2015-06-16,77.7,77.7,76.0,77.7,157204
2015-06-17,80.7,81.55,74.55,80.8,249569
2015-06-18,82.0,82.5,78.05,79.8,57511
2015-06-19,78.1,81.0,77.0,77.7,25012
2015-06-22,75.1,81.55,75.1,81.15,132612
2015-06-23,82.85,82.85,78.5,79.4,20316
2015-06-24,79.0,83.0,79.0,81.15,94557
2015-06-25,80.0,81.5,78.35,79.45,25915
2015-06-26,78.0,80.9,75.55,78.6,29644
2015-06-29,77.0,77.4,75.0,76.8,23624
2015-06-30,75.15,77.9,75.15,76.25,11521
2015-07-01,73.0,80.05,73.0,80.05,74466
2015-07-02,84.05,84.05,80.2,81.95,58222
2015-07-03,85.0,85.5,82.0,82.2,59154
2015-07-06,82.2,82.2,79.05,80.9,43858
2015-07-07,82.0,84.85,81.0,82.15,101054
2015-07-08,80.15,81.0,78.3,79.1,47411
2015-07-09,79.1,83.05,79.1,83.05,220206
2015-07-10,83.0,85.9,80.2,81.25,64930
2015-07-13,82.0,82.85,79.5,81.0,66385
2015-07-14,81.05,85.05,80.55,84.65,332139
2015-07-15,82.2,88.85,82.2,88.3,359221
2015-07-16,89.8,92.7,88.5,92.7,345833
2015-07-17,94.9,97.3,94.05,97.3,255975
2015-07-20,98.9,101.0,92.5,94.55,281938
2015-07-21,90.75,99.25,90.75,93.1,264219
2015-07-22,91.0,97.75,91.0,97.65,329897
2015-07-23,98.85,101.25,95.0,96.75,155703
2015-07-24,96.0,100.85,94.85,96.7,131527
2015-07-27,92.1,98.8,92.1,94.0,72134
2015-07-28,94.1,96.25,89.3,89.95,157140
2015-07-29,90.5,94.4,86.2,94.4,219915
2015-07-30,97.25,97.25,92.35,92.95,120841
2015-07-31,92.1,97.55,92.1,95.4,181720
2015-08-03,95.8,98.6,92.5,94.6,84013
2015-08-04,93.0,96.7,93.0,94.3,55615
2015-08-05,95.1,99.0,95.0,99.0,104331
2015-08-06,100.0,103.0,96.2,101.65,283434
2015-08-07,101.35,101.35,96.9,97.65,160300
2015-08-10,98.95,100.9,95.6,96.95,64171
2015-08-11,97.0,97.0,92.1,94.0,103320
2015-08-12,94.45,94.45,84.6,86.0,266749
2015-08-13,88.4,90.2,80.8,82.7,110071
2015-08-14,84.95,90.0,82.15,85.35,182274
2015-08-17,87.45,91.4,84.3,87.2,160492
2015-08-18,87.95,91.5,87.0,89.4,112627
2015-08-19,90.65,93.0,89.05,92.2,127671
2015-08-20,92.85,93.75,88.0,88.5,109434
2015-08-21,89.0,89.0,82.85,85.7,90844
2015-08-24,86.8,86.8,77.15,77.15,111245
2015-08-25,78.1,79.45,69.45,74.85,252530
2015-08-26,73.95,74.95,67.4,68.75,157961
2015-08-27,69.95,72.15,65.35,72.15,447756
2015-08-28,75.75,75.75,71.15,72.35,315079
2015-08-31,75.4,75.4,69.25,71.0,150758
2015-09-01,70.5,70.9,67.8,68.5,90706
2015-09-02,71.8,71.8,67.35,67.8,27056
2015-09-03,68.0,71.15,67.95,71.15,104797
2015-09-04,72.0,72.0,67.6,68.05,90966
2015-09-07,70.8,70.8,64.7,65.4,57874
2015-09-08,65.5,68.35,64.15,67.85,34088
2015-09-09,69.9,70.9,68.2,68.9,37469
2015-09-10,68.7,69.0,65.5,67.5,77501
2015-09-11,70.8,70.8,67.05,69.3,48944
2015-09-14,72.0,72.0,67.05,70.8,27884
2015-09-15,72.0,72.0,68.6,69.95,9816
2015-09-16,70.2,70.8,69.0,69.9,14930
2015-09-18,71.95,72.7,69.9,72.2,50731
2015-09-21,69.5,72.7,69.5,72.05,41920
2015-09-22,71.75,74.7,70.1,71.1,40194
2015-09-23,72.0,72.3,69.2,71.9,53227
2015-09-24,69.65,72.75,69.65,71.85,28505
2015-09-28,72.9,75.4,72.8,75.1,197817
2015-09-29,74.0,75.0,72.3,74.15,77686
2015-09-30,75.9,77.85,72.45,77.7,210291
2015-10-01,76.2,81.4,73.85,73.85,206007
2015-10-05,74.8,76.4,71.85,74.6,212938
2015-10-06,74.95,81.0,74.3,78.3,140699
2015-10-07,79.0,84.7,78.4,81.55,256041
2015-10-08,82.45,91.1,82.45,89.75,328567
2015-10-09,91.95,94.9,85.1,86.8,206839
2015-10-12,87.95,89.5,86.4,87.4,86657
2015-10-13,87.45,92.0,86.5,88.2,167604
2015-10-14,88.95,92.9,86.5,87.65,183377
2015-10-15,88.8,89.5,85.35,86.25,62590
2015-10-16,86.35,88.5,86.0,86.55,93863
2015-10-19,87.15,91.95,85.5,90.65,104720
2015-10-20,92.6,92.7,88.5,90.2,86375
2015-10-21,90.15,92.3,87.5,88.7,47390
2015-10-23,88.95,90.55,87.0,87.5,51785
2015-10-26,85.15,88.75,85.15,86.8,40036
2015-10-27,85.6,89.5,85.6,86.35,39882
2015-10-28,86.25,88.0,85.0,85.3,57790
2015-10-29,85.0,87.0,84.1,85.25,31712
2015-10-30,85.1,86.0,82.4,82.95,34986
2015-11-02,85.95,86.25,80.2,85.15,41720
2015-11-03,86.75,87.2,84.15,85.1,20259
2015-11-04,85.4,86.85,82.25,82.4,19051
2015-11-05,82.4,83.9,80.0,80.55,31897
2015-11-06,82.9,83.8,80.0,80.85,68402
2015-11-09,72.5,79.8,72.5,78.8,34028
2015-11-10,80.35,82.8,78.1,79.8,26617
2015-11-11,81.0,84.55,80.95,83.45,38595
2015-11-13,84.0,91.7,81.8,82.7,182171
2015-11-16,81.7,85.45,81.7,83.7,105153
2015-11-17,85.45,86.5,83.3,85.1,60973
2015-11-18,85.45,86.0,79.8,80.05,75679
2015-11-19,80.25,82.0,79.5,80.35,41594
2015-11-20,80.0,84.95,79.95,81.45,93739
2015-11-23,81.55,82.5,80.6,81.15,29102
2015-11-24,80.5,81.9,79.8,80.0,47665
2015-11-26,79.95,85.0,79.95,83.5,97136
2015-11-27,83.4,84.85,81.6,82.5,33634
2015-11-30,82.3,87.95,82.3,84.1,146240
2015-12-01,85.5,92.6,85.2,90.15,225874
2015-12-02,91.95,94.25,86.55,92.2,208601
2015-12-03,90.1,110.6,90.1,105.65,2026898
2015-12-04,107.0,109.35,98.3,102.85,473489
2015-12-07,103.85,107.3,101.0,102.2,119965
2015-12-08,101.0,105.0,98.3,98.95,134202
2015-12-09,101.5,101.5,92.2,93.9,172727
2015-12-10,94.6,97.5,93.15,96.1,70051
2015-12-11,98.8,106.9,97.95,99.75,247648
2015-12-14,99.75,103.85,98.0,101.35,104363
2015-12-15,100.1,102.85,99.25,101.35,70834
2015-12-16,104.15,105.1,100.55,101.4,100943
2015-12-17,102.9,115.9,101.5,113.95,763589
2015-12-18,112.4,120.25,110.1,118.55,745585
2015-12-21,119.5,122.5,116.2,117.3,433543
2015-12-22,118.05,123.75,115.1,118.8,368957
2015-12-23,120.0,122.8,116.45,117.05,132779
2015-12-24,118.0,128.0,113.0,122.35,272155
2015-12-28,126.4,131.9,122.65,124.55,511500
2015-12-29,124.4,125.6,120.2,122.4,172645
2015-12-30,123.6,129.0,121.8,125.3,243984
2015-12-31,126.3,126.3,120.75,122.7,81165
2016-01-01,122.95,126.75,122.2,124.5,103874
2016-01-04,124.85,127.1,117.25,121.05,198911
2016-01-05,122.7,129.0,119.35,125.15,205981
2016-01-06,125.8,134.45,120.15,125.9,651330
2016-01-07,124.5,124.7,119.5,121.15,156673
2016-01-08,123.2,125.95,121.9,124.05,149952
2016-01-11,122.5,124.8,119.0,122.45,118340
2016-01-12,123.65,126.5,119.2,120.35,223759
2016-01-13,122.8,123.2,103.0,108.75,371604
2016-01-14,103.2,109.9,100.6,103.9,406759
2016-01-15,105.4,106.95,92.0,94.95,141207
2016-01-18,98.95,98.95,85.15,85.7,215360
2016-01-19,86.95,93.35,86.8,89.45,183643
2016-01-20,87.65,88.9,85.0,86.6,160622
2016-01-21,88.3,91.15,87.1,89.15,84310
2016-01-22,92.2,94.0,91.0,93.4,76066
2016-01-25,94.1,98.0,90.85,93.45,215760
2016-01-27,94.4,96.95,87.65,88.7,393543
2016-01-28,89.2,92.9,86.95,89.2,148143
2016-01-29,88.0,92.65,88.0,90.25,109179
2016-02-01,91.6,91.6,88.5,88.85,56228
2016-02-02,88.65,90.8,86.55,87.2,88661
2016-02-03,86.6,86.6,84.0,84.6,51574
2016-02-04,83.2,88.8,82.9,85.4,137725
2016-02-05,86.4,88.9,85.2,88.05,73549
2016-02-08,84.0,86.95,77.9,80.2,280115
2016-02-09,79.0,80.8,77.1,80.2,64346
2016-02-10,79.15,80.35,72.2,75.05,106353
2016-02-11,73.9,75.0,66.3,67.7,143434
2016-02-12,69.55,70.15,59.6,68.95,155748
2016-02-15,71.9,76.0,71.9,73.95,92307
2016-02-16,74.4,77.85,64.25,65.2,188089
2016-02-17,65.85,67.75,59.0,63.3,386743
2016-02-18,64.7,72.9,62.65,71.45,238590
2016-02-19,74.0,75.7,71.55,73.75,377143
2016-02-22,72.1,74.35,71.7,71.95,88671
2016-02-23,71.95,72.3,67.35,70.45,90140
2016-02-24,69.05,69.05,66.0,66.55,68743
2016-02-25,65.55,69.0,64.6,65.05,96679
2016-02-26,66.2,68.8,61.85,63.3,152926
2016-02-29,64.0,64.4,58.35,59.3,225056
2016-03-01,59.7,68.35,59.7,66.45,277573
2016-03-02,68.4,71.5,66.65,69.65,165665
2016-03-03,70.4,71.5,67.85,68.3,131749
2016-03-04,67.15,73.7,66.25,70.05,126076
2016-03-08,70.4,72.0,68.8,69.3,180253
2016-03-09,69.3,71.0,68.65,70.3,120091
2016-03-10,71.25,73.1,69.1,70.8,165654
2016-03-11,70.8,73.2,70.25,70.55,92841
2016-03-14,71.15,72.4,69.45,70.0,77514
2016-03-15,70.0,72.2,69.25,71.05,92393
2016-03-16,71.05,71.95,67.8,69.55,115837
2016-03-17,70.75,74.0,69.95,71.1,183089
2016-03-18,71.65,72.8,70.5,71.15,89330
2016-03-21,71.85,77.0,71.3,75.6,293274
2016-03-22,76.4,78.7,73.8,75.75,232582
