panel,file,first_date,last_date,rows,sha256
nse500_data,360ONE_day.csv,2020-01-01,2026-08-21,1650,eebfef06ee0a7079cda8774f773b028c6208a415cb4d1e0ecddebeedc964b676
nse500_data,3MINDIA_day.csv,2020-01-01,2026-08-21,1650,ac77cb116f9b582cc3f97af230d87d6b730bac24f51ea291bf1ff84dcc508f29
nse500_data,AADHARHFC_day.csv,2024-05-15,2026-08-21,565,3bb95b5635b8a444e33776f93c7c52ab69dc298f39d3629589e3764c1dc6af81
nse500_data,AARTIIND_day.csv,2020-01-01,2026-08-21,1650,44ed145e2f6b9cbc7f0000b649909668476f2c881bc71ae1e7c2c1faf5070e04
nse500_data,AAVAS_day.csv,2020-01-01,2026-08-21,1650,7078c72644810edaaa7e99b60104d13a428e46c8d3443f78bf299a34c2d32e4c
nse500_data,ABBOTINDIA_day.csv,2020-01-01,2026-08-21,1650,7a51d1b878b9a260441d2b87f3f00abad8c4a6bb9ce1bcf156173756350b92d1
nse500_data,ABB_day.csv,2020-01-01,2026-08-21,1650,4caa65a00d4cf3e022391385d790404887b6ed2c85c9b46967a57f22e70b929d
nse500_data,ABCAPITAL_day.csv,2020-01-01,2026-08-21,1650,694f3613398b1531e92af72f8d371c3b7efe8d212f0acbf34f7f6e4ba1b63855
nse500_data,ABDL_day.csv,2024-07-02,2026-08-21,532,e8f55438bf675addbdce825d905a15d9d069a60051be4ba80043d59a1fad3ead
nse500_data,ABFRL_day.csv,2020-01-01,2026-08-21,1650,83df655002e572057a8a8d2cc6666ccc97fca0a0eb2de235c9f21a8cdeeffe33
nse500_data,ABLBL_day.csv,2025-06-23,2026-08-21,290,3a2704dc1bc7d310123169a8e1af12dbedfe7e9e0f4a059a3aa772c0cc140052
nse500_data,ABREL_day.csv,2020-01-01,2026-08-21,1650,6de9ebcb3ee9942b375e7a97e532d4ea9653c748847ce736b778c688dc379763
nse500_data,ABSLAMC_day.csv,2021-10-11,2026-08-21,1207,f9cf21ca4043c73194e2fb412fc86aa9078e6f538e383db333a51db3d27fc52f
nse500_data,ACC_day.csv,2020-01-01,2026-08-21,1650,8bb586f687964c4eb64e143bcb55c11b9204c40b17f6fe8bf73ca25372273ed9
nse500_data,ACE_day.csv,2020-01-01,2026-08-21,1650,73d4b7382834b37e3a5735091da3aef17bd23a746e4ce2c4d6aff99df665bb73
nse500_data,ACMESOLAR_day.csv,2024-11-13,2026-08-21,439,ccd32c9d439918dfd877780dcfd10beffc365401ce9f97f2bf84feb65ec81d52
nse500_data,ACUTAAS_day.csv,2021-09-14,2026-08-21,1226,056a60f378cb6888ccb82813f6ba9cf3c9cccb581ac0d31a78f8f8065e59aa21
nse500_data,ADANIENSOL_day.csv,2020-01-01,2026-08-21,1650,d39d1f0e8abd7ed92d72307eca408734ca6404313f1f091bd6cde83c708252a2
nse500_data,ADANIENT_day.csv,2020-01-01,2026-08-21,1650,fb9409ab6e4b5e0c53bc7b57e4085cafe5559dd017499a070e2d67a84abe84ca
nse500_data,ADANIGREEN_day.csv,2020-01-01,2026-08-21,1650,5431a3a8f6689754538b0629cdfe2c60cf23124325409a1c1a4b9813e1f15e00
nse500_data,ADANIPORTS_day.csv,2020-01-01,2026-08-21,1650,585a863fd58208748d47734617e2c5b6d47edc598ed696103c96f9ff4f0352de
nse500_data,ADANIPOWER_day.csv,2020-01-01,2026-08-21,1650,f1757413dc6983f025e4bb90fa45894d6e025178f09c379a92030d2d94056fd2
nse500_data,AEGISLOG_day.csv,2020-01-01,2026-08-21,1650,4a955eb3c44df1a7bae880bc7a02a04df2d8771cb07623e17f23053377da1f27
nse500_data,AEGISVOPAK_day.csv,2025-06-02,2026-08-21,305,0783ed3b2cfc6571996b89d6412fc3031449500651b888e9ec2d0ccf461ec958
nse500_data,AFCONS_day.csv,2024-11-04,2026-08-21,446,9028f5b3eaadf54c801873bb36d730490bcd5edd0786d352e29fae991ede26b2
nse500_data,AFFLE_day.csv,2020-01-01,2026-08-21,1650,f6d1607a1f3504d24eb9db382a514d36b7fd80dd1988160df8d8cfd959920bb4
nse500_data,AGARWALEYE_day.csv,2025-02-04,2026-08-21,382,eed5718f0dfa91baa8c9ad541df4488d4239419cfa2636cf25ad0681ee3fc34d
nse500_data,AIAENG_day.csv,2020-01-01,2026-08-21,1650,ba58974f73cf78e93f8f07a5e389b695b1e1becf645345276ebf21eabd158aed
nse500_data,AIIL_day.csv,2024-04-23,2026-08-21,580,1b45afe7228c24c2017dc5e38e0eb5921df77d0bcd60c108dc25834222f9d25d
nse500_data,AJANTPHARM_day.csv,2020-01-01,2026-08-21,1650,be64dd1d2b2fe904de5303419b857aa6fd618db727b562d24196cf440ea3367c
nse500_data,AKUMS_day.csv,2024-08-06,2026-08-21,508,9c890b65b21994d109c60986eb159109b001d86c8ec3fe8808239d23ed3234fd
nse500_data,AKZOINDIA_day.csv,2020-01-01,2026-08-21,1650,ddee8ff528556324454cc86d5c668827df347e668c3e155f9fa1fd135a9b485d
nse500_data,ALKEM_day.csv,2020-01-01,2026-08-21,1650,a538c24efc755065fe78dfc331be16f7eeb2bdd808f76ace64f76cb9c3ed00cd
nse500_data,ALKYLAMINE_day.csv,2020-01-01,2026-08-21,1650,1725015cc06134fc4cae6cae922f09a8244e97d760ba23bf084de363791aa504
nse500_data,ALOKINDS_day.csv,2020-02-19,2026-08-21,1614,ef3d1d8ad846ec86d6c10149604216426890768620ee8ae61810e76192d94503
nse500_data,AMBER_day.csv,2020-01-01,2026-08-21,1650,251c002f96dee6b592992fdae62bac93d6bc12460da8eb091db838d01828eb06
nse500_data,AMBUJACEM_day.csv,2020-01-01,2026-08-21,1650,a92cbfba656199a3aa3fc3ed7ae9a8c87490ef4022e4c4f5b8292e6d736d2f0e
nse500_data,ANANDRATHI_day.csv,2021-12-14,2026-08-21,1164,8df2b09f2c23856d66ff67b722c6300a7729d6feb9dfa623ce79ce17f3a95593
nse500_data,ANANTRAJ_day.csv,2020-01-01,2026-08-21,1650,53d4e0453caaeefce97d4233bbcdfb1527296e332b2e373d96206a09c590e85a
nse500_data,ANGELONE_day.csv,2020-10-05,2026-08-21,1460,5ad323e6e12e63676133e9c5eac02a7b73ee0acd4bf30db7ada2076fe13eee62
nse500_data,ANTHEM_day.csv,2025-07-21,2026-08-21,270,cf5b2f010975dc0b2eb914395a3641e43de21d37a8835b92a2c4be092fefebca
nse500_data,ANURAS_day.csv,2021-03-24,2026-08-21,1342,b3b07bdf88285ee443583f5db2ffe73ed5645db6fdfc3789b5429473dfef43aa
nse500_data,APARINDS_day.csv,2020-01-01,2026-08-21,1650,8e9de82a67c29d3883e0c4a937fc7cb0a619348d6754d1b51cd2e30665e39bfe
nse500_data,APLAPOLLO_day.csv,2020-01-01,2026-08-21,1650,dfa878784a0a74b870630b6d48106aab98db2cd19f754037c8b1c3db7b59f254
nse500_data,APLLTD_day.csv,2020-01-01,2026-08-21,1650,0ea78e4fa031bb94f78dcb4538339b4393d61944a1b4e8058633dae84acbb0c5
nse500_data,APOLLOHOSP_day.csv,2020-01-01,2026-08-21,1650,20f50f89ef6e79be302dc059b4746813b82b53fa03c400dea4b4f67244ea3cd2
nse500_data,APOLLOTYRE_day.csv,2020-01-01,2026-08-21,1650,3fcdd468565973af4f45841cc29e882bbc48826aa11186bc4b8a0accf90401f2
nse500_data,APTUS_day.csv,2021-08-24,2026-08-21,1240,f8982ea63e79609081e941e654740c7c04f4c78e24fd70df611cc0d6c94a73db
nse500_data,ARE&M_day.csv,2020-01-01,2026-08-21,1650,90e9e8763b5624957a6afe0f90861f3d782902b14cb85a1199ce7c52df4c7cd6
nse500_data,ASAHIINDIA_day.csv,2020-01-01,2026-08-21,1650,d7bb780b3b9701d8deebfc24e00ad95bf3657168ad54153625089214cf1b9b4f
nse500_data,ASHOKLEY_day.csv,2020-01-01,2026-08-21,1650,fed5980ede2511defc36749736c2a43139fbc4ea4699cf510c6aa04c9fc4878f
nse500_data,ASIANPAINT_day.csv,2020-01-01,2026-08-21,1650,ce909f5e68b615aca5c0bb2dc15be90f651b491084e7e81e9219f8c016de9319
nse500_data,ASTERDM_day.csv,2020-01-01,2026-08-21,1650,d5b39d850b4b2e2c923fc162e6fe271cc3243d1dbb121e8b5ea4a8e9aef13964
nse500_data,ASTRAL_day.csv,2020-01-01,2026-08-21,1650,c5c0b77d0840c6210e2981e700fc3a73e6d7511d53b162de79ae36153a2423b6
nse500_data,ASTRAZEN_day.csv,2020-01-01,2026-08-21,1650,d0f9034204ac9eb80ae050be2356a359ef3977162df0fb33babdaaf047fab99b
nse500_data,ATGL_day.csv,2020-01-01,2026-08-21,1650,3a11d210364ce6b70db4e52f2c411cd52c24e469ffd1b573c2f74e1aac30b854
nse500_data,ATHERENERG_day.csv,2025-05-06,2026-08-21,324,c096970848ba993d4d0964f437232e508138629d53d0ca07891583ebcbdbf64b
nse500_data,ATUL_day.csv,2020-01-01,2026-08-21,1650,6332b1b1010345c062c7c6d9469b0feec6807ef9f52f8010da0b36eac183f1e5
nse500_data,AUBANK_day.csv,2020-01-01,2026-08-21,1650,50c2fb25201164ea7df8aa5be0e41e625b00ba60dae159fc67d550f51f55f67c
nse500_data,AUROPHARMA_day.csv,2020-01-01,2026-08-21,1650,7bc184c1378e193a73fb5b2678c3b7abb5ffccb84e21f4d536ab465799b4c2ba
nse500_data,AWL_day.csv,2022-02-08,2026-08-21,1054,68e4f3682276738deb81153f780be8f6fa6db381ef095970f2018a1ccea38a69
nse500_data,AXISBANK_day.csv,2020-01-01,2026-08-21,1650,58649fa410d2ec974592726c2358ad9f57e76c95af33f20d2aafc655b9d3e15d
nse500_data,BAJAJ-AUTO_day.csv,2020-01-01,2026-08-21,1650,60a4ae5f83d1e610859117fcbcc4c2d9fb28cfb91922c9680a5b1f06ceb391f8
nse500_data,BAJAJFINSV_day.csv,2020-01-01,2026-08-21,1650,fbf2e1e928bb39e5ea2b4ec00e984e09d520f83ccebd994fc7ff1ffb97cc7381
nse500_data,BAJAJHFL_day.csv,2024-09-16,2026-08-21,480,1ef817d5bb2ece74cd6140ce326417415b4ea461262639ccfe1cd642458b4ac8
nse500_data,BAJAJHLDNG_day.csv,2020-01-01,2026-08-21,1650,96f1a984b8a7344bc2f0b784ae0be1516b2b5b02736f935054ad53a24482059a
nse500_data,BAJFINANCE_day.csv,2020-01-01,2026-08-21,1650,ea5c3c3fec5687a3b4e84c901bbfffa0609512ae979bc9bfb7ff80302bb1df8c
nse500_data,BALKRISIND_day.csv,2020-01-01,2026-08-21,1650,6a0de604b7b0dd1056f72aad1f8218d1c0ab75e078b2c8cdedf51dab1bc7d8df
nse500_data,BALRAMCHIN_day.csv,2020-01-01,2026-08-21,1650,a256ca4397472b34343458d63578380d47bd65e875aa13c6554861492e03b25b
nse500_data,BANDHANBNK_day.csv,2020-01-01,2026-08-21,1650,9d0ea54cb33d8cf3f3c544468ebeb4192d726adc8a0348e8446e0c815a09f5bd
nse500_data,BANKBARODA_day.csv,2020-01-01,2026-08-21,1650,ac2c803a81d41f332b32385ede58eb2acde1092b2cfe8f2ef6670666a52d82e9
nse500_data,BANKINDIA_day.csv,2020-01-01,2026-08-21,1650,4b26f1ea2681e04423275b1660fe5768894b320faaa5b115d833338dbaca6f18
nse500_data,BASF_day.csv,2020-01-01,2026-08-21,1650,e2bfd9fe335a17a93c475a573f7157d060e08e9c2a1adc72f5f7f0c6c1d9102b
nse500_data,BATAINDIA_day.csv,2020-01-01,2026-08-21,1650,10ad3fbab664d8a2b708837f54b1bf7f5d03032463147f9c3b4703d991e6f1d8
nse500_data,BAYERCROP_day.csv,2020-01-01,2026-08-21,1650,b1677283ecbaa56604efbc7432fcf7f7ba95141aa3633cbd7f24cb8cceb7ddb7
nse500_data,BBTC_day.csv,2020-01-01,2026-08-21,1650,483a41a5e64ebad25f9b44b7ea256cc19ecce2b13e4ab269ef01a32ba2d944b6
nse500_data,BDL_day.csv,2020-01-01,2026-08-21,1650,7f92f88d62cbf185159de63273c546a264aa8fa198b727e4062981c1487440d1
nse500_data,BELRISE_day.csv,2025-05-28,2026-08-21,308,1d69eb8cb7360431c60643a1ae33ba16ca64b08ea84e06dd97d98f8d959879c8
nse500_data,BEL_day.csv,2020-01-01,2026-08-21,1650,dea7aef8a10fd2a0f46d99ef2fe8cf6d8ee445dd6c2b27c74eaf8167ed958d0a
nse500_data,BEML_day.csv,2020-01-01,2026-08-21,1650,ea710bb27529a4196a2a0162756900ee3c1473b74dfe162d0498a28410e6f650
nse500_data,BERGEPAINT_day.csv,2020-01-01,2026-08-21,1650,0882bca38ae72f238f4a696dac48d731204cd7c5e60d2bbd9f49e0fb101cbad6
nse500_data,BHARATFORG_day.csv,2020-01-01,2026-08-21,1650,85cf8ffd49717dc6879eeef311593cb61880b38e118f9786fccb3bb435a20a6c
nse500_data,BHARTIARTL_day.csv,2020-01-01,2026-08-21,1650,46f211013e6d61ae77088f87fd898f2a8bd420c7e2c8d2794bb0e116c18221cf
nse500_data,BHARTIHEXA_day.csv,2024-04-12,2026-08-21,586,3cc1b874e6609eb561d63c5ff97c15f92757f448b0fe410dc6c301134ffbd598
nse500_data,BHEL_day.csv,2020-01-01,2026-08-21,1650,bfeddbcc53f71156502d04975a65fcca5fcbeefabd0f8a690f572437bedcd7c7
nse500_data,BIKAJI_day.csv,2022-11-16,2026-08-21,935,816bc0d59d6c6355934247d87abcd263fbb77f88fddf67afc9ce2f566036c0de
nse500_data,BIOCON_day.csv,2020-01-01,2026-08-21,1650,b974625e504c1c3aeb52b0ff4bd121fca6f4e8d7ba5a2c03973d0c7b51ead170
nse500_data,BLS_day.csv,2020-01-01,2026-08-21,1650,b4c821388e73e36843cf2749a2f25e6bbf90654e39a7db57e09b71e107652785
nse500_data,BLUEDART_day.csv,2020-01-01,2026-08-21,1650,d10273397a135ce20814551658ff32a59c81bc549bc423b1f4785a4b93bfdc6e
nse500_data,BLUEJET_day.csv,2023-11-01,2026-08-21,697,8d3895e4b1ec396cadcb0697bbe29a79e9c212697cd125f575952e8578e8a88f
nse500_data,BLUESTARCO_day.csv,2020-01-01,2026-08-21,1650,d9cbb8f92ba792e02122e5a664758c720896425a4c2bb9b1f2aef63265b911cc
nse500_data,BOSCHLTD_day.csv,2020-01-01,2026-08-21,1650,7518c5dd16b15444f9435ef5030eba66a4aa9901a092a4352bac2f6a4fa4947d
nse500_data,BPCL_day.csv,2020-01-01,2026-08-21,1650,9c9e471a0724a5ed0389755ad6844ebeaf439fa64ed2e28852a59fe92ac011c0
nse500_data,BRIGADE_day.csv,2020-01-01,2026-08-21,1650,2120b08e2876843c3b9772f6acc29df5f6be9623e3c5e25f8f779aa801a5f0cb
nse500_data,BRITANNIA_day.csv,2020-01-01,2026-08-21,1650,7b43643db2cec8594bd44c3443c14206732889058f1fa20e0f1381637b6a256a
nse500_data,BSE_day.csv,2020-01-01,2026-08-21,1650,2e754e5337332fdc0b576ab848eab9a88eda82a7a76667ae1cda90e11659ad4e
nse500_data,BSOFT_day.csv,2020-01-01,2026-08-21,1650,6517dae2251960c1fa8c6d7d6c51308c83b674046e19026f3bdcdbbdc2e759c1
nse500_data,CAMPUS_day.csv,2022-05-09,2026-08-21,1066,314d44eaf06ee2b02e97af80b40fcd6d278ef92968efeef41c524eba03578e7c
nse500_data,CAMS_day.csv,2020-10-05,2026-08-21,1460,06fc6d09e5817822a844bbb02c908c775ee9dfd51b33d617d9d52cf18c4d96b5
nse500_data,CANBK_day.csv,2020-01-01,2026-08-21,1650,405654f57008771bc03abe7473f7c2762142adf43a7756624a1d1bd620ba3eaf
nse500_data,CANFINHOME_day.csv,2020-01-01,2026-08-21,1650,0b6da92532c1be924ec0b2c9c4e5803fb97c2530973911b9e3f9894b42f7f770
nse500_data,CANHLIFE_day.csv,2025-10-17,2026-08-21,209,c863e280272e58aa1219dc7e7a964c1ed9bfc94df1ab7ed76e564552b21da32d
