stop_mode,stop_pct,trail,partial_r,timestop,n,meanR,medR,win,meanRet,hold,era1,era2,era3
fixed,0.08,none,,,1751,10.383510580371928,-1.023,0.13763563677898344,0.8306808464297538,35.0,25.344409225539643,10.796434686601435,2.385654412685669
structure,0.08,none,,,1751,10.303503520663448,-1.023662628891406,0.12450028555111364,0.746588491287947,25.0,24.535710295940618,10.659581910696433,2.7238023452992137
structure,0.1,none,,,1751,9.866738446768823,-1.0238110390755393,0.1342090234151913,0.7643481454231419,29.0,24.122653233873567,9.708022994981915,2.67579223900462
fixed,0.1,none,,,1751,9.160527031765193,-1.0179999999999998,0.16790405482581383,0.9160527031765193,51.0,21.698274661892512,9.70985119821138,2.299735212334053
structure,0.06,none,,,1751,8.992880434083535,-1.0313333333333337,0.09651627641347801,0.5269077227238556,15.0,15.518307243007921,13.291490626764167,2.297016070545137
fixed,0.06,none,,,1751,8.977869710962263,-1.0313333333333332,0.09994288977727013,0.5386721826577363,17.0,15.209613217289377,13.588624330757964,2.1895942485818027
structure,0.06,none,,40.0,1751,6.510763582142686,-1.0313333333333328,0.2866933181039406,0.37777307834416973,15.0,7.748443986560293,11.911356158806072,1.669764496218059
fixed,0.06,none,,40.0,1751,6.130213696672394,-1.0313333333333325,0.30097087378640774,0.367812821800344,17.0,6.768674610267419,11.545633763302725,1.5851199561301195
structure,0.08,none,,40.0,1751,5.8633899960788805,-1.023,0.34837235865219873,0.4207889877522035,25.0,8.336852391857335,9.389761547510869,1.8479602418286396
fixed,0.08,none,,40.0,1751,5.304229385917687,-1.022999999999999,0.3963449457452884,0.4243383508734147,35.0,7.383948433159566,8.789103740615722,1.5231428576923614
structure,0.1,none,,40.0,1751,5.239741725243718,-1.0180967200741724,0.3666476299257567,0.40728789780083197,29.0,7.068797759216757,8.498019041106923,1.7637404578928821
fixed,0.08,none,3.0,,1751,4.608000438699183,-1.0229999999999997,0.32838378069674473,0.3686400350959346,33.0,10.224038322004631,5.245569449394341,1.229937072705266
structure,0.08,none,3.0,,1751,4.511570919763662,-1.0230000000000004,0.31010850942318674,0.32396541966872616,24.0,9.703731051089747,5.213666930190245,1.300741210753661
structure,0.1,none,3.0,,1751,4.383826243071276,-1.0202595749207186,0.32038834951456313,0.33825979273889734,29.0,9.601968243220352,4.849385970841896,1.343878989037301
structure,0.06,none,3.0,,1751,4.2756813664632585,-1.031333333333333,0.278697886921759,0.2509679734529472,15.0,7.390810366932169,6.396499669634574,1.025658514930869
fixed,0.06,none,3.0,,1751,4.204264188127918,-1.0313333333333328,0.2826956025128498,0.2522558512876753,16.0,7.206660062265258,6.32699581874123,1.010593372844203
structure,0.08,none,2.0,,1751,4.1937876599419965,-1.0230000000000001,0.364363221016562,0.30278827656707596,22.0,8.736167058197076,5.045649402258038,1.1997163761801724
fixed,0.08,none,2.0,,1751,4.193132206276094,-1.0229999999999995,0.3797829811536265,0.3354505765020874,31.0,8.904237624515948,5.043811601274746,1.1134102639014598
fixed,0.1,none,3.0,,1751,4.132346407242026,-1.0179999999999996,0.35179897201599086,0.4132346407242025,49.0,8.751126780493454,4.734502434072829,1.293544388552383
structure,0.06,none,2.0,,1751,4.022407608449739,-1.0313333333333328,0.33580810965162766,0.23626271211335972,14.0,6.9209107321579335,6.190873215482201,0.8464255918555934
structure,0.1,none,2.0,,1751,4.008542829910607,-1.018918681796435,0.375214163335237,0.3108856097258185,27.0,8.515654885926375,4.621301393326743,1.2187793859436153
fixed,0.1,none,,40.0,1751,3.974894829418381,-0.2991793166120538,0.4500285551113649,0.3974894829418381,40.0,5.3955192469559545,6.671734902753829,1.1457003067622036
fixed,0.06,none,2.0,,1751,3.9596057157088103,-1.0313333333333325,0.3415191319246145,0.23757634294252888,15.0,6.7585545651119405,6.122995077683908,0.8386572610737192
fixed,0.1,none,2.0,,1751,3.917645127383666,-1.0179999999999996,0.4106225014277556,0.3917645127383665,46.0,8.573898345493026,4.345010687642608,1.1957422872620176
structure,0.06,none,3.0,40.0,1751,3.2490191974779727,-1.0313333333333328,0.32153055396916047,0.1893279394132156,15.0,3.5532077311307577,6.0913567160605995,0.8793428509484504
structure,0.06,none,2.0,40.0,1751,3.1812485467486193,-1.0313333333333325,0.34951456310679613,0.18567795846132484,14.0,3.5297658359448802,6.049326309455917,0.7687812088222101
fixed,0.06,none,3.0,40.0,1751,3.1365422904787508,-1.0313333333333325,0.33066818960593947,0.18819253742872524,16.0,3.398176652387521,5.9205711604847755,0.8341105528847409
fixed,0.06,none,2.0,40.0,1751,3.086937254241482,-1.0313333333333325,0.3580810965162764,0.1852162352544891,15.0,3.37760558862215,5.878504936861722,0.7637373089060574
structure,0.08,none,3.0,40.0,1751,2.988913026477556,-1.0229999999999997,0.3763563677898344,0.21619141992605476,24.0,3.9234896921605262,4.859136516159824,1.052869794398138
structure,0.08,none,2.0,40.0,1751,2.9062678226706415,-1.0229999999999997,0.39406053683609366,0.2107202059104543,22.0,3.873863495507658,4.803811476565503,0.9320060715979271
fixed,0.08,none,3.0,40.0,1751,2.8039399725226453,-1.0229999999999988,0.4117647058823529,0.22431519780181156,33.0,3.815033495379203,4.5620227465501015,0.9159715019649145
