year,chosen,n,oos_meanR,train_meanR
2011,ma150|structure|0.08|None|None,20,-0.8634326899525917,0.8391300704831711
2012,ma150|structure|0.08|None|None,41,1.382229643874237,0.7421179473814183
2013,ma150|structure|0.08|None|None,36,1.5600419026133325,0.8090684054329632
2014,ma150|structure|0.08|None|None,98,3.4606275776594484,0.8722344005229009
2015,ma150|structure|0.08|None|None,114,-0.4358034515769628,1.3544825590008125
2016,ma150|structure|0.08|None|None,73,0.07568906527862247,1.0355878633666464
2017,ma150|structure|0.08|None|None,179,0.8546347284789566,0.9373093047966243
2018,ma150|structure|0.08|None|None,65,-0.12178066041068589,0.9207187788315317
2019,ma150|structure|0.08|None|None,30,-0.47552833781582665,0.8499116068871804
2020,ma150|structure|0.08|None|None,67,3.5565939765963788,0.8096246784767548
2021,ma150|structure|0.08|None|None,183,0.8735209115449729,0.9842422714312281
2022,ma150|structure|0.08|None|None,87,-0.1730071428036349,0.9678623127738434
2023,ma150|structure|0.08|None|None,165,4.0926720530283935,0.8928958153152026
2024,ma150|structure|0.08|None|None,168,-0.15859891795497982,1.2474714225836219
2025,ma150|structure|0.08|None|None,44,0.09524643326702266,1.1049126916177285
2026,ma150|structure|0.08|None|None,50,0.49317925406632257,1.0787955162106557
