dir,symbol,date,move_pct,ratio,label,definitive
live,ADANIENT,2023-02-01,-28.2,0.718,unclassified,False
merged,ADANIENT,2023-02-01,-28.2,0.718,unclassified,False
merged,ASHOKLEY,2009-05-18,30.0,1.3,undo_bonus_1:3,False
live,ASHOKLEY,2020-03-26,28.5,1.2847,unclassified,False
merged,ASHOKLEY,2020-03-26,28.5,1.2847,unclassified,False
live,BANDHANBNK,2020-03-26,39.3,1.3932,unclassified,False
merged,BANDHANBNK,2020-03-26,39.3,1.3932,unclassified,False
merged,BANKBARODA,2017-10-25,33.2,1.3322,undo_bonus_1:3,False
merged,BANKINDIA,2017-10-25,34.1,1.3412,undo_bonus_1:3,False
merged,BRIGADE,2008-01-25,33.6,1.3359,undo_bonus_1:3,False
merged,CANBK,2017-10-25,40.9,1.409,unclassified,False
merged,CGPOWER,2019-02-13,-29.8,0.7018,unclassified,False
live,CHOLAFIN,2020-03-23,-29.6,0.704,unclassified,False
merged,CHOLAFIN,2020-03-23,-29.6,0.704,unclassified,False
merged,COHANCE,2020-03-09,112250.0,1123.5,unclassified,False
live,COHANCE,2020-03-24,-52.7,0.4728,unclassified,False
merged,COHANCE,2020-03-24,-52.7,0.4728,unclassified,False
merged,DLF,2014-10-14,-28.6,0.7144,unclassified,False
live,FORCEMOT,2024-02-14,31.9,1.3193,undo_bonus_1:3,False
merged,FORCEMOT,2024-02-14,31.9,1.3193,undo_bonus_1:3,False
merged,HAVELLS,2009-05-06,36.0,1.3604,undo_bonus_1:3,False
merged,IDEA,2019-11-19,36.0,1.3596,undo_bonus_1:3,False
live,IDEA,2020-02-19,40.0,1.4,unclassified,False
merged,IDEA,2020-02-19,40.0,1.4,unclassified,False
live,IDEA,2020-03-13,33.3,1.3333,undo_bonus_1:3,False
merged,IDEA,2020-03-13,33.3,1.3333,undo_bonus_1:3,False
live,IDEA,2020-03-18,-35.1,0.6495,bonus_1:2,False
merged,IDEA,2020-03-18,-35.1,0.6495,bonus_1:2,False
live,IEX,2025-07-24,-29.6,0.7042,unclassified,False
merged,IEX,2025-07-24,-29.6,0.7042,unclassified,False
merged,IGL,2012-04-10,-33.9,0.6609,bonus_1:2,False
merged,IGL,2012-06-01,28.7,1.2868,undo_bonus_1:3,False
merged,IIFL,2019-05-30,-33.4,0.6659,bonus_1:2,False
live,INDUSINDBK,2020-03-26,44.7,1.4467,unclassified,False
merged,INDUSINDBK,2020-03-26,44.7,1.4467,unclassified,False
